DF3VP_tumor_gDNA_2	DF4LAK_tumor_gDNA_2	DF5DS_tumor_gDNA_2	DF6SR_tumor_gDNA_	SK8DF_tumor_gDNA_	DF12GD_tumor_gDNA_2	DF19AE_tumor_gDNA_	MA23KB_tumor_gDNA_	UT25LM_tumor_gDNA_2	TX27DC_tumor_gDNA_2	LA33CA_tumor_gDNA_	DF2CAB_tumor_gDNA_2	DF10DL_tumor_gDNA_	DF11RCC_tumor_gDNA_	SK14JR_tumor_gDNA_	SF17LSM_tumor_gDNA_2	SF20LCK_tumor_gDNA_	SK21LS_tumor_gDNA_	DF22LM_tumor_gDNA_2	SF24RG_tumor_gDNA_	MA31PPD_tumor_gDNA_	SK30DC_tumor_gDNA_	UT34SJ_tumor_gDNA_
ENSG00000095970	37.3860383081763	1.56121718694166	57.2124698319753	112.956933383498	45.4346086596806	78.0087445806341	33.215460371823	22.7654431055658	72.7184260656859	0	5.16166978355552	22.2204959747952	21.0014867805171	47.8055630375257	14.4655743036535	30.3007665772147	30.2640995705208	46.1509929471778	52.2626706944369	26.8089546982682	60.5824685529271	17.141275297948	59.9398563609551
ENSG00000105122	44.6940189662648	5.42333393243359	134.387824070231	96.6567594689679	18.8600884419395	26.1682134770235	30.354584502137	12.9438931067826	41.3488606347687	0	3.4370653856502	16.7716899795415	10.8212194898715	46.990223634334	4.29152158239907	26.2167776644906	20.979211441313	21.1934079565514	17.3622870619069	23.7859112127707	80.4830463592692	17.1780808229523	34.8735015329452
ENSG00000146648	129.272682933207	581.147666992417	1040.02314869956	20.609043092539	124.47308145487	334.795369066152	100.471324797669	206.344425299172	113.039742142312	181.275797985306	21320.4085354411	1534.72569292559	152.774863752917	220.467758921479	77.9663891424798	162.878542919006	13557.7786886155	93.7355048312422	438.475619552786	259.122609535233	1818.55933067143	60.4675038638889	608.190156791098
ENSG00000164362	1.35277931588446	10.6901379791651	0	0	0.377989449841736	0	0	2.2088697708398	0	0	14.2097563275932	0.790252509779147	4.33533707270737	1.8666280620446	0	0	3.37593409560962	3.31426095764341	1.87682744964014	3.45162960977657	3.49832357147518	95.6285548347778	0
ENSG00000165949	77.0263650861556	11.6854308044635	230.087371781949	83.7605246404817	49.0711992912108	203.662268901288	81.8572286177389	17.8305559193301	51.6440816585618	36.2164743594474	10.0071811135757	22.3076325153668	19.3112936897653	47.7934771721577	16.26089668777	30.807055563402	23.4262048345706	26.1667311149516	33.124863635378	24.9115425054693	158.903132158956	36.4719809081505	57.8901013418553
ENSG00000170624	12.8052662025858	2.46347132964097	92.4639528097598	55.5537522804408	89.0342594814171	125.644480913481	47.4319238339472	12.4739973645641	55.3237412679473	10.4985884198444	1.09834937216826	15.2577462468289	30.3606395791101	29.4168824939795	41.9991122209116	40.9498048439747	15.3855303763744	62.3963757262275	12.294600591159	33.9367818310054	7.23681888506013	9.09655913099345	28.7039623885226
ENSG00000187955	20.110503645687	3.56674759635758	78.0978362229317	8.75869342985833	14.8818792272584	19.139982123556	32.032706236138	6.63837508616125	27.7449244080919	0	2.56287927484739	6.61252632148519	10.5951399094927	444.538387940723	1.33333848392517	13.0038255234625	6.83900763750835	56.4934593620838	8.76257320850444	58.9075265157424	22.4318565873833	12.1290487396029	72.8168275412206
ENSG00000211895	0	0.689359760316226	486.202709587478	14.2852882353592	10.5028475036748	2.24965233032884	541.112334036331	14.6973978590043	0	0	0	0	46.4775642677413	20.3835165966566	0.959406018114614	3.61866102210879	0	164.327784156715	0.724301244920648	2.29664846278008	30.601486221506	0	48.0669734192694
ENSG00000233670	12.5568966799681	2.75636150870985	15.5524068712406	15.9596713349909	28.5799122488838	10.1194795218537	59.7051682772695	1.46916545136645	19.331627716472	23.4936000009901	0	9.75530839833248	7.49345195054985	5.48572534192113	0	1.20574898243672	8.98161730462542	6.57531105990141	63.7136022683858	38.2625165785517	6.29784399770095	1.45401126501484	12.5343104730923
ENSG00000239951	0	0.689090377177463	88.1303056036969	0	1.74979054585003	0	212.285042763625	5.14207907978256	0	0	0	0	25.4777366318695	2.35102514653763	0	0	0	32.8765552995071	0	0	10.7963039960588	0	22.9795692006691
ENSG00000256349	27.4682114874303	0	0	0	0	64.0900369717404	0	0	26.4198912125117	0	0	0	6.99388848717985	0	0	0	0	0	0	0	28.79014398949	0	66.849655856492
ENSG00000264920	19.911477784876	0.872389360063977	19.4162774513901	16.063049364015	18.2424043244497	10.1663435047724	9.08647259643363	1.57319747523395	14.0004029242906	37.5814853599218	6.11931021456594	5.84358522401206	7.7719679471739	7.5083517091621	6.34526830334601	4.35419679009694	8.79523914214977	4.95296999292776	9.79912662832229	15.0492206391844	9.16031736797189	7.56017319512836	18.1440359268503
ENSG00000278196	0	0	6.4801695296836	0	0	0	83.7530832778364	0.734582725683223	0	0	0	0	6.99388848717986	7.05307543961289	0	0	0	13.1506221198028	0	0	6.29784399770095	0	6.26715523654613
