GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0000278	0.00000655452550171181	4.83375742154368	26.875	41	50	mitotic cell cycle
GO:0007059	0.00000949492085822535	6.53714285714286	19.8875	32	37	chromosome segregation
GO:0051276	0.0000111960643083392	5.33193277310924	23.1125	36	43	chromosome organization
GO:0000280	0.000043763303876416	6.70344827586207	16.6625	27	31	nuclear division
GO:0009790	0.0000535661875467382	5.20330969267139	19.8875	31	37	embryo development
GO:0000070	0.0000808717581179066	10.1523178807947	12.3625	21	23	mitotic sister chromatid segregation
GO:1903047	0.000084845595497934	4.08823529411765	24.1875	36	45	mitotic cell cycle process
GO:0007049	0.0000995457248874447	3.04407713498623	37.0875	51	69	cell cycle
GO:0000819	0.000109907979885886	7.46085011185682	13.975	23	26	sister chromatid segregation
GO:0022402	0.000141588305561199	3.102	33.8625	47	63	cell cycle process
GO:0048285	0.000145413243507688	5.32551724137931	17.2	27	32	organelle fission
GO:0140014	0.00019247909914322	7.08888888888889	13.4375	22	25	mitotic nuclear division
GO:0051301	0.0002383001781892	4	21.5	32	40	cell division
GO:0098813	0.000244974485749275	5.09315068493151	16.6625	26	31	nuclear chromosome segregation
GO:0051304	0.000251353973834108	Inf	6.9875	13	13	chromosome separation
GO:1905818	0.000251353973834108	Inf	6.9875	13	13	regulation of chromosome separation
GO:1901990	0.000334435804833312	6.72185430463576	12.9	21	24	regulation of mitotic cell cycle phase transition
GO:0010564	0.000384084002475842	3.84751773049645	20.9625	31	39	regulation of cell cycle process
GO:0007346	0.000409140203151798	4.86394557823129	16.125	25	30	regulation of mitotic cell cycle
GO:0007093	0.000483856399630657	Inf	6.45	12	12	mitotic cell cycle checkpoint signaling
GO:0010965	0.000483856399630657	Inf	6.45	12	12	regulation of mitotic sister chromatid separation
GO:0051306	0.000483856399630657	Inf	6.45	12	12	mitotic sister chromatid separation
GO:0051726	0.000510855955568991	3.4	23.65	34	44	regulation of cell cycle
GO:0009792	0.000576322559923667	6.35964912280702	12.3625	20	23	embryo development ending in birth or egg hatching
GO:0043009	0.000576322559923667	6.35964912280702	12.3625	20	23	chordate embryonic development
GO:0051225	0.000928643648980577	Inf	5.9125	11	11	spindle assembly
GO:1902850	0.00101166081427502	13.0253164556962	8.0625	14	15	microtubule cytoskeleton organization involved in mitosis
GO:0006259	0.00109316402566231	4.0249433106576	16.6625	25	31	DNA metabolic process
GO:0044772	0.001110472446348	4.41476510067114	15.05	23	28	mitotic cell cycle phase transition
GO:0045786	0.00166697015030184	5.64935064935065	11.2875	18	21	negative regulation of cell cycle
GO:0007094	0.00177703414311098	Inf	5.375	10	10	mitotic spindle assembly checkpoint signaling
GO:0031577	0.00177703414311098	Inf	5.375	10	10	spindle checkpoint signaling
GO:0033046	0.00177703414311098	Inf	5.375	10	10	negative regulation of sister chromatid segregation
GO:0033047	0.00177703414311098	Inf	5.375	10	10	regulation of mitotic sister chromatid segregation
GO:0033048	0.00177703414311098	Inf	5.375	10	10	negative regulation of mitotic sister chromatid segregation
GO:0045839	0.00177703414311098	Inf	5.375	10	10	negative regulation of mitotic nuclear division
GO:0045841	0.00177703414311098	Inf	5.375	10	10	negative regulation of mitotic metaphase/anaphase transition
GO:0051784	0.00177703414311098	Inf	5.375	10	10	negative regulation of nuclear division
GO:0051985	0.00177703414311098	Inf	5.375	10	10	negative regulation of chromosome segregation
GO:0071173	0.00177703414311098	Inf	5.375	10	10	spindle assembly checkpoint signaling
