GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0006810	0.00000059944507655897	3.93265306122449	23.0375	41	76	transport
GO:0006811	0.00000118837431460002	8.80982905982906	7.578125	19	25	monoatomic ion transport
GO:0051049	0.00000559420807314124	5.65333333333333	10.003125	22	33	regulation of transport
GO:0055085	0.00000838515537433089	6.54647435897436	8.184375	19	27	transmembrane transport
GO:0030001	0.00000903612654262214	10.015243902439	5.759375	15	19	metal ion transport
GO:0051050	0.00000903612654262214	10.015243902439	5.759375	15	19	positive regulation of transport
GO:0006812	0.0000269753603514271	7.97560975609756	6.0625	15	20	monoatomic cation transport
GO:0034220	0.0000269753603514271	7.97560975609756	6.0625	15	20	monoatomic ion transmembrane transport
GO:0003008	0.0000466670588926426	4.37904761904762	10.9125	22	36	system process
GO:0032879	0.000053660975479309	3.98388396454472	12.428125	24	41	regulation of localization
GO:0019221	0.0000578829208718562	Inf	2.425	8	8	cytokine-mediated signaling pathway
GO:0042391	0.0000578829208718562	Inf	2.425	8	8	regulation of membrane potential
GO:0043270	0.0000578829208718562	Inf	2.425	8	8	positive regulation of monoatomic ion transport
GO:0098655	0.0000740294578897833	8.47321428571429	5.153125	13	17	monoatomic cation transmembrane transport
GO:0098662	0.0000740294578897833	8.47321428571429	5.153125	13	17	inorganic cation transmembrane transport
GO:0098660	0.0000740928660179268	7.35421686746988	5.759375	14	19	inorganic ion transmembrane transport
GO:0071702	0.000160340225948959	3.52992069214131	13.034375	24	43	organic substance transport
GO:0043269	0.000197156906336103	9.37984496124031	4.24375	11	14	regulation of monoatomic ion transport
GO:0044057	0.000197156906336103	9.37984496124031	4.24375	11	14	regulation of system process
GO:0048878	0.000198499613435615	6.74761904761905	5.45625	13	18	chemical homeostasis
GO:0006814	0.000201303935921011	Inf	2.121875	7	7	sodium ion transport
GO:0034767	0.000201303935921011	Inf	2.121875	7	7	positive regulation of monoatomic ion transmembrane transport
GO:0051234	0.00022026365275522	2.59985422740525	27.28125	41	90	establishment of localization
GO:0007186	0.000388854494062212	19.9550561797753	2.728125	8	9	G protein-coupled receptor signaling pathway
GO:0050801	0.000388854494062212	19.9550561797753	2.728125	8	9	monoatomic ion homeostasis
GO:0055080	0.000388854494062212	19.9550561797753	2.728125	8	9	monoatomic cation homeostasis
GO:0098771	0.000388854494062212	19.9550561797753	2.728125	8	9	inorganic ion homeostasis
GO:0051179	0.00043753655091406	2.417742469381	30.615625	44	101	localization
GO:0003013	0.000504600996547217	11.3011363636364	3.334375	9	11	circulatory system process
GO:0031400	0.000550505660470516	7.00290697674419	4.546875	11	15	negative regulation of protein modification process
GO:0030595	0.000694609185485685	Inf	1.81875	6	6	leukocyte chemotaxis
GO:0070098	0.000694609185485685	Inf	1.81875	6	6	chemokine-mediated signaling pathway
GO:1904064	0.000694609185485685	Inf	1.81875	6	6	positive regulation of cation transmembrane transport
GO:1990868	0.000694609185485685	Inf	1.81875	6	6	response to chemokine
GO:1990869	0.000694609185485685	Inf	1.81875	6	6	cellular response to chemokine
GO:0003018	0.00120525104126509	17.2666666666667	2.425	7	8	vascular process in circulatory system
GO:0006873	0.00120525104126509	17.2666666666667	2.425	7	8	intracellular monoatomic ion homeostasis
GO:0008015	0.00120525104126509	17.2666666666667	2.425	7	8	blood circulation
GO:0030003	0.00120525104126509	17.2666666666667	2.425	7	8	intracellular monoatomic cation homeostasis
GO:0034764	0.00120525104126509	17.2666666666667	2.425	7	8	positive regulation of transmembrane transport
GO:0055001	0.00120525104126509	17.2666666666667	2.425	7	8	muscle cell development
GO:0070555	0.00120525104126509	17.2666666666667	2.425	7	8	response to interleukin-1
GO:0061024	0.00143996976570541	6.29310344827586	4.24375	10	14	membrane organization
GO:0055082	0.00145200755392449	9.93258426966292	3.03125	8	10	intracellular chemical homeostasis
GO:0019725	0.00150515225832968	7.5	3.6375	9	12	cellular homeostasis
GO:0034765	0.00150515225832968	7.5	3.6375	9	12	regulation of monoatomic ion transmembrane transport
GO:0065008	0.00229551665688446	2.42210144927536	18.1875	28	60	regulation of biological quality
GO:0006936	0.00237828145030425	Inf	1.515625	5	5	muscle contraction
GO:0030593	0.00237828145030425	Inf	1.515625	5	5	neutrophil chemotaxis
GO:0035150	0.00237828145030425	Inf	1.515625	5	5	regulation of tube size
GO:0035296	0.00237828145030425	Inf	1.515625	5	5	regulation of tube diameter
GO:0035725	0.00237828145030425	Inf	1.515625	5	5	sodium ion transmembrane transport
GO:0043547	0.00237828145030425	Inf	1.515625	5	5	positive regulation of GTPase activity
GO:0048247	0.00237828145030425	Inf	1.515625	5	5	lymphocyte chemotaxis
GO:0071621	0.00237828145030425	Inf	1.515625	5	5	granulocyte chemotaxis
GO:0071674	0.00237828145030425	Inf	1.515625	5	5	mononuclear cell migration
GO:0072676	0.00237828145030425	Inf	1.515625	5	5	lymphocyte migration
GO:0097530	0.00237828145030425	Inf	1.515625	5	5	granulocyte migration
GO:0097746	0.00237828145030425	Inf	1.515625	5	5	blood vessel diameter maintenance
GO:1902075	0.00237828145030425	Inf	1.515625	5	5	cellular response to salt
GO:1903522	0.00237828145030425	Inf	1.515625	5	5	regulation of blood circulation
GO:1990266	0.00237828145030425	Inf	1.515625	5	5	neutrophil migration
GO:0051336	0.00321889797617522	5.01149425287356	4.546875	10	15	regulation of hydrolase activity
GO:0034762	0.00364919067643495	5.59943181818182	3.940625	9	13	regulation of transmembrane transport
GO:0006874	0.00365444068287373	14.6373626373626	2.121875	6	7	intracellular calcium ion homeostasis
GO:0022898	0.00365444068287373	14.6373626373626	2.121875	6	7	regulation of transmembrane transporter activity
GO:0032409	0.00365444068287373	14.6373626373626	2.121875	6	7	regulation of transporter activity
GO:0032412	0.00365444068287373	14.6373626373626	2.121875	6	7	regulation of monoatomic ion transmembrane transporter activity
GO:0050900	0.00365444068287373	14.6373626373626	2.121875	6	7	leukocyte migration
GO:0051651	0.00365444068287373	14.6373626373626	2.121875	6	7	maintenance of location in cell
GO:0055074	0.00365444068287373	14.6373626373626	2.121875	6	7	calcium ion homeostasis
GO:0071248	0.00365444068287373	14.6373626373626	2.121875	6	7	cellular response to metal ion
GO:0071347	0.00365444068287373	14.6373626373626	2.121875	6	7	cellular response to interleukin-1
GO:0044281	0.00385315224362025	3.21646341463415	8.184375	15	27	small molecule metabolic process
GO:0003012	0.00406263895647517	8.59444444444444	2.728125	7	9	muscle system process
GO:0006869	0.00406263895647517	8.59444444444444	2.728125	7	9	lipid transport
GO:0010959	0.00406263895647517	8.59444444444444	2.728125	7	9	regulation of metal ion transport
GO:0034612	0.00406263895647517	8.59444444444444	2.728125	7	9	response to tumor necrosis factor
GO:0051235	0.00406263895647517	8.59444444444444	2.728125	7	9	maintenance of location
GO:0070374	0.00406263895647517	8.59444444444444	2.728125	7	9	positive regulation of ERK1 and ERK2 cascade
GO:0071356	0.00406263895647517	8.59444444444444	2.728125	7	9	cellular response to tumor necrosis factor
GO:0016192	0.00487712729569542	2.94885361552028	9.09375	16	30	vesicle-mediated transport
GO:0030029	0.00529874511698611	3.9468438538206	5.45625	11	18	actin filament-based process
GO:0030036	0.00529874511698611	3.9468438538206	5.45625	11	18	actin cytoskeleton organization
GO:0044093	0.00749887931996712	2.73909465020576	9.396875	16	31	positive regulation of molecular function
GO:0046907	0.00754834586947031	3.35686274509804	6.365625	12	21	intracellular transport
GO:0070371	0.00762578831574812	4.45909090909091	4.24375	9	14	ERK1 and ERK2 cascade
GO:0002548	0.00808104234727035	Inf	1.2125	4	4	monocyte chemotaxis
GO:0003015	0.00808104234727035	Inf	1.2125	4	4	heart process
GO:0008016	0.00808104234727035	Inf	1.2125	4	4	regulation of heart contraction
GO:0032411	0.00808104234727035	Inf	1.2125	4	4	positive regulation of transporter activity
GO:0032414	0.00808104234727035	Inf	1.2125	4	4	positive regulation of ion transmembrane transporter activity
GO:0045214	0.00808104234727035	Inf	1.2125	4	4	sarcomere organization
GO:0048245	0.00808104234727035	Inf	1.2125	4	4	eosinophil chemotaxis
GO:0051899	0.00808104234727035	Inf	1.2125	4	4	membrane depolarization
GO:0060047	0.00808104234727035	Inf	1.2125	4	4	heart contraction
GO:0072677	0.00808104234727035	Inf	1.2125	4	4	eosinophil migration
GO:2001257	0.00808104234727035	Inf	1.2125	4	4	regulation of cation channel activity
GO:0051146	0.00892497060413221	4.92134831460674	3.6375	8	12	striated muscle cell differentiation
GO:0065009	0.00914033762181771	2.1505376344086	16.975	25	56	regulation of molecular function
GO:0071705	0.00951315221666368	2.7308362369338	8.790625	15	29	nitrogen compound transport
GO:0010038	0.0101541122290935	5.7037037037037	3.03125	7	10	response to metal ion
GO:0010876	0.0101541122290935	5.7037037037037	3.03125	7	10	lipid localization
GO:0090066	0.0101541122290935	5.7037037037037	3.03125	7	10	regulation of anatomical structure size
GO:0032386	0.010796642774397	12.0652173913043	1.81875	5	6	regulation of intracellular transport
GO:0034341	0.010796642774397	12.0652173913043	1.81875	5	6	response to type II interferon
GO:0051090	0.010796642774397	12.0652173913043	1.81875	5	6	regulation of DNA-binding transcription factor activity
GO:0051208	0.010796642774397	12.0652173913043	1.81875	5	6	sequestering of calcium ion
GO:0051209	0.010796642774397	12.0652173913043	1.81875	5	6	release of sequestered calcium ion into cytosol
GO:0051282	0.010796642774397	12.0652173913043	1.81875	5	6	regulation of sequestering of calcium ion
