GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0042995	0.00000532618980337825	4.23076923076923	15.75	30	49	cell projection
GO:0005886	0.0000101641417262941	3.13567073170732	27.3214285714286	44	85	plasma membrane
GO:0036477	0.0000586482552529382	8.34042553191489	5.78571428571429	14	18	somatodendritic compartment
GO:0030425	0.00013722064570495	9.375	4.82142857142857	12	15	dendrite
GO:0097447	0.00013722064570495	9.375	4.82142857142857	12	15	dendritic tree
GO:0120025	0.000149052813584166	3.5140562248996	13.8214285714286	25	43	plasma membrane bounded cell projection
GO:0030424	0.000398575415400017	7	5.14285714285714	12	16	axon
GO:0098590	0.000931035166340764	3.6	9.64285714285714	18	30	plasma membrane region
GO:0043005	0.00109684150108205	3.68531468531469	9	17	28	neuron projection
GO:0045178	0.00181114602509437	15.7326732673267	2.57142857142857	7	8	basal part of cell
GO:0045202	0.00267776347286853	3.05714285714286	10.2857142857143	18	32	synapse
GO:0071944	0.00280782344952161	2.04600484261501	33.4285714285714	45	104	cell periphery
GO:0009925	0.00515295257321502	13.3529411764706	2.25	6	7	basal plasma membrane
GO:0098794	0.00581990560263254	5.09090909090909	4.17857142857143	9	13	postsynapse
GO:0098984	0.00596802734104933	7.83168316831683	2.89285714285714	7	9	neuron to neuron synapse
GO:0030139	0.00608888770688401	6	3.53571428571429	8	11	endocytic vesicle
GO:0048471	0.00767170148609647	3.4375	6.42857142857143	12	20	perinuclear region of cytoplasm
GO:0030054	0.00946213867505384	2.15146299483649	17.0357142857143	25	53	cell junction
GO:0030018	0.0102737244349542	Inf	1.28571428571429	4	4	Z disc
GO:0031674	0.0102737244349542	Inf	1.28571428571429	4	4	I band
GO:0055037	0.0143023646758366	11.0194174757282	1.92857142857143	5	6	recycling endosome
GO:0014069	0.015178372217577	6.64705882352941	2.57142857142857	6	8	postsynaptic density
GO:0032279	0.015178372217577	6.64705882352941	2.57142857142857	6	8	asymmetric synapse
GO:0042383	0.015178372217577	6.64705882352941	2.57142857142857	6	8	sarcolemma
GO:0099572	0.015178372217577	6.64705882352941	2.57142857142857	6	8	postsynaptic specialization
GO:0005739	0.015488666913706	3.11855670103093	6.10714285714286	11	19	mitochondrion
GO:0012506	0.0250427357696731	2.75945017182131	6.42857142857143	11	20	vesicle membrane
GO:0030659	0.0250427357696731	2.75945017182131	6.42857142857143	11	20	cytoplasmic vesicle membrane
GO:0005768	0.0254018027921387	3.568	4.17857142857143	8	13	endosome
GO:0015629	0.0254018027921387	3.568	4.17857142857143	8	13	actin cytoskeleton
GO:0016020	0.0312091849447552	1.59197324414716	47.5714285714286	56	148	membrane
GO:0001725	0.0325823832079977	Inf	0.964285714285714	3	3	stress fiber
GO:0014704	0.0325823832079977	Inf	0.964285714285714	3	3	intercalated disc
GO:0042641	0.0325823832079977	Inf	0.964285714285714	3	3	actomyosin
GO:0044291	0.0325823832079977	Inf	0.964285714285714	3	3	cell-cell contact zone
GO:0044304	0.0325823832079977	Inf	0.964285714285714	3	3	main axon
GO:0045111	0.0325823832079977	Inf	0.964285714285714	3	3	intermediate filament cytoskeleton
GO:0097517	0.0325823832079977	Inf	0.964285714285714	3	3	contractile actin filament bundle
GO:0030135	0.0371758949323905	5.48543689320388	2.25	5	7	coated vesicle
GO:0030136	0.0371758949323905	5.48543689320388	2.25	5	7	clathrin-coated vesicle
GO:0098793	0.0371758949323905	5.48543689320388	2.25	5	7	presynapse
GO:0009897	0.038495521677961	8.73076923076923	1.60714285714286	4	5	external side of plasma membrane
GO:0016529	0.038495521677961	8.73076923076923	1.60714285714286	4	5	sarcoplasmic reticulum
GO:0030016	0.038495521677961	8.73076923076923	1.60714285714286	4	5	myofibril
GO:0030017	0.038495521677961	8.73076923076923	1.60714285714286	4	5	sarcomere
GO:0030315	0.038495521677961	8.73076923076923	1.60714285714286	4	5	T-tubule
GO:0030662	0.038495521677961	8.73076923076923	1.60714285714286	4	5	coated vesicle membrane
GO:0030665	0.038495521677961	8.73076923076923	1.60714285714286	4	5	clathrin-coated vesicle membrane
GO:0030669	0.038495521677961	8.73076923076923	1.60714285714286	4	5	clathrin-coated endocytic vesicle membrane
GO:0043292	0.038495521677961	8.73076923076923	1.60714285714286	4	5	contractile fiber
GO:0045334	0.038495521677961	8.73076923076923	1.60714285714286	4	5	clathrin-coated endocytic vesicle
GO:1990351	0.038495521677961	8.73076923076923	1.60714285714286	4	5	transporter complex
GO:0016324	0.0434276565517253	2.96	4.5	8	14	apical plasma membrane
GO:0031410	0.044169385739739	1.84545454545455	14.4642857142857	20	45	cytoplasmic vesicle
GO:0097708	0.044169385739739	1.84545454545455	14.4642857142857	20	45	intracellular vesicle
