DF3VP_tumor_gDNA_2	DF4LAK_tumor_gDNA_2	DF5DS_tumor_gDNA_2	DF6SR_tumor_gDNA_	SK8DF_tumor_gDNA_	DF12GD_tumor_gDNA_2	DF19AE_tumor_gDNA_	MA23KB_tumor_gDNA_	UT25LM_tumor_gDNA_2	TX27DC_tumor_gDNA_2	LA33CA_tumor_gDNA_	DF2CAB_tumor_gDNA_2	DF10DL_tumor_gDNA_	DF11RCC_tumor_gDNA_	SK14JR_tumor_gDNA_	SF17LSM_tumor_gDNA_2	SF20LCK_tumor_gDNA_	SK21LS_tumor_gDNA_	DF22LM_tumor_gDNA_2	SF24RG_tumor_gDNA_	MA31PPD_tumor_gDNA_	SK30DC_tumor_gDNA_	UT34SJ_tumor_gDNA_
ENSG00000205277	5.47798413131573	1.83531666987833	5.67193625414126	2.93155994099001	7.66031734088518	5.83542176239641	3.62906216933821	0	2.33715058110008	0	8.66209708388234	0.0815689547524116	6.22590715049259	0	0.065628269762824	0	0	0	0.0495459029792357	0	53.750607286586	0.199001351931221	0
ENSG00000268350	15.7594017269521	37.218643154807	52.1798267269031	16.2587353545735	15.4702585764775	1.97048739275557	40.4166841856811	27.7466873406287	44.2257570866921	0	53.2613959064442	0	45.5985932963328	49.7188233408685	0.560233963782403	11.511062895032	0.437230087454082	66.7404927843426	3.09426147856089	36.6757542409535	25.8971939120153	0	11.9775514957454
ENSG00000160294	133.863896813333	143.882648523667	118.030170172955	123.896905302928	119.830201065011	71.3793852908934	112.671511140953	402.066914551573	141.683929711718	167.314534026018	219.090285065051	527.695722156738	168.277013100658	202.248813845325	433.666853672589	231.188198192473	117.184550739438	218.878935168465	103.725961257113	107.249459217408	109.832780756312	723.809970556315	80.3238550490491
ENSG00000232653	77.2685392583527	2.38542567152578	14.6291051897894	11.2600416023998	11.5216676186578	7.05992964564743	9.24053985239509	1.83215395474529	11.3933548109316	3.09485368493203	276.588499220839	213.219041600165	1.05293412701527	17.3711817893781	289.586976362013	19.2067734698769	35.3576408857502	6.07332038708511	3.03555505185784	4.28912409518867	117.151461158212	140.160713209573	72.3477349052618
ENSG00000169609	103.740000019362	145.85854218496	59.7454811617516	122.584121148028	111.48749035467	70.1254247335325	133.528287973362	99.6685510813285	79.5179024242149	71.0475261143227	236.22840846605	732.96239930702	101.496913885902	108.835640788259	90.1414819184429	86.333214430224	362.599463292457	127.800550421086	150.397481102795	157.222118434547	153.472013878602	351.543103513557	541.547150707481
ENSG00000196233	26.8573650211868	189.684172907846	67.1480110959985	145.15031008365	34.9853296901341	59.8814088142224	69.7670609827707	32.8034945276949	29.8130593667372	11.8837457790911	103.172706263565	990.042683656197	42.6414652257091	216.706153127861	95.0299701263216	621.047214104675	131.495482339811	104.10090052011	30.939062554319	42.6090594084488	30.5934653813262	435.886973324213	79.6924558844124
ENSG00000136152	22.5095573141948	15.2970179897669	20.3662077662516	32.3013329341206	15.4636093641653	24.0881085625117	18.7814407573625	25.0632688346376	15.6830629611085	0	16.9230750232881	51.2869058691165	17.4841294585514	40.5344081009881	106.899163236016	115.479685631792	17.469020856587	31.4498908983112	32.7938930546194	28.9668761371248	73.0270240289146	430.270544860752	9.53310084677114
ENSG00000164068	61.3145553016167	55.8966536791066	35.3602959709533	69.2324747731449	55.5099017072736	65.027816234377	40.2605232273986	56.0706413376216	35.0610201023872	59.3133669002409	122.436276991273	64.2017487670775	223.526987694966	66.4005938619161	103.406737174557	266.70358629031	383.214472840587	438.526233903646	27.9526232328631	42.4436897363463	50.6247404756246	270.356991875063	77.7822730784585
ENSG00000162777	13.8294583786788	9.70929787345664	23.6133658824974	48.8135334451712	20.1195785713515	9.50021948274473	39.7378885995185	10.3028718664135	26.5318265497509	0	15.7248700905241	5.98071315768101	12.3211738966662	10.4564751688579	1.52373742958957	25.2429089536602	4.94004661922146	21.7220217943801	7.52530667253027	7.6324442784677	17.8066012825594	4.61507515530754	33.8824218166447
ENSG00000117724	12.2526681431911	178.023448188133	13.25994971484	1.48522977893119	5.73347998900147	9.10223975712794	29.3014998331715	102.396956960458	11.1433263079494	0	163.064230854404	50.8577563515322	258.212038563837	169.045764022839	22.5177098664883	10.2673138561052	75.9197005096345	211.214128922248	172.754776614977	131.59240938703	122.559518886669	106.884682876622	158.793438883665
