RMSE1	R1	RMSE2	R2	Mon	Dendritic	Macro	Neu	Eos	Treg	Tnaive	Tmem	CD8	NK	Bcell
DF3VP_tumor_gDNA_2	0.639161280268336	-0.437739147451308	0.590371727084414	-0.445229126600286	0	0	0.38030482836006	0.281955100314647	0	0	0.164350099281953	0	0	0.17338997204334	0
DF4LAK_tumor_gDNA_2	0.67284613609017	-0.520919566369973	0.624621863123125	-0.642036928905563	0.267354963705082	0	0.49637264293272	0.107458803789568	0	0	0.0970379071008329	0.016404617153366	0	0.0153710653184316	0
DF5DS_tumor_gDNA_2	0.663726403799284	-0.759044759465585	0.645268489976493	-0.591110455778832	0.859446575960907	0	0.131540523976648	0	0	0	0	0	0	0.00901290006244422	0
DF6SR_tumor_gDNA_	0.673795696949946	-0.662337684350994	0.600460378790994	-0.551717271604134	0	0	0.647747449150561	0.285401072941992	0	0	0.041712562380296	0	0	0.025138915527151	0
SK8DF_tumor_gDNA_	0.645095360226152	-0.644522453710803	0.59598449175735	-0.528859132010773	0.103948865005686	0	0.462574660586274	0.0928250595655989	0	0	0.225073165417387	0.0301709381899489	0	0.0854073112351058	0
DF12GD_tumor_gDNA_2	0.644161933326378	-0.529416128331292	0.611054143277594	-0.325689832466452	0	0.283607259544064	0	0.345251789888104	0	0	0.369977729239412	0.00116322132842002	0	0	0
DF19AE_tumor_gDNA_	0.605566073257696	-0.0798165365730982	0.590291188878497	-0.139267185292583	0	0	0	0.71535961595039	0	0	0.167854635987154	0	0.116785748062456	0	0
MA23KB_tumor_gDNA_	0.681058021324948	-0.62371964666314	0.598408025793916	-0.444899805766264	0	0	0.401205931598658	0.224589094088035	0	0	0.284014015325916	0	0	0.0901909589873912	0
UT25LM_tumor_gDNA_2	0.61168793260965	-0.207326829255324	0.576931173462936	-0.147251933559334	0	0	0	0.587600873980052	0	0	0.209684122102002	0	0	0.202715003917945	0
TX27DC_tumor_gDNA_2	0.651628875966649	-0.578067430485596	0.603688112300807	-0.368726450741197	0	0.34993574271032	0	0.363569847451596	0	0	0.231092370314963	0.0221082901210742	0	0.0332937494020458	0
LA33CA_tumor_gDNA_	0.656947140644719	-0.403202850627875	0.624029828786501	-0.415331728821422	0.210432781410239	0	0.186575257233769	0.288358077915191	0	0	0.239010345539038	0.0756235379017625	0	0	0
