pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_DN	0.524122807017544	0.829467276340843	0.0815265143256594	-0.386932605693628	-0.941676309513161	5	HOXC9
ABBUD_LIF_SIGNALING_1_UP	0.4430823117338	0.78627244294	0.0785029047348687	0.344638083141088	1.01372235554928	9	MPO, RHOU, RNASE2, VWF, SQOR, ALDOC
ABBUD_LIF_SIGNALING_2_UP	0.736051502145923	0.940595425059747	0.0632191170859458	-0.359036699125525	-0.79560900566863	4	COL11A1, FGFR1
ABDELMOHSEN_ELAVL4_TARGETS	0.692452830188679	0.917393359420402	0.059989249649033	-0.487040210262075	-0.828192421655562	2	KCNQ2
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	0.225099601593625	0.560750049993078	0.128142916898415	0.623159570234779	1.24105945524606	3	ALDH1A1, ALDH3B1, SNRPN
ABE_INNER_EAR	0.826855123674912	0.974256505001946	0.048701086452153	0.254037258600192	0.71371924852274	8	USH1C, PLEKHB1
ABE_VEGFA_TARGETS	0.52	0.827179487179487	0.0770736734944102	-0.476301059640439	-0.936698310925985	3	MCM2, MRE11
ABE_VEGFA_TARGETS_2HR	0.969298245614035	1	0.0513223330421143	-0.224611708482676	-0.546636601839874	5	MCM2, DAPK3, ZCCHC14, APOE, TNFRSF14
ABE_VEGFA_TARGETS_30MIN	0.688841201716738	0.917284656752528	0.066436413766281	-0.368630573248408	-0.816868594646604	4	MCM2, VARS1, ALAD, APOE
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.266	0.614343404330033	0.116739204791222	-0.601273378432153	-1.18247009235572	3	TCF3, CCNB1, MYC
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.354077253218884	0.706713429398716	0.102821842840815	-0.48820546450516	-1.08184111853464	4	IGFBP5, FGFR1, RARA
ABRAMSON_INTERACT_WITH_AIRE	0.0117298993832457	0.089669799550594	0.380730400722792	-0.516373801916933	-1.82342820109032	12	TOP2A, MCM2, LMNB1, MCM6, GCN1, TRIM28, POLR2B, MSH2, SNRPB, RUVBL2, SMC1A, DDX17
ACEVEDO_LIVER_CANCER_DN	0.826687116564417	0.974256505001946	0.0422468188360053	0.132454345133611	0.752722295482915	79	LHPP, GJB1, GPD1, KANK4, MAP7, MYOM2, BOK, HBA1, PPFIBP2, APLNR, ADAMTSL2, CNDP1
ACEVEDO_LIVER_CANCER_UP	0.553398058252427	0.84428637058571	0.100633389423036	-0.131135671831023	-0.948628608158772	133	FAM83D, PIGR, NUSAP1, DTL, GPC3, ASPM, COL1A2, KANK2, LAMB1, AURKA, UBE2T, CCNA2, TEAD2, EXOSC3, TK1, GPX7, GGH, COL4A1, SERPINH1, H4C14, PRC1, BTG3, SPARC, XXYLT1, HDAC2, TRAM2, HEY1, CDC20, HMGB2, DSN1, DESI2, RNASEH2A, SUN1, GINS2, TYMS, XRCC1, GTF2IRD2, KHDC4, CALU, SLC2A10, SSR2, GTF2IRD2B, SH3GL1, H2AZ1, PLCG1, CMSS1, MIS18A, RRP15, TAGLN2, IPO9, ILF2, ACBD6, P4HA2, DTYMK, BCAT2, UBE2S, MCM3, SP2, KLHL20, MCM4, KDM5B, TAF7, YEATS2, GTF3C2, ZNF83, ACLY, DMTF1, DVL3, DHX15, ACBD3, CHCHD3, PRPF3, NISCH, POLR2J3, CDK12, MPLKIP
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.00336957536027195	0.0348880219577072	0.431707695803346	-0.370663410424021	-1.92638275303854	36	H2BC7, KIF15, COCH, H2AC16, H2AC17, H2BC6, E2F7, H2AC8, GPC6, PLEKHH3, H4C14, AJUBA, H4C3, H4C8, PCDHGA9, IGSF3, ADAMTSL3, STK32B, RUNX1
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.191935483870968	0.522699529334776	0.124434168630393	0.268451272395365	1.25326256096419	39	TTN, CTNNA3, ST18, LHFPL1, RNASE1, PRKCQ, ENPP6, TMEM144, SCIN, RNASE6, HAVCR2, SEMA3C, KIF5C, GMPR
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	0.00137741352601005	0.0165187213193621	0.45505986738723	-0.51161071336369	-2.14480962870856	19	NUSAP1, KIF15, H2AC16, H2AC17, H2BC15, H2AC8, NCAPG2, TOX3, H4C14, H4C3, H4C8, GFPT1, CFAP69
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0.955706984667802	0.996714667652883	0.0404114482034376	0.153322658126501	0.572161060332757	18	ELOVL7, AK5, TNFSF13, FYB1, KLHL2, LIMCH1, HERC2P9, NSMF, CEP126, ANK2, ORAI2, GTF3C2, SETD5, RARA, MAML2, MSH5, EBF4, VCAN
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.95819397993311	0.996714667652883	0.0394366509525593	0.136143930666345	0.572180573360483	27	GPD1, MYOM2, ADAMTSL2, ADRA1B, FAAH, EPHX2
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.0566588771495217	0.259632866028916	0.321775918075361	-0.190593683968468	-1.34306972193367	114	FAM83D, NUSAP1, DTL, GPC3, ASPM, PCOLCE2, RIOK2, TRIB2, AURKA, UBE2T, CCNA2, TEAD2, EXOSC3, TK1, COL4A1, SERPINH1, H4C14, PRC1, BTG3, SPARC, XXYLT1, HEY1, CDC20, HMGB2, TIMELESS, SEC24D, DSN1, RNASEH2A, SEC14L2, SUN1, GINS2, TYMS, GTF2IRD2, KHDC4, EFNB2, SLC2A10, ZMYND19, SSR2, GTF2IRD2B, POLR2H, H2AZ1, CMSS1, RRP15, TAGLN2, IPO9, ILF2, ACBD6, P4HA2, LMNA, DTYMK, SOX13, BCAT2, UBE2S, MCM3, MRPL36, SP2, KLHL20, MCM4, KDM5B, YEATS2, GTF3C2, ACLY, SNRPB, DVL3, ACBD3, TCTN1, GID8, POLR2J3, RUVBL2, MPLKIP, WDR55, TBC1D16, ARFGAP3
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0.443778110944528	0.78627244294	0.0704500850658419	0.16386827073483	1.00542665878428	112	TRPV6, MOBP, ADAMTS18, ST18, WDFY4, PLCH2, CNTNAP4, IL1B, IQCA1, ST6GALNAC3, COL26A1, A2ML1, ADARB2, AJAP1, NCKAP1L, NTNG2, CAVIN2, CSMD3, STAM, SLCO3A1, SCIN, HDAC11, FGF1, CPLX2, FCGR1A, COL24A1, TMCC2, JAKMIP1, RASGEF1C, CALN1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.95253164556962	0.996714667652883	0.0371479221137289	0.117569883560259	0.606966846047892	57	TP53INP2, MYOM1, GPD1, KANK4, MYOM2, BOK
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.992890995260663	1	0.05378728077603	-0.129431576481364	-0.457051046725377	12	LIPG, MYO1B, HDAC2
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.654173764906303	0.903308999434545	0.0578529757032509	0.229301742209086	0.855695626214965	18	CBFA2T3, SLCO2B1, HBB, LYL1, SLC48A1, SAMSN1, CREM, RHOG, MPP1
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.115384615384615	0.390588425215917	0.204294756516886	-0.374544076090046	-1.40574711448679	14	GLB1L2, HILPDA, LPL, PTK7, ZNF395
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.434628975265018	0.781123500633273	0.0799858801499946	0.36030009898499	1.01226535551207	8	HBA1, APOC1, NQO1, UCP2, CREM
AFFAR_YY1_TARGETS_DN	0.000000001550646842302	0.0000000574986978536349	0.788186810800237	-0.466993126020122	-2.8828572074524	70	TTK, AURKB, EXO1, CENPF, KIF20A, UHRF1, KIF23, ASPM, TOP2A, PCOLCE2, COL6A3, MAD2L1, FOXM1, MKI67, KIF2C, HOXD3, PDGFRA, BUB1B, IGFBP5, CCNB2, CENPE, AURKA, CENPH, NCAPG, TRIB3, FMOD, PCDHB11, CCNA2, RAD18, TK1, CDCA3, LMNB1, CDT1, MCM6, BIRC5, KIF11, PRC1, MYO1B, MXD3, PLK1, CCNB1, HMGB2
AFFAR_YY1_TARGETS_UP	0.0100476826736294	0.0794456478066875	0.380730400722792	0.35526476997852	1.68987853603147	42	SNURF, SFN, MAL, MYOM1, NNAT, IRAG1, TPD52L1, ST6GALNAC3, LRP2, LDB3, TNFRSF10A, NGFR, FABP3, CDKN1C, SPOCK3, HHIP, PFKFB2, FYB1, S1PR5, CRYAB, NRG3, KIF5B, IL17D, LGALS9, CPEB1, ZNF385A, SNRPN, BEX2
AGARWAL_AKT_PATHWAY_TARGETS	0.772532188841202	0.960751288050006	0.0609039347452418	-0.350171841931107	-0.775964885067524	4	VEGFA
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.879598662207358	0.984930678334237	0.0433636987883266	0.158419296921757	0.665798641925528	27	IL20RA, MBP
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.272965879265092	0.625137766237038	0.134273452883202	-0.21432171232269	-1.15279539517677	40	DLGAP5, FBXO17, GYS1, LAMA5, ASNS, PPP1R13L, CEP72, INTS1, GRWD1, LPCAT1, PRMT1, LIG1, UCKL1, MYC, PLOD3, DMPK, SS18L1, ACLY, MAD1L1, EHD2, U2AF2, GID8, RUVBL2, TRRAP, ARFRP1, RNF38, NKIRAS2, MLX, ORAI2, HNRNPL, DUSP3
AIGNER_ZEB1_TARGETS	0.67032967032967	0.908394104845176	0.0601186142531851	0.361161191476882	0.853763684909762	5	SFN, TSPAN15, DSP
AIYAR_COBRA1_TARGETS_DN	0.0191931667707757	0.126361542862291	0.352487857583619	-0.688050279420718	-1.67450516795533	5	SOX4, MCM2, ZNF395, SLC20A1
AIYAR_COBRA1_TARGETS_UP	0.680652680652681	0.913477013403912	0.0711327399327894	-0.31273494011494	-0.817701674549706	6	NEK2, TRIB3, ASNS, FHL2
AKL_HTLV1_INFECTION_DN	0.110332749562172	0.380677486724669	0.176694268938498	0.470021536302873	1.38252666274487	9	TTN, GNLY, ENPP2
AKL_HTLV1_INFECTION_UP	0.928074245939675	0.996714667652883	0.0559428593065705	-0.200039650899249	-0.615260718383941	9	SOX4
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.0000039370845873478	0.0000900782615516596	0.610526878385931	-0.41265989452908	-2.46946404164432	59	RRM2, EXO1, DLGAP5, KIFC1, KIF4A, TPX2, UBE2C, VEGFA, WDR62, KIF23, NCAPH, MAD2L1, FOXM1, MKI67, KIF2C, PTTG1, TRIB2, MCM2, CCNB2, CCNF, POLE, CCNA2, TK1, GPX7
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.0645933014354067	0.276943831248467	0.276500599254472	-0.348141355157567	-1.50334855879449	21	HOXB3, HOXA2, COCH, IGFBP2, H2BC6, SMC4
ALCALA_APOPTOSIS	0.73394495412844	0.939588200059898	0.0665892104103933	-0.263157894736842	-0.76955367244555	8	AURKA, CYTH2, BCAT2, MSH2, ELOVL1, SAMSN1, MX1, PSTPIP1
ALFANO_MYC_TARGETS	0.0975609756097561	0.35068936260473	0.237793834423688	-0.243892508653263	-1.34200912440223	45	HOXC9, MYBL2, TGFB1I1, LRRC17, ENPEP, CTSK, ADM, PDIA5, AKAP12, RBP1, PYCR1, PHLDA1, SPARC, SLC20A1, EMP1, SMTN
ALONSO_METASTASIS_DN	0.802238805970149	0.968587710235817	0.0525898950623616	0.333493413664842	0.739666306520589	4	IFI44L
ALONSO_METASTASIS_EMT_UP	0.51605504587156	0.824002535610411	0.0847985102819124	-0.320138497984253	-0.936182275896941	8	FZD1, VCAN, SPARC, EMP1, MMP2
ALONSO_METASTASIS_NEURAL_UP	0.594420600858369	0.876711435295652	0.0738052724171275	-0.396729207903028	-0.879133891850644	4	PDGFRA, PTPRZ1, EMP1
ALONSO_METASTASIS_UP	0.471153846153846	0.796133973782276	0.0925528864684773	-0.225658858429787	-0.988951011786053	22	GGH, WEE1, FZD1, VCAN, KIF11, H4C3, SPARC, PTPRZ1, EMP1, KLF10, MMP2
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	0.034695370520485	0.188747496288507	0.321775918075361	0.396681477697857	1.60721592724404	24	CCL4L2, CCL3, IL1B, OAS2, IFIT2, ISG15, IL15, FCGR1A, SLC15A3, PLEK, CSF3R, MX1, ITGAM, SLA, CYBB, SLFN12L
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	0.679180887372014	0.913018867924528	0.0561766586307176	0.222872002114944	0.840848180165847	19	CYP4F3, ITPR2, KIF5C, BIN1, NECAB3, NEO1, SEMA3B, ADD3, VAMP2, PALM, RETREG1
AMIT_DELAYED_EARLY_GENES	0.990566037735849	1	0.0434506826723125	-0.302704852824185	-0.514737510014732	2	KLF10, CREM
AMIT_EGF_RESPONSE_120_HELA	0.25	0.597850259451446	0.130777137971974	-0.41841079657414	-1.22356034735909	8	GDF15, JAG1, DUSP6, EPHB4, TCIM
AMIT_EGF_RESPONSE_120_MCF10A	0.82983682983683	0.974892065933581	0.0614364107201271	-0.266211772616031	-0.696058496607282	6	GDF15, GPR161, DUSP6
AMIT_EGF_RESPONSE_20_MCF10A	0.218	0.553877902092307	0.130777137971974	-0.629757751506655	-1.23848773835217	3	MDFI, MMP14
AMIT_EGF_RESPONSE_240_HELA	0.0645933014354067	0.276943831248467	0.276500599254472	-0.453759017016013	-1.51943098948142	11	GFPT2, AKAP12, SPRED2, FHL3, BCL3, SYDE1, TPM4
AMIT_EGF_RESPONSE_240_MCF10A	0.319029850746269	0.684108781434235	0.100633389423036	-0.848906560636183	-1.12583953145914	1	AKAP12
AMIT_EGF_RESPONSE_40_HELA	0.990842490842491	1	0.042077210988939	0.207487056949422	0.490487124565707	5	SGK1, PALMD, RNF141, PIP5K1A, BCL3
AMIT_EGF_RESPONSE_40_MCF10A	0.29	0.64877947295423	0.11101149245045	-0.593314763231198	-1.1668186020532	3	ADM, TUFT1, TIMM44
AMIT_EGF_RESPONSE_480_HELA	0.947107438016529	0.996714667652883	0.0394366509525593	0.131451252362338	0.564519680170393	29	MBP, SFN
AMIT_EGF_RESPONSE_480_MCF10A	0.0924170616113744	0.339564283323797	0.227987202850442	-0.407079323922886	-1.43748562875616	12	VEGFA, FOXD1, TRIB3, GPR153, GFPT1, SMTN, GRB10
AMIT_EGF_RESPONSE_60_HELA	0.175438596491228	0.498328311213434	0.155241966228839	-0.523261658910474	-1.27345977212037	5	VEGFA, SLC20A1, KLF10
AMIT_EGF_RESPONSE_60_MCF10A	0.315450643776824	0.68206687454694	0.110122263835536	0.841749502982107	1.12953435056694	1	DAPP1
AMIT_SERUM_RESPONSE_120_MCF10A	0.750865051903114	0.949544400223397	0.0521630305460055	0.256252313737521	0.777611194275186	10	GCNT1, DAPP1, CDKN1C
AMIT_SERUM_RESPONSE_20_MCF10A	0.952191235059761	0.996714667652883	0.0477342401407188	0.282589702834286	0.562794249513864	3	SNCA
AMIT_SERUM_RESPONSE_240_MCF10A	0.955188679245283	0.996714667652883	0.0553642837725362	-0.171987230646449	-0.556219213835686	10	TGFB1I1, AKAP12, EMP1, TIMM44, TJP1, MAP3K11, ITGA2, PGBD5, GBP1, CDKN1C
AMIT_SERUM_RESPONSE_40_MCF10A	0.671052631578947	0.908771234516094	0.0687943095604775	-0.344926957425802	-0.839447334085658	5	ADM, WEE1
AMIT_SERUM_RESPONSE_480_MCF10A	0.80377358490566	0.968587710235817	0.0530212512043078	-0.430389817024662	-0.73186069098021	2	SLC26A2, NSMF
AMIT_SERUM_RESPONSE_60_MCF10A	0.368909512761021	0.72136442484912	0.105125131597001	-0.346961749708892	-1.06714810997725	9	SOX4, FN1, GAS1, BMP1, TUFT1, PIP5K1A
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	0.791044776119403	0.965052346895262	0.0532386494755899	-0.60596421471173	-0.803643768591913	1	PLXNB2
