pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.663811563169165	0.931572629051621	0.0681513438679483	-0.29953226250473	-0.836277374266397	7	LAMB1, LAMA2, LAMA5, PIK3CA
PID_AJDISS_2PATHWAY	0.489871086556169	0.893483586477217	0.0758886900606117	0.374748471364965	0.946762810726567	6	GFRA1, DSP, NTRK2, PTPN6
PID_ALK1_PATHWAY	0.530737704918033	0.893483586477217	0.077274697304471	-0.484679665738162	-0.961488283345321	3	ACVR2B, ARRB2, MAPK3
PID_ALK2_PATHWAY	0.132149901380671	0.682940904893814	0.170932335370056	-0.941948310139165	-1.25595016072454	1	AMH
PID_ALPHA_SYNUCLEIN_PATHWAY	0.0643382352941176	0.511454545454545	0.241339976815091	0.508201962043257	1.56296386273302	10	PLD1, KLK6, SNCA, MAOB, LYN, SYK
PID_AMB2_NEUTROPHILS_PATHWAY	0.416206261510129	0.841083486801719	0.0845557442441281	0.401102072440761	1.01334242701268	6	LYN, ITGAM, SELPLG, PRKCZ
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.276231263383298	0.802918660287081	0.118815039412263	-0.416899163013153	-1.16395921582234	7	FN1, PIK3CA, MMP2, FOXO1, PTPN11, MAPK3, FGF2
PID_ANTHRAX_PATHWAY	0.822269807280514	0.941896438813992	0.0578529757032509	-0.29337091666504	-0.706960009029	5	ANTXR2, ANTXR1
PID_AP1_PATHWAY	0.562632696390658	0.893483586477217	0.0760837160951725	-0.292322244369444	-0.902673053736631	9	COL1A2, CDK1, NFATC2
PID_ARF6_DOWNSTREAM_PATHWAY	0.163424124513619	0.753905940201443	0.151148761385484	0.651540491324543	1.28826049390859	3	PLD1
PID_ARF6_PATHWAY	0.448529411764706	0.864167752728122	0.080419996876154	0.330806065442937	1.01738671724411	10	ADAP1, GNA14, ARAP2, KIF13B, GIT1, GNAQ, ARRB2, SRC, CYTH2, ITGB3
PID_ARF6_TRAFFICKING_PATHWAY	0.829906542056075	0.941896438813992	0.0511147954416412	0.260746954623701	0.700076527720892	7	PLD1
PID_ARF_3PATHWAY	0.340770791075051	0.802918660287081	0.101713902282311	-0.655131264916468	-1.11249699368152	2	PIP5K1A, CYTH2
PID_AR_NONGENOMIC_PATHWAY	0.897196261682243	0.945956928078017	0.0475434194201301	0.235552012754085	0.632430915346759	7	PLCG2, GNAO1, GNAZ, MAPK3, SRC, PLCG1, PIK3CA
PID_AR_PATHWAY	0.568738229755179	0.893483586477217	0.0694481442003175	0.306422467431927	0.903968193490903	9	SNURF
PID_AR_TF_PATHWAY	0.295116772823779	0.802918660287081	0.11378726182188	-0.374429498149149	-1.15621518722403	9	POU2F1, EP300, SENP1, TRIM24, SRC, FOXO1, RACK1, NR2C2
PID_ATF2_PATHWAY	0.460698689956332	0.87594861576292	0.0883594442500905	-0.283765889224462	-0.987548584024809	12	PDGFRA, CCNA2, ACHE, POU2F1, EP300, MMP2
PID_ATM_PATHWAY	0.124183006535948	0.682940904893814	0.186432558434075	-0.534661354581673	-1.38820616827439	6	FANCD2, CDC25A, MRE11, TRIM28, ATM, SMC1A
PID_ATR_PATHWAY	0.00655303186815649	0.141254242491373	0.407017918923954	-0.503486833868553	-1.97350989014638	16	FANCD2, MCM2, CDC25A, CCNA2, CDK2, PLK1, TIMELESS, CHEK1, MCM7, RFC3, RFC5, BRCA2
PID_AURORA_A_PATHWAY	0.00540098000770538	0.130973765186856	0.407017918923954	-0.573890346701829	-1.9118690714877	11	AURKB, DLGAP5, TPX2, AURKA, BIRC5, AJUBA
PID_AURORA_B_PATHWAY	0.0000000554718580584684	0.00000538077023167143	0.719512826338911	-0.746971960272714	-2.92789493606718	16	AURKB, NDC80, KIF20A, SGO1, KIF23, NCAPH, DES, KIF2C, CDCA8, AURKA, SMC4, NCAPG
PID_AVB3_INTEGRIN_PATHWAY	0.0164514398903089	0.245506102978456	0.352487857583619	-0.414773499997639	-1.78279089643593	21	COL6A2, COL6A1, VEGFA, COL1A2, COL6A3, FN1, COL11A1, COL4A1, COL5A1
PID_AVB3_OPN_PATHWAY	0.897196261682243	0.945956928078017	0.0475434194201301	0.235552012754085	0.632430915346759	7	SPP1, SYK, MAPK3, ITGB3, PIP5K1A, MMP2, PIK3CA
PID_BARD1_PATHWAY	0.0318755989558631	0.435558832936265	0.321775918075361	-0.581506576325229	-1.6235339348803	7	FANCD2, BARD1, FANCA, CDK2, MRE11, FANCG, ATM
PID_BCR_5PATHWAY	0.151245551601424	0.752349666940414	0.150169802128406	0.386396504754293	1.36175149381637	15	CD22, DAPP1, POU2F2, PLCG2, BTK, LYN, MAP4K1, SYK, PTPN6
PID_BETA_CATENIN_DEG_PATHWAY	0.315789473684211	0.802918660287081	0.108820126769161	-0.521894904458599	-1.14765070216185	4	FZD5, DVL3, CSNK1E, CSNK1A1
PID_BETA_CATENIN_NUC_PATHWAY	0.106235565819861	0.606167640266268	0.208955027549354	-0.344090921405727	-1.36236082082735	17	SALL4, TLE2, VCAN, LEF1, HDAC2, EP300, MMP2, CCND2, SMARCA4, MYC, DVL3, RUVBL2, MED12, TRRAP
