pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.408333333333333	0.797437673130194	0.0925528864684773	-0.46413132989484	-1.02263972417356	4	ABCA10, PSMD5
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.366533864541833	0.782801801246067	0.096240602328129	-0.638181503770224	-1.10068906481525	2	ABCA10
REACTOME_ABC_TRANSPORTER_DISORDERS	0.766932270916335	0.949937810945274	0.0577308549299813	-0.439940242583631	-0.758776948757074	2	PSMD5
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.322916666666667	0.742694805194805	0.106729884364606	-0.570341801464448	-1.13030142986474	3	UBE2C
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.64755838641189	0.906710352374145	0.0689567351672811	-0.343831335384671	-0.843502193195687	5	E2F2, CDK2, CCND2, E2F1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.185416666666667	0.580972222222222	0.14641623786055	-0.642658177477119	-1.27361777630801	3	SUPT5H, POLR2H, POLR2B
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	0.466800804828974	0.825484287559191	0.083129129135339	0.765805168986084	1.02457576401089	1	KCNN2
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.220833333333333	0.623997995991984	0.132846300606183	-0.621504468645845	-1.23169542855525	3	CHAT
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.466	0.825484287559191	0.0828962134571565	0.600066090549264	1.01399924452999	2	GNA14
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.341666666666667	0.763459158415842	0.103197466945307	-0.561662768599762	-1.1131013522418	3	JAG1, NOTCH1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.676056338028169	0.918342424489131	0.0642140881844605	0.655268389662028	0.876687881147427	1	NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.714	0.929850839418336	0.0613026075396207	0.493237867939539	0.833479567236462	2	NTRK2, PTPN11
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.64367816091954	0.903070852633385	0.0642140881844605	0.436530043772384	0.864929716917608	3	NTRK2, DOCK3, SRC
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.854166666666667	0.975274574860659	0.0547939500773363	-0.345005968961401	-0.683731648333775	3	PIK3CA, GAB1, NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.676056338028169	0.918342424489131	0.0642140881844605	0.655268389662028	0.876687881147427	1	NTRK2
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.5199203187251	0.837814456459875	0.0768736734126542	-0.564041368337311	-0.97281754887061	2	PIK3CA, SRC
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.000187313412374807	0.004644152977369	0.518848077743792	-0.702975647538065	-2.24696511429093	10	H2BC9, H2BC7, H2BC6, H2BC15, H2AC8, H4C14, H4C3, H4C8
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.861386138613861	0.975274574860659	0.0520570030732099	-0.575745526838966	-0.767031373167272	1	MAPKAPK2
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.936781609195402	0.988099043497504	0.0466948041282054	0.312005701847451	0.618200298525862	3	TUBB4A, TUBA4A
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.000000512537153490903	0.0000380356519169565	0.659444398037935	-0.590580408944636	-2.7688113564957	28	HOXB3, HOXA2, H2BC9, H2BC7, HOXA3, HOXD4, EZH2, HOXC4, HOXD3, H2BC6, H2BC15, H2AC8, H4C14, AJUBA, H4C3, H4C8, EP300, PBX1, PAXIP1, RARA, POLR2H, H2AZ1, PCGF2
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.00183153355314199	0.0255689337616852	0.45505986738723	-0.552757793764988	-2.05726123230113	14	MCM2, CDC25A, MCM6, CDK2, CHEK1, MCM8, MCM7, RFC3, RFC5, MCM3, MCM4, RFC2, CLSPN, HUS1
