pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	0.946969696969697	0.9911718577695	0.0456790414930062	0.354813046937152	0.600288344373521	2	NIPA1, TUBGCP4
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	0.469473684210526	0.921959833795014	0.0852884689790502	-0.44055120118301	-0.993393866016184	4	FANCD2, SERPINH1
WP_16P112_DISTAL_DELETION_SYNDROME	0.658008658008658	0.985909149401621	0.069119845655101	-0.433346597692002	-0.86376129297629	3	NFATC2, PRMT1, TRAF1
WP_16P112_PROXIMAL_DELETION_SYNDROME	0.525270758122744	0.953598895681325	0.0713052987340038	0.384519705428603	0.92475337015852	5	DOC2A, CORO1A, ASPHD1
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	0.553571428571429	0.964553243574051	0.0795564677235957	-0.379131819992035	-0.916639639808956	5	KIRREL1, AFDN, NBPF12, TJP1, TJP2
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	0.542035398230089	0.964553243574051	0.0802023444698144	-0.231280324338058	-0.920140235439572	18	HAND2, DRD2
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	0.371794871794872	0.878928444602273	0.0905428948469474	0.392586687923476	1.06907486150648	7	TF, NRROS, MELTF, DLG1, DYNLL2, MYC, CEP43
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	0.16	0.714677536671112	0.159646701919906	-0.58473137441255	-1.31850408998735	4	PBK
WP_7OXOC_AND_7BETAHC_PATHWAYS	0.5625	0.970556358381503	0.0702812841717392	0.553699284009546	0.936772842340741	2	EPHX2, ACOT7
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME	0.84070796460177	0.9911718577695	0.0583452776743612	-0.181535220210969	-0.710359859428951	17	HOXC8, HDAC2, GTF2IRD1, BRD4, RFC5, ELN, MYO1C, DEK, MYC, RFC2, VPS37B
WP_ACETYLCHOLINE_SYNTHESIS	0.071578947368421	0.581094610378775	0.245041785430996	-0.824980111376293	-1.39869541726067	2	CHAT, ACHE
WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME	0.52	0.95331826113678	0.0797705918628453	-0.427866775694307	-0.964791900023173	4	LMNB1, LMNB2, LMNA
WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2	0.160714285714286	0.714677536671112	0.154190966581424	0.932007952286282	1.24097266881875	1	IL1B
WP_ACUTE_VIRAL_MYOCARDITIS	0.414048059149723	0.888392857142857	0.0850427463764322	0.287671211897616	1.04501459280859	16	SGCD, IL10, NOS1, ITGAL, TLR5, HLA-DMA, CXCR4, TLR4, EDN1, STAT1, BCL2
WP_ADIPOGENESIS	0.840182648401826	0.9911718577695	0.0598603117764473	-0.164764173364013	-0.677181519213274	20	TWIST1, LPL, TRIB3, FZD1, BMP1, NRIP1, RARA, LMNA, E2F1, NCOR2, FOXO1, SMAD3, PPARA
WP_AEROBIC_GLYCOLYSIS	0.96031746031746	0.9911718577695	0.0471642455670861	0.513717693836978	0.684017358410335	1	HK1
WP_AFLATOXIN_B1_METABOLISM	0.375	0.878928444602273	0.0946646223153342	0.814711729622266	1.08479223481639	1	EPHX1
WP_AGERAGE_PATHWAY	0.810154525386313	0.9911718577695	0.059989249649033	-0.2170790103751	-0.691822699993588	10	MMP14, MMP2, SRC, FOXO1, SMAD3, MAPK3, STAT1, PRKCZ, MSR1, FOXO4
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION	0.33086876155268	0.878928444602273	0.0978773277424561	0.576152274409147	1.12468046396061	3	PPP1R14A, MYLK
WP_ALANINE_AND_ASPARTATE_METABOLISM	0.128968253968254	0.712666797488226	0.173747838999571	0.951491053677932	1.26691450361914	1	ASPA
WP_ALLOGRAFT_REJECTION	0.723132969034608	0.987103174603175	0.0562940749700968	0.255365294034236	0.794799048472565	10	GNLY, IL1B, IL10, HLA-DMA, PRKCZ, CD86
WP_ALPHA_6_BETA_4_SIGNALING_PATHWAY	0.155701754385965	0.714677536671112	0.165656695205483	-0.485452371462734	-1.37471064371031	7	LAMB1, LAMA2, LAMA5, SRC, PTPN11, GAB1, MAPK3
WP_ALTERNATIVE_PATHWAY_OF_FETAL_ANDROGEN_SYNTHESIS	0.0753968253968254	0.581094610378775	0.231126709673834	0.970178926441352	1.29179748801952	1	HSD17B3
WP_ALZHEIMERS_DISEASE	0.935374149659864	0.9911718577695	0.0413209506074822	0.136373087437853	0.602094097626256	29	IL1B, ITPR2, TUBB4A, SNCA, NOS1, KIF5C, KIF5B, CYBB, TUBA4A, APOE, APBB1, BACE1, PIK3CB, ULK2, KLC2, GNAQ, MAPK3, CSNK2A1, CSNK1A1, CSNK1E
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS	0.898305084745763	0.9911718577695	0.0430173196927508	0.141810822376411	0.63607720561373	30	IL1B, ITPR2, TUBB4A, SNCA, NOS1, KIF5C, KIF5B, CYBB, TUBA4A, APOE, APBB1, BACE1, PIK3CB, ULK2, KLC2, GNAQ, MAPK3, CHPF2, CSNK2A1, CSNK1A1, CSNK1E
WP_AMINO_ACID_METABOLISM	0.353479853479854	0.878928444602273	0.0934449219410994	0.332310886219206	1.09523415711438	12	SDS, PDK4, ALDH1A1
WP_AMPACTIVATED_PROTEIN_KINASE_AMPK_SIGNALING	0.303687635574837	0.863395974532758	0.11331290842208	-0.289053025448772	-1.1080940576035	16	FASN, CCNA2, GYS1, CCNB1, PIK3CA, RPTOR, SLC2A4RG, ELAVL1, CRTC2, STK11, PRKACB, SREBF1, PIK3CB, ADIPOR2, ADRA1A
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS	0.137697516930023	0.714677536671112	0.179782316298324	-0.526776113393274	-1.3922452645323	6	VEGFA, LEF1, JAG1, NOTCH1
WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.948051948051948	0.9911718577695	0.0517405459873163	-0.282197902836293	-0.562486533244502	3	PRPH
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.241071428571429	0.79076726844584	0.131457611642763	-0.325144776807515	-1.20355557361771	15	TGFB1I1, FLNA, EP300, FHL2, PIAS3, NCOR2, SRC, FOXO1, RACK1, SMAD3, NR2C2, SIN3A, BAG1, NCOA4
