pathway	pval	padj	log2err	ES	NES	size	leadingEdge
MIR10399_5P	0.353061224489796	0.466032608695652	0.0999276973731092	0.819172597864769	1.09841497148583	1	ENSG00000286190
MIR12124	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR130B_5P	0.203125	0.392241379310345	0.134273452883202	-0.905582740213523	-1.2007527586385	1	ENSG00000187186
MIR136_5P	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR149_3P	0.3828125	0.466032608695652	0.0925528864684773	-0.815613879003559	-1.08145901164863	1	ENSG00000233223
MIR150_5P	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR1910_3P	0.203125	0.392241379310345	0.134273452883202	-0.905582740213523	-1.2007527586385	1	ENSG00000187186
MIR301B_5P	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR302C_5P	0.353061224489796	0.466032608695652	0.0999276973731092	0.819172597864769	1.09841497148583	1	ENSG00000286190
MIR3143	0.353061224489796	0.466032608695652	0.0999276973731092	0.819172597864769	1.09841497148583	1	ENSG00000286190
MIR3157_5P	0.0530612244897959	0.392241379310345	0.282013350011725	0.986821619217082	1.32321276805315	1	ENSG00000255980
MIR3184_5P	0.203125	0.392241379310345	0.134273452883202	-0.905582740213523	-1.2007527586385	1	ENSG00000187186
MIR338_5P	0.669387755102041	0.694179894179894	0.0653834195468773	0.652580071174377	0.875033811115783	1	ENSG00000254837
MIR342_5P	0.76953125	0.76953125	0.0566484183613995	-0.623832295373665	-0.82716721105031	1	ENSG00000288675
MIR3613_5P	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR3620_3P	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR380_3P	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR3922_5P	0.0530612244897959	0.392241379310345	0.282013350011725	0.986821619217082	1.32321276805315	1	ENSG00000255980
MIR423_5P	0.203125	0.392241379310345	0.134273452883202	-0.905582740213523	-1.2007527586385	1	ENSG00000187186
MIR4283	0.0530612244897959	0.392241379310345	0.282013350011725	0.986821619217082	1.32321276805315	1	ENSG00000255980
MIR4288	0.169921875	0.392241379310345	0.148261500475107	-0.917927046263345	-1.21712062750856	1	ENSG00000274333
MIR4293	0.669387755102041	0.694179894179894	0.0653834195468773	0.652580071174377	0.875033811115783	1	ENSG00000254837
MIR4297	0.3828125	0.466032608695652	0.0925528864684773	-0.815613879003559	-1.08145901164863	1	ENSG00000233223
