pathway	pval	padj	log2err	ES	NES	size	leadingEdge
AEBP2_TARGET_GENES	0.28125	0.683890577507599	0.11146266692298	-0.614166757969465	-1.20198871105604	5	ENSG00000249592, ENSG00000237950, ENSG00000242622, ENSG00000250222
AHRR_TARGET_GENES	0.12573673870334	0.683890577507599	0.175204047558551	-0.604132158658503	-1.36536998418197	8	ENSG00000204929, ENSG00000254469, ENSG00000250222, ENSG00000204758, ENSG00000255468, ENSG00000245281, ENSG00000246090
ALKBH3_TARGET_GENES	0.403345724907063	0.732395149627322	0.086794975677172	-0.812611209964413	-1.07035300686848	1	ENSG00000254469
ALX4_TARGET_GENES	0.135687732342007	0.683890577507599	0.163180127180689	-0.945006672597865	-1.24474129955726	1	ENSG00000216895
ARID3B_TARGET_GENES	0.131970260223048	0.683890577507599	0.165656695205483	-0.947731316725979	-1.24833013884401	1	ENSG00000215158
ARID5B_TARGET_GENES	0.23046875	0.683890577507599	0.125033367555272	-0.647964926377864	-1.26813526873621	5	ENSG00000262050, ENSG00000249592, ENSG00000254469, ENSG00000188002
ARNT2_TARGET_GENES	0.509803921568627	0.776969291213728	0.0826646449123753	0.577033723233803	0.981321278501723	3	ENSG00000228436
ASH1L_TARGET_GENES	0.718367346938775	0.890888638920135	0.0619762736001998	-0.35425057740482	-0.810168615881931	9	ENSG00000249592, ENSG00000254469, ENSG00000242622, ENSG00000186019, ENSG00000259768, ENSG00000268858, ENSG00000245281
ATF5_TARGET_GENES	0.601449275362319	0.813118119052062	0.0647943366000727	-0.624576166924268	-0.947147358480982	2	ENSG00000234432
ATF6_TARGET_GENES	0.563025210084034	0.803678581905786	0.0755015292281669	0.524533384176721	0.947144230278153	4	ENSG00000228436, ENSG00000257337
AUTS2_TARGET_GENES	0.0865561694290976	0.683890577507599	0.206587922696891	-0.815982649315983	-1.37723690846942	3	ENSG00000235530, ENSG00000215068, ENSG00000204929
BANP_TARGET_GENES	0.356435643564356	0.729166666666667	0.09754492162472	-0.497345572136801	-1.08103653310203	7	ENSG00000235530, ENSG00000278390, ENSG00000254469, ENSG00000271860
BARHL1_TARGET_GENES	0.655102040816327	0.863419007770472	0.066436413766281	0.432771163005007	0.834829798856382	5	ENSG00000224934
BARX1_TARGET_GENES	0.289760348583878	0.683890577507599	0.116739204791222	0.712975852464871	1.21250864015481	3	ENSG00000268460
BARX2_TARGET_GENES	0.385714285714286	0.732395149627322	0.0946646223153342	-0.467697468529981	-1.06962086979865	9	ENSG00000215158, ENSG00000224505, ENSG00000233223, ENSG00000242622
BCL6B_TARGET_GENES	0.304832713754647	0.683890577507599	0.103197466945307	-0.857929270462633	-1.13004492561748	1	ENSG00000278390
BDP1_TARGET_GENES	0.0891089108910891	0.683890577507599	0.211400189384923	-0.662274338102447	-1.4395277540096	7	ENSG00000235530, ENSG00000197099, ENSG00000238142, ENSG00000250222, ENSG00000186019, ENSG00000255468
BPTF_TARGET_GENES	0.473384030418251	0.776645674904943	0.0793434960134973	-0.556021091748068	-1.01638304226778	4	ENSG00000197099, ENSG00000248540
BRCA2_TARGET_GENES	0.813688212927757	0.948871487793643	0.052805004567129	-0.391301929814804	-0.715283380024417	4	ENSG00000227946, ENSG00000187951, ENSG00000227252, ENSG00000234509
BRF1_TARGET_GENES	0.302536231884058	0.683890577507599	0.102080107662747	-0.754935216593449	-1.14483218234527	2	ENSG00000250222, ENSG00000255468
CASP8AP2_TARGET_GENES	0.888888888888889	0.975982088337065	0.0559428593065705	0.432078886826353	0.664025281050157	2	ENSG00000265206
CAVIN1_TARGET_GENES	0.548888888888889	0.803678581905786	0.0797705918628453	0.62044912031401	0.953515466862902	2	ENSG00000268460
CBFA2T2_TARGET_GENES	0.306122448979592	0.683890577507599	0.108820126769161	0.614508249005978	1.18540661154753	5	ENSG00000228436, ENSG00000268460, ENSG00000265206
CBX5_TARGET_GENES	0.501089324618736	0.776969291213728	0.0835990603684159	0.58198455957449	0.989740822892073	3	ENSG00000255980
CBX7_TARGET_GENES	0.686626746506986	0.877100840336134	0.0630790410571939	-0.392384150744627	-0.811913394393615	6	ENSG00000267575, ENSG00000242622, ENSG00000204758, ENSG00000255468
CC2D1A_TARGET_GENES	0.375	0.729166666666667	0.0937465422491719	-0.560362781259772	-1.09668868988787	5	ENSG00000225649
CDC5L_TARGET_GENES	0.970260223048327	0.987179487179487	0.0437125833579551	-0.517126334519573	-0.681147048301415	1	ENSG00000187951
CDC73_TARGET_GENES	0.595555555555556	0.813118119052062	0.0755015292281669	0.59884033267832	0.920306759563327	2	ENSG00000228436
CEBPZ_TARGET_GENES	0.185714285714286	0.683890577507599	0.144630528034484	0.675132186513253	1.30235217974033	5	ENSG00000228436, ENSG00000224934, ENSG00000228192
CENPT_TARGET_GENES	0.872844827586207	0.968212590459886	0.0553642837725362	0.568616548042705	0.760350144325009	1	ENSG00000259953
CHAF1B_TARGET_GENES	0.27734375	0.683890577507599	0.112378519110475	-0.617000369826289	-1.20753438642714	5	ENSG00000233223, ENSG00000242622, ENSG00000250222
CHAMP1_TARGET_GENES	0.0942028985507246	0.683890577507599	0.195789002148949	-0.880547335718476	-1.3353184562746	2	ENSG00000215158
CIC_TARGET_GENES	0.141304347826087	0.683890577507599	0.157402899305283	-0.843735038895191	-1.27949392831111	2	ENSG00000231170
CIITA_TARGET_GENES	0.0693877551020408	0.683890577507599	0.245041785430996	-0.63774829635601	-1.45852593473508	9	ENSG00000235530, ENSG00000216895, ENSG00000224505, ENSG00000233223, ENSG00000242622
COBLL1_TARGET_GENES	0.698884758364312	0.877100840336134	0.0588438169595807	-0.66119884341637	-0.870916080790551	1	ENSG00000259768
CREB3L4_TARGET_GENES	0.569387755102041	0.804292120435618	0.0734381410838857	0.481801137754599	0.929410231789853	5	ENSG00000226853, ENSG00000224934
CREB3_TARGET_GENES	0.216730038022814	0.683890577507599	0.127505315300183	-0.685737113402786	-1.25349844432169	4	ENSG00000235530
CSHL1_TARGET_GENES	0.36	0.729166666666667	0.103958471559957	0.726930744490474	1.11715801588861	2	ENSG00000188897
CTR9_TARGET_GENES	0.959051724137931	0.987179487179487	0.051011413203915	0.533585409252669	0.713506746033912	1	ENSG00000234350
CUX1_TARGET_GENES	0.373046875	0.729166666666667	0.0940503465727813	-0.561383637542086	-1.09868661261982	5	ENSG00000197099, ENSG00000224505
DACH1_TARGET_GENES	0.366920152091255	0.729166666666667	0.0934449219410994	-0.605873177221967	-1.10751054633072	4	ENSG00000237950, ENSG00000254469
DBP_TARGET_GENES	0.801115241635688	0.938108926078965	0.0524827622635459	-0.59869884341637	-0.788592502049606	1	ENSG00000237753
DIDO1_TARGET_GENES	0.93265306122449	0.98	0.0497903187820785	0.291427034612099	0.562172329129323	5	ENSG00000228436, ENSG00000267040
DLX2_TARGET_GENES	0.196120689655172	0.683890577507599	0.144630528034484	0.891681494661922	1.19235037300957	1	ENSG00000268460
DLX4_TARGET_GENES	0.434782608695652	0.74839629365645	0.0813027345384498	-0.690533826734152	-1.04716978419755	2	ENSG00000233223
DLX6_TARGET_GENES	0.638655462184874	0.850632911392405	0.069119845655101	0.475238196220618	0.858132445210589	4	ENSG00000268460, ENSG00000224934
DMRT1_TARGET_GENES	0.362453531598513	0.729166666666667	0.0928481214159878	-0.829681939501779	-1.09283818362424	1	ENSG00000237950
DNMT1_TARGET_GENES	0.403345724907063	0.732395149627322	0.086794975677172	-0.812611209964413	-1.07035300686848	1	ENSG00000254469
DNMT3A_TARGET_GENES	0.119771863117871	0.683890577507599	0.176694268938498	-0.755019186919526	-1.38014314485666	4	ENSG00000238142, ENSG00000237950, ENSG00000250222, ENSG00000255468
DYRK1A_TARGET_GENES	0.295049504950495	0.683890577507599	0.109250039480711	-0.532586566236683	-1.15763679702139	7	ENSG00000235530, ENSG00000278390, ENSG00000250222, ENSG00000271860, ENSG00000255468
E2F2_TARGET_GENES	0.136633663366337	0.683890577507599	0.16823816568964	-0.625439037927993	-1.35946208653963	7	ENSG00000224505, ENSG00000271860, ENSG00000204758, ENSG00000255468, ENSG00000268858
E2F5_TARGET_GENES	0.053081366848196	0.683890577507599	0.321775918075361	-0.655812704684036	-1.49983911141092	9	ENSG00000235530, ENSG00000225649, ENSG00000234432, ENSG00000278390, ENSG00000237950, ENSG00000186019
EBNA1BP2_TARGET_GENES	0.278985507246377	0.683890577507599	0.107140237276725	-0.769448923983762	-1.16684169910957	2	ENSG00000215068, ENSG00000204758
ELF2_TARGET_GENES	0.499001996007984	0.776969291213728	0.0791316651768349	-0.472579320721224	-0.977851627490212	6	ENSG00000233223, ENSG00000254469, ENSG00000188002
ELF5_TARGET_GENES	0.425650557620818	0.740773069892584	0.0838361057159929	-0.799154804270463	-1.05262853528903	1	ENSG00000250222
EPC1_TARGET_GENES	0.284420289855072	0.683890577507599	0.105920292736253	-0.763590118392104	-1.15795703053933	2	ENSG00000224505
EWSR1_TARGET_GENES	0.895424836601307	0.975982088337065	0.0546808488785442	0.351686397521803	0.598088692830048	3	ENSG00000251002
F10_TARGET_GENES	0.186003683241252	0.683890577507599	0.136490437780413	-0.753500008796079	-1.27177706966675	3	ENSG00000229425, ENSG00000250222
FEV_TARGET_GENES	0.746450304259635	0.91136374357281	0.0598603117764473	0.360903475421848	0.780012464196748	8	ENSG00000238276, ENSG00000228436
FOXD2_TARGET_GENES	0.117764471057884	0.683890577507599	0.183023938384487	-0.572792805417165	-1.37288223529279	10	ENSG00000216895, ENSG00000255284, ENSG00000250222, ENSG00000244036
FOXE1_TARGET_GENES	0.0779467680608365	0.683890577507599	0.222056046145248	-0.777036042868771	-1.42038902646614	4	ENSG00000224505, ENSG00000237950, ENSG00000250222
FOXG1_TARGET_GENES	0.782527881040892	0.926677753864214	0.0535669384770951	-0.607428825622776	-0.800091436090824	1	ENSG00000273015
FOXH1_TARGET_GENES	0.202898550724638	0.683890577507599	0.128788713061714	-0.800567972244922	-1.21403261980087	2	ENSG00000197099
FOXJ2_TARGET_GENES	0.164855072463768	0.683890577507599	0.144630528034484	-0.824890174053273	-1.25091636659618	2	ENSG00000231170, ENSG00000228140
FOXN3_TARGET_GENES	0.701680672268908	0.877100840336134	0.0645031249656493	0.433404302716788	0.782593438433332	4	ENSG00000228436, ENSG00000260228
FOXP2_TARGET_GENES	0.513307984790874	0.776969291213728	0.0751181635276301	-0.532545922695321	-0.973471425975367	4	ENSG00000224790, ENSG00000249679
FOXR2_TARGET_GENES	0.388475836431227	0.732395149627322	0.0888945288620449	-0.815613879003559	-1.07430805424572	1	ENSG00000233223
FXR1_TARGET_GENES	0.148698884758364	0.683890577507599	0.155241966228839	-0.94105871886121	-1.23954114467238	1	ENSG00000176593
GCM2_TARGET_GENES	0.00752039243285357	0.372281589876052	0.407017918923954	-0.737580276593592	-1.68684098179119	9	ENSG00000176593, ENSG00000267058, ENSG00000224505, ENSG00000204929
GLI1_TARGET_GENES	0.0151555131141918	0.390751385669942	0.380730400722792	-0.991047597864769	-1.30538535934152	1	ENSG00000197099
GLI3_TARGET_GENES	0.664825046040516	0.867768595041322	0.0607719451853533	-0.517743969491417	-0.873861845614956	3	ENSG00000216895, ENSG00000242622
GLI4_TARGET_GENES	0.594795539033457	0.813118119052062	0.0665892104103933	-0.721363434163701	-0.950163511571426	1	ENSG00000188002
GREB1_TARGET_GENES	0.594059405940594	0.813118119052062	0.0697792517076235	-0.414649491845486	-0.901287302491284	7	ENSG00000197099, ENSG00000229425, ENSG00000231170
GTF2A2_TARGET_GENES	0.986928104575163	0.993234354444653	0.0501934252649434	0.263580698753801	0.448253434547802	3	ENSG00000265206
GTF2E2_TARGET_GENES	0.976058931860037	0.987179487179487	0.0430173196927508	-0.290183772849954	-0.489779779683896	3	ENSG00000233223, ENSG00000224152
GUCY1B1_TARGET_GENES	0.505859375	0.776969291213728	0.077274697304471	-0.506907087369247	-0.992070294697435	5	ENSG00000216895, ENSG00000238142, ENSG00000250222, ENSG00000255468
H1_6_TARGET_GENES	0.856884057971015	0.963994565217391	0.0482149710025564	-0.48146338361596	-0.730121954929583	2	ENSG00000237950
