pathway	pval	padj	log2err	ES	NES	size	leadingEdge
CAR_HPX	0.303088803088803	0.523292096761485	0.105920292736253	0.522298265068323	1.12566798964421	4	SDS, RBP4, APOC1
CAR_IGFBP1	0.792756539235412	0.85987525987526	0.0566484183613995	-0.46617927663401	-0.787465707277207	2	TFR2
CAR_MLANA	0.528776978417266	0.686112459725471	0.0707899094502623	0.370372429690534	0.945092878882165	6	SEMA4D, PCBP3, PFKFB2
CAR_MYST2	0.343511450381679	0.558866705813271	0.09754492162472	0.461943582864541	1.09016455277287	5	LILRA4, PCBP3, PFKFB2
CAR_TNFRSF25	0.0214302548002951	0.104195376787642	0.352487857583619	0.619719687100413	1.6786196106793	7	CNTN6, SEMA4D, ADAMTSL2, PCBP3
CAR_WBSCR22	0.371698113207547	0.577221642915073	0.0922597260527354	0.552512742730843	1.08678862483123	3	PCBP3, PFKFB2
GCM_ACTG1	0.123188405797101	0.303497757847534	0.197822021315103	-0.375199220288968	-1.37397448714569	14	SSR2, H2AZ1, PRMT1, ILF2, TRIM28, PPP1CC, SNRPB, TRA2B, RACK1, SUZ12, HNRNPA2B1, DDX39B, SAP18
GCM_AIP	0.845070422535211	0.89841576018214	0.0475434194201301	0.215169660678643	0.689196500422522	11	PDE6B, VAV1, WAS, HNRNPL, DHPS, BCAT2, ILF2, PRMT1, BLMH, LMNB2, PLK1
GCM_ANP32B	0.163677130044843	0.364396978994572	0.163180127180689	-0.511155378486056	-1.30628537798071	6	MCM6, H2AZ1, ILF2, TRIM28, SNRPB, HNRNPL
GCM_APEX1	0.00729212759985475	0.0477661670161752	0.407017918923954	-0.532560926887735	-1.89602784061568	13	MCM6, LMNB2, H2AZ1, BLMH, PRMT1, ILF2, TRIM28, MCM3, PPP1CC, TRA2B, RACK1, DHPS, DDX39B
GCM_AQP4	0.122837370242215	0.303497757847534	0.165656695205483	0.373385075094591	1.40053144048134	17	HIPK2, NDRG2, TTYH2, OGFRL1, IL17D, C1orf198, PSAT1, FMNL2, AQP4, SCD5, GPRC5B, DYNC1LI2, DTNA, RNF141, PREX1
GCM_ATM	0.654676258992806	0.772747747747748	0.0603786357920401	0.323906078727684	0.826522991163141	6	HSD17B3
GCM_BAG5	0.639830508474576	0.771077792264233	0.0694481442003175	-0.436132113012336	-0.867675877298086	3	GPR153, MPC1, SETD3
GCM_BECN1	0.156599552572707	0.356936207145957	0.166933848713193	-0.485452371462734	-1.32663170300921	7	PLK1, CYTH2, BCAT2, ZNF8, SP2, UBAP2L, MAPK3
GCM_BMPR2	0.246913580246914	0.468360737419033	0.11331290842208	0.423444976076555	1.20592447121332	8	RALGAPA1, IQCK, MAP4K4, KIF1B, WBP2, DDX17, POGZ, MTMR4
GCM_BNIP1	0.661363636363636	0.772808890005023	0.0713052987340038	-0.254260951680291	-0.813825428196165	10	AQP7, CENPI, HMGXB3, FUT2
GCM_CALM1	0.0926243567753002	0.259470880238093	0.191892240384838	0.424290850978825	1.44811090535194	13	RALGAPA1, KIF5C, MAPK8IP1, NUAK1, MAP4K4, LANCL1, KIF1B, CORO2B, WBP2, DDX17, NISCH, POGZ, MTMR4
GCM_CASP2	0.194560669456067	0.409898252206899	0.142901149386948	-0.528076463560335	-1.27700237632224	5	CRAMP1, KMT2A, DDX11, SPPL2B, SIN3A
GCM_CBFB	0.125279642058166	0.303497757847534	0.188204146308491	-0.511359107214029	-1.39742896137998	7	BLMH, ILF2, MCM3, PPP1CC, TRA2B, SMC1A, HNRNPL
GCM_CDH5	0.742152466367713	0.821807574014509	0.0649407684612899	-0.312116039271655	-0.797629518330382	6	GABRQ
GCM_CHUK	0.664150943396226	0.773927958833619	0.0619762736001998	0.432105093926349	0.849947638292851	3	MTMR7
GCM_CRKL	0.99618320610687	0.99618320610687	0.0437125833579551	0.187483694778419	0.442452467902891	5	RALGAPA1
GCM_CSNK1A1	0.28099173553719	0.511681500317864	0.115240003147781	-0.521894904458599	-1.17331788079992	4	DMTF1, DHX15, LUC7L2, CSNK1A1
GCM_CSNK1D	0.301158301158301	0.522090005696563	0.106323255932708	-0.842147117296223	-1.13961627925129	1	GPR153
GCM_CSNK2B	0.0334915883988313	0.132401326100053	0.321775918075361	-0.511971268954509	-1.63869140907229	10	LMNB2, H2AZ1, PRMT1, ILF2, TRIM28, PPP1CC, RACK1, DHPS, DDX39B, HNRNPL
GCM_DDX11	0.272727272727273	0.501581027667984	0.117249716749792	-0.527866242038217	-1.18674257051159	4	DDX11, SPPL2B, GGT7, SIN3A
GCM_DDX5	0.291322314049587	0.516213389121339	0.112843355675562	-0.510748407643312	-1.1482584600048	4	TRA2B, HNRNPA2B1, DDX39B, HNRNPL
GCM_DEAF1	0.808853118712274	0.874363112182916	0.0557104226766671	-0.453478714358143	-0.766012035360264	2	GPR153
GCM_DENR	0.456834532374101	0.631506559458316	0.0782955249944794	0.388844621513944	0.992229046561378	6	MTMR7, DDX17, SIN3A, MTMR4, ZNF317, MCM4
GCM_DFFA	0.252272727272727	0.474272727272727	0.129442887745046	-0.373148650663591	-1.1943550844133	10	KANK2, KMT2A, KHDC4, IPO9, MEX3C, DMTF1, POGZ, FBRSL1, ZNF384
GCM_DLG1	0.00462143652080459	0.0368731170077954	0.407017918923954	0.500525627354864	1.90060189781025	18	TF, PLEKHB1, KCNJ10, PRRG1, NCS1, SLAIN1, ABHD6, CLDND1, EPB41L3, NIPA1, RNF13, MAP4K4, LANCL1, GPRC5B, FAXDC2, GLTP, DLG1
GCM_DPF2	0.218220338983051	0.437474897582135	0.135002033828631	-0.629128531635495	-1.2516382865039	3	FUT2, BCAT2, ZNF8
GCM_ERBB2IP	0.349425287356322	0.562003408941917	0.107972360317345	-0.37200956937799	-1.08511185024289	8	ZNF404, AGPAT5, MTMR4, DLG1, GLTP, MAP4K4, RNF13, ARAP2
GCM_ERCC4	0.870292887029289	0.905785534854511	0.0541200569620232	-0.279971870215715	-0.677032150151869	5	CSPG4
GCM_FANCC	0.982608695652174	0.989627329192547	0.0400845633477088	0.128154017062716	0.520561212266557	23	PDE6B, PRKCG, COL14A1, NGFR, AQP6, PSD, VAV1
GCM_FANCL	0.313559322033898	0.531121076233184	0.109684061970549	-0.580183048149622	-1.15426225282902	3	KHDC4, SS18L1, DMTF1
GCM_FCGR2B	0.872384937238494	0.905785534854511	0.0540088272801684	-0.279304604277078	-0.675418557711993	5	AQP7
GCM_GSPT1	0.540308747855918	0.691863176463432	0.0673623868166279	0.273272073511786	0.932681600057181	13	MTMR7, RALGAPA1, IQCK, SIN3A, ZNF384, LUC7L2, POGZ, MTMR4, SS18L1, IPO9, KHDC4, CENPO, KMT2A
GCM_GSTA4	0.727272727272727	0.815607335761839	0.0665892104103933	-0.240768880521826	-0.770640698039104	10	DCX
GCM_HBP1	0.669491525423729	0.775961882072662	0.0672065093710464	-0.425387982491047	-0.846300650393845	3	KHDC4, LUC7L2, USP47
GCM_HDAC1	0.283057851239669	0.511681500317864	0.114750719227023	-0.520678874663561	-1.17058401716202	4	LMNB2, PRMT1, ILF2
GCM_HMGA2	0.422705314009662	0.614447930673838	0.0992333343771191	-0.234495876724661	-1.01620279165894	20	GABRQ, AQP7, CSPG4, CENPI, FHL3, PLK1, POP1, FUT2
GCM_IL6ST	0.526408450704225	0.685140845070423	0.0699458736501659	0.292792965665245	0.937826860201245	11	KCNJ10, CLDND1, C1orf198, MAP4K4, LANCL1, DYNC1LI2, GLTP, DLG1, PREX1
GCM_ING1	0.272727272727273	0.501581027667984	0.117249716749792	-0.527866242038217	-1.18674257051159	4	SNX33, GGT7, MTMR4, SIN3A
GCM_LTK	0.652877697841727	0.772747747747748	0.0605092988656667	0.324321471980578	0.827582965323674	6	HSD17B3
GCM_MAP1B	0.0510204081632653	0.178654110874734	0.261663521711573	0.445243804956035	1.57035724296646	14	RALGAPA1, PHYHIPL, KIF5C, AMER2, NPTX1, MAPK8IP2, BEX2, NUAK1, ULK2, NLK, KIF1B, RABGAP1L, USP22, NISCH
GCM_MAP4K4	0.0130147345367441	0.0705799065261892	0.380730400722792	0.382639286529629	1.78854158174044	33	PLEKHB1, ANKS1B, RALGAPA1, HIPK2, TTYH2, SLAIN1, ABHD6, CLDND1, IL17D, C1orf198, ZEB2, PSAT1, GAB2, FMNL2, RNF13, MAP4K4, SCD5, LANCL1, ULK2, GPRC5B, DYNC1LI2, GLTP, DLG1, KIF1B, DTNA, RNF141, WBP2, PREX1, DDX17
GCM_MAPK10	0.0000247715895626901	0.000349279412833931	0.575610261071129	0.519039945998663	2.4261087627003	33	MBP, PLP1, PLEKHB1, EFHD1, ANKS1B, HIPK2, FAM107A, FGF1, KCNJ10, PRRG1, NDRG2, FEZ1, NCS1, TTYH2, DNAJC6, SLAIN1, CAMK2N1, CLDND1, DNM3, IL17D, EPB41L3, APLP1, NIPA1, ATP1A2, ALDOC, CBX7, SCD5, LANCL1, GPRC5B, DYNC1LI2, DLG1, DTNA
GCM_MLL	0.654377880184332	0.772747747747748	0.0725351864394589	-0.258809490981339	-0.85813568865706	11	CRAMP1, KMT2A, KHDC4, IPO9, TUBGCP4, MTMR4, POGZ, ZNF384, SIN3A
GCM_MSN	0.963320463320463	0.974843435369751	0.04577044581081	-0.51013916500994	-0.690334129499248	1	HNRNPL
GCM_MYCL1	0.130044843049327	0.31078513338907	0.184706471207739	-0.535135760919449	-1.36756854988806	6	AQP7, HMGXB3, FUT2, BCAT2, ZNF8
GCM_MYST2	0.0247539444988595	0.112590521752877	0.352487857583619	-0.393377086684793	-1.70472461711182	20	LMNB1, ILF3, IPO9, ACBD6, POM121C, SETD5, MEX3C, ADNP, SS18L1, TENT4A, PARP6, DMTF1, ZNF462, POGZ, FBRSL1, ZNF384, USP22, PTBP2, RABGAP1L
GCM_NCAM1	0.151304347826087	0.349736279401283	0.148261500475107	0.320833230824541	1.30322356958726	23	ZNF536, RALGAPA1, ERBB4, PHYHIPL, KIF5C, IQCK, AMER2, NPTX1, BEX2, NUAK1, NLK, KIF1B, CORO2B, RABGAP1L, PTBP2, USP22, NISCH, ZNF462, DMTF1, PARP6, SS18L1
GCM_NF2	0.732696897374702	0.815607335761839	0.0686325631836726	-0.180019439875979	-0.800592803424441	22	CRAMP1, KLHL17, ZNF12, EPS15L1, KMT2A, CENPO, AFDN, SNX33, TUBGCP4, GGT7, MTMR4, POGZ, LUC7L2, SIN3A, NCLN, DDX17, WBP2
GCM_NPM1	0.396396396396396	0.592324215563652	0.0988903007520636	-0.343039489429597	-1.05156329393163	9	H2AZ1, PRMT1, ILF2, TRIM28, PPP1CC, RACK1, HINT1, SAP18, RPL9
GCM_NUMA1	0.901345291479821	0.925410335669816	0.0557104226766671	-0.25811003565529	-0.659614238013507	6	CRAMP1, KMT2A, MTMR4, POGZ, SIN3A
GCM_PFN1	0.138075313807531	0.325795454545455	0.172324344900946	-0.56028233784773	-1.35488310162337	5	MCM6, H2AZ1, PRMT1, ILF2
GCM_PPM1D	0.491525423728814	0.660048426150121	0.083129129135339	-0.495025865499403	-0.984843787736149	3	LMNB1, PARP6, PTBP2
GCM_PPP1CC	0.196280991735537	0.41102405695115	0.141225119642531	-0.566480891719745	-1.27355556398038	4	PRMT1, ILF2, PPP1CC, TRA2B
GCM_PRKAG1	0.891003460207612	0.917018159775718	0.0443293451680314	0.194320082979689	0.638112708555116	12	PDE6B, PRKCG
GCM_PRKCG	0.394366197183099	0.592324215563652	0.0850427463764322	0.325051425833333	1.0411519190722	11	PDE6B, PRKCG, COL14A1
