pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_90S_PRERIBOSOME	0.822179732313576	0.95615866388309	0.0525898950623616	0.592415480427046	0.782333577212315	1	ENSG00000275464
GOCC_CHROMOSOME	0.377870563674321	0.95615866388309	0.0972150808846466	-0.812611209964413	-1.08405346296158	1	ENSG00000254469
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX	0.907127429805616	0.95615866388309	0.0536769600638126	-0.421786072158796	-0.630135825538109	2	ENSG00000259697
GOCC_NUCLEOLUS	0.678958785249458	0.95615866388309	0.0676760401641789	-0.527568992661444	-0.875142044379431	3	ENSG00000254469, ENSG00000288675
GOCC_PRERIBOSOME	0.822179732313576	0.95615866388309	0.0525898950623616	0.592415480427046	0.782333577212315	1	ENSG00000275464
GOCC_PWP2P_CONTAINING_SUBCOMPLEX_OF_90S_PRERIBOSOME	0.822179732313576	0.95615866388309	0.0525898950623616	0.592415480427046	0.782333577212315	1	ENSG00000275464
GOCC_RIBONUCLEOPROTEIN_COMPLEX	0.869848156182213	0.95615866388309	0.055826471778749	-0.407629852074297	-0.676184588284382	3	ENSG00000259697, ENSG00000283175, ENSG00000275464
GOCC_SIGNAL_RECOGNITION_PARTICLE	0.95615866388309	0.95615866388309	0.0496901392724606	-0.518961298932384	-0.692313601328893	1	ENSG00000283175
GOCC_SMALL_SUBUNIT_PROCESSOME	0.822179732313576	0.95615866388309	0.0525898950623616	0.592415480427046	0.782333577212315	1	ENSG00000275464
GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX	0.693110647181628	0.95615866388309	0.0647943366000727	-0.655026690391459	-0.873829875029932	1	ENSG00000259697
GOCC_SPLICEOSOMAL_SNRNP_COMPLEX	0.693110647181628	0.95615866388309	0.0647943366000727	-0.655026690391459	-0.873829875029932	1	ENSG00000259697
GOCC_U2_SNRNP	0.693110647181628	0.95615866388309	0.0647943366000727	-0.655026690391459	-0.873829875029932	1	ENSG00000259697
