pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_14_3_3_PROTEIN_BINDING	0.741410488245931	0.917161877031183	0.0547939500773363	0.272860904426857	0.765928937087077	8	TMCC3, PRKCZ, KIF13B, SYNPO2, DAB2IP, ARRB2
GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPLUS_ACTIVITY	0.319767441860465	0.794853435743887	0.102821842840815	0.835387673956262	1.11420206938026	1	AKR1C3
GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPPLUS_ACTIVITY	0.0806142034548944	0.605818084317872	0.219250346703755	0.835719968178202	1.3754989566793	2	HSD17B3, AKR1C3
GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY	0.327519379844961	0.803017300675388	0.101350743797099	0.833399602385686	1.11155046997669	1	PYGM
GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY	0.980806142034549	0.998403951595704	0.0446854397644147	0.316229116945107	0.5204767589529	2	LPCAT2, LPCAT1
GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY	0.631687242798354	0.908514275431862	0.0686325631836726	-0.685487077534791	-0.912669132061633	1	PAFAH1B3
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	0.698513800424628	0.914590972538639	0.0652353056017703	-0.420612813370474	-0.82203137003071	3	PIK3CA, ATM, PIK3CB
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.46257197696737	0.851978974571274	0.0810802057550866	0.62211614956245	1.02393163648093	2	CCKBR, PIK3R5
GOMF_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY	0.922480620155039	0.972157960956208	0.047925896705813	0.528031809145129	0.704264801588282	1	PI4K2A
GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY	0.841995841995842	0.959848010818885	0.0553642837725362	-0.420445505171042	-0.705426016788453	2	PIK3CA, PIK3CB
GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY	0.581573896353167	0.888562699111677	0.0692836467392548	0.565916751749045	0.931433890822345	2	PIP4K2A
GOMF_1_PHOSPHATIDYLINOSITOL_BINDING	0.165154264972777	0.707595731324545	0.144630528034484	0.523505976095618	1.30501826976848	6	SCIN, SESTD1, SNX10, ZFYVE16, WDFY3, PICALM
GOMF_2_ACYLGLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY	0.980806142034549	0.998403951595704	0.0446854397644147	0.316229116945107	0.5204767589529	2	LPCAT2, LPCAT1
GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING	0.0499040307101727	0.532687721747223	0.282013350011725	0.881861575178998	1.45144273534413	2	BOLA2B, AIFM3
GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	0.0051298965250698	0.180700605095584	0.407017918923954	-0.602154828411812	-1.97811830533948	10	KDM4B, PLOD1, P3H1, KDM5C, P4HA2, KDM3A, ALKBH4, KDM5B, ALKBH2, PLOD3
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	0.809792843691149	0.949640893868868	0.0525898950623616	0.391199973722043	0.757633514822541	3	PDE1C, PDE2A
GOMF_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY	0.033693583834223	0.416765843148142	0.321775918075361	0.800238758456029	1.5498152965037	3	PDE6B, PDE1C, PDE2A
GOMF_3_5_DNA_HELICASE_ACTIVITY	0.0428222027163647	0.483170299570369	0.321775918075361	-0.840891010342084	-1.41085203357691	2	MCM2, MCM6
