pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HP_11_PAIRS_OF_RIBS	0.718676122931442	0.928101228095132	0.069119845655101	-0.330147351652728	-0.787131990992471	5	CEP152, SOX9, SNRPB, SKI, PRKCZ
HP_2_3_FINGER_SYNDACTYLY	0.766233766233766	0.954417565112349	0.0617054053637522	-0.399215124532636	-0.781353905791663	3	GPC3
HP_2_3_TOE_CUTANEOUS_SYNDACTYLY	0.621730382293763	0.893266898587684	0.0683110858318647	-0.67117296222664	-0.904470997983098	1	BCOR
HP_2_3_TOE_SYNDACTYLY	0.58974358974359	0.881291233081684	0.0835990603684159	-0.208605251479276	-0.911863735351734	23	HOXD13, TBX15, TRIO, SHMT2, FGFR1, RAI1, PTCHD1, DDX11, BCOR, SETD5, ADNP, MED12, MED25, IQSEC2, SLC12A2, MID2, KCNJ5, SHANK3, CLCN4, KCNJ2, ZNF81, IL1RAPL1
HP_3_4_FINGER_SYNDACTYLY	0.197916666666667	0.618485965020618	0.141225119642531	-0.717573404174878	-1.20267171144871	2	HOXD13
HP_4_5_TOE_SYNDACTYLY	0.00224575443443867	0.0501452346287209	0.431707695803346	-0.953858392999205	-1.59869150572433	2	HOXD13, TBX15
HP_ABDOMINAL_AORTIC_ANEURYSM	0.891143911439114	0.993629032689601	0.0472587336673259	0.308519108280255	0.677341376290522	4	MYLK, SMAD3, P4HA2, ELN
HP_ABDOMINAL_DISTENTION	0.981967213114754	0.999260833034138	0.0373806494758473	0.119167312768176	0.464791448895288	20	MMEL1
HP_ABDOMINAL_OBESITY	0.748514851485149	0.944115069008721	0.0585937568945671	0.622664015904573	0.832434028729934	1	SNRPN
HP_ABDOMINAL_PAIN	0.97752808988764	0.997446026969345	0.0625237414724762	-0.0936481044897206	-0.515500065511876	47	H19, GPC3, LPL, CTRC, MCM6, RUNX1, GTF2IRD1, PIK3CA, SMO, CDKN2C, GTF2IRD2, NUP85, RARA, ELN, BCOR, LRP5, BRCA2, PIEZO1, TRIM28, P4HA2
HP_ABDOMINAL_WALL_MUSCLE_WEAKNESS	0.308429118773946	0.739409594847966	0.104343952581949	0.663476382212629	1.12276834588032	2	CAPN3
HP_ABDUCENS_PALSY	0.639846743295019	0.902594451339797	0.0645031249656493	0.525855210819411	0.889878827721471	2	CDH23, PSAP
HP_ABNORMALITIES_OF_PLACENTA_OR_UMBILICAL_CORD	0.145584725536993	0.563697112635792	0.179782316298324	-0.393767844377038	-1.31761921892698	11	HOXD13, GJB2
HP_ABNORMALITY_IRIS_MORPHOLOGY	0.0213456116023537	0.209140590199582	0.352487857583619	-0.264977233196549	-1.61140488958975	68	H19, CENPF, GPC3, SALL4, DLX5, GLI2, FANCD2, XRCC2, MMP14, GAS1, TFAP2A, NOTCH3, UBE2T, TONSL, FANCI, COL4A1, ERF, FANCA, FGFR1, GTF2IRD1, TBX2, DACT1, MED12L, FLNA, SMO, EPS15L1, GTF2IRD2, MMP2, CDON, ELN, TMEM67, BCOR, LRP5, BRCA2, MC1R, TRIM28
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	0.126829268292683	0.526353141984459	0.157402899305283	0.302947998739415	1.36760599145943	34	MT-TP, MT-TL2, MT-TE, MT-TK, TPK1, MT-TV, MT-TF, MT-TL1, CA2, KCNJ10
HP_ABNORMALITY_OF_ADRENAL_MORPHOLOGY	0.518610421836228	0.847797305482728	0.0888945288620449	-0.246818665117076	-0.950449901021381	16	AIRE, POLE, ROBO1, GPR161, ENPP1, CDKN2C, CDON, VANGL2
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	0.880893300248139	0.988923020788135	0.0615706755421678	-0.1744	-0.67157993363064	16	AIRE, PIK3CA, SMO, CDKN2C, BCOR, MCM4, SOX9, RBM28, CDH23, GATB, KCNJ5, LIPA, SNRPN, KCNJ2, HBB, KCNJ10
HP_ABNORMALITY_OF_ALKALINE_PHOSPHATASE_LEVEL	0.108474576271186	0.493334929620825	0.175204047558551	0.41103705376859	1.40601338220199	13	TRPV6, MMEL1, SEMA4D
HP_ABNORMALITY_OF_AMINO_ACID_METABOLISM	0.952107279693487	0.997234207323819	0.0459538081039063	0.372565086161214	0.630473513054045	2	SLC30A10
HP_ABNORMALITY_OF_BLADDER_MORPHOLOGY	0.062953995157385	0.381416766228594	0.282013350011725	-0.40530170808271	-1.53798282794363	15	COL1A2, SALL4, LTBP4, COL5A1, FREM2, CDH11, GTF2IRD1, PLOD1, GTF2IRD2, ELN
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	0.379781420765027	0.77898058169654	0.11378726182188	-0.18933126980222	-1.06271952556461	50	KIF23, FN1, PDGFRA, NOTCH3, COL4A1, CBS, SPARC, RUNX1, PLOD1, COLGALT1, TENT5A, PIK3CA, DZIP1L, NOTCH1, ENPP1, SMO, CDKN2C, CAPN5, RARA, ELN, BCOR, ITGB3, LRP5
HP_ABNORMALITY_OF_BLOOD_VOLUME_HOMEOSTASIS	0.935185185185185	0.997234207323819	0.0452247443372884	0.308396339037008	0.614059755213681	3	MYLK, SMAD3, ELN
HP_ABNORMALITY_OF_BONE_MARROW_CELL_MORPHOLOGY	0.7735368956743	0.958968881384262	0.069119845655101	-0.165861881621411	-0.76821693204921	26	FANCD2, UBE2T, FANCI, BACH2, FANCA, RUNX1, EVC, RNASEH2A, UNC13D, RARA, BCOR, BRCA2
HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	0.0511354830042658	0.348665086082036	0.321775918075361	-0.219418972900708	-1.44330639547894	91	TRMT10A, COL1A2, FAM20C, GLI2, FN1, CREB3L1, FANCD2, CTSK, XRCC2, ANTXR2, MMP14, SEMA5A, NOTCH3, POLE, UBE2T, TONSL, FANCI, SERPINH1, FANCA, CBS, GEMIN4, PYCR1, COL5A1, SPARC, RUNX1, FGFR1, GTF2IRD1, PLOD1, BMP1, TENT5A, SEC24D, DUSP6, SLC39A14, ZNF469, FLNA, ENPP1, CDKN2C, GTF2IRD2, MMP2, P3H1, POLD1, ELN, DCHS1, EXT2, TMEM67, LRP5, BRCA2, FKBP10, GALNS, LMNA
HP_ABNORMALITY_OF_CANINE	0.1125	0.497822752974863	0.191892240384838	-0.79236276849642	-1.32802063361253	2	CHSY1, FGFR1
HP_ABNORMALITY_OF_CARDIOVASCULAR_SYSTEM_ELECTROPHYSIOLOGY	0.969924812030075	0.997234207323819	0.0338984188001938	0.104219409287138	0.585221472048371	74	TTN, CTNNA3, MT-TE, MT-TK, LDB3, A2ML1, SOX10, MT-TV, MT-TF, MT-TL1, PYGM, LDLRAP1, HBB, KCNQ1
HP_ABNORMALITY_OF_CARPAL_BONE_OSSIFICATION	0.193853427895981	0.615879857650134	0.153158808683073	-0.543142702190662	-1.29495207042602	5	GPC3, TONSL, ENPP1, LONP1
HP_ABNORMALITY_OF_CARTILAGE_OF_EXTERNAL_EAR	0.598108747044917	0.886352418319258	0.0785029047348687	-0.364395682588226	-0.868786309230904	5	TWIST1
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	0.998463901689708	1	0.0335297167141207	0.077135180182087	0.422880422445837	70	GJC2, CNTN2, PLP1, SOX10, TREM2, NTNG2, MT-TF, MT-TL1, PRODH, PDE2A, KIF1A, SLC6A1, ROGDI, SLC44A1, CLCN4, PRKCZ, NTRK2, GABRA2, ZEB2, MT-ND1, PHACTR1, ATP1A2, CACNA1E, PSAT1, SNRPN, MT-ND6, VAMP2, MT-CO1, RNF13, MT-ND4, ALDH4A1, PAX6, PRNP, PIGV
HP_ABNORMALITY_OF_CHORIORETINAL_PIGMENTATION	0.561302681992337	0.865282667275885	0.0709609456938284	0.560063643595863	0.947768070674608	2	BEST1, PAX6
HP_ABNORMALITY_OF_CHROMOSOME_SEGREGATION	0.058695652173913	0.374872178758923	0.276500599254472	-0.693073248407643	-1.5407675276444	4	ESCO2, BUB1B, RAI1, CDAN1
HP_ABNORMALITY_OF_CHROMOSOME_STABILITY	0.00253311346863949	0.0535997295922919	0.431707695803346	-0.582667731629393	-2.01804290642876	12	FANCD2, XRCC2, CDCA7, UBE2T, FANCI, FANCA, PIK3CA, SMO, BRCA2, MCM4, FANCG, ATM
HP_ABNORMALITY_OF_CIRCULATING_ADRENOCORTICOTROPIN_LEVEL	0.158695652173913	0.585303849711805	0.163180127180689	-0.589416584319971	-1.31032893775918	4	GLI2, PIK3CA, SMO
HP_ABNORMALITY_OF_CIRCULATING_ENZYME_LEVEL	0.608	0.889404738721194	0.0840745577910723	-0.16702819736456	-0.89999716788449	41	HAND2, COL6A2, COL6A1, COL6A3, DES, FAM111B, LTBP4, LAMA2, COL4A1, TMPO
HP_ABNORMALITY_OF_CIRCULATING_FIBRINOGEN	0.649557522123894	0.906560377430164	0.059989249649033	0.30103668261563	0.849424666699229	8	GNA14, HAVCR2, STXBP2, LYST, CFI, BCOR, RARA, UNC13D
HP_ABNORMALITY_OF_CIRCULATING_GLUCOCORTICOID_LEVEL	0.104018912529551	0.483843263553408	0.213927855492356	-0.601072177675403	-1.4330665915548	5	AIRE, PIK3CA, SMO, CDKN2C
HP_ABNORMALITY_OF_CIRCULATING_LEPTIN_LEVEL	0.672032193158954	0.910345628659187	0.0645031249656493	-0.64572564612326	-0.870178258723075	1	LMNA
HP_ABNORMALITY_OF_COAGULATION	0.163934426229508	0.595933039365817	0.137250779610133	0.337493428722032	1.31633462301453	20	SEMA4D, F5, A2ML1, GNA14, SLC30A10, HBB, HAVCR2, VWF, IKZF5, THBD, STXBP2, MRAS
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	0.83419689119171	0.977821947620556	0.0472587336673259	0.302270011947431	0.72860539722718	5	SPP1, CFB, CFI, LMNA, LMNB2
HP_ABNORMALITY_OF_COORDINATION	0.178977272727273	0.600821552579365	0.120433371642259	0.183954265312619	1.19685652929629	141	TTN, SLC52A3, MT-TP, NKX6-2, MT-TE, GJC2, MAG, MOG, USH1C, GJB1, MT-TK, TPK1, CAPN3, PLP1, FA2H, PRKCG, SOX10, TREM2, TUBB4A, MT-TV, MT-TF, GRID2, SNCA, ABCA2, ZNF423, MT-TL1, SLC30A10, PRODH, KCNJ10, IL10, PDE2A, CA8, KIF1A, TMEM63A, VWA1, CP, SLC6A1, ROGDI, SLC44A1, KIF1C, DNAJC6, AGTPBP1, SYT14, ZNF365, CLCN4, GFAP, CXCR4, NTRK2, GABRA2, WASHC5, ZEB2, NAT8L, MT-ND1, TLR4, PMP2, ATP1A2, FTL, MYORG, SNRPN, PIK3R5, PPP2R2B, MT-ND6, MT-CYB, SAMD9L, WFS1, MT-ND2
HP_ABNORMALITY_OF_CORNEAL_SIZE	0.0706806282722513	0.401908328874621	0.276500599254472	-0.290876337781029	-1.48760322182866	35	CENPF, TBX15, SALL4, TFAP2A, COL11A1, COL4A1, KIF11, PYCR1, CHST14, JAG1, CDH11, GTF2IRD1, PLOD1, GTF2IRD2, RAI1, BRD4, ELN, TUBB, TMEM67, BCOR
HP_ABNORMALITY_OF_CORNEAL_STROMA	0.557177615571776	0.865282667275885	0.0838361057159929	-0.265435192636825	-0.919322589084105	12	GJB2, ESCO2, AIRE
HP_ABNORMALITY_OF_CORNEAL_THICKNESS	0.171521035598705	0.597126101541468	0.132846300606183	0.3163205039565	1.28095298903222	22	CNGB1, CA4, RGR, PDE6B, SLC7A14, SLC4A11, FGFR2
