pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	0.36026936026936	0.890874260138995	0.0875697115548511	0.258164151841998	1.07584696354741	24	MBP, ITPR2, DBNDD2, TMC6, ABCA2, RGS10, QDPR
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	0.0000000000017901984506715	0.000000000413422314043035	0.910119734774459	-0.545529529116996	-3.3788944514764	65	TTK, AURKB, IQGAP3, RRM2, E2F8, DLGAP5, KIF20A, KIF4A, NUSAP1, DTL, NEK2, KIF23, EZH2, ASPM, TOP2A, NCAPH, MAD2L1, MKI67, KIF2C, CDCA8, CCNB2, AURKA, PCLAF, BATF3, CCNF, CDK1, UBE2T, CCNA2, TK1, CDCA3, LMNB1, GGH, WEE1, TMPO, BIRC5, KIF11, PRC1, ASF1B, CIP2A, CDC20, CHEK1, EMP1, SUN1, CDKN2C, TYMS, CHAF1A
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	0.00000000200192935674968	0.000000256668416475906	0.774939030136436	-0.494799696703041	-3.05662008881289	63	TTK, AURKB, E2F8, DLGAP5, KIF20A, KIFC1, KIF4A, NUSAP1, DTL, NEK2, EZH2, ASPM, TOP2A, TNFRSF9, NCAPH, MAD2L1, ERRFI1, MKI67, KIF2C, CDCA8, CCNB2, AURKA, PCLAF, BATF3, CCNF, CDK1, UBE2T, CCNA2, TK1, CDCA3, BIRC5, KIF11, PRC1, CDCA5, ASF1B
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	0.855687606112054	1	0.0453152441270267	0.159515821749248	0.692416707302115	27	MAP7, RASAL3, ITPR2, RGS10, EPHX1, SLC44A1, HPCAL1, ST6GAL1, PTPN6, IL4R, MPP1, TBCEL, RAMP1, MAP4K2
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.972151898734177	1	0.0578529757032509	-0.105781608145019	-0.534963584465215	34	F2R, ERRFI1, ANTXR2, TK1, GGH, CRYBG1, EMP1, GPC1, PLP2, ENPP1, ST3GAL6, LIMD1
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.8925	1	0.0613026075396207	-0.122262141027712	-0.645427349735936	38	KIF23, EZH2, TOP2A, FASN, SMC4
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	0.490228013029316	0.988981730633055	0.0696133438850965	0.206080979166948	0.960617392292415	35	CCL4, HSD17B3, PATL2, MYOM1, SIGLEC1, LGI4, AQP6, CA8, RUNDC3A, ARHGAP23, MSR1, UCP2, CAMK2N1
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.888888888888889	1	0.0425023180036553	0.14911575562701	0.655062472895091	28	ANKRD44, NCKAP1L, SOWAHA, DOCK10, NIPAL3, ITGAL, ARHGAP30, CBX7, HABP4, USP47, PSMB9, SLC43A2, PLA2G15, PARP14, MAN2A2, ASB1, CSNK1E, DCP1A, PHYKPL, INPPL1, CLINT1, HINFP, CYTH2, PAG1, TENT5A, ZNF12, ARHGEF39, PFKFB4
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	0.0231858213179363	0.245568090132577	0.352487857583619	-0.448267755254069	-1.66275044918854	15	MEX3B, NPAS2, COLGALT1, PAG1, MIDN, ANKRD27, ARHGAP10, ILF3, RAVER1, BRCA2
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	0.568627450980392	1	0.083129129135339	-0.203414297704758	-0.920955736298404	24	NPW, ENPEP, BUB1B, CLEC2D, DCBLD1, H4C14, RHBDF1, SH3BP2, DPF3
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN	0.0929095354523227	0.515552684195577	0.231126709673834	-0.318491776975531	-1.39719817539799	23	PSMD5, CRYBG1, GYS1, ZFP30, GRWD1, RAVER1, TRIM28, RAB3GAP2, MCM4, MED25, DHPS, CSNK1E, HNRNPL, GPRC5B, ALDH4A1, HABP4, GCSH, PRDM5, DOCK9, ANXA11, PRKCZ, KIF5B, SQOR
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP	0.650254668930391	1	0.0579754757571486	0.198258307842901	0.860587766194531	27	SLAMF6, LHFPL1, SMCO4, ISG15, CHRM4, LYL1, RAPGEF5, KIF5C, GBP5, PLAAT3, MARCHF1
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	0.24114671163575	0.778034552492856	0.111918316325105	0.293866523717929	1.21034119901679	23	CBFA2T3, RNASE1, PAPPA2, TMEM144, MYRIP, COL14A1, SASH3, EPHX2, RUNDC3B, KCNMB4
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	0.76039119804401	1	0.0679922591544058	-0.182596982162066	-0.785144794206968	22	PLEKHG2, WDR76, RPTOR, IFT140, BCOR, GTF3C2, INPPL1, MED16, DIDO1, POGZ, GOLGA3, RELT, SORL1, PSAP, ZMYND11, DNAJC27, HABP4, DOCK8, RAMP1
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	0.643207855973813	1	0.0567672387487446	0.185144784201238	0.87007136897019	36	SFN, LHFPL1, HPN, PDK4, FRMD4B, POU2F2, INPP5F, CCDC163, KCNA3, CSRP1, MXI1, IKZF5, DTNB
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	0.532399299474606	1	0.069119845655101	0.260849161408649	0.941592247249953	16	ANKRD44, ANO4, JAKMIP1, RAB11FIP4, ATP8A1, FGD2, HPCAL1, IKZF1
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.267002518891688	0.811463987091096	0.132846300606183	-0.23658654088216	-1.15921855638032	31	DLGAP5, SGO1, NUSAP1, ASPM, TOP2A, F2R
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.368292682926829	0.895370741088365	0.108394255853397	-0.22864081909269	-1.08197943028776	26	GJB2, CCN4, ETV4, ANKRD37, TEAD3, HMGXB3, SHMT2, SMIM3, GINS2, P3H1, GCN1, ILF2, DDX39A, TRIM28
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	0.0371191407946745	0.325918575395103	0.321775918075361	-0.344540645000758	-1.68816834475405	31	AURKB, TNFRSF9, BUB1B, MCM2, CDK1, GINS1, ZWILCH, ALG10, CDCA5, CDC20, GINS2, TYMS, RFC5, USP42, CBX3, MCM4, FLVCR1, FARP1, SETD6, CTPS1, DIDO1, TRA2B, POGZ, LUC7L2
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	0.234006734006734	0.770067422390161	0.11378726182188	0.292124300657678	1.21736902508959	24	ITPR2, NLRC3, DBNDD2, TPRN, PDE2A, PLAAT3, NINJ1, TCP11L2, ASPHD1, CCDC88B, BBX, TTLL7, RGS3, CBX7, AP1B1
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.00281125227358776	0.0539898779686445	0.431707695803346	-0.34806432794485	-1.89240436649982	42	AURKB, CENPF, DEPDC1B, KIFC1, KIF23, TNFRSF9, NCAPH, BUB1B, MCM2, CDCA4, CENPI, TK1, E2F2, PRC1, ASF1B, CPNE1, CDC20
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.484349258649094	0.984870445800662	0.0707899094502623	0.210831720960544	0.972478022186524	34	MMEL1, ITPR2, AJAP1, DBNDD2, CD84, PAQR8, FCGR1A, RPS6KA1, NCS1, TBC1D12, TCP11L2, ASPHD1, CLIP4, APOBR, NTRK2, SLFN12L, ADCY2, BBX, TTLL7, CBX7
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	0.00208993753637463	0.042603245511369	0.431707695803346	-0.390338093143013	-2.04113183300216	37	AURKB, CENPF, DEPDC1B, KIF20A, ESPL1, SKA3, KIF2C, BUB1B, CCNF, CENPH, CDK1, WEE1, CDK2, CPNE1, POP1, HMGB2
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	0.291118421052632	0.836881370753969	0.0985499803531691	0.259515570802263	1.15730493350406	29	GPIHBP1, IQCA1, SIGLEC1, TNFRSF10A, AJAP1, HIPK2, FCGR1A, SYNDIG1, RPS6KA1, TBC1D12, TCP11L2, CLIP4, LURAP1, RPL9, NTRK2
