pathway	pval	padj	log2err	ES	NES	size	leadingEdge
AIZARANI_LIVER_C10_MVECS_1	0.158730158730159	0.34225519478434	0.137250779610133	0.233455483198632	1.2646801067615	64	RNASE1, RAMP3, TM4SF18, IFI27, PTGDS, CLDN5, ST6GALNAC3, TMCC3, AIF1L, SOX17, CAVIN2, FAM107A, SGK1, ROBO4, PDE2A, SHROOM4, IL33, VWA1, PTPRM, CLEC14A, ARHGAP23, DYSF, APOLD1, VWF, PECAM1, PALMD, LRRC32, RGCC, SHANK3, DOCK9, THBD
AIZARANI_LIVER_C11_HEPATOCYTES_1	0.0615141955835962	0.177365930599369	0.227987202850442	0.319532375828157	1.49189849014995	35	CYP4F3, PPP1R1A, SDS, HPN, PDK4, TF, RBP4, ALDH1A1, F5, LINC00844, EPHX1, APOC1, CP, SCD, MAOB
AIZARANI_LIVER_C12_NK_NKT_CELLS_4	0.279678068410463	0.483843058350101	0.11378726182188	0.590595785282266	1.147713362079	3	GNLY, ITGAL
AIZARANI_LIVER_C13_LSECS_2	0.229329173166927	0.431238553889982	0.110122263835536	0.227196526798023	1.20005580305497	58	RNASE1, RAMP3, TM4SF18, IFI27, IFI44L, CLDN5, ST6GALNAC3, TMCC3, PDK4, APLNR, CAVIN2, MRO, HIPK2, FAM107A, SGK1, ROBO4, PDE2A, RAPGEF5, IL33, CLEC14A, TMEM255B, FEZ1, APOLD1, PECAM1, PREX2, SHANK3, TLR4, IL4R, ADD3, EDN1, ZCCHC24, LIMCH1
AIZARANI_LIVER_C14_HEPATOCYTES_2	0.00351989426809761	0.0208185199446457	0.431707695803346	0.458863362102995	1.94842984537047	26	CYP4F3, GJB1, SDS, HPN, TF, RBP4, ALDH1A1, EPHX1, APOC1, QDPR, CP, SCD, RGN, FTL, APOE, CRYL1, MGST1, CFB, CLU, ALDH4A1, TLCD4, PEBP1, MPC1, ETFB
AIZARANI_LIVER_C17_HEPATOCYTES_3	0.0210224179240312	0.0793361446704262	0.352487857583619	0.477783866907026	1.68412890254179	15	CYP4F3, HPN, TF, RBP4, F5, EPHX1, APOC1, TNFSF14, CP
AIZARANI_LIVER_C18_NK_NKT_CELLS_5	0.00063949486391433	0.00481011354161649	0.477270815362862	0.468389892260559	2.05414170356324	29	CCL3L3, IL1B, MS4A7, FPR1, RNASE6, POU2F2, SGK1, C1orf162, PLEK, FCGR3A, IGSF6, LYN, MARCHF1, C3AR1, HLA-DMA, LAPTM5, CD83, CYBB, PTPN6, ZEB2, PHACTR1, CD37, ITGAX
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	0.000318754807324271	0.00265757020082404	0.49849310876659	0.477596674497536	2.13954221310419	31	GNLY, MBP, SLAMF6, SEMA4D, PRKCQ, RGS1, RASAL3, PCED1B-AS1, PIP4K2A, SASH3, PLAAT4, TMC8, HCST, TRBC2, PRKCH, ITGAL, CORO1A, ARHGAP30, FYB1, SLA, CXCR4, IKZF1
AIZARANI_LIVER_C20_LSECS_3	0.975116640746501	0.98364535772096	0.0352404270679709	0.104864460868959	0.540997998546162	53	IFI27, SOX17, CAVIN2, MRO, HIPK2, FAM107A, SGK1, ROBO4, PDE2A, SHROOM4, RAPGEF5, IL33, ARHGAP23, APOLD1, LRRC32, PREX2, HPCAL1, SHANK3, THBD, ZEB2, ADAMTS1, IL4R
AIZARANI_LIVER_C21_STELLATE_CELLS_1	0.00768951771631832	0.0377386259552644	0.407017918923954	-0.317498834805566	-1.77561997888887	48	H19, COL6A2, COL6A1, COL1A2, COL6A3, PDGFRA, LAMB1, IGFBP5, LTBP4, NR2F2, GPC6, CRISPLD2, COL4A1, GPX3, RBP1, ANTXR1, COL5A1, PHLDA1, SPARC
AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2	0.912871287128713	0.942246728719817	0.0493910105981501	-0.312773577397533	-0.619846635197117	3	H1-10, SEC11C, RAB30
