pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.748653500897666	0.919647728158366	0.0540088272801684	0.189354416895438	0.783428387673328	23	CAVIN2, ENPP2, EPHX2, QDPR, MYLK, HSPB8, UCP2, SQOR, APOE, ADIPOR2, STOM, BCL2L13, ETFB, VEGFB, SORBS1, ACO2
HALLMARK_ALLOGRAFT_REJECTION	0.00328121956795215	0.0182289975997341	0.431707695803346	0.429917416113161	1.93663393841649	31	CCL4, IL1B, PRKCG, LY86, GCNT1, IL15, IL10, IGSF6, ITGAL, LYN, MAP4K1, FYB1, HLA-DMA, SRGN, CAPG, IL12RB1, SPI1, RPL9, PTPN6, IL18, CD86, IL4R, TLR6, APBB1, WAS, STAT1
HALLMARK_ANDROGEN_RESPONSE	0.937842778793419	0.973284518070106	0.0445070537769277	0.162099835526123	0.555012709682504	13	MAP7, SGK1, SCD, ADAMTS1, MERTK, NCOA4, HOMER2, CDC14B
HALLMARK_ANGIOGENESIS	0.132478632478632	0.275997150997151	0.178219874951973	-0.458775637890413	-1.37175293985068	8	VEGFA, LPL, VCAN, JAG1, FGFR1
HALLMARK_APICAL_JUNCTION	0.98974358974359	0.98974358974359	0.0389556479965885	0.096217730419374	0.460755501199759	37	CD274, CLDN5, CALB2, ADRA1B, CLDN11, LDLRAP1, FYB1, VWF, PECAM1, SYK, PPP2R2C, CERCAM, CD86, ITGA2, PIK3CB, MAP4K2, TRAF1, YWHAH
HALLMARK_APICAL_SURFACE	0.514957264957265	0.715218423551757	0.0810802057550866	-0.315046570307394	-0.941998709862343	8	SHROOM2, GAS1, CRYBG1, EPHB4, DCBLD2
HALLMARK_APOPTOSIS	0.0973451327433628	0.243362831858407	0.213927855492356	-0.326133210674902	-1.42866712275003	22	TOP2A, F2R, WEE1, GPX3, CDK2, BTG3, LEF1, SLC20A1, HMGB2, EMP1, MMP2, CCND2, RARA
HALLMARK_BILE_ACID_METABOLISM	0.0946196660482375	0.243362831858407	0.197822021315103	0.506167064014298	1.41532967097698	7	ALDH1A1, ABCA2, EPHX2, RXRG, SLCO1A2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0663716814159292	0.237041719342604	0.261663521711573	-0.386270142483486	-1.54301488479726	17	ERRFI1, ANTXR2, LPL, FASN, TRIB3, GPX8, CBS, JAG1
HALLMARK_COAGULATION	0.919928825622776	0.973284518070106	0.0441523058441465	0.137927323887128	0.585435309282345	25	HPN, S100A1, TF, APOC1, PLEK, CSRP1, VWF, RGN, PECAM1, THBD, ITGA2, CFB, CLU, RAPGEF3
HALLMARK_COMPLEMENT	0.228571428571429	0.394088669950739	0.119348440591015	0.276642928751512	1.20544639886757	28	F5, HPCAL4, CA2, APOC1, PLEK, DOCK10, CP, CSRP1, CASP10, LYN, ITGAM, RHOG, DOCK9, PIK3R5, LIPA, CFB, WAS, PSMB9, CLU
HALLMARK_DNA_REPAIR	0.0759493670886076	0.243362831858407	0.237793834423688	-0.428661537619807	-1.51345934470404	12	RFC3, TYMS, RFC5, POLD1, SUPT5H, POLR2H, LIG1, RFC2, VPS37B, ADCY6, POM121
HALLMARK_E2F_TARGETS	0.00000000000000105408968543984	0.0000000000000263522421359959	1.01754479730988	-0.57617591346443	-3.59414699628316	71	MYBL2, AURKB, KIF18B, RRM2, E2F8, DLGAP5, KIF4A, SPC24, ESPL1, EZH2, TOP2A, MAD2L1, MKI67, KIF2C, BUB1B, CDCA8, PTTG1, MCM2, CCNB2, CDC25A, CENPE, AURKA, SMC4, BARD1, CDK1, POLE, UBE2T, TK1, CDCA3, LMNB1, GINS1, WEE1, TMPO, MCM6, BIRC5, ATAD2, ASF1B, WDR90, MXD3, PLK1, CDC20, HMGB2, TIMELESS, CHEK1, RNASEH2A, MCM7, RFC3, MRE11, CDKN2C
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0000162439624600546	0.000162439624600546	0.575610261071129	-0.430321003068631	-2.41270430498982	48	COL6A2, VEGFA, COL1A2, PCOLCE2, MXRA5, COL6A3, IGFBP2, FN1, MMP14, LOXL2, GAS1, FMOD, COL11A1, GPX7, LAMA2, COL4A1, SERPINH1, VCAN, COL5A1, SLIT2, SPARC, CDH11, PLOD1, BMP1, COLGALT1, MCM7, GPC1, FLNA, TPM4, MMP2, P3H1, CALU, SNTB1, ELN
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.772504091653028	0.919647728158366	0.0483117581055019	0.156593213093605	0.772506386774317	41	SFN, CBFA2T3, TPD52L1, TFAP2C, GFRA1, CALB2, INPP5F, HSPB8, PLAAT3, ZNF185, THSD4, ALDH3B1, ITPK1, SNX24, SEMA3B, ADD3, GAB2, WFS1, ENDOD1, BCL2, ABLIM1, BAG1, RETREG1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.711111111111111	0.919647728158366	0.0541200569620232	0.169774980168687	0.812997310764373	37	PRLR, SFN, TPD52L1, TFAP2C, CA2, SGK1, LSR, HSPB8, PLAAT3, SNX10, ALDH3B1, ITPK1, PTPN6, SEMA3B, CYP4F11, ADD3, FABP5
HALLMARK_FATTY_ACID_METABOLISM	0.175942549371634	0.336164189667374	0.13880510939114	0.310992426860056	1.28668926528462	23	ALDH3A1, CA4, TP53INP2, GPD1, ALDH1A1, CA2, EPHX1
