Age	Overall_Survival	Sex	Residuals
ENSG00000000003	0.159391575727143	0.497023235946661	0.000328685613753867	0.343256502712442
ENSG00000000005	0.250950405458146	0.00156112227345659	0.0626617134762434	0.684826758792154
ENSG00000000419	0.105199538366878	0.00128239655311723	0.100828179072626	0.792689886007379
ENSG00000000457	0.344031751079266	0.0155194057324322	0.219855643032324	0.420593200155977
ENSG00000000460	0.14251260887801	0.027061059937217	0.120258576642288	0.710167754542484
ENSG00000000938	0.174531860434113	0.0000994280852214011	0.0310156979080387	0.794353013572627
ENSG00000000971	0.488974048687297	0.0569447314179178	0.0519731830527447	0.40210803684204
ENSG00000001036	0.530125167772537	0.152044438999672	0.112732233408339	0.205098159819451
ENSG00000001084	0.292810115566168	0.394922471121467	0.184843927609842	0.127423485702523
ENSG00000001167	0.142096705453372	0.0731740663180872	0.181004108173993	0.603725120054548
ENSG00000001460	0.14131905414848	0.0574158062162581	0.110390308122965	0.690874831512296
ENSG00000001461	0.0314636180903194	0.770805888096379	0.0663391079519984	0.131391385861303
ENSG00000001497	0.397716330716503	0.0929255798716718	0.316921467372536	0.19243662203929
ENSG00000001561	0.297327149033707	0.093897751725933	0.0652429219470505	0.54353217729331
ENSG00000001617	0.409768430795878	0.0842568545276251	0.157461140109063	0.348513574567434
ENSG00000001626	0.670815171183005	0.0587081824415279	0.0800133544965241	0.190463291878943
ENSG00000001629	0.1909838475881	0.221596468943349	0.347986357530881	0.239433325937669
ENSG00000001630	0.0567213683575929	0.00290394626972508	0.043995350035718	0.896379335336964
ENSG00000001631	0.114988357145963	0.229900505964533	0.00865734160705772	0.646453795282446
ENSG00000002016	0.336230233530093	0.529331193603331	0.0160791362772945	0.118359436589281
ENSG00000002079	0.130449317340064	0.317822130957934	0.223468685829797	0.328259865872206
ENSG00000002330	0.167675517561956	0.0611014570098912	0.00114386546640096	0.770079159961752
ENSG00000002549	0.481883270539649	0.16839841109763	0.0973271547833342	0.252391163579387
ENSG00000002586	0.242540475494186	0.352913811673832	0.0894779318047068	0.315067781027276
ENSG00000002587	0.0441246746187387	0.0066155376223232	0.567085016746854	0.382174771012085
ENSG00000002726	0.241735660675703	0.077556426044577	0.133597907813083	0.547110005466636
ENSG00000002745	0.499031589666201	0.0746500130425331	0.0572869212572603	0.369031476034006
ENSG00000002746	0.160682467923165	0.200711978245777	0.0294393886774098	0.609166165153648
ENSG00000002822	0.169039061899214	0.465386478622996	0.195798773515949	0.169775685961842
ENSG00000002834	0.445059418712737	0.0905147091395818	0.152284672817516	0.312141199330165
ENSG00000002919	0.376140097178909	0.0623104610403307	0.386729175363701	0.174820266417059
ENSG00000002933	0.291308051204118	0.0320643400608817	0.0461464779795739	0.630481130755426
ENSG00000003056	0.659699399969095	0.0112118428949241	0.0260767170706563	0.303012040065325
ENSG00000003096	0.47353444612761	0.0196320370066988	0.0153923884159618	0.491441128449729
ENSG00000003137	0.61286643563666	0.0762574579826989	0.0000118993406825658	0.310864207039958
ENSG00000003147	0.363940101289375	0.0269684245018766	0.0366828322385033	0.572408641970245
ENSG00000003249	0.257268365387446	0.014462162804308	0.0706821485953647	0.657587323212882
ENSG00000003393	0.415246533687004	0.0154856138523082	0.00126933058587842	0.567998521874809
ENSG00000003400	0.0999721320773996	0.360041058941703	0.000101971723621207	0.539884837257276
ENSG00000003402	0.0492951775378477	0.00716123489372316	0.0861005927415004	0.857442994826929
ENSG00000003436	0.402442110146321	0.186513344719941	0.0863543570998725	0.324690188033866
ENSG00000003509	0.199241028423284	0.0225737001363006	0.00552798938189449	0.772657282058521
ENSG00000003756	0.136784282720844	0.268914040623351	0.211828488153297	0.382473188502509
ENSG00000003987	0.185051560206049	0.488992953395322	0.00862504714646737	0.317330439252162
ENSG00000003989	0.624336886681037	0.0300837344682028	0.00574821676755803	0.339831162083203
ENSG00000004059	0.237258623357997	0.0992579976981757	0.00461269720101747	0.65887068174281
ENSG00000004139	0.0862290340112621	0.6075481385929	0.15737477984367	0.148848047552167
ENSG00000004142	0.222570547164912	0.0000648811836988994	0.0808009849931555	0.696563586658233
ENSG00000004399	0.119596352260601	0.0300098614347843	0.16629688485682	0.684096901447795
ENSG00000004455	0.280735853129976	0.394552636780294	0.000634814699262416	0.324076695390468
ENSG00000004468	0.435534315024475	0.0357137549005489	0.284698487000719	0.244053443074257
ENSG00000004478	0.150040186430804	0.00277408158411418	0.171771727029992	0.67541400495509
ENSG00000004487	0.0922874699505941	0.283760089744128	0.00892807955867729	0.6150243607466
ENSG00000004534	0.447885226567889	0.0106336048704306	0.000112062143147754	0.541369106418533
ENSG00000004660	0.362902332036633	0.140797083149035	0.0324578940666787	0.463842690747654
ENSG00000004700	0.248445221765026	0.00534776603913782	0.211931240488145	0.534275771707691
ENSG00000004766	0.126087316104295	0.0545910281833931	0.0251229471671986	0.794198708545114
ENSG00000004776	0.592326451907997	0.00134244294453735	0.0975612884117141	0.308769816735752
ENSG00000004777	0.430772609732913	0.0343060897258835	0.0129193064881813	0.522001994053022
ENSG00000004779	0.412044260001419	0.070007062177428	0.0939410540533576	0.424007623767795
ENSG00000004799	0.188470541559147	0.270275906339796	0.0672861917088536	0.473967360392204
ENSG00000004809	0.250950405458146	0.00156112227345661	0.0626617134762435	0.684826758792154
ENSG00000004838	0.304911236994674	0.00836916747412507	0.163632853006527	0.523086742524674
ENSG00000004846	0.276807856372037	0.196659115756152	0.00295620650565781	0.523576821366153
ENSG00000004848	0.0762716797032679	0.165830271085346	0.0166827027010186	0.741215346510368
ENSG00000004864	0.303226048883799	0.271117865861372	0.165034007259665	0.260622077995164
ENSG00000004866	0.230323547287722	0.00062574324804397	0.250734044523093	0.518316664941141
ENSG00000004897	0.227907817778078	0.204232119161591	0.0000797142601587944	0.567780348800172
ENSG00000004939	0.17031292363713	0.00475694292904046	0.0862529729076219	0.738677160526208
ENSG00000004948	0.639582502838772	0.036864047950172	0.0635016326929948	0.260051816518061
ENSG00000004961	0.034293561886912	0.133539150183605	0.199066789678417	0.633100498251066
ENSG00000004975	0.252856084867574	0.0295115533242915	0.00707360601103512	0.710558755797099
ENSG00000005007	0.187449330783904	0.00185792650968567	0.0227004808064476	0.787992261899963
ENSG00000005020	0.694047286567557	0.0423267240702019	0.204531335933822	0.0590946534284188
ENSG00000005022	0.232821878883418	0.209027942001567	0.196686442963384	0.361463736151631
ENSG00000005059	0.0772826207640091	0.282635736654679	0.0573418422369176	0.582739800344395
ENSG00000005073	0.306253553832593	0.220330975238621	0.0123806372718231	0.461034833656964
ENSG00000005075	0.0855724245927697	0.334083944627001	0.0224119427324899	0.55793168804774
ENSG00000005100	0.0832346895634268	0.28603789843736	0.19257402654658	0.438153385452633
ENSG00000005102	0.404228057644881	0.173653878253949	0.0996115508714769	0.322506513229693
ENSG00000005108	0.120749025235465	0.26741524726978	0.286807299545231	0.325028427949524
ENSG00000005156	0.227519936300488	0.233679544778343	0.121127042249905	0.417673476671265
ENSG00000005175	0.151975077339689	0.02498486379987	0.0138616266242987	0.809178432236143
ENSG00000005187	0.410096232162695	0.0384661703853336	0.00992947415629516	0.541508123295676
ENSG00000005189	0.315497655615018	0.220814553074764	0.11680884303402	0.346878948276197
ENSG00000005194	0.348903235280411	0.163038489222208	0.0811761644103214	0.40688211108706
ENSG00000005206	0.276040990613529	0.446125971057	0.113595247393196	0.164237790936274
ENSG00000005238	0.0099489987170012	0.0153206338829789	0.0668669625059045	0.907863404894115
ENSG00000005243	0.0536053276023809	0.166144122811879	0.0993004131502276	0.680950136435512
ENSG00000005249	0.131962869299461	0.0291816180221846	0.0369479020365116	0.801907610641843
ENSG00000005302	0.6203074269329	0.0246510744619713	0.0125506786395099	0.342490819965619
ENSG00000005339	0.200070446122688	0.00129049152185357	0.00216334354978866	0.79647571880567
ENSG00000005379	0.312014055129532	0.0856472804226395	0.0849790099929504	0.517359654454879
ENSG00000005381	0.0894480704990981	0.208465883362427	0.141456264608162	0.560629781530314
ENSG00000005421	0.489866109045466	0.149127510876508	0.0533278078888029	0.307678572189223
ENSG00000005436	0.0765317923709466	0.0568900307091463	0.201307671758026	0.665270505161881
ENSG00000005448	0.0206383561218102	0.849794291921615	0.0444404376894853	0.0851269142670895
ENSG00000005469	0.424607325768435	0.158964869323886	0.092172849786124	0.324254955121555
ENSG00000005471	0.189344415023631	0.134373765523742	0.0697886631495112	0.606493156303116
ENSG00000005483	0.100996659647647	0.281467348886297	0.15214918703357	0.465386804432486
ENSG00000005486	0.421105926905666	0.0783111245210261	0.126412625271905	0.374170323301403
ENSG00000005513	0.350649849285839	0.23721367644219	0.156040688137957	0.256095786134014
ENSG00000005700	0.378601947310448	0.00921314936456709	0.014654013778194	0.597530889546791
ENSG00000005801	0.0602077604288514	0.172703285741079	0.034781920133462	0.732307033696608
ENSG00000005810	0.173451469588686	0.183082204184016	0.013188488542151	0.630277837685147
ENSG00000005812	0.36432518494006	0.110288694523966	0.00000203032944678978	0.525384090206528
ENSG00000005844	0.170768070256925	0.459825498998222	0.110327493768492	0.259078936976361
ENSG00000005882	0.538983699528147	0.0716312481346735	0.00683300943996227	0.382552042897217
ENSG00000005884	0.447874481126561	0.138393262112338	0.0026244255608488	0.411107831200253
ENSG00000005889	0.227742788732741	0.288249482828491	0.186729614927731	0.297278113511037
ENSG00000005893	0.254927248136779	0.141856141349382	0.0598333034350884	0.543383307078751
ENSG00000005961	0.238939391498694	0.31566222147981	0.126201947902227	0.319196439119269
ENSG00000005981	0.149660654243846	0.459160640898634	0.102855979086139	0.288322725771381
ENSG00000006007	0.262976205782432	0.39095346873402	0.095791092882799	0.250279232600749
ENSG00000006015	0.394910461725067	0.201377648685861	0.132749806042813	0.270962083546259
ENSG00000006016	0.6193284990376	0.11927799685786	0.000341034199450587	0.261052469905089
ENSG00000006025	0.332271224257557	0.0145395343575088	0.0802746394730899	0.572914601911844
ENSG00000006042	0.193439409128708	0.0450688391807038	0.240810278377839	0.520681473312749
ENSG00000006047	0.0666081742843131	0.267403235169421	0.0157131655076819	0.650275425038584
ENSG00000006062	0.233775083518669	0.40754160523628	0.0990168453672728	0.259666465877778
ENSG00000006071	0.380209343530661	0.00000000809723707875252	0.144915845186963	0.474874803185139
ENSG00000006116	0.328736317019548	0.147972454813143	0.0587968690527215	0.464494359114587
ENSG00000006118	0.499128199878593	0.00850176768362861	0.129189946893399	0.363180085544379
ENSG00000006125	0.654155812157241	0.00222326770802044	0.0384302340368078	0.30519068609793
ENSG00000006128	0.685875817348436	0.000760040627298748	0.0189793182251684	0.294384823799097
ENSG00000006194	0.150033764023202	0.242774725698432	0.00167469622706837	0.605516814051298
ENSG00000006210	0.622475083583293	0.00932855033634012	0.0921068020956361	0.276089563984731
ENSG00000006282	0.275584845963036	0.180467341200892	0.279747911882792	0.26419990095328
ENSG00000006283	0.0904954198333983	0.206899337670401	0.268014417225718	0.434590825270483
ENSG00000006327	0.357460667579255	0.0748520515778052	0.20969334630242	0.35799393454052
ENSG00000006377	0.0173667200578682	0.168414788092015	0.0173566681435628	0.796861823706554
ENSG00000006432	0.258796979652633	0.00848801285553085	0.304245573515809	0.428469433976027
ENSG00000006451	0.248034237750098	0.280061003204127	0.0853058104235413	0.386598948622234
ENSG00000006453	0.166612314399766	0.0924298375683545	0.00495962643648415	0.735998221595396
ENSG00000006459	0.16147363877042	0.030211914551499	0.153294278498611	0.65502016817947
ENSG00000006468	0.148523088679004	0.446083455535265	0.0411162356030378	0.364277220182693
ENSG00000006530	0.175736249336711	0.43254300568473	0.013019685964582	0.378701059013977
ENSG00000006534	0.00581657356378035	0.224819100977429	0.0650782603845567	0.704286065074234
ENSG00000006555	0.277934897585823	0.147488298166839	0.0711922211331795	0.503384583114159
ENSG00000006576	0.370099655681488	0.000158152924583481	0.082914081707496	0.546828109686432
ENSG00000006606	0.867167841273182	0.037993677695134	0.007025458153686	0.0878130228779983
ENSG00000006607	0.287691847637867	0.00154207964821389	0.0859104586782965	0.624855614035622
ENSG00000006611	0.247032184382447	0.381935878144677	0.107000948541366	0.26403098893151
ENSG00000006625	0.474897482032897	0.00798304970204409	0.0489068729932726	0.468212595271786
ENSG00000006634	0.0328244858022783	0.201988664675882	0.00455442925952186	0.760632420262318
ENSG00000006638	0.294130692331961	0.138573411349218	0.11931792679379	0.447977969525031
ENSG00000006652	0.0713219736975633	0.142903528331884	0.000217209083166813	0.785557288887386
ENSG00000006695	0.0330997971877045	0.00579874460163136	0.0271753888325836	0.93392606937808
ENSG00000006704	0.122112908345572	0.449235828539473	0.13355517187756	0.295096091237394
ENSG00000006712	0.232128866686907	0.177622619419221	0.000677833036214972	0.589570680857657
ENSG00000006715	0.065405907848601	0.23092269366669	0.31900242724295	0.384668971241758
ENSG00000006740	0.160626485641119	0.196476299039697	0.0215167764107369	0.621380438908447
ENSG00000006744	0.0831785218681129	0.117765082517972	0.0654587499098622	0.733597645704053
ENSG00000006747	0.451475354079997	0.22190691757751	0.017149337965646	0.309468390376848
ENSG00000006756	0.101280744246133	0.314895737819117	0.195007819294675	0.388815698640075
ENSG00000006757	0.100632630494631	0.0807196282806339	0.0484773057910834	0.770170435433652
ENSG00000006788	0.250950405458146	0.00156112227345659	0.0626617134762435	0.684826758792154
ENSG00000006831	0.161433481008143	0.487336906080184	0.0749654209647081	0.276264191946964
ENSG00000006837	0.432126444860972	0.00872450196292466	0.171691183171993	0.387457870004111
ENSG00000007001	0.318557664310384	0.184645635254436	0.230057740764494	0.266738959670686
ENSG00000007038	0.130161995371561	0.157984057598354	0.111082540498843	0.600771406531242
ENSG00000007047	0.362903358798233	0.192079401686837	0.0592205636348997	0.38579667588003
ENSG00000007062	0.195385434225337	0.244264885813951	0.247274362466074	0.313075317494638
ENSG00000007080	0.0220696859688674	0.043063329810842	0.0387141267706584	0.896152857449632
ENSG00000007129	0.116517593495868	0.00000311646418161422	0.238830532483773	0.644648757556178
ENSG00000007168	0.217446137899458	0.118694263270286	0.0378215243439461	0.626038074486311
ENSG00000007171	0.284634641061242	0.106705179277276	0.244417533765296	0.364242645896186
ENSG00000007174	0.458271592074173	0.0013034468236869	0.147729667748515	0.392695293353624
