RMSE1	R1	RMSE2	R2	Mon	Dendritic	Macro	Neu	Eos	Treg	Tnaive	Tmem	CD8	NK	Bcell
DF2CAB_tumor_gDNA_2	0.654360787587721	-0.189184155967715	0.60952343952742	-0.183868131675771	0	0	0	0.764952833119183	0	0	0.0831105848821432	0	0	0.151936581998673	0
DF10DL_tumor_gDNA_	0.704264328330712	-0.334199015857157	0.639880262176276	-0.52374975483218	0.336338277294723	0	0.50374781798709	0.0150174833861447	0.00520511744325165	0	0.0563634689060156	0.0626720256642701	0	0.0206558093185051	0
DF11RCC_tumor_gDNA_	0.648228140497772	-0.600194057218886	0.58992409289933	-0.493825619222376	0	0.336817867582806	0	0.368307071264303	0	0.0275297531992501	0.101832964389192	0	0	0.12764416553189	0.03786817803256
SK14JR_tumor_gDNA_	0.650724212302762	-0.776147957019283	0.601508477701089	-0.718848368414495	0	0.80338128473204	0	0.110158058317462	0	0	0.0864606569504987	0	0	0	0
SF17LSM_tumor_gDNA_2	0.649172680919223	-0.241202083883988	0.602793979476254	-0.0982696797700674	0	0	0	0.809229696495275	0	0	0	0	0	0.190770303504725	0
SF20LCK_tumor_gDNA_	0.708721015803003	-0.34533081896024	0.647215233912057	-0.587836607446852	0.480172487849711	0	0.424554709146019	0.0223070524420622	0.0150315390162781	0	0.0115567657919871	0	0	0.0299879746017054	0.0163894711522372
SK21LS_tumor_gDNA_	0.697683832661544	-0.0919676680799093	0.622856776937163	-0.0478404425024609	0	0	0	0.580042867434722	0	0	0.419957132565278	0	0	0	0
DF22LM_tumor_gDNA_2	0.653820673013	-0.287057635938247	0.603405094991698	-0.154270403326805	0	0	0	0.788276763377758	0	0	0.176227203381366	0	0	0.0354960332408754	0
SF24RG_tumor_gDNA_	0.679334623341403	-0.517166357919751	0.605488723373104	-0.312905010320731	0	0	0.309436613257136	0.245741362272652	0	0	0.224080579404347	0.183502725100835	0	0.0372387199650299	0
SK30DC_tumor_gDNA_	0.663557341134999	-0.605381494048298	0.6014616676409	-0.37823568902627	0	0	0.379591193167484	0.47913941738795	0	0	0.115350686565163	0	0	0.0259187028794026	0
MA31PPD_tumor_gDNA_	0.704333558528953	-0.408973573374884	0.652316266007989	-0.542953964602484	0.457468248526563	0	0.453741310386368	0	0	0	0.0674902448823002	0	0	0.021300196204768	0
UT34SJ_tumor_gDNA_	NA	NA	NA	NA	0	0	0.20400532589283	0.266510151546366	0.00541322647647655	0	0.27358909204273	0.0134739284044514	0	0.178190238591316	0.0588180370458293
