pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_DN	0.206627680311891	0.628563097178283	0.132846300606183	-0.881443298969072	-1.19725956213163	1	HOXC9
ABBUD_LIF_SIGNALING_1_UP	0.333969465648855	0.730780966484674	0.0992333343771191	-0.592943201376936	-1.11421950641854	3	IL1R1, SOCS3, KLF10
ABBUD_LIF_SIGNALING_2_DN	0.436647173489279	0.796966998231376	0.0850427463764322	-0.763745704467354	-1.03739156991718	1	SCN1A
ABBUD_LIF_SIGNALING_2_UP	0.327485380116959	0.727228192645663	0.101713902282311	-0.81786941580756	-1.1109075079428	1	COL11A1
ABDELMOHSEN_ELAVL4_TARGETS	0.803118908382066	0.948789810506702	0.0545680646670941	-0.593642611683849	-0.806341478979492	1	ITGB1
ABE_INNER_EAR	0.333333333333333	0.730780966484674	0.100633389423036	-0.814432989690722	-1.106239829338	1	COL9A1
ABE_VEGFA_TARGETS	0.793103448275862	0.947532764782463	0.0629394692018967	0.312931034482759	0.75460794115655	5	CDR1, PODXL, HBEGF, A2M, MCM2
ABE_VEGFA_TARGETS_2HR	0.933194154488518	0.988107505234097	0.0508054139066364	0.312392426850258	0.625168747217451	3	CDR1, HBEGF, MCM2
ABE_VEGFA_TARGETS_30MIN	0.774809160305344	0.935505651462613	0.0552495663125249	-0.41394148020654	-0.77785135353747	3	MCM2, HBEGF, ALAD
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.369888475836431	0.751370806737339	0.0916795246008379	-0.528584967216437	-1.10077872843533	4	CDK4, MYC, CCNB1
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.460966542750929	0.812050572408915	0.0795564677235957	-0.484926787252369	-1.00986052453762	4	CD36, CCND1, A2M, RARA
ABRAMSON_INTERACT_WITH_AIRE	0.412213740458015	0.787868562442668	0.0870515867946735	-0.567986230636833	-1.06732202356493	3	LMNB1, MCM2, MCM6
ACEVEDO_LIVER_CANCER_DN	0.431703204047218	0.79413061512775	0.0778840111977068	-0.282437137999432	-1.02584288399697	22	MXRA5, FCN3, PCOLCE, BGN, IGFBP4, F8A1, CENPV, IGF2, PHLDA1, CCND1, HGFAC
