pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_AGPCR_PATHWAY	0.185031185031185	0.822222222222222	0.14641623786055	0.649699330065492	1.26866977109475	3	PRKCB, ARRB1
BIOCARTA_AGR_PATHWAY	0.861607142857143	0.981932555868329	0.057609110864425	0.290172709985136	0.68140354657506	5	EGFR
BIOCARTA_AHSP_PATHWAY	0.526748971193416	0.962938406581511	0.0778840111977068	0.587274290627687	0.989361453814848	2	HBB, ALAD
BIOCARTA_AKAP13_PATHWAY	0.940828402366864	0.981932555868329	0.0478299633114229	0.525773195876289	0.708480803856388	1	PRKAR2A
BIOCARTA_AKAP95_PATHWAY	0.698656429942418	0.977630537741086	0.0603786357920401	-0.438898450946644	-0.8268073864544	3	CCNB1, PRKAR2A, NCAPD2
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.646090534979424	0.962938406581511	0.0675188953767744	0.522785898538263	0.880720005738547	2	PRKAR2A, NUP85
BIOCARTA_ALK_PATHWAY	0.403225806451613	0.918633471441255	0.0913924325943768	-0.800687285223368	-1.06946144430845	1	NOG
BIOCARTA_ALTERNATIVE_PATHWAY	0.457661290322581	0.918633471441255	0.0843144320642653	-0.774054982817869	-1.03388922888617	1	CFB
BIOCARTA_AMAN_PATHWAY	0.759368836291913	0.977630537741086	0.0577308549299813	0.615979381443299	0.830033882949396	1	B3GALT1
BIOCARTA_AMI_PATHWAY	0.362403100775194	0.91636627445646	0.0952879846194844	-0.677558039552881	-1.09081107897896	2	PROS1, PLAT
BIOCARTA_ARENRF2_PATHWAY	0.177514792899408	0.822222222222222	0.14551614609036	0.904639175257732	1.21900373604702	1	PRKCB
BIOCARTA_ARF_PATHWAY	0.851224105461394	0.981932555868329	0.0502948063662358	-0.328662936354554	-0.683188660283608	4	MYC, POLR1B, E2F1
BIOCARTA_ASBCELL_PATHWAY	0.246124031007752	0.822222222222222	0.119887845115423	-0.732588134135856	-1.17940487219553	2	HLA-DRB5, HLA-DRB1
BIOCARTA_AT1R_PATHWAY	0.0706860706860707	0.822222222222222	0.245041785430996	0.735459859106426	1.43613460553803	3	EGFR, PRKCB
BIOCARTA_ATRBRCA_PATHWAY	0.928994082840237	0.981932555868329	0.0484087618816951	0.531786941580756	0.716584342462589	1	RAD1
BIOCARTA_BAD_PATHWAY	0.940828402366864	0.981932555868329	0.0478299633114229	0.525773195876289	0.708480803856388	1	PRKAR2A
BIOCARTA_BARRESTIN_PATHWAY	0.370808678500986	0.91636627445646	0.0949751525905595	0.809278350515464	1.09050476672013	1	ARRB1
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.339506172839506	0.901158360006097	0.102821842840815	0.664660361134996	1.11973119150641	2	ARRB1, HRAS
BIOCARTA_BARR_MAPK_PATHWAY	0.370808678500986	0.91636627445646	0.0949751525905595	0.809278350515464	1.09050476672013	1	ARRB1
BIOCARTA_BBCELL_PATHWAY	0.246124031007752	0.822222222222222	0.119887845115423	-0.732588134135856	-1.17940487219553	2	HLA-DRB5, HLA-DRB1
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.563953488372093	0.962938406581511	0.0713052987340038	-0.594153052450559	-0.956536111135107	2	BIRC5, ITGB1
BIOCARTA_BCR_PATHWAY	0.214137214137214	0.822222222222222	0.135002033828631	0.629087779690189	1.22842153674009	3	PRKCB, HRAS, PLCG1
BIOCARTA_BIOPEPTIDES_PATHWAY	0.214137214137214	0.822222222222222	0.135002033828631	0.629087779690189	1.22842153674009	3	PRKCB, HRAS, PLCG1
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.439539347408829	0.918633471441255	0.0838361057159929	-0.547332185886403	-1.03107744663725	3	HLA-DRB5, HLA-DRB1, ITGB2
BIOCARTA_BOTULIN_PATHWAY	0.689059500959693	0.977630537741086	0.0610363728309177	-0.444729455032366	-0.837791971244167	3	CHRNA1
