pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.30242825607064	0.845665961945032	0.114750719227023	0.415051935979798	1.12407889259886	7	EGFR, SFN, LAMB3
PID_AJDISS_2PATHWAY	0.788008565310492	0.972074018166203	0.0598603117764473	0.291639797890607	0.747180782662513	6	EGFR
PID_ALK1_PATHWAY	0.777319587628866	0.972074018166203	0.0587185879555941	-0.621134020618557	-0.83024580051248	1	ENG
PID_ALPHA_SYNUCLEIN_PATHWAY	0.945945945945946	0.972972972972973	0.0466015072985992	0.527491408934708	0.700854436667918	1	SRC
PID_AMB2_NEUTROPHILS_PATHWAY	0.0965391621129326	0.633596245355583	0.193813302725311	-0.556131651145557	-1.42991208538438	7	IL6, PLAU, MMP9, AGER, PLAT
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.33399209486166	0.845665961945032	0.101350743797099	-0.594664371772806	-1.13936622284101	3	DOK2, ETS1, ITGB1
PID_AP1_PATHWAY	0.00630315334491645	0.240777777807198	0.407017918923954	-0.700086430423509	-1.88650063821297	8	IL6, PLAU, CCL2, MMP9, COL1A2, MYC, CCND1, ETS1
PID_ARF6_PATHWAY	0.284796573875803	0.845665961945032	0.116739204791222	0.448954166744144	1.15021999094003	6	EGFR, ITGA2B, ARRB1, ADAP1
PID_ARF6_TRAFFICKING_PATHWAY	0.503006012024048	0.89644635806266	0.0789209638180035	-0.594153052450559	-0.990978656425381	2	ITGA4, ITGB1
PID_ARF_3PATHWAY	0.859073359073359	0.972972972972973	0.051011413203915	0.579896907216495	0.770483297639812	1	ARFIP2
PID_AR_NONGENOMIC_PATHWAY	0.331923890063425	0.845665961945032	0.105920292736253	0.507321274763135	1.11599227297718	4	HRAS, PLCG1, SRC, GNAI2
PID_AR_PATHWAY	0.262759924385633	0.845665961945032	0.11378726182188	-0.51162563552885	-1.18317853750303	5	CASP8, TGFB1I1, CCND1
PID_AR_TF_PATHWAY	0.945945945945946	0.972972972972973	0.0466015072985992	0.527491408934708	0.700854436667918	1	SRC
