pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ADA2_TARGET_GENES	0.741017964071856	1	0.0461379160269737	-0.185541550406038	-0.794135729472341	37	MFAP2, SEMA3A, GGN, HOXC8, IPO4, WDR25, POLR1B, ZNF391, ADAT2, E2F3, RPS2, ADGRA2, GALK2, TATDN3, DBN1, DTD1, NSA2, FAM98B, EIF4G1, KCTD5, AP3S2, UBE2I, CABLES2, NCAPD2, EIF3D, DDX39B, CCNC, BBS1, TRIM35, SSBP2, EME2, DPY19L3, HERC3, ADAP1, PROX1-AS1, MCM3AP
ADNP_TARGET_GENES	0.403846153846154	1	0.0886261133285098	-0.516795865633075	-1.0686360796696	4	TPK1, HGFAC, SCARB1, DTD1
AEBP2_TARGET_GENES	0.736401673640167	1	0.0431901998334182	-0.169140826560458	-0.820485138912428	66	FAM156A, ABCA11P, TMC4, HOXC6, ARPC4-TTLL3, PRR11, TK1, CENPA, PIF1
AHRR_TARGET_GENES	0.992857142857143	1	0.0736212741014394	0.0865598704628786	0.509890764842933	70	KSR2, HEXA-AS1, PHOSPHO1, MT-TM, OXA1L-DT, TMEM30A-DT, VIRMA-DT, RGS20, NEURL2, POLR1A, ARRB1, MT-TL1, GCAWKR, POLG, LINC-PINT, RPS6KA5, INPP4B, ADAP1, SNAI3-AS1, LARGE1, DPY19L3, AP3M2, MT-RNR2, PARD3B, APBB3, SSBP2, PLCG1, ZMYND8, TRIM35, INTS2, R3HDM2, DDX39B, TUBA1B, HNRNPUL1, OS9, AP3S2, PSMD9, RAD1, ALG8, FBL, NONO, RSU1, RPL26L1, EIF4A1, RCC2, PTRH2, TPM4, RPRD1B, GPANK1, KLF10, RARG, LINC00511, UBE2S, ZNF35, FKBP9, WDR54, H2BC15, GPC4, BMF, CDC20, ACAN, TGFA, BAMBI, SOCS3, SS18, HOXC8, PDAP1, KNL1, CROCCP2
ALKBH3_TARGET_GENES	0.68370607028754	1	0.052805004567129	-0.244269286954193	-0.820241066756544	16	IPO4, CCND1, ZNF35, ZNF391, GALK2, TATDN3, NSA2, SNHG1, FUS, AP3S2, RPL10, CCNC, BBS1, PRKG1-AS1, EME2
ALX4_TARGET_GENES	0.712406015037594	1	0.0584693210386381	-0.645189003436426	-0.859317727828094	1	CENPF
ARHGAP35_TARGET_GENES	0.686046511627907	1	0.0617054053637522	-0.448364888123924	-0.852033302018403	3	DCHS1, RPL12, UBE2I
ARID3B_TARGET_GENES	0.786516853932584	1	0.0536769600638126	-0.481513327601032	-0.789655989268583	2	MYC, RBM4
ARID5B_TARGET_GENES	0.967189728958631	1	0.0314928902471297	-0.123877917414722	-0.571261373765125	51	LEF1-AS1, ARPC4-TTLL3, MCM10, GRAP2, ITGA4, CDC6, B4GALT1, SLC26A2, BZW2, TFAP4, SPAG5, CENPJ, SNHG16, PTPN6, RECQL, GPANK1, MCM3, ITGB2, TATDN3, FAT1, TMPO, NONO, IMPDH2, RARA, IVNS1ABP, UBE2I, PKM, HDGF, CFDP1, RCOR3, BBS1, SPRYD4, DLC1, GATB, GCDH, IRF2-DT, SSBP2, HTT, CLUH, GPHN, C2orf92, CEP104, CD226, NT5E, PANK2-AS1, PI16, LINC02427, MADCAM1, CSKMT, ODAD1, TSPAN5-DT
ARNT2_TARGET_GENES	0.113095238095238	1	0.231126709673834	0.266001911600582	1.31240854021682	35	KCNK1, HEXA-AS1, PIWIL2, BCAS3, LINC02427, POLG, VAMP1, CFAP69, WDR41, AP3M2, SNX29, GCLC, SLC35E4, RPL10, PHACTR4, TBP, ARPC5, PSMD9, LRRC59, DCP1B, TBL3, IMPDH2, C14orf119, EIF4A1, EMC10, YBX1, ITGB1, ZNF391, HAUS8, POLR1B, SERTAD3, MEMO1, EHD4, SLC26A2
ASH1L_TARGET_GENES	0.876693766937669	1	0.0337507376805299	-0.143186506058741	-0.717775056499369	78	FAM156A, ABCA11P, ARPC4-TTLL3, ZNF257, PRR11, TK1, CENPA, PIF1, SS18, CDC45, ZNF837, CDCA8, AURKA, H2BC7, ZNF300, CREB3L4, BUB1, CKAP2L, SLC26A2, EHD4, H2BC15, CCNB1, WDR25, HAUS8, FASTKD3, CENPF, JPT2, CCNF, KPNA2, E2F3, LRRC45, KLF10, RAD54L, RECQL, MCM3, YBX1, HNRNPAB, SNRPF, TXNIP, ZNF436, TMPO, RTRAF, PRPF40A, RBM4, COTL1, DDOST, RNF5, FUS, UBE2I, DAP3, HNRNPA1, HNRNPUL1, ARPC3
ASXL2_TARGET_GENES	0.771367521367521	1	0.0607719451853533	0.470335339638865	0.788093469864415	2	SVOP, RHNO1
ATF5_TARGET_GENES	0.950724637681159	1	0.0653834195468773	0.124567091634506	0.553086561080289	25	MYO1A
ATF6_TARGET_GENES	0.98169014084507	1	0.0301329841082956	-0.110483380181394	-0.515379079948936	53	RNF43, CROCCP2, KNL1, SS18, FSIP1, KIF11, CDK4, MYC, KIFC1, TROAP, PLK4, BYSL, BMF, ZDHHC12, SLC26A2, EHD4
ATM_TARGET_GENES	0.613168724279835	1	0.070113215764256	0.459552495697074	0.882372609178735	3	PER2, HOMEZ, TXNIP
ATOH8_TARGET_GENES	0.915637860082305	1	0.051011413203915	0.334988369562176	0.643200862714821	3	CBFA2T3, SVOP
ATXN7L3_TARGET_GENES	0.356230031948882	1	0.0852884689790502	-0.3238163712951	-1.08735522642326	16	OSR2, RNF43, CROCCP2
AUTS2_TARGET_GENES	0.334319526627219	1	0.128142916898415	0.235710619659864	1.06918408900186	27	KCNK1, HEXA-AS1, C11orf54, BTG1-DT, TMEM30A-DT, GNAL, VIRMA-DT, POLR1A, BCR, ZNF521
BAHD1_TARGET_GENES	0.788461538461538	1	0.0597317976364411	0.460877042132416	0.772245155113943	2	PENK-AS1, ZNF75A
BANP_TARGET_GENES	0.952451708766716	1	0.0341946045318573	-0.138839197517026	-0.56774813306708	31	ARPC4-TTLL3, FSIP1, CDC6, TROAP, CDC20, NOL11, SNHG16, KPNA2, RPS2, CCT6A, RPIA, WDR46, PTRH2, THTPA, RPL12, RPS15A, SLC39A7, PSMD9, PPM1G, GORASP2, ARFIP2, CCNC, ETFDH, GOLGA8B, GCLC, PPP1R10, CAB39L, UBR3
BARHL1_TARGET_GENES	0.655523255813954	1	0.0503964322442957	-0.193674390876754	-0.858331872301642	42	PCOLCE, SOCS4, FSIP1, CCNA2, TPK1, ZGRF1, H2BC15, CCNB1, NOL11, MTHFS, SNHG16, MED7, NAGA, NOC4L, CCT6A, METTL14, RPRD1B, RPIA, SLC25A1, EIF4A1, RRM1, FAM98B, SNHG1, THTPA, HIRIP3, SRSF9, PKM, HDGF, CFDP1, RPAP2, BDP1, KCTD7, PCBP1-AS1, CCDC191, PRKG1-AS1, ARHGAP32, ZBED3-AS1, HRAS
BARX1_TARGET_GENES	0.912727272727273	1	0.0789209638180035	0.122486288848263	0.721860137522379	71	HEXA-AS1, A2ML1, MIR3677HG, PSORS1C1, LINC02832, COG3, POLG, VAMP1, EIF5A2, CFAP69, KLHL18, C15orf40, HTT, SLC16A1-AS1, MIR4453HG, MYCBP2, GCLC, CCDC191, INTS2, SPRYD4, R3HDM2, PCBP1-AS1, KCTD7, HIVEP1, ARFIP2, DDX39B, HDGF, EIF3D, RPL10, TUBA1B, OS9, FUS, SND1, TBP, NUP62, DCP1B, ACLY, HIRIP3, RTRAF, RSU1, RNPEP, C14orf119, DCAF12, DIAPH1, EMC10, HNRNPAB, CCT6A, TAGLN2, GPANK1, VCL, KPNA2, RBM7, CENPF, SPAG5, MEMO1, FXYD5, BZW2, ARHGAP11A, SLC26A2, ZDHHC12, TUBA1C, CDC20, PCGF1, KIFC1, TPK1, CDCA8, NDC80, CDC45, PIF1, CENPA, CROCCP2
BARX2_TARGET_GENES	0.814049586776859	1	0.0922597260527354	0.130963517305893	0.817488815784244	96	SEC1P, HEXA-AS1, THOC1-DT, BCAS3, PDZD7, KDM8, RGS20, KCNAB2, PAIP2B, ZNF426-DT, VAMP1, PANK2-AS1, LINC-PINT, RPS6KA5, ADAP1, SNAI3-AS1, ZNF555, KLHL18, BRPF3-AS1, LINC01232, C2orf92, GPHN, DCP2, AP3M2, CAB39L, STIL, TMEM67, DOCK4, GCDH, CCDC191, ZMYND8, TRIM35, GATB, HOMEZ, PCBP1-AS1, HNRNPUL1, HNRNPA1, UBE2I, OS9, RNF5, RPS15A, UCP2, DDOST, DCP1B, ALG8, IMPDH2, NONO, RTRAF, EIF4A1, TMPO, DIAPH1, TATDN3, WDR46, TXNIP, SNRPF, HNRNPAB, METTL14, PPFIBP1, MCM6, RECQL, RPS2, RAD54L, LRRC45, KPNA2, NKIRAS2, BTN2A2, UBE2S, CENPF, TUBB, SPAG5, POLR1B, C1orf226, CCNB1, BZW2, H2BC15, EHD4, SLC26A2, ZGRF1, BUB1, CREB3L4, CDC20, KIF2C, PLK4, H2BC7, TROAP, KIFC1, MDFI, NID2, CDCA8, ZNF837, CDC45, CDC25A, PDAP1, PIF1, CENPA, TK1
BCL6B_TARGET_GENES	0.289887640449438	1	0.118815039412263	0.459418094044187	1.17388486145075	6	PIWIL2, ANK3, MCPH1-AS1
BDP1_TARGET_GENES	0.568106312292359	1	0.100633389423036	0.170987960564526	0.939069906697756	51	TUBA8, BCYRN1, NIBAN3, CRHBP, PSORS1C1, RN7SL2, RPH3A, ARHGAP44, ANK3, VWA7, DMTN, KDM8
BPTF_TARGET_GENES	0.94006309148265	1	0.070113215764256	0.124402293039434	0.663301696994504	46	KRT222, SLC8A1-AS1
BRCA2_TARGET_GENES	0.743016759776536	1	0.042845050912155	-0.169992517753462	-0.829201564124307	69	FAM156A, MYT1, PRLR, ARPC4-TTLL3, TNFRSF10A, PIF1, CASP8, S100A4, SS18, CDC45, FSIP1, C5orf34, CFB, ZNF300, C8orf82, ATRAID, PCGF1, CREB3L4, CCND1, HAP1, BZW2, PGM3, MEMO1, POLR1B, HAUS8, SPAG5, EPHB2
BRF1_TARGET_GENES	0.827519379844961	1	0.0529129848430583	-0.36666752184859	-0.696782793788283	3	KNL1
CARM1_TARGET_GENES	0.994360902255639	1	0.0431036828790402	-0.503436426116838	-0.67051955859822	1	NONO
CASP3_TARGET_GENES	0.269547325102881	1	0.11776578836269	0.622203098106713	1.19467302703413	3	MT-TM, MT-RNR1, MT-CO1
CASP8AP2_TARGET_GENES	0.791946308724832	1	0.0483117581055019	-0.246356444740884	-0.727948445247199	10	PCDH15
CAVIN1_TARGET_GENES	0.828025477707006	1	0.0571258510018113	0.585910652920962	0.78260084036691	1	PCBP1-AS1
CBFA2T2_TARGET_GENES	0.607843137254902	1	0.106729884364606	0.151423707171899	0.938750959106484	90	KEL, KCNK1, ZDHHC20-IT1, TNNT2, CBFA2T3, ZFPM2-AS1, HNF4A, HEXA-AS1, LINC02613, NGEF, HDAC4-AS1, SYNGAP1, TMEM232, ALDH1L1, ODAD1, ITGA2B, KIAA0513, NEURL2, MCPH1-AS1, TIMM23B-AGAP6, RTN4R, SYT12, PI16, AMPD3, LINC-PINT, EIF5A2, SGIP1, L3MBTL1, WASHC5, FAM13A, CD226, C2orf92, LIFR, UBR3, PLCG1-AS1, TTLL11
CBX5_TARGET_GENES	1	1	0.0687943095604775	0.0953007998803692	0.512692113946203	48	PPP4R4, NGEF, ERFL, BCAS3, MT-TM, KIAA0513, LINC01750, MT-TL1, SVOP, B3GNTL1, RUNDC3A-AS1, MROH1, MT-RNR1, FAM133B, PCNX1, DGKG, ACTN2, ARHGAP32, SSBP2, PLCG1, R3HDM2, MUC20-OT1, CCNC, HOMEZ
CBX7_TARGET_GENES	0.550578034682081	1	0.0582216241124161	-0.20963987631515	-0.934519532515858	44	POU4F1, DPEP1, SFRP2, LEF1-AS1, CBX2, PRLR
CC2D1A_TARGET_GENES	0.758379888268156	1	0.0419081748591401	-0.167823867085145	-0.818623166027891	69	RNF43, TMC4, CTHRC1, PRR11, PIF1, PDAP1, TRPV2, RFESD, CHTF18, CDKL1, CCNA2, AURKA, TPK1, SCN1A, TGFB1I1, MMP15, CPXM1, CDC20, PTTG1, BUB1, LMNB1, TUBA1C, H2BC15, CCDC71L, MEMO1
CDC5L_TARGET_GENES	0.0886426592797784	1	0.252961123069611	0.382046537933259	1.42512307122141	17	PLK5, CBFA2T3, TP53INP2, SYNGAP1, FTCD, LINC02832
CDC73_TARGET_GENES	0.967836257309941	1	0.0649407684612899	0.117647058823529	0.531766020197135	26	SNORD15B, PRKCG, CSKMT, VIRMA-DT, MCM3AP, INPP4B, FAM133B, LIMD1-AS1, MAZ, NUP62, RBM4, ACLY, THTPA, IMPDH2, DIAPH1, PTRH2, TATDN3, TPM4, NKIRAS2, PTPN6, GRN, TEDC2, VAT1, IPO4, KNL1, CROCCP2
CDH4_TARGET_GENES	0.827519379844961	1	0.0529129848430583	-0.36666752184859	-0.696782793788283	3	KNL1
CDX1_TARGET_GENES	0.859550561797753	1	0.0495901956956338	-0.438521066208083	-0.719150990226745	2	RHBDF1, NCAPD2
CEBPE_TARGET_GENES	0.361111111111111	1	0.101350743797099	0.654342218400688	1.09641522955543	2	MCPH1-AS1, ARHGAP32
CEBPZ_TARGET_GENES	1	1	0.0267456741432593	-0.0886259697966529	-0.451889551660379	83	FAM156A, UMPS, ABCA11P, PRR11, CROCCP2, CENPA, PDAP1, CDC25A, C5orf34, IPO4, ZNF837, CDCA8, CCNA2, AURKA, TPK1, TROAP, PCGF1, CREB3L4, CKAP2L, ITGB4, ZDHHC12, SLC26A2
CENPT_TARGET_GENES	0.284615384615385	1	0.109684061970549	-0.559000861326443	-1.15590802617595	4	CD209, H2BC7, H2BC15, MCM3
CHAF1A_TARGET_GENES	0.420600858369099	1	0.0925528864684773	0.431027448941771	1.0250481259178	5	PDE8A, ZNF521, GCLC, SSBP2
CHAF1B_TARGET_GENES	0.954703832752613	1	0.0743625384422526	0.116636528028933	0.653634511537951	59	MTUS2, CBFA2T3, TRIM8-DT, PRKCB, ANKRD33B, CSKMT, SHANK1, MBP, RNF170, POLG, PI16, CEP104, MT-RNR1, LIMD1-AS1, PPP1R10, SSBP2, RCOR3, ARFIP2, EIF3D, TUBA1B, FUS, PSMD9, TRAF7, LRRC59, RPS15A, RPL12, SERINC5, COTL1, ACTB, SNHG1, TBL3, IMPDH2, ACTG1, TATDN3, TXNIP, ITGB2, HNRNPAB, TAGLN2, RPL36A, BEND3, RPS2, ADAT2, VASP, UBE2S, TUBB, ALDH1L2, IKZF1, H2BC15, TUBA1C, BMF, PHLDA1, FLOT2, C8orf82, MYC, MFAP4, IPO4, KNL1, AKR1C3, TNFRSF10A
CHAMP1_TARGET_GENES	0.257328990228013	1	0.105520936843198	-0.365833272284818	-1.18532705101983	14	KLRC4-KLRK1, KLRC4, PCOLCE, CCNA2, LAMB1, BUB1, CENPF, ZNF391
CIC_TARGET_GENES	0.577669902912621	1	0.0817515582532145	0.281485676956125	0.902637089888856	11	COG3, POLG, ARHGAP32, INTS2, PCBP1-AS1, EIF3D, HNRNPA1, PPIB, WDR46, MED7
