pathway	pval	padj	log2err	ES	NES	size	leadingEdge
MODULE_1	0.0000115899536751828	0.000703123856294422	0.593325476396405	-0.511171997601728	-2.3441277221528	46	IGHG3, IL6, MXRA5, ROR2, LUM, COL15A1, MFAP2, COL3A1, PTGIS, IGHM, PCOLCE, CCL2, COL1A2, COL6A2, CRIP1, IL1R1, PRSS23, IGFBP4, C1S, MFAP4, EMILIN1, MYC, LAMB1, NID2, CCND1, CDH11, RARRES2, EMP3, FILIP1L, PLAT, DPYSL3, FBLN1, NOTCH3, ENG, TM4SF1, KLF10, GPNMB, TRAM2, CHPF
MODULE_100	0.76010781671159	0.889350973409924	0.0728938564822936	0.171343209814223	0.784402104057015	31	CORT, KCNK1, PRKCB, GRIK1, RPH3A, ANK3, NRXN1, MBP, ADIRF, STX1A, LARGE1, HBB, MAPK10, HRAS, PCDH9
MODULE_102	0.117408906882591	0.368421052631579	0.184706471207739	-0.701982846888316	-1.35856281714562	3	UMPS
MODULE_104	0.825479930191972	0.930262212352563	0.0482149710025564	-0.218385353838342	-0.71466223426703	14	FEV, GPR17, S100A4
MODULE_105	0.0435510887772194	0.203238414293691	0.282013350011725	-0.424591355176739	-1.58327126369118	21	UMPS, LUM, COL15A1, COL3A1, CENPA, MYBL2, MKI67, CCNA2, LAMB1, VCAN, BIRC5, CCNB1, COL18A1, CCNF, SNX1, DAP, ERF, DTYMK, RRM1, HBEGF
MODULE_107	0.000377582396582166	0.00846983684858943	0.49849310876659	-0.706878121151529	-2.15258007820357	11	TPSAB1, HP, ENPEP, PLAU, MMP9, PRSS23, C1S, CFB, MMP15, C1R
MODULE_108	0.110902255639098	0.354108956602031	0.183023938384487	-0.592164901045452	-1.3752201102155	5	PLAU, CCL2, FPR3, C3AR1
MODULE_109	0.0052454827611001	0.0636451908346812	0.407017918923954	-0.686229030497928	-1.86444706727531	8	TPSAB1, HP, PLAU, PRSS23, C1S, CFB, C1R
MODULE_11	0.321428571428571	0.615789473684211	0.120433371642259	0.248267122812512	1.10186101138796	27	CORT, KCNK1, PRKCB, RPH3A, ANK3, DMTN, NRXN1, MBP, STX1A, LARGE1, MAPK10, AP3M2, HRAS, PCDH9, GCLC, DTNB
MODULE_111	0.558718861209964	0.747697299560393	0.0675188953767744	-0.30020841737466	-0.914192474223135	11	FEV, CCL2, BGN, CFB, SLC5A2
