pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	0.768	0.977300791147422	0.0578529757032509	0.475605178170153	0.79822163140033	2	ALDH1L1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	0.663934426229508	0.951740597297047	0.065981614400873	-0.652061855670103	-0.874357773425303	1	BOLA2
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS	0.590163934426229	0.951740597297047	0.0718276293603809	-0.693298969072165	-0.929653126685401	1	SLC26A2
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	0.590163934426229	0.951740597297047	0.0718276293603809	-0.693298969072165	-0.929653126685401	1	SLC26A2
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	0.99031007751938	0.999700994170801	0.0446854397644147	0.504295532646048	0.671696344059262	1	MYD88
GOBP_ACETATE_ESTER_TRANSPORT	0.0594262295081967	0.52883381727328	0.266350657088526	-0.975085910652921	-1.30750470729607	1	SLC18A3
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	0.978682170542636	0.999700994170801	0.0452247443372884	0.513745704467354	0.684283498717954	1	ACLY
GOBP_ACETYL_COA_METABOLIC_PROCESS	0.978682170542636	0.999700994170801	0.0452247443372884	0.513745704467354	0.684283498717954	1	ACLY
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	0.741735537190083	0.971465785210805	0.0610363728309177	0.407056798623064	0.790893814128315	3	SLC25A22, PER2, ITGB1
GOBP_ACID_SECRETION	0.452868852459016	0.910828750158595	0.0857844408075645	-0.776632302405498	-1.04139581973185	1	MYC
GOBP_ACROSOME_ASSEMBLY	0.264344262295082	0.828913749815389	0.118815039412263	-0.877147766323024	-1.17617824330334	1	KNL1
GOBP_ACROSOME_REACTION	0.798804780876494	0.980595232605504	0.055826471778749	-0.496990541702494	-0.800069847267393	2	B4GALT1, STX2
GOBP_ACTIN_CROSSLINK_FORMATION	0.545454545454545	0.930061737384665	0.0762797180809272	0.480035772770062	0.932688815242494	3	TNNT2
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	0.899141630901288	0.994493482597603	0.05378728077603	0.270829251311252	0.641671066824809	5	BCAS3, DMTN
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.0167437590250668	0.305319384795313	0.352487857583619	0.567897451204925	1.75005576749592	10	MYO1A, RYR2, TNNT2, KCNE5, WIPF3
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.171014492753623	0.738516680452164	0.183023938384487	0.228074319271074	1.24665448748634	57	MYO1A, RYR2, PACSIN1, NRAP, TNNT2, KCNE5, IQSEC3, WIPF3, BCAS3, ARHGAP44, ABLIM2, SHANK1, DMTN
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	0.00462941418191755	0.196505458892614	0.407017918923954	0.997422680412371	1.32851695988553	1	MYO1A
