pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_90S_PRERIBOSOME	0.404907975460123	0.934537246049661	0.0919686140000427	-0.7998017839445	-1.05833505773846	1	ENSG00000275464
GOCC_CHROMOSOME	0.689161554192229	0.934537246049661	0.0640703750499722	-0.671374297984803	-0.888393812923992	1	ENSG00000254469
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX	0.730337078651685	0.934537246049661	0.0658311958368866	-0.552288327301939	-0.825450162364555	2	ENSG00000275464
GOCC_NUCLEOLUS	0.934537246049661	0.934537246049661	0.0543434390269162	-0.321469836867729	-0.540426745242623	3	ENSG00000275464, ENSG00000254469
GOCC_PRERIBOSOME	0.404907975460123	0.934537246049661	0.0919686140000427	-0.7998017839445	-1.05833505773846	1	ENSG00000275464
GOCC_PWP2P_CONTAINING_SUBCOMPLEX_OF_90S_PRERIBOSOME	0.404907975460123	0.934537246049661	0.0919686140000427	-0.7998017839445	-1.05833505773846	1	ENSG00000275464
GOCC_RIBONUCLEOPROTEIN_COMPLEX	0.831842576028623	0.934537246049661	0.0489954089862481	0.438063528659932	0.711132326696804	3	ENSG00000283175
GOCC_SIGNAL_RECOGNITION_PARTICLE	0.339181286549708	0.934537246049661	0.0995791200495904	0.850181698050875	1.12469098103133	1	ENSG00000283175
GOCC_SMALL_SUBUNIT_PROCESSOME	0.404907975460123	0.934537246049661	0.0919686140000427	-0.7998017839445	-1.05833505773846	1	ENSG00000275464
GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX	0.859649122807018	0.934537246049661	0.0514264916187015	0.565411298315164	0.747973038288371	1	ENSG00000259697
GOCC_SPLICEOSOMAL_SNRNP_COMPLEX	0.859649122807018	0.934537246049661	0.0514264916187015	0.565411298315164	0.747973038288371	1	ENSG00000259697
GOCC_U2_SNRNP	0.859649122807018	0.934537246049661	0.0514264916187015	0.565411298315164	0.747973038288371	1	ENSG00000259697
