pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HP_11_PAIRS_OF_RIBS	0.957403651115619	0.999754726128587	0.0483117581055019	-0.298407018319739	-0.547379009249049	3	SCUBE3
HP_2_3_FINGER_SYNDACTYLY	0.295546558704453	0.932370329573559	0.110564716336619	-0.69475494411006	-1.14306421268347	2	PITX1, GPC4
HP_2_3_TOE_CUTANEOUS_SYNDACTYLY	0.856275303643725	0.989709347996858	0.053347785067549	-0.43250214961307	-0.711585766064092	2	BCOR, RPL10
HP_2_3_TOE_SYNDACTYLY	0.200361010830325	0.932370329573559	0.129442887745046	-0.534548042482478	-1.26655631436304	6	CDC45, NOG, TBX15, BCOR, NEDD4L
HP_3_METHYLGLUTACONIC_ACIDURIA	0.507070707070707	0.965007263835124	0.0789209638180035	0.769759450171821	1.01422495967151	1	POLG
HP_4_5_TOE_SYNDACTYLY	0.483234714003945	0.965007263835124	0.0802023444698144	-0.756872852233677	-1.00582122083185	1	TBX15
HP_ABDOMINAL_AORTIC_ANEURYSM	0.26369168356998	0.932370329573559	0.118287526124085	-0.635972461273666	-1.16658776231816	3	PTPN22, HLA-DRB1, HEY2
HP_ABDOMINAL_DISTENTION	0.485568760611205	0.965007263835124	0.0721797965581253	-0.339776861226144	-0.971824669662286	10	BMPER, HLA-DQB1, COL11A1, ITGB4, SLC26A2
HP_ABDOMINAL_OBESITY	0.844444444444444	0.989071841220636	0.0538979025357319	0.595360824742268	0.784439617245931	1	BBS1
HP_ABDOMINAL_PAIN	0.13838550247117	0.932370329573559	0.151148761385484	-0.372760966743297	-1.34241037946652	21	H19, IL6, KLRC4, PTPN22, TRIP13, HLA-DQB1, MYC, HLA-DRB1, BCOR, IKZF1
HP_ABNORMALITIES_OF_PLACENTA_OR_UMBILICAL_CORD	0.623445825932504	0.972628783535021	0.0621124188949471	-0.351798274035961	-0.874251001726174	7	FERMT1, IGF2, GLB1, SCARF2, ITGB2, MYD88
HP_ABNORMALITY_IRIS_MORPHOLOGY	0.748822605965463	0.98792398893185	0.0478299633114229	-0.198953446515769	-0.764212455016265	26	H19, PCDH15, COL3A1, TRIP13
HP_ABNORMALITY_OF_ABDOMINAL_SITUS	0.22020202020202	0.932370329573559	0.130777137971974	0.889175257731959	1.17156566212055	1	CPLX1
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	0.71105527638191	0.98792398893185	0.0727141077934447	0.205929653891737	0.813246476613983	19	NR3C2, HNF4A, PIGA, MT-TL1, SLC4A4, CPS1, POLG, SYNJ1
HP_ABNORMALITY_OF_ADRENAL_MORPHOLOGY	0.977732793522267	0.999754726128587	0.0472587336673259	-0.331294642695331	-0.545071399821229	2	IGF2
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	0.770089285714286	0.98792398893185	0.0629394692018967	0.297670405522002	0.760127991604462	6	NR3C2, HBB, GATB, TRAF7, SMARCB1, BCOR
HP_ABNORMALITY_OF_ALKALINE_PHOSPHATASE_LEVEL	0.02604032363645	0.860955400585002	0.352487857583619	0.682641470043959	1.62660783422382	5	HNF4A, TRPV6, PIGA, BCR
HP_ABNORMALITY_OF_BLADDER_MORPHOLOGY	0.976359338061466	0.999754726128587	0.0544555953940371	0.182089125472673	0.54144955536336	9	MYOCD, LAMB3, STX1A
