pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GSE10325_BCELL_VS_MYELOID_UP	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
GSE10325_CD4_TCELL_VS_BCELL_DN	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	0.570858283433134	0.888577561857417	0.0721797965581253	0.733481995374959	0.964783081869791	1	ENSG00000272568
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	0.514970059880239	0.888577561857417	0.0774767547848578	0.761232243145028	1.0012842771753	1	ENSG00000223561
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP	0.479041916167665	0.888577561857417	0.0813027345384498	0.775644202180377	1.020240999142	1	ENSG00000237596
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	0.694610778443114	0.888577561857417	0.0625237414724762	0.667079616782293	0.877440935960174	1	ENSG00000226754
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	0.86530612244898	0.941758055124224	0.0532386494755899	-0.428453437951683	-0.645316174837442	2	ENSG00000251364, ENSG00000274253
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	0.127744510978044	0.697151152240973	0.175204047558551	0.93797489263297	1.23376212822826	1	ENSG00000272693
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	0.694610778443114	0.888577561857417	0.0625237414724762	0.667079616782293	0.877440935960174	1	ENSG00000226754
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	0.11328125	0.697151152240973	0.184706471207739	0.882873209098152	1.30636803633361	2	ENSG00000250685
GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP	0.0538922155688623	0.697151152240973	0.276500599254472	0.977122563594318	1.2852548858914	1	ENSG00000230707
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	0.205588822355289	0.861186717474143	0.135002033828631	-0.90118103733069	-1.1978859505867	1	ENSG00000215022
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	0.624750499001996	0.888577561857417	0.0676760401641789	-0.699454905847374	-0.929743492234683	1	ENSG00000289161
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	0.0538922155688623	0.697151152240973	0.276500599254472	0.977122563594318	1.2852548858914	1	ENSG00000230707
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	0.840816326530612	0.941758055124224	0.0545680646670941	-0.451597680798242	-0.680174931799814	2	ENSG00000245651
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN	0.890219560878243	0.941758055124224	0.0509082865515105	0.56582424843079	0.744255026898991	1	ENSG00000285331
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	0.942115768463074	0.947706959967306	0.0483117581055019	-0.530517013544764	-0.705184475424428	1	ENSG00000272447
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	0.624750499001996	0.888577561857417	0.0676760401641789	-0.699454905847374	-0.929743492234683	1	ENSG00000289161
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP	0.668662674650699	0.888577561857417	0.0643583367917361	0.679715890320449	0.894062015965362	1	ENSG00000188002
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	0.668662674650699	0.888577561857417	0.0643583367917361	0.679715890320449	0.894062015965362	1	ENSG00000188002
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	0.241516966067864	0.861186717474143	0.123257226381337	0.890320449289726	1.17108001605183	1	ENSG00000275465
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	0.916015625	0.947706959967306	0.0486034247259069	0.419731659122021	0.621067688614528	2	ENSG00000188002
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.333333333333333	0.888577561857417	0.102080107662747	0.846299966963991	1.11317782230827	1	ENSG00000269001
GSE12366_GC_VS_NAIVE_BCELL_DN	0.768463073852295	0.910870566559189	0.0577308549299813	0.626362735381566	0.823884122610122	1	ENSG00000280119
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
GSE13306_RA_VS_UNTREATED_TCONV_UP	0.135728542914172	0.697151152240973	0.169570644405628	0.935414601916088	1.23039445842329	1	ENSG00000267882
GSE13306_RA_VS_UNTREATED_TREG_UP	0.686626746506986	0.888577561857417	0.0630790410571939	-0.648455566567559	-0.861953126612423	1	ENSG00000286190
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN	0.279441117764471	0.861186717474143	0.11331290842208	-0.8648414271556	-1.14958188439432	1	ENSG00000272779
