pathway	pval	padj	log2err	ES	NES	size	leadingEdge
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_DN	0.349900596421471	0.943887775551102	0.0988903007520636	0.835191608853651	1.10640236672978	1	ENSG00000232406
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_NEGATIVE	0.943887775551102	0.943887775551102	0.0484087618816951	-0.530517013544764	-0.712813154843131	1	ENSG00000272447
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_NEGATIVE	0.845238095238095	0.943887775551102	0.0530212512043078	0.5345289398812	0.773838446814006	2	ENSG00000177738
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE	0.943887775551102	0.943887775551102	0.0484087618816951	-0.530517013544764	-0.712813154843131	1	ENSG00000272447
HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_DN	0.592369477911647	0.943887775551102	0.070619624712259	-0.615417545668815	-0.944538486467201	2	ENSG00000255240
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_UP	0.194444444444444	0.943887775551102	0.13880510939114	0.84141219738099	1.21811385571823	2	ENSG00000269001
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE	0.930417495029821	0.943887775551102	0.048701086452153	0.537371985464156	0.711872138356226	1	ENSG00000215068
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP	0.943887775551102	0.943887775551102	0.0484087618816951	-0.530517013544764	-0.712813154843131	1	ENSG00000272447
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DY_AT_1DYPOSITIVE	0.351888667992048	0.943887775551102	0.0985499803531691	0.833952758506772	1.10476122601276	1	ENSG00000218416
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_28DY_UP	0.491053677932406	0.943887775551102	0.0797705918628453	0.757185332011893	1.00306520624758	1	ENSG00000254614
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN	0.606361829025845	0.943887775551102	0.0689567351672811	0.700404691113313	0.927846256717126	1	ENSG00000273015
