pathway	pval	padj	log2err	ES	NES	size	leadingEdge
AIZARANI_LIVER_C30_HEPATOCYTES_4	0.430255402750491	0.721807465618861	0.0862865626267245	0.783366369342583	1.04802298595569	1	ENSG00000234072
CUI_DEVELOPING_HEART_5TH_WEEK_VENTRICULAR_CARDIOMYOCYTE	0.593320235756385	0.756370071536766	0.0694481442003175	0.700404691113313	0.93703309777514	1	ENSG00000273015
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	0.674089068825911	0.781176910842923	0.0646484568421928	-0.648455566567559	-0.878230198445215	1	ENSG00000286190
DESCARTES_FETAL_ADRENAL_ADRENOCORTICAL_CELLS	0.786792452830189	0.858786533481317	0.0540088272801684	0.531232463409587	0.797537400769344	2	ENSG00000233818
DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS	0.0550098231827112	0.5368815859975	0.271288554688953	0.966922695738355	1.29359294760951	1	ENSG00000234688
DESCARTES_FETAL_ADRENAL_CSH1_CSH2_POSITIVE_CELLS	0.382189239332096	0.721807465618861	0.0897104652742981	0.61048623873057	1.08696728242497	4	ENSG00000224271, ENSG00000218416
DESCARTES_FETAL_ADRENAL_ERYTHROBLASTS	0.339882121807466	0.721807465618861	0.0999276973731092	0.826684836471754	1.10597639197928	1	ENSG00000226026
DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS	0.593320235756385	0.756370071536766	0.0694481442003175	0.701065411298315	0.937917039144423	1	ENSG00000267568
DESCARTES_FETAL_ADRENAL_MEGAKARYOCYTES	0.477406679764244	0.721807465618861	0.0806388495950661	0.757185332011893	1.01299680919786	1	ENSG00000254614
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS	0.447368421052632	0.721807465618861	0.0857844408075645	-0.765485629335976	-1.03672885363172	1	ENSG00000231252
DESCARTES_FETAL_ADRENAL_SLC26A4_PAEP_POSITIVE_CELLS	0.451866404715128	0.721807465618861	0.0835990603684159	0.772877436405682	1.03399041671833	1	ENSG00000230212
DESCARTES_FETAL_ADRENAL_STROMAL_CELLS	0.844793713163065	0.904362500629691	0.0525898950623616	0.577180376610505	0.772178032403934	1	ENSG00000225649
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	0.449901768172888	0.721807465618861	0.0838361057159929	0.774983481995375	1.03680797983291	1	ENSG00000233251
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	0.484090909090909	0.721807465618861	0.0878312634480124	-0.516153331673981	-1.00365698947824	5	ENSG00000232528, ENSG00000234869
DESCARTES_FETAL_CEREBELLUM_INHIBITORY_INTERNEURONS	0.251012145748988	0.721807465618861	0.121543282035469	-0.865089197224975	-1.17162608592172	1	ENSG00000228021
DESCARTES_FETAL_CEREBELLUM_MICROGLIA	0.543778801843318	0.744352950064214	0.0822054920415869	-0.436600175485688	-0.942342732874846	7	ENSG00000232759, ENSG00000231170
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	0.49705304518664	0.721807465618861	0.0785029047348687	0.752436405682194	1.00664348060615	1	ENSG00000207955
DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS	0.654545454545455	0.781176910842923	0.0609039347452418	0.527812993125267	0.874812434145176	3	ENSG00000250863
DESCARTES_FETAL_CEREBRUM_ASTROCYTES	0.0436057408071868	0.5368815859975	0.321775918075361	0.79449030214143	1.49481691986933	5	ENSG00000228140, ENSG00000234329, ENSG00000226690, ENSG00000188897
DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS	0.233791748526523	0.721807465618861	0.124434168630393	0.882433102081269	1.1805589450125	1	ENSG00000233926
DESCARTES_FETAL_CEREBRUM_MEGAKARYOCYTES	0.778761061946903	0.856930513907559	0.0619762736001998	-0.435834267185194	-0.737515362305093	3	ENSG00000239482
DESCARTES_FETAL_CEREBRUM_MICROGLIA	0.370454545454545	0.721807465618861	0.103576326612592	-0.571553585703352	-1.11138244384103	5	ENSG00000232759
DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES	0.49705304518664	0.721807465618861	0.0785029047348687	0.752436405682194	1.00664348060615	1	ENSG00000207955
DESCARTES_FETAL_CEREBRUM_VASCULAR_ENDOTHELIAL_CELLS	0.654545454545455	0.781176910842923	0.0609039347452418	0.527812993125267	0.874812434145176	3	ENSG00000250863
DESCARTES_FETAL_EYE_ASTROCYTES	0.0434202738168592	0.5368815859975	0.321775918075361	0.977329038652131	1.30751502417571	1	ENSG00000231609
DESCARTES_FETAL_EYE_BIPOLAR_CELLS	0.347740667976424	0.721807465618861	0.0985499803531691	0.821894615130492	1.09956781705198	1	ENSG00000230392
DESCARTES_FETAL_EYE_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS	0.179245283018868	0.721807465618861	0.141225119642531	0.833987198017758	1.25206200297507	2	ENSG00000239219, ENSG00000218416
DESCARTES_FETAL_EYE_GANGLION_CELLS	0.0825147347740668	0.543052638710115	0.219250346703755	0.955979517674265	1.27895266868077	1	ENSG00000271776
DESCARTES_FETAL_EYE_MICROGLIA	0.350202429149798	0.721807465618861	0.0999276973731092	-0.823463825569871	-1.11525112317366	1	ENSG00000215302
DESCARTES_FETAL_EYE_PDE11A_FAM19A2_POSITIVE_CELLS	0.384905660377359	0.721807465618861	0.0902635484340068	0.726096638552391	1.09008629122868	2	ENSG00000188897
DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS	0.615094339622641	0.766572796395382	0.0656813601934011	0.622300227131943	0.934257109325645	2	ENSG00000260228, ENSG00000234352
DESCARTES_FETAL_EYE_SMOOTH_MUSCLE_CELLS	0.367387033398821	0.721807465618861	0.0952879846194844	0.812479352494219	1.0869716525397	1	ENSG00000241956
DESCARTES_FETAL_HEART_CLC_IL5RA_POSITIVE_CELLS	0.012357267885446	0.433056228431717	0.380730400722792	0.993723158242484	1.32944781940104	1	ENSG00000268650
DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS	0.0369221105980434	0.5368815859975	0.321775918075361	0.979765444334324	1.31077455797494	1	ENSG00000268686
DESCARTES_FETAL_HEART_ERYTHROBLASTS	0.839622641509434	0.904362500629691	0.051011413203915	0.494837527894568	0.742897814013824	2	ENSG00000255284
DESCARTES_FETAL_HEART_LYMPHOID_CELLS	0.420432220039293	0.721807465618861	0.0875697115548511	0.790675586389164	1.05780158735338	1	ENSG00000197099
DESCARTES_FETAL_HEART_MEGAKARYOCYTES	0.0943025540275049	0.543052638710115	0.204294756516886	0.949826560951437	1.27072096467932	1	ENSG00000255367
DESCARTES_FETAL_HEART_SMOOTH_MUSCLE_CELLS	0.0707269155206287	0.5368815859975	0.237793834423688	0.960934919061777	1.28558222895039	1	ENSG00000238290
DESCARTES_FETAL_HEART_VASCULAR_ENDOTHELIAL_CELLS	0.449901768172888	0.721807465618861	0.0838361057159929	0.774983481995375	1.03680797983291	1	ENSG00000233251
DESCARTES_FETAL_HEART_VISCERAL_NEURONS	0.532075471698113	0.742716066676005	0.0728938564822936	0.660293206690068	0.991295833897919	2	ENSG00000241956, ENSG00000260917
DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS	0.926415094339623	0.966945754716981	0.0465084048719156	0.409300773558871	0.614481790103516	2	ENSG00000254718
DESCARTES_FETAL_INTESTINE_ENS_GLIA	0.379174852652259	0.721807465618861	0.0934449219410994	0.807565246118269	1.08039733860566	1	ENSG00000188897
DESCARTES_FETAL_INTESTINE_ENS_NEURONS	0.0870445344129555	0.543052638710115	0.216542836735348	-0.95383217707301	-1.29181437455821	1	ENSG00000228400
DESCARTES_FETAL_INTESTINE_ERYTHROBLASTS	0.776031434184676	0.856930513907559	0.0565299525056311	0.612198546415593	0.819026924975912	1	ENSG00000245552
DESCARTES_FETAL_INTESTINE_MESOTHELIAL_CELLS	0.273584905660377	0.721807465618861	0.11101149245045	0.775676233739418	1.16451996047937	2	ENSG00000257337, ENSG00000237596
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	0.779960707269155	0.856930513907559	0.0562940749700968	0.609225305583086	0.815049188814141	1	ENSG00000255980
DESCARTES_FETAL_INTESTINE_STROMAL_CELLS	0.469548133595285	0.721807465618861	0.0815265143256594	0.761232243145028	1.01841095008472	1	ENSG00000223561
DESCARTES_FETAL_KIDNEY_ERYTHROBLASTS	0.0943025540275049	0.543052638710115	0.204294756516886	0.950569871159564	1.27171539871977	1	ENSG00000234350
DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS	0.296610169491525	0.721807465618861	0.11331290842208	-0.7647609931105	-1.17727080251869	2	ENSG00000251002
DESCARTES_FETAL_KIDNEY_MEGAKARYOCYTES	0.477406679764244	0.721807465618861	0.0806388495950661	0.757185332011893	1.01299680919786	1	ENSG00000254614
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	0.167272727272727	0.721807465618861	0.143758989039275	0.767592259400554	1.27222948586608	3	ENSG00000233611, ENSG00000241956
DESCARTES_FETAL_KIDNEY_MYELOID_CELLS	0.121818181818182	0.635738636363636	0.170932335370056	0.798047436655276	1.32270677250651	3	ENSG00000234432, ENSG00000238005
DESCARTES_FETAL_KIDNEY_STROMAL_CELLS	0.24950884086444	0.721807465618861	0.119887845115423	0.874669639907499	1.17017263392343	1	ENSG00000248540
DESCARTES_FETAL_KIDNEY_URETERIC_BUD_CELLS	0.027019780042326	0.501367029674272	0.352487857583619	0.817834050332392	1.53873769483029	5	ENSG00000238276, ENSG00000250685, ENSG00000258471, ENSG00000218416
DESCARTES_FETAL_LIVER_ERYTHROBLASTS	0.00396548660431617	0.433056228431717	0.407017918923954	0.997893954410307	1.33502769929463	1	ENSG00000261697
DESCARTES_FETAL_LIVER_HEPATOBLASTS	0.322641509433962	0.721807465618861	0.100633389423036	0.752632665703077	1.12992473405401	2	ENSG00000204929, ENSG00000243818
DESCARTES_FETAL_LIVER_LYMPHOID_CELLS	0.593320235756385	0.756370071536766	0.0694481442003175	0.701065411298315	0.937917039144423	1	ENSG00000267568
DESCARTES_FETAL_LIVER_MEGAKARYOCYTES	0.455795677799607	0.721807465618861	0.083129129135339	0.771762471093492	1.03249876565766	1	ENSG00000229727
DESCARTES_FETAL_LIVER_MESOTHELIAL_CELLS	0.29622641509434	0.721807465618861	0.105920292736253	0.767446422359863	1.15216457403641	2	ENSG00000267327
