pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.590339892665474	0.815552394499763	0.0650877566917313	-0.318614718614719	-0.918536648948023	10	COL15A1, CD36, DRAM2, SCARB1, SLC25A1, ACLY, UCP2, GPHN, LIFR, MAP4K3
HALLMARK_ALLOGRAFT_REJECTION	0.719449225473322	0.851406671892692	0.0538979025357319	-0.250465143880043	-0.795681903993422	13	IL6, CCL2, MMP9, IL2RB
HALLMARK_ANDROGEN_RESPONSE	0.785585585585586	0.892710892710893	0.0519512476197082	-0.27571305099395	-0.747059507296628	8	B4GALT1, CCND1, SLC26A2, PGM3, UBE2I, LIFR, HERC3, INPP4B
HALLMARK_ANGIOGENESIS	0.00993854069308329	0.160024820051999	0.380730400722792	-0.739655172413793	-1.7036040025657	5	LUM, COL3A1, S100A4, VCAN, STC1
HALLMARK_APICAL_JUNCTION	0.940700808625337	0.971548840530687	0.0623861492893626	0.147985989492119	0.597725187392589	23	NRAP, EGFR, LAMB3, MADCAM1, HRAS, ACTN2, PLCG1, PFN1, SRC, ACTB, GNAI2, RSU1, ACTG1, VCL, ITGB1, VASP, ITGB4, CDH11, VCAN, B4GALT1, COL9A1, CD209, MMP9
HALLMARK_APICAL_SURFACE	0.646067415730337	0.850088704908338	0.0629394692018967	-0.354349344617791	-0.864916680884233	6	IL2RB, AFAP1L2, B4GALT1, FLOT2
HALLMARK_APOPTOSIS	0.025142994217302	0.179592815837871	0.352487857583619	-0.501613456185265	-1.64383967132766	14	IL6, LUM, CASP8, HGF, BGN, CCND1, BMF, LEF1, PLAT
HALLMARK_BILE_ACID_METABOLISM	0.187633262260128	0.401985458612975	0.147331213699377	0.657533345058	1.29592894551826	3	NR3C2, ABCD2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.947368421052632	0.971548840530687	0.048701086452153	-0.527491408934708	-0.705222620093237	1	ACTG1
HALLMARK_COAGULATION	0.0192029784062398	0.160024820051999	0.352487857583619	-0.500366897285552	-1.67157287606757	15	LEFTY2, PLAU, MMP9, PRSS23, C1S, PROS1, CFB, MMP15, C1R, CTSH, CAPN5, PLAT
HALLMARK_COMPLEMENT	0.192953020134228	0.401985458612975	0.126875729929857	-0.381983318109724	-1.27608951976317	15	IL6, CD36, C1S, CFB, MMP15, C1R, CTSH
HALLMARK_DNA_REPAIR	0.274952919020716	0.47448275862069	0.110564716336619	-0.57385548716359	-1.1931621261714	4	UMPS
HALLMARK_E2F_TARGETS	0.0128064987841562	0.160024820051999	0.380730400722792	-0.451647544150592	-1.77404853956793	27	TK1, TRIP13, CDC25A, MYBL2, CDK4, MKI67, CDCA8, MYC, AURKA, PLK4, KIF2C, CDC20, PTTG1, BIRC5, LMNB1, MCM2, SPAG5, TUBB, UBE2S, KPNA2, MCM6, MCM3, RAN, TMPO
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000202508308597768	0.00896636592807297	0.518848077743792	-0.562731524651706	-2.16161684210952	25	IL6, MXRA5, LUM, CTHRC1, COL3A1, PCOLCE, COL1A2, COL6A2, BGN, COL11A1, IGFBP4, NID2, VCAN, FZD8, LOXL2, CDH11, EMP3, DPYSL3, GPX7, FBLN1, TAGLN
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.565365025466893	0.815552394499763	0.0646484568421928	-0.269077520886838	-0.915980486740635	17	KCNK5, PRSS23, IGFBP4, MYC, B4GALT1, OLFML3, CCND1, SLC26A2
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0513245033112583	0.197401935812532	0.257206466468838	-0.45022198530856	-1.57882408806266	18	KCNK5, TPSAB1, ST6GALNAC2, PRLR, PRSS23, CDC6, IGFBP4, PLK4, CDC20, CCND1, SLC26A2
HALLMARK_FATTY_ACID_METABOLISM	0.952117863720074	0.971548840530687	0.0441523058441465	-0.248340885014685	-0.571988869260609	5	CD36
HALLMARK_G2M_CHECKPOINT	0.000358654637122919	0.00896636592807297	0.49849310876659	-0.471903738470107	-2.05941497867502	41	KNL1, CENPA, CDC25A, SS18, CDC45, NDC80, KIF11, CDC6, MYBL2, CDK4, TTK, MKI67, MYC, CCNA2, AURKA, TROAP, PLK4, KIF2C, CDC20, PTTG1, BIRC5, BUB1, CCND1, LMNB1, MCM2, CENPF, UBE2S, E2F1, CCNF, MARCKS, KPNA2, E2F3, RAD54L, MCM6, MCM3
HALLMARK_GLYCOLYSIS	0.573553719008264	0.815552394499763	0.0626618230932491	-0.265947236083073	-0.907955354703696	16	CENPA, AURKA, B4GALT1, TGFA, VCAN, STC1, CAPN5, GPC4
HALLMARK_HEDGEHOG_SIGNALING	0.724696356275304	0.851406671892692	0.0611692626746689	-0.634879725085911	-0.848794000405378	1	HEY2
HALLMARK_HEME_METABOLISM	0.133016627078385	0.32718385367392	0.188204146308491	0.398651718885523	1.3544151426719	13	KEL, FTCD, ALDH1L1, DMTN, SYNJ1, HBB, GCLC, ALAD, UBAC1, HDGF, PSMD9, UCP2
