Age	Sex	Overall_Survival	Residuals
ENSG00000000003	0.041480347497094	0.222252339438777	0.124858470172125	0.611408842892004
ENSG00000000005	0.142767059928829	0.0500069980125743	0.180025192845268	0.627200749213329
ENSG00000000419	0.113795282580455	0.00130380221222901	0.0577510722722745	0.827149842935041
ENSG00000000457	0.613136653311882	0.0673472364499419	0.0562568593259076	0.263259250912268
ENSG00000000460	0.116905504164001	0.104653164387174	0.289077251548402	0.489364079900423
ENSG00000000938	0.255901369967148	0.134182193188148	0.0676194275672367	0.542297009277467
ENSG00000000971	0.221276472007233	0.0170360065401198	0.0519273682652265	0.709760153187421
ENSG00000001036	0.107055372299438	0.0864328272954469	0.0906740556793814	0.715837744725734
ENSG00000001084	0.226636343954557	0.000820604227688938	0.480553417666924	0.29198963415083
ENSG00000001167	0.284358915298919	0.100235920471459	0.210636333974764	0.404768830254859
ENSG00000001460	0.0553590477187806	0.00062059365952626	0.00656519883736356	0.937455159784329
ENSG00000001461	0.178432689802844	0.0708129831779603	0.0136034934516277	0.737150833567568
ENSG00000001497	0.207894853633338	0.00735265608865968	0.0874465974962041	0.697305892781798
ENSG00000001561	0.138083717439026	0.367974331119998	0.0702218494760331	0.423720101964942
ENSG00000001617	0.522626416673641	0.00634122839521648	0.0508311823772016	0.420201172553941
ENSG00000001626	0.236915638234211	0.071964576857916	0.155282991961307	0.535836792946567
ENSG00000001629	0.193118186129218	0.0949921632651742	0.0594169230455489	0.652472727560058
ENSG00000001630	0.386616486546246	0.000239285172642472	0.0214805568175579	0.591663671463553
ENSG00000001631	0.298597774795618	0.120783212894441	0.00718402624957666	0.573434986060364
ENSG00000002016	0.175905477085188	0.00179379476376782	0.126622993396117	0.695677734754927
ENSG00000002330	0.345575008353796	0.0489810502066028	0.0724809598560615	0.53296298158354
ENSG00000002549	0.0712715483043392	0.12272867521857	0.00905336531340145	0.796946411163689
ENSG00000002586	0.0570440553750776	0.00468306009713308	0.0696119507520911	0.868660933775698
ENSG00000002587	0.40454460310482	0.12514914507025	0.00399892219893206	0.466307329625998
ENSG00000002726	0.171985379094372	0.139062441715586	0.00698172177960856	0.681970457410434
ENSG00000002745	0.216523697413746	0.0804280805732705	0.146796726319084	0.556251495693899
ENSG00000002746	0.143306905315596	0.000943513429636313	0.00594746536346616	0.849802115891302
ENSG00000002822	0.53953061400658	0.302778925373183	0.0109950829648088	0.146695377655428
ENSG00000002834	0.257509343022127	0.00773437845333769	0.0243473237284631	0.710408954796072
ENSG00000002919	0.137298753880546	0.205120619991988	0.0306121390806283	0.626968487046837
ENSG00000002933	0.177412913419798	0.177940923592423	0.013250470261391	0.631395692726389
ENSG00000003056	0.159138124029324	0.127116864352286	0.330637325573998	0.383107686044391
ENSG00000003096	0.255655313648017	0.0189345673793353	0.249010182131464	0.476399936841183
ENSG00000003137	0.0973563733716138	0.00657224410725079	0.0994778532458418	0.796593529275294
ENSG00000003147	0.30586616187894	0.027078216144806	0.0474098620524772	0.619645759923777
ENSG00000003249	0.367939083922513	0.00120195240924613	0.0749330104780952	0.555925953190146
ENSG00000003393	0.0932062461749689	0.0279305866011997	0.301139319810083	0.577723847413748
ENSG00000003400	0.0818294690272205	0.0010971627911528	0.136542180220916	0.780531187960711
ENSG00000003402	0.273485727751766	0.131402305130941	0.265808261343447	0.329303705773847
ENSG00000003436	0.0566165984092356	0.0839798808579607	0.115659301667096	0.743744219065708
ENSG00000003509	0.326782029222583	0.0539340778243283	0.110817166981512	0.508466725971577
ENSG00000003756	0.502343561744767	0.263187167410705	0.0462249429689903	0.188244327875537
ENSG00000003987	0.148441763575305	0.114473255156012	0.0129606041354404	0.724124377133243
ENSG00000003989	0.26223279481628	0.00529551154130719	0.0705193310542274	0.661952362588186
ENSG00000004059	0.264442961374328	0.367084899436653	0.00334102919442922	0.36513110999459
ENSG00000004139	0.165015468250493	0.0462052216296946	0.0144042120204398	0.774375098099372
ENSG00000004142	0.371933928782097	0.208685327773952	0.125367748968201	0.29401299447575
ENSG00000004399	0.281674692419325	0.223841603425241	0.0601600918631195	0.434323612292314
ENSG00000004455	0.0254330263702565	0.00332754553670336	0.139586028809924	0.831653399283116
ENSG00000004468	0.501741911635793	0.000137597371500602	0.146331769242201	0.351788721750505
ENSG00000004478	0.0583208597238777	0.00623276455378663	0.00863093151044109	0.926815444211895
ENSG00000004487	0.168860143236241	0.266581710240808	0.0106028943893539	0.553955252133597
ENSG00000004534	0.242072113901011	0.53194935927973	0.0637352070159561	0.162243319803303
ENSG00000004660	0.154167560125202	0.089405008604898	0.053938922939126	0.702488508330774
ENSG00000004700	0.325877419154791	0.06681132453292	0.277453815033222	0.329857441279067
ENSG00000004766	0.327638784730685	0.0725326378618922	0.0000330010278801768	0.599795576379543
ENSG00000004776	0.22622362803411	0.138558057736109	0.117601383857392	0.517616930372389
ENSG00000004777	0.0250450328377898	0.319027875820959	0.111759246944068	0.544167844397183
ENSG00000004779	0.214490735432644	0.434241247007552	0.0687338069804809	0.282534210579322
ENSG00000004799	0.260905968089311	0.132995705040761	0.0308085392229181	0.57528978764701
ENSG00000004809	0.062462606744608	0.113346404330223	0.00128557996245908	0.82290540896271
ENSG00000004838	0.147632473281029	0.0682404369934426	0.248320859333771	0.535806230391757
ENSG00000004846	0.28573688166311	0.0454495390929345	0.0275722291750629	0.641241350068893
ENSG00000004848	0.257789800260745	0.137639919647517	0.0353599896601092	0.569210290431629
ENSG00000004864	0.346262743403835	0.19029924575139	0.103369930868505	0.36006807997627
ENSG00000004866	0.495689535339128	0.0141701863505312	0.197065808866707	0.293074469443635
ENSG00000004897	0.0743313897805972	0.0826161548898621	0.267045886201992	0.576006569127549
ENSG00000004939	0.294199930525075	0.268968932171536	0.0555370140714049	0.381294123231984
ENSG00000004948	0.118210143911233	0.393563841928854	0.117439897668806	0.370786116491107
ENSG00000004961	0.360947541678167	0.178296081845863	0.0599955594652603	0.40076081701071
ENSG00000004975	0.411235795106504	0.258022428273835	0.0313935133522188	0.299348263267442
ENSG00000005001	0.135819563802062	0.00209319419911826	0.332035471285867	0.530051770712953
ENSG00000005007	0.672065669009453	0.0254040306449647	0.0906098721293671	0.211920428216216
ENSG00000005020	0.326899993766264	0.00140645968507352	0.0157704084247665	0.655923138123896
ENSG00000005022	0.252354312627081	0.211891572163578	0.303098015866934	0.232656099342407
ENSG00000005059	0.151772500596445	0.0226015428359017	0.193068207064466	0.632557749503188
ENSG00000005073	0.257982281800489	0.0180022234886876	0.0303462501323413	0.693669244578482
ENSG00000005075	0.144573348194141	0.207144737036663	0.0182369433832977	0.630044971385899
ENSG00000005100	0.31300393427544	0.160183373292974	0.0710266295636675	0.455786062867919
ENSG00000005102	0.155290809896655	0.321971293144228	0.00499510090029171	0.517742796058826
ENSG00000005108	0.0480489936625605	0.22640440640666	0.025616326007462	0.699930273923317
ENSG00000005156	0.107604343353571	0.000362879483459499	0.000104015456327018	0.891928761706643
ENSG00000005175	0.16100243922303	0.613052577527567	0.00928688553144236	0.21665809771796
ENSG00000005187	0.324042281593464	0.0732052653684877	0.222836777860583	0.379915675177465
ENSG00000005189	0.194499516214726	0.243268659404748	0.34192925063449	0.220302573746037
ENSG00000005194	0.128226820094482	0.175310342108584	0.335006809407828	0.361456028389106
ENSG00000005206	0.0903285753737258	0.252405619719956	0.0322219788105953	0.625043826095723
ENSG00000005238	0.44874967978969	0.0139562165480744	0.0362669805062137	0.501027123156022
ENSG00000005243	0.0645205005310694	0.108924619432998	0.087998644427883	0.73855623560805
ENSG00000005249	0.201599547867962	0.232938247748004	0.0721013418361537	0.49336086254788
ENSG00000005302	0.454190020208876	0.0672073749825795	0.164277858164036	0.314324746644509
ENSG00000005339	0.634493150458656	0.203601252445313	0.0139596750620814	0.14794592203395
ENSG00000005379	0.215892814256389	0.0866836434676523	0.0207410824590122	0.676682459816947
ENSG00000005381	0.175952488009919	0.0553829070837196	0.0906120644442905	0.678052540462071
ENSG00000005421	0.15250835660653	0.00967875202694025	0.268219624345441	0.569593267021089
ENSG00000005436	0.119846378946416	0.00902638756151869	0.297206674152045	0.57392055934002
ENSG00000005448	0.418591509887029	0.0177209980849559	0.436213058307021	0.127474433720994
ENSG00000005469	0.225508612575901	0.326772811158228	0.17834452032584	0.26937405594003
ENSG00000005471	0.0644547657151059	0.559974932142014	0.0142467574310211	0.361323544711859
ENSG00000005483	0.141145763043821	0.190838621286646	0.0888290321531707	0.579186583516362
ENSG00000005486	0.610501280320803	0.111253664593498	0.0002253508537839	0.278019704231915
ENSG00000005513	0.226277117391473	0.00154090416720442	0.102425802292594	0.669756176148729
ENSG00000005700	0.210670418610334	0.0543661635648737	0.119331455847885	0.615631961976907
ENSG00000005801	0.800998212791483	0.0319187943655671	0.0383102903217757	0.128772702521175
ENSG00000005810	0.0319934638859929	0.00819875102017348	0.356104051391085	0.603703733702748
ENSG00000005812	0.301200278382417	0.0964649130473998	0.287873167872774	0.314461640697409
ENSG00000005844	0.243665072391018	0.0294786174475818	0.00704722896095885	0.719809081200442
ENSG00000005882	0.341753715329038	0.378607599222926	0.0731642661210386	0.206474419326998
ENSG00000005884	0.134537794933026	0.409083722249476	0.00258127449881991	0.453797208318678
ENSG00000005889	0.462270996626222	0.228966544722601	0.0237387455631895	0.285023713087988
ENSG00000005893	0.348603024131993	0.48910153060405	0.060857119723402	0.101438325540555
ENSG00000005961	0.151396094380331	0.0008680214666845	0.358103683563496	0.489632200589488
ENSG00000005981	0.165706885639824	0.012126593031276	0.0821643209753395	0.74000220035356
ENSG00000006007	0.394995256118465	0.197766987894566	0.00295001490799531	0.404287741078973
ENSG00000006015	0.211976786480077	0.195013719147038	0.0961409893702544	0.496868505002631
ENSG00000006016	0.0982575259303737	0.0721674093985305	0.000276296531340496	0.829298768139755
ENSG00000006025	0.187494649435532	0.521523609083775	0.0202747672066325	0.270706974274061
ENSG00000006042	0.561574454163031	0.125950262679439	0.0300630141865721	0.282412268970958
