pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_DN	0.534042553191489	0.843907561899557	0.0789209638180035	-0.419480347118091	-0.944453572564362	4	HOXC9
ABBUD_LIF_SIGNALING_1_UP	0.324955116696589	0.685923836973261	0.0972150808846466	0.386995946555059	1.11288670314905	8	MPO, RHOU, RNASE2, VWF, SQOR
ABBUD_LIF_SIGNALING_2_UP	0.763829787234043	0.961958058290617	0.0610363728309177	-0.349034385303815	-0.785845569197056	4	COL11A1, FGFR1, PPP2R2B, PTPRO
ABDELMOHSEN_ELAVL4_TARGETS	0.762745098039216	0.961823611955306	0.0572461135202884	-0.466141995282602	-0.788871335506355	2	KCNQ2
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	0.293774319066148	0.649219571645176	0.108394255853397	0.572975517890772	1.14881350427011	3	ALDH1A1, ALDH3B1, SNRPN
ABE_INNER_EAR	0.533769063180828	0.843907561899557	0.0802023444698144	-0.319687233298697	-0.906485513120901	7	COCH, FOXD1, RBP1
ABE_VEGFA_TARGETS	0.795744680851064	0.969779553175045	0.0590954798717342	-0.338200659444183	-0.761453601462194	4	MCM2, MRE11, HBEGF, THBD
ABE_VEGFA_TARGETS_2HR	0.92511013215859	0.989091967824352	0.0536769600638126	-0.227251296558227	-0.602064925549404	6	MCM2, ZCCHC14, DAPK3, HBEGF, APOE, TNFRSF14
ABE_VEGFA_TARGETS_30MIN	0.68936170212766	0.923056318581164	0.065981614400873	-0.372114931700424	-0.837811065675674	4	MCM2, ALAD, HBEGF, APOE
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.453510436432638	0.789808080362337	0.0815265143256594	-0.773283160865475	-1.02811325196351	1	TCF3
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.523404255319149	0.835975289033735	0.0799858801499946	-0.426117525428584	-0.959397077808787	4	IGFBP5, FGFR1, RARA
ABRAMSON_INTERACT_WITH_AIRE	0.0149708439700233	0.107236806263537	0.380730400722792	-0.580805724368888	-1.73883515497009	8	TOP2A, MCM2, MCM6, LMNB1, GCN1, TRIM28, POLR2B
