pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_41BB_PATHWAY	0.143700787401575	0.874742345033607	0.163180127180689	-0.925211665098777	-1.23388952676954	1	TNFRSF9
BIOCARTA_ACE2_PATHWAY	0.916831683168317	0.983067361258437	0.0491927521045191	-0.376470588235294	-0.649482297121744	2	COL4A1, COL4A5
BIOCARTA_ACETAMINOPHEN_PATHWAY	0.546558704453441	0.93289589313961	0.0751181635276301	0.713546566321731	0.967625950475026	1	PTGS1
BIOCARTA_ACH_PATHWAY	0.529527559055118	0.928591806458975	0.0753093764172773	-0.739416745061148	-0.986107949202703	1	PIK3CA
BIOCARTA_ACTINY_PATHWAY	0.635627530364372	0.93289589313961	0.0675188953767744	0.66274694261524	0.898737616492625	1	PIR
BIOCARTA_AGR_PATHWAY	0.613861386138614	0.93289589313961	0.0681513438679483	-0.523294117647059	-0.902780392999224	2	LAMA2, MAPK3
BIOCARTA_AHSP_PATHWAY	0.147113594040968	0.874742345033607	0.156312403073186	0.607842620468663	1.33544960301357	4	HBA1, HBB, HBA2
BIOCARTA_AKAP13_PATHWAY	0.259109311740891	0.887422075540888	0.119348440591015	0.863123236124177	1.17046382275654	1	LPAR1
BIOCARTA_AKAP95_PATHWAY	0.16039603960396	0.874742345033607	0.154190966581424	-0.743058823529412	-1.28191568394404	2	CDK1, AKAP8
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.334653465346535	0.887422075540888	0.101350743797099	-0.651294117647059	-1.12360437402062	2	CDK1, NUP85
BIOCARTA_AKT_PATHWAY	0.949720670391061	0.983067361258437	0.044774889329693	0.260951483749411	0.573318723702299	4	FOXO4, PDPK1, FOXO1, PIK3CA
BIOCARTA_ALK_PATHWAY	0.285433070866142	0.887422075540888	0.11101149245045	-0.862652869238006	-1.15045927406982	1	FZD1
BIOCARTA_ALTERNATIVE_PATHWAY	0.647773279352227	0.93289589313961	0.0665892104103933	0.657102539981185	0.891083357161247	1	C3
BIOCARTA_AMAN_PATHWAY	0.55668016194332	0.93289589313961	0.0741758965588009	0.708842897460019	0.961247401032211	1	ST3GAL4
BIOCARTA_AMI_PATHWAY	0.340862422997947	0.887422075540888	0.102449405629826	-0.555978192138472	-1.12099994280038	3	F2R, COL4A1
BIOCARTA_ARAP_PATHWAY	0.728952772073922	0.964683899096855	0.0615706755421678	-0.394067796610169	-0.794545512226581	3	CYTH2, CYTH1, ARAP2
BIOCARTA_ARENRF2_PATHWAY	0.0340352744411943	0.798911568606051	0.321775918075361	-0.987300094073377	-1.31669248433618	1	FXYD2
BIOCARTA_ARF_PATHWAY	0.162376237623762	0.874742345033607	0.153158808683073	-0.739764705882353	-1.27623271384423	2	TWIST1, PIK3CA
BIOCARTA_ASBCELL_PATHWAY	0.325910931174089	0.887422075540888	0.104343952581949	0.827375352775165	1.12198684699115	1	IL10
BIOCARTA_AT1R_PATHWAY	0.651485148514852	0.93289589313961	0.0652353056017703	-0.508235294117647	-0.876801101114354	2	MAPK3, GNAQ
BIOCARTA_ATM_PATHWAY	0.342915811088296	0.887422075540888	0.102080107662747	-0.554613935969868	-1.11824923943	3	TP73, MRE11, ATM
BIOCARTA_ATRBRCA_PATHWAY	0.121896162528217	0.874742345033607	0.191892240384838	-0.555136663524976	-1.37566256793342	5	FANCD2, FANCA, MRE11, FANCG, ATM
BIOCARTA_BAD_PATHWAY	0.949720670391061	0.983067361258437	0.044774889329693	0.260951483749411	0.573318723702299	4	RPS6KA1, BCL2, MAPK3, PIK3CA
BIOCARTA_BARD1_PATHWAY	0.0669345080003324	0.874742345033607	0.287805130535564	-0.67418025169998	-1.52695867155641	4	FANCD2, BARD1, FANCA
BIOCARTA_BARRESTIN_PATHWAY	0.851106639839034	0.97743538576664	0.053347785067549	0.437647058823529	0.732567607607623	2	KCNA3, PPARA
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.776659959758551	0.964683899096855	0.057609110864425	0.477176470588235	0.798735004423795	2	KCNA3, MAPK3
BIOCARTA_BARR_MAPK_PATHWAY	0.776659959758551	0.964683899096855	0.057609110864425	0.477176470588235	0.798735004423795	2	KCNA3, MAPK3
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.162376237623762	0.874742345033607	0.153158808683073	-0.739764705882353	-1.27623271384423	2	BIRC5, PIK3CA
BIOCARTA_BCR_PATHWAY	0.634103019538188	0.93289589313961	0.0613026075396207	0.313793875573834	0.850983834635684	7	BTK, LYN, VAV1, SYK
BIOCARTA_BIOPEPTIDES_PATHWAY	0.642710472279261	0.93289589313961	0.0676760401641789	-0.432674199623352	-0.872386291202184	3	PLCG1, MAPK3, STAT1
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.487854251012146	0.928591806458975	0.0810802057550866	0.746942615239887	1.01291365151901	1	ITGAL
BIOCARTA_BOTULIN_PATHWAY	0.939271255060729	0.983067361258437	0.0490939668192139	0.521166509877705	0.706743278263895	1	VAMP2
BIOCARTA_BTG2_PATHWAY	0.912621359223301	0.983067361258437	0.048505983646947	0.32015065913371	0.634093360531536	3	FGF1, PRMT1, CHAF1A
BIOCARTA_CALCINEURIN_PATHWAY	0.429158110882957	0.91908197197943	0.0888945288620449	-0.508474576271186	-1.02522001577623	3	NFATC2, PLCG1, GNAQ
