pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.471074380165289	0.838425961028129	0.0840745577910723	-0.390443214145575	-0.97063699973683	5	LAMB1, LAMA2, PIK3CA, LAMA5
PID_AJDISS_2PATHWAY	0.679924242424242	0.888195203163207	0.0610363728309177	0.31598459735328	0.813252630319593	6	GFRA1, DSP, PTPN6, NTRK2
PID_ALK1_PATHWAY	0.614604462474645	0.888195203163207	0.0692836467392548	-0.523294117647059	-0.893087342053755	2	ACVR2B, MAPK3
PID_ALK2_PATHWAY	0.112403100775194	0.681443798449612	0.184706471207739	-0.943085606773283	-1.26137907276743	1	AMH
PID_ALPHA_SYNUCLEIN_PATHWAY	0.0536672629695885	0.536504424778761	0.261663521711573	0.516676381441495	1.57090410720019	9	PLD1, KLK6, SNCA, MAOB, LYN, SYK
PID_AMB2_NEUTROPHILS_PATHWAY	0.285714285714286	0.79163890739507	0.109684061970549	0.485989562826894	1.1614732622297	5	LYN, ITGAM, SELPLG, PRKCZ
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.259493670886076	0.79163890739507	0.122107920287081	-0.444130127298444	-1.20678724318871	6	FN1, PIK3CA, FOXO1, PTPN11, MAPK3, FGF2
PID_ANTHRAX_PATHWAY	0.832644628099174	0.939145685181626	0.0555947097758869	-0.28590768192178	-0.71076295995965	5	ANTXR2, ANTXR1
PID_AP1_PATHWAY	0.348101265822785	0.818735298187353	0.102821842840815	-0.4088319065297	-1.11087516717151	6	COL1A2, CDK1, NFATC2, EP300
PID_ARF6_DOWNSTREAM_PATHWAY	0.146771037181996	0.747064900911055	0.160801401070022	0.659290373704906	1.31882433509095	3	PLD1
PID_ARF6_PATHWAY	0.303636363636364	0.79163890739507	0.102080107662747	0.385087305332704	1.12090462080343	8	ADAP1, GNA14, ARAP2, KIF13B, GIT1, GNAQ, SRC, CYTH2
PID_ARF6_TRAFFICKING_PATHWAY	0.740530303030303	0.903187813197925	0.0570059526582387	0.301299783541905	0.775458182242423	6	PLD1
PID_ARF_3PATHWAY	0.415821501014199	0.818735298187353	0.0899860794997137	-0.616470588235294	-1.05210828964966	2	PIP5K1A, CYTH2
PID_AR_NONGENOMIC_PATHWAY	0.804824561403509	0.923881449185093	0.059989249649033	-0.262057413145079	-0.749735733579617	7	PIK3CA, PLCG1, SRC, MAPK3, GNAZ, GNAO1
PID_AR_PATHWAY	0.490530303030303	0.8399928135106	0.077274697304471	0.377252832166158	0.970939281928449	6	SNURF
PID_AR_TF_PATHWAY	0.0682555838161285	0.544801462904911	0.287805130535564	-0.55188679245283	-1.57892594690101	7	POU2F1, EP300, SENP1, NR2C2, FOXO1, SRC, RACK1
PID_ATF2_PATHWAY	0.618604651162791	0.888195203163207	0.0758886900606117	-0.255385814603198	-0.854747803461134	10	PDGFRA, ACHE, CCNA2, POU2F1, EP300
PID_ATM_PATHWAY	0.119834710743802	0.683762761302868	0.184706471207739	-0.563786603308084	-1.40156652056128	5	FANCD2, CDC25A, MRE11, TRIM28
PID_ATR_PATHWAY	0.00307838303187116	0.0995343846971675	0.431707695803346	-0.594604347844584	-2.08221997390597	11	FANCD2, CDC25A, MCM2, CCNA2, CDK2, TIMELESS, PLK1, MCM7, RFC3
PID_AURORA_A_PATHWAY	0.0101424264569197	0.237636101959031	0.380730400722792	-0.533261621539842	-1.86740645895507	11	AURKB, DLGAP5, TPX2, AURKA, AJUBA, BIRC5
PID_AURORA_B_PATHWAY	0.00000127042310533371	0.00012323104121737	0.643551836150722	-0.697946814028702	-2.78687405266857	16	AURKB, NDC80, KIF20A, KIF23, SGO1, NCAPH, CDCA8, KIF2C, SMC4, BUB1, AURKA
PID_AVB3_INTEGRIN_PATHWAY	0.0392994245179237	0.423560464248734	0.321775918075361	-0.371535399828332	-1.5876926424797	20	COL6A2, COL6A1, VEGFA, COL1A2, COL6A3, FN1, COL11A1, COL4A1, COL5A1, PIK3CA
PID_AVB3_OPN_PATHWAY	0.915057915057915	0.980780306747157	0.0481183992657975	0.261074458058435	0.623945503525122	5	SPP1, SYK, MAPK3, PIP5K1A, PIK3CA
PID_BARD1_PATHWAY	0.0642926502009738	0.544801462904911	0.287805130535564	-0.555660377358491	-1.58972202175162	7	FANCD2, BARD1, FANCA, CDK2, MRE11, FANCG, ATM
PID_BCR_5PATHWAY	0.178571428571429	0.756335282651072	0.133554954557592	0.369249968805828	1.28847861575746	14	CD22, DAPP1, POU2F2, PLCG2, BTK, LYN, SYK, MAP4K1
PID_BETA_CATENIN_DEG_PATHWAY	0.578093306288032	0.869380631161847	0.0723570851036907	-0.541176470588235	-0.923606513814585	2	DVL3, CSNK1E
PID_BETA_CATENIN_NUC_PATHWAY	0.295348837209302	0.79163890739507	0.119887845115423	-0.340367701703179	-1.13917268996296	10	SALL4, TLE2, VCAN, HDAC2, EP300, CCND2, SMARCA4, DVL3, TRRAP
PID_BMP_PATHWAY	0.795131845841785	0.920002616431188	0.0568864160475701	-0.449411764705882	-0.76699497451559	2	SKI, ZFYVE16
PID_CASPASE_PATHWAY	0.534988713318284	0.866999785616517	0.0819778796501272	-0.29155750622239	-0.935565350039783	9	TFAP2A, LMNB1, DFFB, LMNB2, LMNA, CFL2, SREBF1, BCL2
PID_CD40_PATHWAY	0.969135802469136	0.98467706678325	0.0484087618816951	0.51552210724365	0.688438644570043	1	TRAF1
PID_CD8_TCR_DOWNSTREAM_PATHWAY	0.730769230769231	0.902988731014209	0.0607719451853533	-0.343270293925043	-0.786240704692209	4	TNFRSF9, NFATC2
PID_CD8_TCR_PATHWAY	0.158181818181818	0.749034749034749	0.148261500475107	0.439159093938419	1.27829572890782	8	TRPV6, PRKCQ
PID_CDC42_PATHWAY	0.749552772808587	0.903187813197925	0.05378728077603	0.243166863282358	0.739325113332083	9	PLD1
PID_CDC42_REG_PATHWAY	0.862204724409449	0.945015347657814	0.0517405459873163	0.316062176165803	0.694486885301621	4	DOCK10, DOCK9, GIT1, PLCG1
PID_CERAMIDE_PATHWAY	0.308880308880309	0.79163890739507	0.104732821580651	0.477851083883129	1.14202299742685	5	CTSD, PRKCZ, BCL2, MAP4K4, MAPK3
