pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.0610021786492375	0.349120160884867	0.271288554688953	-0.606094823193031	-1.513575170191	5	ABCA10, ABCA6, PSMD5
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.176972281449893	0.569460390355913	0.152144922367565	-0.642625770840856	-1.26903501635626	3	ABCA10, ABCA6
REACTOME_ABC_TRANSPORTER_DISORDERS	0.591633466135458	0.920868825951424	0.0702812841717392	-0.534495579656109	-0.919068798938774	2	PSMD5
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.309168443496802	0.728720379146919	0.11101149245045	-0.570621468926554	-1.12684342584788	3	UBE2C, UBE2S, FZR1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.391038696537678	0.800909036540877	0.0937465422491719	-0.470560527555346	-1.05622304675212	4	CDK2, E2F2, CCND2, CDKN1C
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.183368869936034	0.569460390355913	0.149207542435322	-0.635122410546139	-1.2542176414759	3	SUPT5H, POLR2H, POLR2B
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.219616204690832	0.620920937782338	0.135002033828631	-0.618209314685019	-1.22081824814832	3	CHAT
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.552	0.903606236561909	0.0739901439101341	0.567060350056554	0.951814639091291	2	GNA14
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.133466135458167	0.505337428910313	0.170932335370056	-0.752941176470588	-1.29468749428312	2	NOTCH1, JAG1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.826086956521739	0.991224600233547	0.0538979025357319	0.5931326434619	0.794628562729368	1	NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.78	0.983593220338983	0.0571258510018113	0.470117647058824	0.789095655376214	2	NTRK2, PTPN11
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.82	0.991224600233547	0.0547939500773363	0.445176470588235	0.747231721707606	2	NTRK2, SRC
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.856573705179283	0.991227900097222	0.0525898950623616	-0.407058823529412	-0.699940426596812	2	PIK3CA, NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.826086956521739	0.991224600233547	0.0538979025357319	0.5931326434619	0.794628562729368	1	NTRK2
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.545816733067729	0.903606236561909	0.0743625384422526	-0.555294117647059	-0.954832027033801	2	PIK3CA, SRC
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.000435078983154825	0.0109974975057221	0.49849310876659	-0.795851013672796	-2.13250028599222	6	H2BC7, H2BC6, H2AC8, H4C14, H4C3, H4C8
