pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	0.541484716157205	0.91077381216943	0.0795564677235957	-0.284843588671429	-0.910477329574104	9	CHAT
WP_10Q22Q23_COPY_NUMBER_VARIATION	0.310661764705882	0.815203681837699	0.101350743797099	0.380478114418264	1.13234205944277	9	SH3GL3, LDB3, RGR, RSPH4A
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	0.247191011235955	0.809096119436368	0.117249716749792	0.428681284876914	1.20326482618239	8	CHST6, HLA-DMA, CHST1, IGSF8, MAPK8IP1, HBEGF, CRY2
WP_13Q1212_COPY_NUMBER_VARIATION	0.130357142857143	0.616623590225564	0.163180127180689	0.53551173927193	1.3790602275462	6	MAG, SGCD
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	0.894623655913979	0.980540257015473	0.0541200569620232	-0.384470588235294	-0.67652412612842	2	TUBGCP4, NIPA1
WP_15Q11Q13_COPY_NUMBER_VARIATION	0.704710144927536	0.954257847464428	0.0572461135202884	0.290147707568729	0.79382376694565	7	GJC2, NECAB3, MTMR10, OTUD7A, TJP2
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	0.747276688453159	0.955114160603246	0.0632191170859458	-0.366760828625235	-0.764208979600784	3	FANCD2, OTUD7A, MTMR10
WP_15Q25_COPY_NUMBER_VARIATION	0.582397003745318	0.911511156186613	0.0679922591544058	0.321362636278078	0.902032279747605	8	SH3GL3, SHANK3, DNM3, ALPK3, CPEB1, HOMER2, AP3D1
WP_16P112_DISTAL_DELETION_SYNDROME	0.708695652173913	0.954257847464428	0.0656813601934011	-0.343382006594442	-0.803056911243487	4	NFATC2, PRMT1, TRAF1, C3
WP_16P112_PROXIMAL_DELETION_SYNDROME	0.806273062730627	0.979441256019526	0.0518457624865066	0.325011775788978	0.723929053688888	4	CORO1A, ASPHD1, MAPK3, PAXIP1
