pathway	pval	padj	log2err	ES	NES	size	leadingEdge
LET_7A_2_3P	0.940540540540541	1	0.0625237414724762	-0.118260232661173	-0.62544908351988	35	MXRA5, PDGFRA, SALL3, BACH2, PGAP1, ANTXR1, ZNF367, CDH11, HMGB2, CXXC4, RAI1, GRB10, VANGL2, ELAVL1, USP42
LET_7A_3P	0.888157894736842	1	0.0751181635276301	-0.102910180261156	-0.686625939397666	84	E2F8, SGO1, SCN7A, COL1A2, MEX3B, COL19A1, LIPG, SPRY1, SALL3, COL11A1, CCNA2, AKAP12, ERF, SPRED1, COL4A1, TSHZ3, KIF11, UBR1, TCF3, FREM2, DACT1, SUN1, JAG1, ZNF367
LET_7A_5P_LET_7C_5P_LET_7E_5P	0.19327731092437	1	0.16823816568964	-0.197678897684005	-1.20426986483512	54	COL1A2, TRIM71, SALL4, ESR2, FIGNL2, PRTG, CDC25A, SALL3, OSMR, RGS6, IGF2BP2, COL4A1, IGF2BP3, SDK1, SFMBT1, E2F2, SLC20A1, PEG10, FIGN, SMIM3, ARID3A, PBX1, BACH1, IGDCC4, C8orf58, FBXL12, CCND2, CLDN12, POLR3D, DCAF15
LET_7B_3P	0.846666666666667	1	0.0782955249944794	-0.10925965301461	-0.724529946964132	83	E2F8, SGO1, SCN7A, COL1A2, MEX3B, COL19A1, LIPG, SPRY1, SALL3, COL11A1, CCNA2, AKAP12, ERF, SPRED1, COL4A1, TSHZ3, KIF11, UBR1, TCF3, FREM2, DACT1, SUN1, JAG1, ZNF367
LET_7B_5P	0.19327731092437	1	0.16823816568964	-0.197678897684005	-1.20426986483512	54	COL1A2, TRIM71, SALL4, ESR2, FIGNL2, PRTG, CDC25A, SALL3, OSMR, RGS6, IGF2BP2, COL4A1, IGF2BP3, SDK1, SFMBT1, E2F2, SLC20A1, PEG10, FIGN, SMIM3, ARID3A, PBX1, BACH1, IGDCC4, C8orf58, FBXL12, CCND2, CLDN12, POLR3D, DCAF15
LET_7C_3P	0.0778816199376947	1	0.287857117255149	-0.209465935373153	-1.34789144939861	68	SOX11, DNAH12, SOX4, GLI2, SIX1, BACH2, FZD1, PDIA5, TRIO, PGAP1, ZNF12, ANTXR1, SLIT2, ASCL1, PUS7, DFFB, ADAMTSL3, SINHCAF, ZNF587, PLK1, SUN1, CDH11, SEC24D, GRB10, ZNF268, EP300, EPS15L1, ELAVL1, BRD4, RSL24D1, LMNB2, CLDN12, PTPRS, CLK2, PPP1CC, ZNF704, ZCCHC14, ADNP, PIAS3
LET_7D_3P	0.580321285140562	1	0.0716527366829457	-0.715428033866416	-0.945681341378134	1	SEC24D
LET_7D_5P	0.043369472135065	1	0.321775918075361	-0.257211701053693	-1.5031916109583	46	COL1A2, TRIM71, SALL4, FIGNL2, PRTG, CDC25A, SALL3, OSMR, RGS6, IGF2BP2, COL4A1, IGF2BP3, SDK1, SFMBT1, E2F2, SLC20A1, PEG10, FIGN, SMIM3, PBX1, BACH1, IGDCC4, C8orf58, FBXL12, CCND2, CLDN12, POLR3D, DCAF15
LET_7F_1_3P	0.766666666666667	1	0.0835990603684159	-0.118726937067862	-0.787310036628883	83	E2F8, SGO1, SCN7A, COL1A2, MEX3B, COL19A1, LIPG, SPRY1, SALL3, COL11A1, CCNA2, AKAP12, ERF, SPRED1, COL4A1, TSHZ3, KIF11, UBR1, TCF3, FREM2, DACT1, SUN1, JAG1, ZNF367, ZBTB39, RFC3, EFNB1, INO80D, EPS15L1, RNF24, EPHB4
LET_7F_2_3P	0.872	1	0.0655321029282414	-0.126524337278121	-0.699064670068443	39	MEOX2, HOXC6, TENM1, COL19A1, TMF1, BACH2, TRIO, ERF
LET_7F_5P	0.19327731092437	1	0.16823816568964	-0.197678897684005	-1.20426986483512	54	COL1A2, TRIM71, SALL4, ESR2, FIGNL2, PRTG, CDC25A, SALL3, OSMR, RGS6, IGF2BP2, COL4A1, IGF2BP3, SDK1, SFMBT1, E2F2, SLC20A1, PEG10, FIGN, SMIM3, ARID3A, PBX1, BACH1, IGDCC4, C8orf58, FBXL12, CCND2, CLDN12, POLR3D, DCAF15
LET_7G_3P	0.940540540540541	1	0.0625237414724762	-0.118260232661173	-0.62544908351988	35	MXRA5, PDGFRA, SALL3, BACH2, PGAP1, ANTXR1, ZNF367, CDH11, HMGB2, CXXC4, RAI1, GRB10, VANGL2, ELAVL1, USP42
LET_7G_5P	0.19327731092437	1	0.16823816568964	-0.197678897684005	-1.20426986483512	54	COL1A2, TRIM71, SALL4, ESR2, FIGNL2, PRTG, CDC25A, SALL3, OSMR, RGS6, IGF2BP2, COL4A1, IGF2BP3, SDK1, SFMBT1, E2F2, SLC20A1, PEG10, FIGN, SMIM3, ARID3A, PBX1, BACH1, IGDCC4, C8orf58, FBXL12, CCND2, CLDN12, POLR3D, DCAF15
LET_7I_3P	0.546038543897216	1	0.0780892306943345	-0.563483904920091	-0.966919662088588	2	DLX5
LET_7I_5P	0.19327731092437	1	0.16823816568964	-0.197678897684005	-1.20426986483512	54	COL1A2, TRIM71, SALL4, ESR2, FIGNL2, PRTG, CDC25A, SALL3, OSMR, RGS6, IGF2BP2, COL4A1, IGF2BP3, SDK1, SFMBT1, E2F2, SLC20A1, PEG10, FIGN, SMIM3, ARID3A, PBX1, BACH1, IGDCC4, C8orf58, FBXL12, CCND2, CLDN12, POLR3D, DCAF15
MIR100_3P	0.253968253968254	1	0.128788713061714	-0.448844884488449	-1.19411926955942	6	OSMR, TUBGCP4, VAMP3, PRR13, PSD3, STOM
