pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ADA2_TARGET_GENES	0.245614035087719	0.643086210149028	0.151148761385484	-0.178918466467196	-1.14155379196553	65	HOXC8, MFAP2, SHOX2, PCLAF, CYREN, FZD1, FAM118A, EXOSC3, NREP, FBXO22, MIR9-2HG, HMGXB3, FZD2, DBN1, TRDMT1, CXXC4, MCM7, WSCD1, KMT2A, MAML2, ZNF677, GTPBP3, CHAF1A, P3H4, WDR36, CCAR2, TUBGCP4, TACC3, SENP1, ACBD6, RUVBL1, TNRC18, RBM28, FKBP10, MCM3AP, YEATS2, MTMR4, EDC4, DCP1A, CSNK1E, GOLGA3, STARD3, DDX39B, MKNK2
ADCYAP1_TARGET_GENES	0.358811040339703	0.76306103338618	0.101350743797099	-0.647644751969235	-1.11178188835323	2	NKD2
ADNP_TARGET_GENES	0.402366863905325	0.811794844800056	0.0747385227439092	0.182607987131173	1.03775835792113	69	CNGB1, MPO, NECAB2, MTURN, TPK1, SLCO2B1, HPN, ALDH1A1, PLLP, TMC6, RASAL1, TMC8, SRCIN1, APOC1, LDLRAP1, LILRB4, CSF3R, QDPR, MFSD6, PYGM, TMEM119, VAV1, GNG7, EML2, ALDH3B1, FCHO1, LAPTM5, PIK3AP1, SELPLG
AEBP2_TARGET_GENES	0.0000070111842104868	0.00026581111921221	0.610526878385931	-0.31785745995928	-2.21746131017391	100	HOXC6, PIF1, NR2F2-AS1, TICRR, COL6A2, CENPF, HOXA3, SPC24, TPX2, WDR62, UBE2C, TOP2A, KRT8, RIOK2, PRR11, HJURP, CDK1, C1QTNF6, KDM4B, PLEKHG2, PCLAF, ZNF12, C21orf58, CDC20, TK1, FBXO5, TMPO, MIR9-2HG, SPRED2, CDCA3, HDAC2, IGF2BP3, H4C8, ZNF473, ASNS, HAUS8, JAG1, CNOT10, SS18, MCM7, DPF3, TYMS, PPP1R13L, DNAAF5, PBX1, CEP152, KMT5C, ZNF526, RSL24D1, TUBB, ZSWIM4, ILF3, DCAF15, PRMT1, HYCC1, HINFP, RUVBL1, CYTH2, FKBP9, UBE2S, TIMM44, CEP89, GATAD2B
AHRR_TARGET_GENES	0.75	1	0.0886261133285098	-0.116627684325771	-0.857358115746581	126	FHIP1A, HOXC8, DEPDC1B, STC2, GLB1L2, KIF23, VEGFA, LINC01237, SALL4, RCOR1, RGS6, PLEKHG2, CYREN, E2F7, CRNDE, BCL2L12, NCAPG2, C21orf58, CDC20, FANCI, GAD1, MIR9-2HG, HMGXB3, SPRED1, AJUBA, XXYLT1, GGH, NES, CHSY1, FREM2, GAS2L3, HS3ST3B1, SUN1, TMEM9B-AS1, NCK2, POP1, CNN2, SS18, ADGRE2, SLC16A7, TENT5A, WDR54, ACTMAP, LPP, SLC2A4RG, KLF10, PRANCR, SUPT5H, PLCG1
ALKBH3_TARGET_GENES	0.177545691906005	0.558381107213143	0.169570644405628	-0.267840152235966	-1.27189951269614	25	ETV4, PCLAF, EXOSC3, ZNF677, WDR36, CCAR2, TACC3, POLR3D, SENP1, RUVBL1, RBM28, MCM3AP, MTMR4, EDC4, DCP1A, GOLGA3, STARD3, AHSA1, SEPTIN8, ANKRD40, MMAA, EML2, SLC44A1, ADAP2, RAP2C-AS1
ALX4_TARGET_GENES	0.0111417356783197	0.0753614621575237	0.380730400722792	-0.927529411764706	-1.5922469807397	2	CENPF, RBM33-DT
ARHGAP35_TARGET_GENES	0.0334267253208618	0.171355949802734	0.321775918075361	-0.504253308128544	-1.72526176072595	11	SKA3, PSMD5, NCAPG, CHAF1A, STXBP4, DCHS1, CBX3, RBM39, HNRNPA2B1, SLC12A2, GPR137
ARID3B_TARGET_GENES	0.699013157894737	0.98570643740422	0.0531298054705469	0.209866219373324	0.811658126245972	18	LCNL1, CX3CR1, FAM13C, PLCG2, C1orf162, PRKCH, CA11, SPEF2
ARID5B_TARGET_GENES	0.635220125786163	0.969756116795805	0.0908241419007155	-0.132499127895057	-0.915553821842154	94	LEF1-AS1, FXYD2, TLE6, KIF15, DTL, TOP2A, ESCO2, PLEKHG2, PCLAF, E2F7, NREP, GINS1, PLEKHH3, TMPO, CDCA3, SPON2, DFFB, CHERP, ZNF586, INTS1, KMT2A, DMWD, SKA1, KHDC4, SUPT5H, GTPBP3, ERV3-1, POLD1, RSL24D1, TOP1MT, GCDH, RARA, ILF3, IPO9, FBXO31, MAD1L1, RPS26, ZNF117, TFAP4, CAPN15, CEP89, PLOD3, GATAD2B, SIPA1L3, RBM39, GUSB, SIRT6, KRI1, VGLL4, SEPTIN9, FZR1, MOB3A, NCAPH2, SMAD3, RFC2, KHSRP, PANK2, USP22, IARS1, SNHG29
