pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_3M_COMPLEX	0.222648752399232	0.663823132153266	0.126253987849115	-0.889463781749765	-1.18973266949383	1	OBSL1
GOCC_90S_PRERIBOSOME	0.493013972055888	0.844876873443051	0.0797705918628453	-0.584470588235294	-0.997618211442369	2	WDR36, KRI1
GOCC_9PLUS0_NON_MOTILE_CILIUM	0.0621848739495798	0.329334365325077	0.234392647294686	0.42617108582436	1.48199873450983	14	CNGB1, USH1C, PDE6B, PIP4K2A, MYRIP
GOCC_9PLUS2_MOTILE_CILIUM	0.655652173913043	0.903463243312138	0.0587185879555941	0.256020145866345	0.837695858382174	12	SEPTIN4, CABCOCO1, RSPH4A, DNAH17, SPEF2, SLIRP, NHERF1, AK1
GOCC_ACETYLTRANSFERASE_COMPLEX	0.113333333333333	0.467279726261762	0.197822021315103	-0.536539368222537	-1.42447759845796	6	EP300, RUVBL1, YEATS2, EP400, TRRAP, USP22
GOCC_ACROSOMAL_MEMBRANE	0.530526315789474	0.862775119617225	0.0787113806986485	-0.486817325800377	-0.964195766369876	3	PCSK4, MFGE8, RND2
GOCC_ACROSOMAL_VESICLE	0.163218390804598	0.591850471160816	0.165656695205483	-0.405134362711689	-1.29664673022367	9	DRD2, LRGUK, PCSK4, NOTCH1, TBXA2R
GOCC_ACTIN_BASED_CELL_PROJECTION	0.438485804416404	0.820689655172414	0.0736212741014394	0.241645052504798	1.00996248410015	24	USH1C, SHTN1, ERMN, UNC5C, CNP, TPRN
GOCC_ACTIN_CYTOSKELETON	0.634218289085546	0.899005771663504	0.0525898950623616	0.159208465769152	0.89713616582725	68	CD274, RINL, CLDN5, LDB3, AIF1L, MYRIP, SCIN, RHOU, DOCK5, FAM107A, SRCIN1, MYH15, SNCA, C10orf90, SHROOM4, PARVG, MYLK, BIN1, CORO1A, FYB1, GBP1, KLHL2, CRYAB, CAPG, ANLN, CGNL1, ARHGAP21, PRKCZ, DIXDC1, NHERF1, SWAP70, LIMCH1, WAS, SYNPO2, MYO18A
GOCC_ACTIN_FILAMENT	0.746086956521739	0.920144956598963	0.0526973085708419	0.235933806146572	0.771973516351733	12	LDB3, AIF1L, SHROOM4, CORO1A, WAS, MYO5A, SRC, MYO1C, TPM4, FLNA, MYO1B, GAS2L3
GOCC_ACTIN_FILAMENT_BUNDLE	0.812302839116719	0.943305241247633	0.0443293451680314	0.180900613361918	0.728517779226183	21	LDB3, FAM107A, SHROOM4, MYLK, CRYAB, PRKCZ, DIXDC1, LIMCH1, SYNPO2, ABLIM1, BAG3, ZYX, SEPTIN9, SIPA1L3, MYO1C, TPM4, LPP, FLNA, CNN2, FHL3
GOCC_ACTIVIN_RECEPTOR_COMPLEX	0.769673704414587	0.922004958413308	0.055826471778749	-0.619002822201317	-0.82796837284711	1	ACVR2B
GOCC_ACTOMYOSIN	0.82807570977918	0.943305241247633	0.0434506826723125	0.176618093243449	0.711271336617629	21	LDB3, FAM107A, SHROOM4, MYLK, PRKCZ, DIXDC1, LIMCH1, SYNPO2, MYO18A, ABLIM1, BAG3, ZYX, SEPTIN9, SIPA1L3, MYO1C, TPM4, LPP, CNN2, FHL3, DBN1
GOCC_ADHERENS_JUNCTION	0.690737833594976	0.919825229945675	0.051530912208539	0.187022539344351	0.842355650618481	30	CTNNA3, LDB3, FRMD4B, AJAP1, PKP4, SHROOM4, STXBP6, DSP, LYN, PTPRM, DLG2
GOCC_AGGRESOME	0.518518518518518	0.861711013005608	0.0817515582532145	-0.437027582372118	-0.976747056392531	4	HOXC9
GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX	0.757261410788382	0.920144956598963	0.0602484086158019	0.604891815616181	0.819418612661019	1	PTPN6
GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX	0.923224568138196	0.963937454411475	0.0474483193656297	-0.533866415804327	-0.714091263815707	1	IARS1
GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	0.62962962962963	0.899005771663504	0.0716527366829457	-0.390014130946773	-0.871673024128226	4	CACNG4, CNIH3, PORCN, ABHD6
GOCC_ANAPHASE_PROMOTING_COMPLEX	0.092378752886836	0.422222481234556	0.224966093540314	-0.602959344547621	-1.47386588535903	5	UBE2C, BUB1B, CDC20
GOCC_ANCHORING_JUNCTION	0.995896032831737	0.995896032831737	0.0279402790995263	0.0752727448952526	0.495497153373349	144	CTNNA3, GJC2, GJB1, OPALIN, HPN, CLDN5, LDB3, AIF1L, FRMD4B, AJAP1, NGFR, FXYD1, SCIN, RHOU, DOCK5, CALB2, PRKCG, CLDN11, FAM107A, SRCIN1, PKP4, LSR, STRN, HAVCR2, SHROOM4, APBB1IP, STXBP6, PARVG, ARHGAP22, PRKCH, DSP, TBC1D2, TNFSF13B, LYN, PTPRM, DLG2, AKAP6, VAV1, CSRP1, ANK3, KIRREL3, CORO1A, FYB1
GOCC_APICAL_CORTEX	0.892215568862275	0.951621308995691	0.0508054139066364	-0.389176470588235	-0.664275572353333	2	SAPCD2, PRKCZ
GOCC_APICAL_DENDRITE	0.604210526315789	0.895744887079577	0.072003313661988	-0.458568738229755	-0.908246302170464	3	FLNA, NSMF, CLU
GOCC_APICAL_JUNCTION_COMPLEX	0.918876755070203	0.963937454411475	0.0381628909049257	0.143865149096959	0.5933991286608	22	CLDN5, FRMD4B, CLDN11, LSR, STRN, SHROOM4, ANK3, CGNL1, PRKCZ, TJP2, AJM1, CYTH1, DLG1, F11R
GOCC_APICAL_PART_OF_CELL	0.00688206791954188	0.0951482984422547	0.407017918923954	0.309197714893165	1.69944580789193	62	SLC52A3, PLD1, TMEM235, SLC5A11, MAL, USH1C, GPIHBP1, PAPPA2, CA4, SLCO2B1, HPN, LRP2, TF, SLC4A11, AJAP1, FXYD1, RAB27B, SLCO3A1, CA2, AQP6, SLC47A1, KCNQ1, SLC15A2, SHROOM4
GOCC_APICOLATERAL_PLASMA_MEMBRANE	0.937384898710866	0.969916251236821	0.0448645113168564	0.267179780395946	0.575618138019036	4	CLDN5
GOCC_AP_1_ADAPTOR_COMPLEX	0.740518962075848	0.920144956598963	0.059476028695732	-0.463529411764706	-0.79118674578964	2	AP1M1, AP1B1
GOCC_AP_2_ADAPTOR_COMPLEX	0.879668049792531	0.951621308995691	0.0532386494755899	0.547507055503293	0.741682165736723	1	STON2
GOCC_AP_3_ADAPTOR_COMPLEX	0.90978886756238	0.958612615690728	0.0481183992657975	-0.539981185324553	-0.722270282696415	1	AP3D1
GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	0.457516339869281	0.833210661416309	0.0886261133285098	-0.453132359868111	-1.01274088069004	4	AP1M1, AP3D1, AP1B1, STON2
