pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_14_3_3_PROTEIN_BINDING	0.962765957446808	1	0.0419081748591401	0.19443133553563	0.545024320141794	8	TMCC3, PRKCZ, KIF13B, SYNPO2, DAB2IP, KLHL22, RPTOR, NFATC2
GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY	0.541414141414141	0.899745475113122	0.0755015292281669	0.730009407337723	0.972800000000001	1	PYGM
GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY	0.692913385826772	0.934034337656835	0.0619762736001998	-0.662276575729069	-0.8809197966812	1	LPCAT1
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	0.676724137931034	0.928383838383838	0.0675188953767744	-0.436911487758945	-0.853998890098034	3	PIK3CA, ATM, PIK3CB
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.793939393939394	0.965288308710493	0.0567672387487446	0.603480714957667	0.80418969072165	1	PIK3R5
GOMF_1_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_ACTIVITY	0.828402366863905	0.968334425922457	0.0536769600638126	-0.436705882352941	-0.743582594509335	2	PIK3CA, PIK3CB
GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY	0.828402366863905	0.968334425922457	0.0536769600638126	-0.436705882352941	-0.743582594509335	2	PIK3CA, PIK3CB
GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY	0.612121212121212	0.920786589297227	0.0692836467392548	0.557605992473848	0.923149356111325	2	PIP4K2A
GOMF_1_PHOSPHATIDYLINOSITOL_BINDING	0.235934664246824	0.808673894912427	0.118287526124085	0.490806223479491	1.21804210077101	6	SCIN, SESTD1, SNX10, ZFYVE16, WDFY3, PICALM
GOMF_2_ACYLGLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY	0.692913385826772	0.934034337656835	0.0619762736001998	-0.662276575729069	-0.8809197966812	1	LPCAT1
GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING	0.037358923418297	0.48912516401363	0.321775918075361	0.850352941176471	1.40780906358578	2	BOLA2B, AIFM3
GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	0.0118996768809265	0.247443281023972	0.380730400722792	-0.601510859301228	-1.91535041912686	9	KDM4B, PLOD1, PLOD2, P3H1, P4HA2, KDM5C, ALKBH4, KDM5B, PLOD3
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	0.627522935779817	0.92156838090448	0.0633597010643758	0.372331387233551	0.8767846434099	5	PDE6B, PDE1C, PDE2A
GOMF_3_5_DNA_EXONUCLEASE_ACTIVITY	0.140086206896552	0.712541993281075	0.173747838999571	-0.670433145009416	-1.31044657273664	3	POLE, MRE11, POLD1
GOMF_3_5_DNA_HELICASE_ACTIVITY	0.0710059171597633	0.564969972878729	0.237793834423688	-0.833882352941177	-1.41985814382601	2	MCM2, MCM6
GOMF_3_5_EXONUCLEASE_ACTIVITY	0.0292994467896864	0.43377281952879	0.352487857583619	-0.671065032987747	-1.6639566672517	5	POLE, EXOSC3, MRE11, HELZ2, POLD1
