pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HP_11_PAIRS_OF_RIBS	0.738297872340426	0.914399274434486	0.0626618230932491	-0.389359698681733	-0.788790561838982	3	CEP152, SKI, PRKCZ
HP_2_3_FINGER_SYNDACTYLY	0.784615384615385	0.925644640792763	0.0613026075396207	-0.32288434844278	-0.74413251115433	4	GPC3
HP_2_3_TOE_CUTANEOUS_SYNDACTYLY	0.312614259597806	0.676331863618833	0.100633389423036	0.517872723994542	1.13324141197055	4	SMOC1
HP_2_3_TOE_SYNDACTYLY	0.353919239904988	0.71011244842269	0.109250039480711	-0.265824656418654	-1.08753130542303	17	HOXD13, TBX15, TRIO, SHMT2, FGFR1, KMT2A, RAI1, DDX11, BCOR, ADNP, SETD5
HP_2_4_FINGER_SYNDACTYLY	0.0265185045893537	0.17596357313559	0.352487857583619	-0.987770460959548	-1.3287029458307	1	TWIST1
HP_3_4_FINGER_SYNDACTYLY	0.195604395604396	0.54766994012277	0.14641623786055	-0.550660355604339	-1.26907443852643	4	HOXD13
HP_3_4_TOE_SYNDACTYLY	0.0778947368421053	0.338165360209033	0.234392647294686	-0.798988271139604	-1.38491562741874	2	HOXD13
HP_3_METHYLGLUTACONIC_ACIDURIA	0.00114600662742241	0.0196985805569351	0.45505986738723	0.913841807909605	1.76567352320367	3	MT-TL1, MT-ATP6, MT-ATP8
HP_4_5_FINGER_SYNDACTYLY	0.536964980544747	0.820399522274757	0.0739901439101341	0.74035747883349	0.980989175201371	1	DSP
HP_4_5_TOE_SYNDACTYLY	0.00518494080739717	0.0581021856609244	0.407017918923954	-0.950117647058824	-1.64687370869826	2	HOXD13, TBX15
HP_ABDOMINAL_AORTIC_ANEURYSM	0.917883211678832	0.982216857630992	0.0454059226590179	0.259189443920829	0.613052516865046	5	MYLK, THSD4, SMAD3, P4HA2, ELN
HP_ABDOMINAL_COLIC	0.93579766536965	0.985389904253325	0.0474483193656297	0.536218250235183	0.710500419142035	1	ALAD
HP_ABDOMINAL_CRAMPS	0.493852459016393	0.786453782235211	0.0810802057550866	-0.737064910630292	-0.9914654838651	1	RUNX1
HP_ABDOMINAL_DISTENTION	0.519138755980861	0.81039926300232	0.086794975677172	-0.227969228010281	-0.95247009492615	18	DLL3, LMO1, TOP2A, CLMP
HP_ABDOMINAL_MASS	0.00760194257918909	0.0757605103099697	0.407017918923954	-0.936470588235294	-1.62321876191656	2	LMO1, TOP2A
HP_ABDOMINAL_OBESITY	0.98443579766537	0.997882188865202	0.0451344222209097	0.509407337723424	0.674975398184933	1	CDH23
HP_ABDOMINAL_PAIN	0.986413043478261	0.998029891304348	0.0605092988656667	-0.0826128722382325	-0.472437980832308	45	H19, GPC3, LPL, POLE, CTRC, MCM6, GTF2IRD1, ELN, PIK3CA, RUNX1, SMO, CDKN2C, GTF2IRD2, TRIM28, POLD1, NUP85, RARA, BCOR, P4HA2, LRP5, PIEZO1, ATM, RFC2, RRM2B, SREBF1, ALAD, HPS1, ALDH4A1, PORCN, COL4A5, IKZF1, ANLN, PTPRO, SYK, SEMA3C, LYN, LACC1, NLRP3, IL10, HBB, SOX10, F5, SPP1, SAA1, SEMA4D
HP_ABDOMINAL_SITUS_AMBIGUUS	0.538934426229508	0.820399522274757	0.0764767053228531	-0.716839134524929	-0.964258709259995	1	DNAAF5
HP_ABDOMINAL_WALL_MUSCLE_WEAKNESS	0.610902255639098	0.850849927720325	0.0658311958368866	0.461940090171035	0.892534549701836	3	CAPN3, ANXA11
HP_ABDUCENS_PALSY	0.98443579766537	0.997882188865202	0.0451344222209097	0.509407337723424	0.674975398184933	1	CDH23
HP_ABLEPHARON	0.83852140077821	0.954044434453561	0.0524827622635459	0.574788334901223	0.761606589641725	1	PSAT1
HP_ABNORMALITIES_OF_PLACENTA_OR_UMBILICAL_CORD	0.0391749914178293	0.227298498783306	0.321775918075361	-0.509578520429074	-1.7235030690964	10	HOXD13, GJB2, KANK2
HP_ABNORMALITY_IRIS_MORPHOLOGY	0.0115278195803045	0.101528325172469	0.380730400722792	-0.254779150974131	-1.63411290530747	66	H19, CENPF, GPC3, DLX5, SALL4, GLI2, XRCC2, FANCD2, UBE2T, MMP14, GAS1, NOTCH3, TFAP2A, TONSL, ERF, FANCA, FANCI, SPRED2, SPRED1, COL4A1, ROBO1, GTF2IRD1, DACT1, FGFR1, ELN, MED12L, SMO, GTF2IRD2, FLNA, EPS15L1
HP_ABNORMALITY_OF_ABDOMINAL_SITUS	0.538934426229508	0.820399522274757	0.0764767053228531	-0.716839134524929	-0.964258709259995	1	DNAAF5
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	0.00000903781588139997	0.000582344531200206	0.593325476396405	0.52325058463947	2.47681392832515	35	MT-TF, MT-TV, MT-TP, MT-TL2, MT-TE, MT-TL1, CYP11A1, MT-ND1, MT-TK, MT-CYB, TPK1, MT-ATP6, MT-ATP8
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	0.958333333333333	0.993634248611341	0.0411544018789903	0.15658935573485	0.569548545463682	16	CYP11A1, SAA1, HBB, KCNJ10
HP_ABNORMALITY_OF_ALKALINE_PHOSPHATASE_LEVEL	0.131944444444444	0.446840902105425	0.159646701919906	0.398181047519321	1.35751608943182	13	TRPV6, MMEL1, SEMA4D
HP_ABNORMALITY_OF_AMINO_ACID_METABOLISM	0.962105263157895	0.994601957712521	0.0497903187820785	-0.329021730979957	-0.570305414301745	2	CBS
HP_ABNORMALITY_OF_BLOOD_AND_BLOOD_FORMING_TISSUES	1	1	0.0256225253207008	0.070990004154676	0.493465080039364	206	TTN, MMEL1, MT-TF, PRLR, MT-TL1, MPO, MYRF, SGCD, MT-ND1, MT-CYB, SEMA4D, HBA1, SAA1, CAPN3, SPP1, LDB3, TF, COL14A1, SASH3, F5, NCKAP1L, TREM2, ADAMTSL2, GNA14, FTCD, HBB, IL10, FGFR2, IL1RN, CA2, PLCG2, NLRP3, KCNQ1, SLC30A10, HAVCR2, IL18BP, LACC1, CP, DOCK2, ALPK1, CSF3R, FCGR3A, HBA2, MYLK, BTK, DSP, BEST1, LYN, IL10RA, CASP10, TNFRSF11A, CORO1A, FYB1, IKZF5, VWF, CRYAB, SYK, THSD4, ITGAM, FCHO1, STAT6, THBD, CXCR4, SNX10, C3, SPI1, KCNJ2, PRDM5, C1QB, TYROBP, CYBB, APOE, MMAA, IKZF1, COL4A5, TLR7, STXBP2, ZEB2, GCSH, RPL9
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	0.526462395543176	0.817920796629102	0.0946646223153342	-0.165300145799303	-0.964120170527467	49	KIF23, PDGFRA, FN1, POLE, NOTCH3, CBS, COL4A1, PLOD1, ENPP1, NOTCH1, SPARC, DZIP1L, ELN, PIK3CA, RUNX1, SMO, CDKN2C, FLNA, EXT2, POLD1, CAPN5, GCDH, RARA, BCOR, LRP5, LMNA, PET100
HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	0.0320949591983414	0.200970505278381	0.321775918075361	-0.211540283215651	-1.46367820270261	92	TRMT10A, COL1A2, GLI2, FAM20C, ESR2, CTSK, XRCC2, FN1, FANCD2, ANTXR2, CREB3L1, UBE2T, MMP14, POLE, LTBP4, SEMA5A, NOTCH3, TONSL, CBS, FANCA, FANCI, SPRED2, NFATC2, GEMIN4, PYCR1, PLOD1, ENPP1, GTF2IRD1, COL5A1, SPARC, FGFR1, BMP1, ELN, RUNX1, LAMA5, TENT5A, ZNF469, TYMS, SEC24D, CDKN2C, GTF2IRD2, PLOD2, FLNA, EXT2
HP_ABNORMALITY_OF_CANINE	0.164210526315789	0.500261850188814	0.157402899305283	-0.742588235294118	-1.28715538005243	2	CHSY1, FGFR1
HP_ABNORMALITY_OF_CARDIOVASCULAR_SYSTEM_ELECTROPHYSIOLOGY	0.174603174603175	0.517160049377385	0.123257226381337	0.217559304240246	1.25798525957308	74	TTN, MT-TF, MT-TV, CTNNA3, MT-TL1, MYRF, SGCD, MT-ND1, MT-TK, MT-CYB, MT-ATP6, MT-ATP8, LDB3, MT-ND4L
HP_ABNORMALITY_OF_CARTILAGE_OF_EXTERNAL_EAR	0.436170212765957	0.755010792476102	0.0899860794997137	-0.500483280068018	-1.01391204331747	3	TWIST1, ENPP1
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	0.933234421364985	0.985389904253325	0.035090109926935	0.113639066954851	0.642724000649149	69	MT-TF, MT-TL1, GJC2, MT-ND1, CNTN2, ASPA
HP_ABNORMALITY_OF_CHORIORETINAL_PIGMENTATION	0.717267552182163	0.910263530318702	0.0585937568945671	0.498823529411765	0.830429083696475	2	BEST1, PAX6
HP_ABNORMALITY_OF_CHROMOSOME_SEGREGATION	0.0323874700999687	0.201458899003316	0.321775918075361	-0.68959020254357	-1.58925786140144	4	ESCO2, BUB1B, RAI1, CDAN1
HP_ABNORMALITY_OF_CHROMOSOME_STABILITY	0.00604213781598827	0.065606095088458	0.407017918923954	-0.60091431637729	-2.03242018063903	10	XRCC2, FANCD2, CDCA7, UBE2T, FANCA, FANCI, PIK3CA, SMO
HP_ABNORMALITY_OF_CIRCULATING_FIBRINOGEN	1	1	0.0401660980049421	0.152867532281813	0.413846741005298	7	GNA14, HAVCR2
HP_ABNORMALITY_OF_CIRCULATING_GLUCOCORTICOID_LEVEL	0.242494226327945	0.602177599557781	0.133554954557592	-0.366624971534288	-1.1955518592185	9	AIRE, CBX2, ROBO1, PIK3CA, SMO, CDKN2C
HP_ABNORMALITY_OF_COAGULATION	0.962648556876061	0.994655040847473	0.0399218624292714	0.130610737444034	0.537836729054805	23	SEMA4D, F5, GNA14, HBB, SLC30A10, HAVCR2, IKZF5, VWF, THBD
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	0.391525423728814	0.731614691058053	0.0833634065110386	0.31725768321513	1.0631199676474	12	SPP1, IL10, ITGAM, THBD, C3, C1QB, TLR7, PXK, TNIP1, LMNA, LMNB2, PLCG1
HP_ABNORMALITY_OF_CONNECTIVE_TISSUE	0.0000280157699505338	0.00144413921523962	0.575610261071129	-0.223278400324237	-1.81079758555775	228	HAND2, HOXD13, CHAT, H19, FXYD2, DCX, SOX11, GJB2, COL6A2, SOX4, COL6A1, GPC3, KIF15, TRMT10A, KIF14, TBX15, DLL3, EZH2, AMH, COL1A2, SALL4, GLI2, ESCO2, FAM20C, COL6A3, LFNG, CTSK, XRCC2, CLMP, FANCD2, ANTXR2, CDCA7, BUB1, AIRE, UBE2T, MMP14, OBSL1, GAS1, POLE, LTBP4, SEMA5A, NOTCH3, GPC6, TFAP2A, EHMT1, CDT1, PGAP1, COL11A1, CBS, ANTXR1, EXOSC3, H1-4, NCAPG2, FANCA, TMPO, FANCI, GAD1, LAMA2, FZD2, SPRED1, KIF7, LMNB1, H4C3, NFATC2, PYCR1, CHST14, KIF11, PLOD1, ENPP1, GFPT1, NOTCH1, GTF2IRD1, TCF3, COL5A1, FREM2, SPARC, SH3BP2, DACT1, POP1, FLNC, SRPX2, CDH11, FGFR1, BMP1, ELN, PIK3CA, LAMA5, SCARF2, KMT2A, TENT5A, ZNF469, SEC24D, PBX1, RNASEH2A, CDKN2C, GTF2IRD2, FHL2, PLOD2, FLNA, EFNB1, EXT2, EP300, BGN, CEP152, VANGL2, EPHB4, IFT140
HP_ABNORMALITY_OF_COORDINATION	0.0774365821094793	0.337295847463464	0.184706471207739	0.209411461758205	1.36073670092429	138	TTN, SLC52A3, MT-TF, MT-TV, MT-TP, NKX6-2, MT-TE, MT-TL1, GJC2, MAG, MOG, GJB1, USH1C, MT-ND1, MT-TK, MT-CYB, TPK1, MT-ATP6, MT-ATP8, CAPN3, PLP1, FA2H, MT-ND4L, TREM2, SOX10, TUBB4A, PRKCG, IL10, ZNF423, ABCA2, SNCA, PRODH, LGI3, KCNJ10, SLC30A10, ADCY5, CTSD, CP, PDE2A, CA8, VWA1, KIF1A
HP_ABNORMALITY_OF_CORNEAL_SIZE	0.0704960835509138	0.325678604857382	0.276500599254472	-0.302661053286645	-1.51438230035036	31	CENPF, TBX15, SALL4, TFAP2A, COL11A1, ANTXR1, COL4A1, PYCR1, CHST14, KIF11, PLOD1, GTF2IRD1, JAG1, CDH11, ELN, RAI1, GTF2IRD2, BRD4, TUBB, BCOR
HP_ABNORMALITY_OF_CORNEAL_THICKNESS	0.100172711571675	0.389013297832271	0.184706471207739	0.35843514432714	1.39801456119859	19	CNGB1, CA4, PDE6B, RGR, SLC7A14, SLC4A11, FGFR2, CHST6, BEST1
HP_ABNORMALITY_OF_CRANIAL_SUTURES	0.000283998492765922	0.00731968746881433	0.49849310876659	-0.327863151986276	-2.06789418463391	64	H19, TWIST1, GPC3, COL1A2, ESCO2, FAM20C, CTSK, CREB3L1, MMP14, KDM4B, NOTCH3, GPC6, CDT1, FOXG1, COL11A1, ANTXR1, ERF, NCAPG2, PYCR1, CHST14, ENPP1, CDH11, FGFR1, BMP1, ELN, SCARF2, TENT5A, SEC24D, SMO, GRB10, PLOD2, FLNA, EFNB1, EP300, CEP152, IFT140, DCHS1, P3H1, SLC2A10, NUP85, ZIC1, LRP5, LMNA, KDM5B, FKBP10
HP_ABNORMALITY_OF_CYTOKINE_SECRETION	0.760700389105058	0.925056904046717	0.0570059526582387	0.61618062088429	0.816452236031636	1	STXBP2
HP_ABNORMALITY_OF_DENTAL_COLOR	0.731261425959781	0.912936126857502	0.0559428593065705	0.35798398492699	0.783362895447225	4	ROGDI, KCNJ2, RELT, GALNS
HP_ABNORMALITY_OF_DENTAL_ERUPTION	0.00134317524391929	0.0226031930222432	0.45505986738723	-0.357961553917783	-1.9852265642184	40	HOXD13, SOX11, SOX4, FAM20C, CTSK, PDGFRA, OBSL1, EHMT1, TRIO, TONSL, ANTXR1, KIF7, PUS7, UBR1, ENPP1, SH3BP2, EVC, CDH11, FGFR1, SEC24D, RAI1, FLNA, EP300
HP_ABNORMALITY_OF_DENTAL_STRUCTURE	0.00259283759871431	0.0364305075459915	0.431707695803346	-0.317305504328425	-1.88570445178485	50	TRMT10A, COL1A2, FAM20C, CTSK, AIRE, OBSL1, PGAP1, KIF7, UBR1, ENPP1, GTF2IRD1, COL5A1, SPARC, CDH11, FGFR1, BMP1, ELN, ZNF469, TYMS, SEC24D, RAI1, GTF2IRD2, FLNA, EP300, CEP152, P3H1, PCGF2, NUP85, GALNS, LONP1, LMNA, RBM28, FKBP10, ADNP
HP_ABNORMALITY_OF_DERMAL_MELANOSOMES	0.412765957446808	0.743403785809864	0.0931454575337804	-0.512241054613936	-1.03773171859832	3	AP3D1, MYO5A, LYST
HP_ABNORMALITY_OF_DNA_REPAIR	0.0589473684210526	0.291522800333373	0.271288554688953	-0.828705882352941	-1.43642625112315	2	FANCD2, FANCA
HP_ABNORMALITY_OF_ENDOCRINE_PANCREAS_PHYSIOLOGY	0.316483516483516	0.68123946383287	0.11146266692298	-0.486064635553846	-1.12020449297838	4	GPC3, CDKN2C, SLC16A1
HP_ABNORMALITY_OF_EXOCRINE_PANCREAS_PHYSIOLOGY	0.0406256204242315	0.232139630358765	0.321775918075361	-0.753295668549906	-1.52607605676224	3	CTRC, UBR1, JAG1
HP_ABNORMALITY_OF_EXTRAPYRAMIDAL_MOTOR_FUNCTION	0.562197092084006	0.828794828959078	0.0625237414724762	0.20199431792087	0.921984541284789	31	MPO, PLP1, FA2H, TREM2, SNCA, SLC30A10, CTSD, CP, DNAJC6, SLC6A9, APOE, FTL, GCSH, SAMD9L, PPP2R2B, MYORG
HP_ABNORMALITY_OF_FACIAL_ADIPOSE_TISSUE	0.425263157894737	0.747696371451038	0.0908241419007155	-0.608470588235294	-1.05468435133573	2	LMNB2, LMNA
HP_ABNORMALITY_OF_FACIAL_MUSCULATURE	0.456338028169014	0.767933788296791	0.103958471559957	-0.170705116819964	-1.0091754870822	51	CHAT, COL6A2, COL6A1, GPC3, SALL4, XRCC2, SIX1, UBE2T, KDM4B, TFAP2A, ANTXR1, TUBB6, LAMA2, COL4A1, SHMT2, GFPT1, SIX5, FLNC, SRPX2, PIK3CA
HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	0.509493670886076	0.804057527015506	0.104343952581949	-0.146376840128735	-0.970112054440441	78	CHAT, COL6A2, COL6A1, GPC3, SALL4, ESCO2, XRCC2, SIX1, UBE2T, LTBP4, KDM4B, TFAP2A, FOXG1, ANTXR1, TUBB6, IGSF3, LAMA2, COL4A1, SHMT2, GFPT1, GTF2IRD1, COL5A1, SIX5, FLNC, SRPX2, CDH11, ELN, PIK3CA
HP_ABNORMALITY_OF_FLUID_REGULATION	0.924137931034483	0.983447522114826	0.0755015292281669	-0.100729491658224	-0.711353981592847	102	HAND2, KIF20A, COL1A2, BUB1B, CLMP, FN1, ANTXR2, BUB1, LTBP4, GPC6, KCNQ2, CTRC, FOXG1, COL11A1, ANTXR1, IGSF3, TMPO, LAMA2, SPRED2, KIF7, KIF11, UBR1, ENPP1, GTF2IRD1, TCF3, COL5A1, JAG1, FLNC, CDH11, ELN, PIK3CA, MED12L, PBX1, CDKN2C, GTF2IRD2, FHL2, RP9, EPHB4, CDAN1, IFT140
HP_ABNORMALITY_OF_FOLATE_METABOLISM	0.64326375711575	0.868264227837879	0.0637845390312975	0.536825191913718	0.893693312245706	2	FTCD
HP_ABNORMALITY_OF_FONTANELLES	0.00235231754052986	0.0338802911646316	0.431707695803346	-0.381838552381723	-1.98511897480482	34	HOXD13, H19, TWIST1, COL1A2, GLI2, FAM20C, CTSK, LTBP4, COL11A1, ANTXR1, NCAPG2, KIF7, PYCR1, CHST14, UBR1, CDH11, GRB10, FLNA, EP300, IFT140, DCHS1, P3H1, PCGF2
HP_ABNORMALITY_OF_FOVEAL_PIGMENTATION	0.727626459143969	0.91223419621813	0.0590954798717342	0.628410159924741	0.832656631555928	1	APOE
HP_ABNORMALITY_OF_FRONTAL_SINUS	0.292307692307692	0.652367143084459	0.116739204791222	-0.495608920479177	-1.14220064343569	4	CTSK, COL11A1, FLNA
HP_ABNORMALITY_OF_FUNDUS_PIGMENTATION	0.878995433789954	0.966746876919926	0.0577308549299813	-0.234861100553886	-0.644088077462378	6	KIF7, COL4A1, CAPN5, MC1R
