pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	0.313213703099511	0.879035381094878	0.0937465422491719	0.290688376825909	1.13687200292143	19	MBP, ITPR2, DBNDD2, TMC6, ABCA2, RGS10, QDPR
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	0.0000000000230429253305505	0.0000000056132566105221	0.863415391606693	-0.536973733702376	-3.34360799140386	60	AURKB, IQGAP3, TTK, E2F8, RRM2, DLGAP5, KIF20A, KIF4A, KIF23, NUSAP1, DTL, MAD2L1, EZH2, NCAPH, ASPM, TOP2A, CDCA8, KIF2C, MKI67, BUB1, UBE2T, CDK1, BATF3, AURKA, CCNF, PCLAF, CCNA2, CDC20, TK1, TMPO, LMNB1, CDCA3, GGH, WEE1, KIF11, BIRC5, CIP2A, PRC1
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	0.000000417433772873199	0.0000391103334891967	0.674962860011025	-0.435111213090446	-2.69054694710863	59	AURKB, TTK, E2F8, DLGAP5, KIFC1, KIF20A, KIF4A, NUSAP1, DTL, MAD2L1, EZH2, NCAPH, ASPM, TOP2A, ERRFI1, TNFRSF9, CDCA8, KIF2C, MKI67, BUB1, UBE2T, CDK1, BATF3, AURKA, CCNF, PCLAF
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	0.611374407582938	1	0.0574877409561325	0.217427084800402	0.885604604807479	22	RASAL3, MAP7, ITPR2, EPHX1, RGS10, SLC44A1, ST6GAL1, KLF2, IL4R, HPCAL1, PTPN6, MPP1, RAMP1
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	1	1	0.0341946045318573	0.0766472753753954	0.356478807596295	35	CCL4, CD22, IL15, DBNDD2, DOCK5, EVI2A, IER3, ST3GAL4, CAPG, SNX10, CLDND1, CYBB, PALD1
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.819444444444444	1	0.070619624712259	-0.14927327720031	-0.72845843173035	30	KIF23, EZH2, TOP2A, SMC4, FASN
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	0.310725552050473	0.878106084448901	0.0922597260527354	0.263971124656863	1.11378483872402	26	CCL4, PATL2, MYOM1, SIGLEC1, LGI4, AQP6, MGST1, CA8, MSR1, ARHGAP23, RUNDC3A, UCP2, CAMK2N1
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.90251572327044	1	0.0393561959521291	0.154065620542083	0.639336619971242	24	NCKAP1L, ANKRD44, SOWAHA, ITGAL, DOCK10, NIPAL3, ARHGAP30, PSMB9, USP47, HABP4, SLC43A2, CBX7, PARP14, PLA2G15, CSNK1E, DCP1A, CLINT1, CYTH2, HINFP, PAG1, TENT5A, PFKFB4, ARHGEF39, ZNF12
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	0.0448216938952789	0.368870426786822	0.321775918075361	-0.45531914893617	-1.6113446142926	12	MEX3B, NPAS2, ANKRD27, COLGALT1, PAG1, MIDN, ARHGAP10, ILF3, RAVER1, MOCS1, TPRG1L, ENDOD1
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	0.484602917341977	1	0.0699458736501659	0.246427858828353	0.985700099666404	21	PLCH2, MT-CYB, PDK4, RHOU, HDAC11, NLRP3, TNFSF14, TRIM34, PLD5
