pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	0.482915717539863	0.781863542683588	0.0880945010398517	-0.300755429650614	-0.9606183889404	9	ANTXR2, ARID3A, DVL3, ACLY, PGD, WAS, LAPTM5, ARHGAP30, MAST3
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_UP	0.915289256198347	0.986191945058782	0.051218434854034	-0.366085833485404	-0.617581303681785	2	ZNF93
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_DN	0.953125	0.9942408759717	0.0529129848430583	-0.239868049010368	-0.582321426754443	5	ARAP3, KCTD2, WAS, CORO1A, RAI2
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_UP	0.220833333333333	0.527586206896552	0.132846300606183	-0.616016704194246	-1.2310715910034	3	COL6A3, ZNF93
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_DN	0.115183246073298	0.353465346534654	0.172324344900946	0.483499002652792	1.4104786710443	8	EXOG, RGS10, KCNJ10, LYL1, FCGR3A
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_UP	0.675	0.891694997571637	0.065981614400873	0.651458137347131	0.874010436771373	1	PTPRO
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_DN	0.770833333333333	0.929302217157066	0.0596037042575973	0.611006585136406	0.81973975261084	1	PRKCZ
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	0.584710743801653	0.852478134110787	0.0727141077934447	-0.556484531736285	-0.938781048467272	2	ZNF93
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_LOW_IGM_RESPONDERS_6HY_1DY_UP	0.608333333333333	0.861805555555555	0.0711327399327894	0.689087488240828	0.924494794130008	1	SLC44A1
BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_HIGH_RESPONDERS_1DY_3DY_POSITIVE_PREDICTIVE_OF_TITER	0.346743295019157	0.665959821428571	0.0972150808846466	0.568267419962335	1.1124494054443	3	TNFSF13B, SPI1, STAT1
BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_HIGH_RESPONDERS_1DY_TOP_FUNCTIONAL_NETWORK_POSITIVE	0.348214285714286	0.665959821428571	0.0928481214159878	0.40137845223574	1.10466681381241	7	ISG15, DAPP1, FCGR1A, TNFSF14, CORO1A
BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_LOW_RESPONDERS_1DY_POSITIVE_PREDICTIVE_OF_TITER	0.469348659003831	0.763939838591343	0.0802023444698144	-0.762935089369708	-1.01739436127973	1	E2F2
CAO_BLOOD_FLUMIST_AGE_05_14YO_1DY_DN	0.977011494252874	0.9942408759717	0.044774889329693	-0.509407337723424	-0.679308318906254	1	MSRB3
CAO_BLOOD_FLUMIST_AGE_05_14YO_7DY_UP	0.241666666666667	0.54375	0.126253987849115	0.8758231420508	1.17502341752224	1	OAS2
CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE	0.0193343205237892	0.113847440723151	0.352487857583619	0.68033946251768	1.75663270089311	6	RSAD2, OAS2, GBP5, GBP1, IFIT3, IFIT1
CAO_BLOOD_FLUZONE_AGE_05_14YO_1DY_UP	0.128352490421456	0.370527000650618	0.170932335370056	0.682203389830508	1.3354922854091	3	FCGR1BP, FCGR1A, IFIT3
CAO_BLOOD_FLUZONE_AGE_05_14YO_7DY_DN	0.135416666666667	0.381950945515821	0.173747838999571	0.927563499529633	1.24443940889036	1	IRAG1
CAO_BLOOD_FLUZONE_AGE_05_14YO_7DY_UP	0.814049586776859	0.958073744437381	0.0566484183613995	-0.442823529411765	-0.747036644361139	2	ZFP30, WFS1
CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE	0.0195786169925014	0.113847440723151	0.352487857583619	0.680018850141376	1.62451581722248	5	IFI44L, ISG15, GBP1, IFIT3, IFIT1
COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP	0.128352490421456	0.370527000650618	0.170932335370056	0.682203389830508	1.3354922854091	3	IFI6, MX1, IFIT3
COLE_BLOOD_FLUZONE_FLUARIX_AGE_03_17YO_7DY_DN	0.660416666666667	0.88695652173913	0.0670512579829467	0.659924741298213	0.885369417177066	1	CXCR4
DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN	0.00582533041784281	0.049044547421559	0.407017918923954	-0.846516007532957	-1.69171030770431	3	RBP1, NOTCH3, CBS
DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_UP	0.443850267379679	0.742175856929955	0.0793434960134973	0.394272762931461	1.01801007672531	6	RNASE1, ASPA, SGK1
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	0.653418124006359	0.884716574982062	0.0546808488785442	0.157398893037778	0.85610259540661	58	JCHAIN, IFI27, IFI44L, RSAD2, OAS2, RALGAPA1, ISG15, PCGF5, EPSTI1, IFI6, DOCK10, MFSD6, ANK3, GBP1, IKZF5, SLC44A1, IFIT1, MAN2A1, SLIRP, ATP8A1, CLIP4, CLDND1, FABP5, ARAP2, SAMD9L, MGAT4A, ADD3, SEC11C, BORCS7, BLTP1, PNRC2, USP47
ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP	0.000992180823164277	0.0126503054953445	0.45505986738723	0.434920875251082	2.08685013939631	35	CD274, IFI27, IFI44L, SIGLEC1, RSAD2, OAS2, IFIT2, NTNG2, ISG15, ETV7, IL1RN, EPSTI1, ZBP1, IFI6, GBP5, TNFSF13B, MX1, MX2, GBP1, IFIT3, IFIT1, IFITM2, MS4A4A, LGALS9, SAMD9L, TMEM268, STAT1, UBE2L6, TDRD7, PARP14, DDX60
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN	0.126353790613718	0.370527000650618	0.166933848713193	0.578134773871837	1.38112213278483	5	TMCC3, GPR27, SGK1, THBD
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_DN	0.804166666666667	0.953779069767442	0.057609110864425	0.592662276575729	0.795128628398505	1	MARCHF8
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP	0.000169092033986711	0.00390449589317984	0.518848077743792	0.527280416378399	2.22913174132135	24	IFI27, IFI44L, SIGLEC1, RSAD2, OAS2, IFIT2, ISG15, ETV7, IL1RN, EPSTI1, ZBP1, IFI6, MX1, MX2, GBP1, IFIT3, IFIT1, IFITM2, MS4A4A
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.00857347800071958	0.0639874211761022	0.380730400722792	0.669619227284592	1.84291442191707	7	CCL3, OAS2, IFIT2, IL15, ENPP2
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_DN	0.157039711191336	0.410719244654263	0.148261500475107	0.549010367577757	1.31154603400152	5	SPI1, C1QB, TYROBP, ITGAX, CLEC7A
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.296934865900383	0.618109312690594	0.106729884364606	0.596516007532957	1.16774929303887	3	IFIT2, ATP8A1, SAMD9L
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.0463458110516934	0.202800841390293	0.282013350011725	0.597359735973597	1.54237950937739	6	OAS2, IFIT2, IL15, LYN, CD68, SAMD9L
