pathway	pval	padj	log2err	ES	NES	size	leadingEdge
AKT_UP.V1_DN	0.835978835978836	0.970948239918994	0.0672065093710464	-0.145337413330872	-0.716942637015954	32	FAM20C, ESR2, PDGFRA, LPL, GAS1, PDIA5, CBS, PUS7, TCAF2, TCF3, SIX5, CNN2
AKT_UP.V1_UP	0.234146341463415	0.567689337052135	0.11146266692298	0.295236808636008	1.18527040972503	21	SAA1, TMCC3, IFIT2, TPRN, UGT8, KCNQ1, PRKCH, NKAIN1, RUNDC3A, IFIT3, IFIT1
AKT_UP_MTOR_DN.V1_DN	0.339473684210526	0.661448724905046	0.118815039412263	-0.228810137882577	-1.08169714044301	28	FAM20C, ESR2, LPL, GAS1, PDIA5, CBS, ERF, MCM6, VCAN, PUS7, WEE1
AKT_UP_MTOR_DN.V1_UP	0.642512077294686	0.884267832012444	0.0560595875032335	0.209390063860484	0.854783611984448	22	RASAL3, SAA1, TMCC3, TPRN, HCN2, KCNQ1, MSR1, SLC44A1, RUNDC3A, IFIT1
ALK_DN.V1_DN	0.00558366243885422	0.0659784636405501	0.407017918923954	0.509243793623329	1.93695078183881	18	IFI27, IFI44L, LGR5, EFHD1, PRODH, IFI6, MX1, NDRG2, VAV1, KCNJ9, INPP5D, CRYAB, THSD4, CIDEB, SLA
ALK_DN.V1_UP	0.824607329842932	0.970948239918994	0.0673623868166279	-0.164093811307853	-0.727697269963463	23	STC2, CA3, VEGFA, TRIB3, CBS, CATSPERG, ETV1, ASNS
ATF2_S_UP.V1_DN	0.017599214766377	0.14475189970106	0.352487857583619	-0.391015881592061	-1.68105387759384	21	KRT8, IGFBP2, AIRE, GAS1, POLE, OSMR, FMOD, COL11A1, SBNO2, LAMA2, CATSPERG, EVC, ST3GAL6
ATF2_S_UP.V1_UP	0.0418535189966164	0.232656326187073	0.321775918075361	-0.296196710899275	-1.50712870372083	35	HOXD10, ASIC4, KIF20A, KIF23, CENPU, EZH2, GALNT14, TOP2A, FOXM1, LRRC17, SEMA5A, FOXG1, PSPN, TK1
ATF2_UP.V1_DN	0.278061224489796	0.61827731092437	0.130777137971974	-0.25592019114173	-1.15309475005225	24	CCN4, SHOX2, IGFBP2, AIRE, GAS1, FMOD, PKD1P6
ATF2_UP.V1_UP	0.731770833333333	0.936047389887568	0.0730744399126987	-0.174519117687902	-0.789239193520219	25	CENPU, DTL, FOXM1, RBP1, FOXG1, NCAPG, TK1
ATM_DN.V1_DN	0.0673400673400673	0.283594827764674	0.224966093540314	0.390076744229637	1.51723505391385	19	MAG, LILRA2, IFI27, NNAT, RAPGEF4, RNASE2, SLC24A2, IL1RAPL1, SPTLC2, CYBB, TLR7, CLCN4, NTRK2, MRAS, CYP2J2
ATM_DN.V1_UP	0.178875638841567	0.482964224872232	0.133554954557592	0.335961807264294	1.27785845089727	18	CYP4F3, LHPP, GJB1, MYOM1, NGFR, FCGR1A, CSF3R, BEST1, DYSF, SLC6A1, HRK, GAB2
