pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_UP	0.668859649122807	0.980464824336051	0.0689567351672811	0.492647058823529	0.853379472330853	2	VWF, KLF10
ABRAMSON_INTERACT_WITH_AIRE	0.866666666666667	0.98914230654864	0.0513223330421143	-0.562043795620438	-0.752250436651887	1	GCN1
ACEVEDO_LIVER_CANCER_DN	0.854515050167224	0.98914230654864	0.0446854397644147	-0.277393895757859	-0.683349584919357	6	MXRA5, FASN
ACEVEDO_LIVER_CANCER_UP	0.356435643564356	0.877423844620884	0.11146266692298	0.409218089398035	1.06722409212684	6	JCHAIN
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.300438596491228	0.870951343500363	0.114750719227023	0.683823529411765	1.18454165562342	2	CPLX2, DTNA
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.576329331046312	0.978040111703478	0.0642140881844605	-0.385808018075347	-0.897742561340707	5	COL1A2, ZBTB46, SDK1
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.981099656357388	0.98914230654864	0.0395979123961192	-0.227669860609135	-0.494483465811425	4	MXRA5
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.379474940334129	0.905322445899695	0.105125131597001	0.430240589024848	1.05492478691551	5	AKR1C3, VWF, SLC6A1
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0.565705128205128	0.977274764478626	0.0618406035753285	-0.305235554124469	-0.915613704018436	10	H19, DLX1, KIF26B, ERF, HMGXB3, SDK1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.567816091954023	0.977274764478626	0.0797705918628453	0.44985305405415	0.910891654566528	3	TP53INP2
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.866666666666667	0.98914230654864	0.0513223330421143	-0.562043795620438	-0.752250436651887	1	GCN1
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.91869918699187	0.98914230654864	0.0502948063662358	0.547445255474453	0.718676814988291	1	GCDH
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.664705882352941	0.980464824336051	0.0637845390312975	-0.671532846715328	-0.898792729506151	1	BIRC5
AFFAR_YY1_TARGETS_DN	0.155932203389831	0.75958448955747	0.143758989039275	-0.516756995906514	-1.34311171696837	7	TTK, CDT1, TK1, KIF11, BIRC5
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.0603290676416819	0.642517466756818	0.248911114434702	-0.836474773459159	-1.4127131642879	2	HAND2
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.315789473684211	0.870951343500363	0.11146266692298	0.669117647058824	1.15906764152399	2	PLEKHG3, RNF38
AIYAR_COBRA1_TARGETS_UP	0.0548780487804878	0.642517466756818	0.276500599254472	0.985401459854015	1.29361826697892	1	PRLR
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.277873070325901	0.848192417926003	0.103958471559957	-0.509837730748748	-1.18634919137716	5	KIFC1, CCNF, TK1, BIRC5
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.719298245614035	0.988071190512443	0.0653834195468773	0.470588235294118	0.81516845118171	2	COL4A5, GRB10
ALFANO_MYC_TARGETS	0.861788617886179	0.98914230654864	0.0532386494755899	0.583941605839416	0.766588602654177	1	TFAP4
ALONSO_METASTASIS_UP	0.678244972577697	0.980464824336051	0.059476028695732	-0.514705882352941	-0.869281177159039	2	KIF11, KLF10
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	0.831372549019608	0.98914230654864	0.0532386494755899	-0.591240875912409	-0.791328381413024	1	OLFML2A
