pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ACE2_PATHWAY	0.480572597137014	1	0.0824344091527096	0.759124087591241	1.01441106513961	1	COL4A5
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.907975460122699	1	0.0511147954416412	0.562043795620438	0.75105434630529	1	NUP85
BIOCARTA_AMI_PATHWAY	0.480572597137014	1	0.0824344091527096	0.759124087591241	1.01441106513961	1	COL4A5
BIOCARTA_ATM_PATHWAY	0.717791411042945	1	0.0621124188949471	0.642335766423358	0.858347824348903	1	ATM
BIOCARTA_ATRBRCA_PATHWAY	0.717791411042945	1	0.0621124188949471	0.642335766423358	0.858347824348903	1	ATM
BIOCARTA_BARRESTIN_PATHWAY	0.760736196319018	1	0.0593487680335629	0.627737226277372	0.838839919250065	1	PPARA
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.658869395711501	1	0.0639271933359996	-0.671532846715328	-0.891192886198088	1	BIRC5
BIOCARTA_BCR_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_BIOPEPTIDES_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_CALCINEURIN_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_CARM_ER_PATHWAY	0.869120654396728	1	0.0531298054705469	0.576642335766423	0.770562251404129	1	TBP
BIOCARTA_CCR5_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_CDC25_PATHWAY	0.15036231884058	1	0.152144922367565	-0.683852958938365	-1.31417717244026	3	MYT1, CDC25A
BIOCARTA_CELLCYCLE_PATHWAY	0.387914230019493	1	0.0916795246008379	-0.817518248175182	-1.08493047015419	1	CDC25A
BIOCARTA_CHEMICAL_PATHWAY	0.717791411042945	1	0.0621124188949471	0.642335766423358	0.858347824348903	1	ATM
BIOCARTA_CIRCADIAN_PATHWAY	0.586912065439673	1	0.072003313661988	0.708029197080292	0.946133397293678	1	CRY2
BIOCARTA_CXCR4_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_EGF_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_EPO_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_ERK5_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_FCER1_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_G1_PATHWAY	0.650943396226415	1	0.0629394692018967	-0.52962474256781	-0.881042096959464	2	CDC25A
BIOCARTA_G2_PATHWAY	0.15036231884058	1	0.152144922367565	-0.683852958938365	-1.31417717244026	3	MYT1, CDC25A
BIOCARTA_GH_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_GPCR_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_HSWI_SNF_PATHWAY	0.869120654396728	1	0.0531298054705469	0.576642335766423	0.770562251404129	1	TBP
BIOCARTA_INTRINSIC_PATHWAY	0.480572597137014	1	0.0824344091527096	0.759124087591241	1.01441106513961	1	COL4A5
BIOCARTA_ION_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_MCM_PATHWAY	0.530214424951267	1	0.0747385227439092	-0.737226277372263	-0.978374798978336	1	CDT1
BIOCARTA_MPR_PATHWAY	0.16374269005848	1	0.151148761385484	-0.934306569343066	-1.23992053731908	1	MYT1
BIOCARTA_NFAT_PATHWAY	0.014727581485251	0.868927307629806	0.380730400722792	-1	-1.32710245009933	1	HAND2
BIOCARTA_NGF_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_NPP1_PATHWAY	0.480572597137014	1	0.0824344091527096	0.759124087591241	1.01441106513961	1	COL4A5
BIOCARTA_NUCLEARRS_PATHWAY	0.760736196319018	1	0.0593487680335629	0.627737226277372	0.838839919250065	1	PPARA
BIOCARTA_P53HYPOXIA_PATHWAY	0.717791411042945	1	0.0621124188949471	0.642335766423358	0.858347824348903	1	ATM
BIOCARTA_P53_PATHWAY	0.717791411042945	1	0.0621124188949471	0.642335766423358	0.858347824348903	1	ATM
BIOCARTA_PDGF_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_PDZS_PATHWAY	0.386503067484663	1	0.0946646223153342	0.802919708029197	1.07293478043613	1	DLG2
BIOCARTA_PGC1A_PATHWAY	0.760736196319018	1	0.0593487680335629	0.627737226277372	0.838839919250065	1	PPARA
BIOCARTA_PLATELETAPP_PATHWAY	0.480572597137014	1	0.0824344091527096	0.759124087591241	1.01441106513961	1	COL4A5
BIOCARTA_PLC_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_PLK3_PATHWAY	0.717791411042945	1	0.0621124188949471	0.642335766423358	0.858347824348903	1	ATM
BIOCARTA_PPARA_PATHWAY	0.760736196319018	1	0.0593487680335629	0.627737226277372	0.838839919250065	1	PPARA
BIOCARTA_PTC1_PATHWAY	0.387914230019493	1	0.0916795246008379	-0.817518248175182	-1.08493047015419	1	CDC25A
BIOCARTA_PTDINS_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_PYK2_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_RARRXR_PATHWAY	0.869120654396728	1	0.0531298054705469	0.576642335766423	0.770562251404129	1	TBP
BIOCARTA_RB_PATHWAY	0.15036231884058	1	0.152144922367565	-0.683852958938365	-1.31417717244026	3	MYT1, CDC25A
BIOCARTA_RNAPOL3_PATHWAY	0.869120654396728	1	0.0531298054705469	0.576642335766423	0.770562251404129	1	TBP
BIOCARTA_SLRP_PATHWAY	0.966861598440546	1	0.0460457683018055	-0.518248175182482	-0.687768423044177	1	BGN
BIOCARTA_SRCRPTP_PATHWAY	0.387914230019493	1	0.0916795246008379	-0.817518248175182	-1.08493047015419	1	CDC25A
BIOCARTA_TCR_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_TOLL_PATHWAY	0.760736196319018	1	0.0593487680335629	0.627737226277372	0.838839919250065	1	PPARA
BIOCARTA_TPO_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_TRKA_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_VEGF_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_VIP_PATHWAY	1	1	0.0445070537769277	-0.503649635036496	-0.668394664648566	1	PLCG1
BIOCARTA_VITCB_PATHWAY	0.480572597137014	1	0.0824344091527096	0.759124087591241	1.01441106513961	1	COL4A5
