pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PID_AP1_PATHWAY	0.250485436893204	1	0.118815039412263	-0.89051094890511	-1.18205466540999	1	COL1A2
PID_AR_NONGENOMIC_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_ATM_PATHWAY	0.68256880733945	1	0.0593487680335629	-0.52962474256781	-0.876737814047579	2	CDC25A
PID_ATR_PATHWAY	0.390291262135922	1	0.0911073131586733	-0.817518248175182	-1.08516493873704	1	CDC25A
PID_AURORA_A_PATHWAY	0.65631067961165	1	0.0639271933359996	-0.671532846715328	-0.89138548539114	1	BIRC5
PID_AURORA_B_PATHWAY	0.319266055045872	1	0.0995791200495904	-0.676470588235294	-1.11982559938834	2	CDCA8, BIRC5
PID_AVB3_INTEGRIN_PATHWAY	0.925754060324826	1	0.0560595875032335	0.2626932557657	0.589123861047873	4	COL14A1
PID_BARD1_PATHWAY	0.720739219712526	1	0.0621124188949471	0.642335766423358	0.856267643702324	1	ATM
PID_BETA_CATENIN_NUC_PATHWAY	0.487378640776699	1	0.0789209638180035	-0.766423357664234	-1.01734213006598	1	TLE2
PID_CD8_TCR_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_CDC42_REG_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_CIRCADIAN_PATHWAY	0.601642710472279	1	0.0709609456938284	0.708029197080292	0.943840470899153	1	CRY2
PID_CMYB_PATHWAY	0.250485436893204	1	0.118815039412263	-0.89051094890511	-1.18205466540999	1	COL1A2
PID_CONE_PATHWAY	0.408624229979466	1	0.0916795246008379	0.781021897810219	1.04114361222896	1	SLC24A2
PID_DELTA_NP63_PATHWAY	0.303664921465969	1	0.0995791200495904	-0.527132295221538	-1.13744236323245	4	DLX5, FASN, COL5A1
PID_DNA_PK_PATHWAY	0.967145790554415	1	0.0484087618816951	0.525547445255474	0.700582617574629	1	PNKP
PID_E2F_PATHWAY	0.435943060498221	1	0.0802023444698144	-0.53648321874553	-1.03982834421685	3	CDC25A, TK1
PID_ECADHERIN_KERATINOCYTE_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_ENDOTHELIN_PATHWAY	0.250485436893204	1	0.118815039412263	-0.89051094890511	-1.18205466540999	1	COL1A2
PID_EPHA_FWDPATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_EPHB_FWD_PATHWAY	0.947572815533981	1	0.046788296531803	-0.525547445255474	-0.69760603204524	1	EFNB1
PID_EPHRINB_REV_PATHWAY	0.947572815533981	1	0.046788296531803	-0.525547445255474	-0.69760603204524	1	EFNB1
PID_EPO_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
PID_ERBB4_PATHWAY	0.0554414784394251	1	0.276500599254472	0.985401459854015	1.31359240795243	1	PRLR
PID_FAK_PATHWAY	1	1	0.0443293451680314	-0.503649635036496	-0.668539114043355	1	PLCG1
