pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.0502901353965184	1	0.282013350011725	-0.978102189781022	-1.29609357426708	1	ABCA10
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.0502901353965184	1	0.282013350011725	-0.978102189781022	-1.29609357426708	1	ABCA10
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.781443298969072	1	0.0584693210386381	0.591240875912409	0.799951028403526	1	UBE2S
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.923711340206186	1	0.0507027937029348	0.532846715328467	0.7209435194254	1	PCGF2
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.373307543520309	1	0.0934449219410994	-0.817518248175182	-1.08330209192472	1	CDC25A
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.621722846441948	1	0.0647943366000727	-0.53345392803575	-0.905170679487773	2	FASN
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.377319587628866	1	0.0965629554309422	0.802919708029197	1.08635324844923	1	DLG2
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.547388781431335	1	0.0727141077934447	-0.737226277372263	-0.976906350753543	1	CDT1
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.13015873015873	1	0.153158808683073	-0.502031291181369	-1.34080411970097	7	COL1A2, CCNF, CLEC2D, KIF11, UBR1
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.150515463917526	1	0.163180127180689	0.934306569343066	1.26412014365002	1	SOX10
REACTOME_ADIPOGENESIS	0.725773195876289	1	0.0619762736001998	0.627737226277372	0.849330721514854	1	PPARA
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.924564796905222	1	0.0477342401407188	-0.54014598540146	-0.715753167878833	1	P2RY1
REACTOME_ANCHORING_FIBRIL_FORMATION	0.597378277153558	1	0.0667426134241917	-0.543876083382881	-0.922855110966282	2	COL1A2
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.730337078651685	1	0.0571258510018113	-0.485294117647059	-0.823452566633962	2	HAUS8, TUBB
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.678832116788321	1	0.0593487680335629	-0.457408990082289	-0.877716369119918	3	CCNF, UBR1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	0.664529914529915	1	0.0679922591544058	0.5	0.86507169647179	2	NUP85, PLCG1
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	1	1	0.0441523058441465	-0.503649635036496	-0.66739146734648	1	PLCG1
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.781443298969072	1	0.0584693210386381	0.591240875912409	0.799951028403526	1	UBE2S
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.781443298969072	1	0.0584693210386381	0.591240875912409	0.799951028403526	1	UBE2S
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.781443298969072	1	0.0584693210386381	0.591240875912409	0.799951028403526	1	UBE2S
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	0.781443298969072	1	0.0584693210386381	0.591240875912409	0.799951028403526	1	UBE2S
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.954639175257732	1	0.0491927521045191	0.525547445255474	0.711067580803134	1	PNKP
REACTOME_ARACHIDONIC_ACID_METABOLISM	0.22680412371134	1	0.130105630751129	0.89051094890511	1.20486451191642	1	AKR1C3
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.377319587628866	1	0.0965629554309422	0.802919708029197	1.08635324844923	1	DLG2
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.931764705882353	1	0.0564118388217596	0.2626932557657	0.596808142408035	4	COL14A1
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.730337078651685	1	0.0571258510018113	-0.485294117647059	-0.823452566633962	2	HAUS8, TUBB
REACTOME_AUTOPHAGY	0.670103092783505	1	0.0658311958368866	0.642335766423358	0.869082598759386	1	ATM
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.974854932301741	1	0.0453152441270267	-0.518248175182482	-0.686736147559421	1	BGN
REACTOME_BASE_EXCISION_REPAIR	0.954639175257732	1	0.0491927521045191	0.525547445255474	0.711067580803134	1	PNKP
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.22680412371134	1	0.130105630751129	0.89051094890511	1.20486451191642	1	AKR1C3
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.231441048034935	1	0.132846300606183	0.616160359912991	1.23982910698579	3	JCHAIN
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	0.725773195876289	1	0.0619762736001998	0.627737226277372	0.849330721514854	1	PPARA
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	0.810309278350515	1	0.0567672387487446	0.576642335766423	0.780199151158994	1	TBP
REACTOME_CARDIAC_CONDUCTION	0.295938104448743	1	0.107554375265169	-0.854014598540146	-1.13166379245707	1	CACNG4
REACTOME_CARDIOGENESIS	0.00727091271105919	1	0.407017918923954	-1	-1.32511059458649	1	HAND2
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.34020618556701	1	0.102821842840815	0.817518248175182	1.10610512569376	1	REPS2
REACTOME_CDC42_GTPASE_CYCLE	0.207264957264957	1	0.139599673451922	0.720588235294118	1.24672097432699	2	PLEKHG3, DOCK8
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	0.406451612903226	1	0.0787113806986485	-0.376923076923077	-1.0502571419858	8	CBX2, ERF, GCN1, GRB10, NUP85, UBE2S, PPARA, ATM
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.725773195876289	1	0.0619762736001998	0.627737226277372	0.849330721514854	1	PPARA
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	0.506410256410256	1	0.0819778796501272	0.566176470588235	0.97956647982835	2	ATM, NUP85
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	0.882011605415861	1	0.0498907356726307	-0.562043795620438	-0.744770188198245	1	GCN1
REACTOME_CELLULAR_SENESCENCE	0.63448275862069	1	0.0598603117764473	-0.400672325366492	-0.871296470049733	4	CBX2, ERF
REACTOME_CELL_CELL_COMMUNICATION	0.596153846153846	1	0.0734381410838857	0.524718020416782	0.90783741618253	2	SOX10
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.596153846153846	1	0.0734381410838857	0.524718020416782	0.90783741618253	2	SOX10
REACTOME_CELL_CYCLE	0.167449139280125	1	0.132147260608774	-0.420535300028836	-1.32808481867838	11	PIF1, CDCA8, CDC25A, CDT1, TK1, BIRC5, HAUS8
REACTOME_CELL_CYCLE_CHECKPOINTS	0.53968253968254	1	0.0636424081651019	-0.371212121212121	-0.941649157451984	6	CDCA8, CDC25A, BIRC5, NUP85, UBE2S, ATM
REACTOME_CELL_CYCLE_MITOTIC	0.194144838212635	1	0.120433371642259	-0.434108527131783	-1.28155995202347	9	CDCA8, CDC25A, CDT1, TK1, BIRC5, HAUS8, TUBB, NUP85, UBE2S
REACTOME_CELL_JUNCTION_ORGANIZATION	0.596153846153846	1	0.0734381410838857	0.524718020416782	0.90783741618253	2	SOX10
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.264192139737991	1	0.123257226381337	0.596020320083385	1.19930360547491	3	JCHAIN
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.974854932301741	1	0.0453152441270267	-0.518248175182482	-0.686736147559421	1	BGN
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.974854932301741	1	0.0453152441270267	-0.518248175182482	-0.686736147559421	1	BGN
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.357833655705996	1	0.0959206777921745	-0.824817518248175	-1.09297443203119	1	FASN
REACTOME_CHROMOSOME_MAINTENANCE	0.0618955512572534	1	0.252961123069611	-0.970802919708029	-1.28642123416061	1	PIF1
REACTOME_CILIUM_ASSEMBLY	0.730337078651685	1	0.0571258510018113	-0.485294117647059	-0.823452566633962	2	HAUS8, TUBB
REACTOME_CIRCADIAN_CLOCK	0.333333333333333	1	0.106323255932708	0.632352941176471	1.09406126318491	2	CRY2, PPARA
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.924564796905222	1	0.0477342401407188	-0.54014598540146	-0.715753167878833	1	P2RY1
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.678832116788321	1	0.0593487680335629	-0.457408990082289	-0.877716369119918	3	CCNF, UBR1
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.34020618556701	1	0.102821842840815	0.817518248175182	1.10610512569376	1	REPS2
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.931764705882353	1	0.0564118388217596	0.2626932557657	0.596808142408035	4	COL14A1
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	0.931764705882353	1	0.0564118388217596	0.2626932557657	0.596808142408035	4	COL14A1
REACTOME_COLLAGEN_DEGRADATION	0.931764705882353	1	0.0564118388217596	0.2626932557657	0.596808142408035	4	COL14A1
REACTOME_COLLAGEN_FORMATION	0.931764705882353	1	0.0564118388217596	0.2626932557657	0.596808142408035	4	COL14A1
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	0.45979381443299	1	0.0852884689790502	0.751824817518248	1.01722167809337	1	GAB2
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	1	1	0.0441523058441465	-0.503649635036496	-0.66739146734648	1	PLCG1
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	1	1	0.0441523058441465	-0.503649635036496	-0.66739146734648	1	PLCG1
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.781443298969072	1	0.0584693210386381	0.591240875912409	0.799951028403526	1	UBE2S
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	0.136861313868613	1	0.160801401070022	-0.696296296296296	-1.33611422221256	3	KIFC1, KIF26B, KIF11
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	0.377319587628866	1	0.0965629554309422	0.802919708029197	1.08635324844923	1	DLG2
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	0.597378277153558	1	0.0667426134241917	-0.543876083382881	-0.922855110966282	2	COL1A2
REACTOME_CS_DS_DEGRADATION	0.974854932301741	1	0.0453152441270267	-0.518248175182482	-0.686736147559421	1	BGN
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.373307543520309	1	0.0934449219410994	-0.817518248175182	-1.08330209192472	1	CDC25A
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	0.373307543520309	1	0.0934449219410994	-0.817518248175182	-1.08330209192472	1	CDC25A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.772845953002611	1	0.0704500850658419	0.248620829049204	0.753273058345711	8	PRLR
REACTOME_CYTOPROTECTION_BY_HMOX1	0.725773195876289	1	0.0619762736001998	0.627737226277372	0.849330721514854	1	PPARA
REACTOME_DAG_AND_IP3_SIGNALING	1	1	0.0441523058441465	-0.503649635036496	-0.66739146734648	1	PLCG1
REACTOME_DAP12_INTERACTIONS	1	1	0.0441523058441465	-0.503649635036496	-0.66739146734648	1	PLCG1
REACTOME_DAP12_SIGNALING	1	1	0.0441523058441465	-0.503649635036496	-0.66739146734648	1	PLCG1
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	0.48742746615087	1	0.0787113806986485	-0.766423357664234	-1.01559571117943	1	TLE2
