pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	0.602794411177645	1	0.0694481442003175	0.708029197080292	0.940469265076594	1	CRY2
WP_13Q1212_COPY_NUMBER_VARIATION	0.553376906318083	1	0.0782955249944794	0.558823529411765	0.941288993708484	2	DTNA, SNTB1
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	0.936127744510978	1	0.0486034247259069	0.532846715328467	0.707775838665891	1	PCGF2
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	0.351297405189621	1	0.0988903007520636	0.824817518248175	1.09559821601706	1	VWA1
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	0.130755064456722	1	0.165656695205483	-0.774224716144518	-1.2804048816623	2	HAND2
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	0.744510978043912	1	0.059221919380382	-0.635036496350365	-0.837053571428572	1	ITPRIPL1
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	0.093812375249501	1	0.206587922696891	0.963503649635037	1.27981384525887	1	IQCA1
WP_4P163_COPY_NUMBER_VARIATION	1	1	0.0455878202571231	-0.503649635036496	-0.663870073891626	1	PLCG1
WP_5Q35_COPY_NUMBER_VARIATION	0.718232044198895	1	0.0571258510018113	-0.507352941176471	-0.83905508189281	2	DBN1, PLCG1
WP_ADHD_AND_AUTISM_ASD_PATHWAYS	0.555803571428571	1	0.0793434960134973	0.375403211571843	0.910744482792122	5	AKR1C3, DLG2, SLC6A1
WP_ADIPOGENESIS	0.119825708061002	1	0.190023305279108	0.799202421576219	1.34618605620765	2	PRLR
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY	0.553376906318083	1	0.0782955249944794	0.558823529411765	0.941288993708484	2	DTNA, SNTB1
WP_ALLOGRAFT_REJECTION	0.724550898203593	1	0.0605092988656667	-0.642335766423358	-0.846674876847291	1	COL5A1
WP_ALZHEIMERS_DISEASE	0.972055888223553	1	0.0468819856878333	0.518248175182482	0.688384719798332	1	TUBB
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS	0.972055888223553	1	0.0468819856878333	0.518248175182482	0.688384719798332	1	TUBB
WP_AMINO_ACID_METABOLISM	0.193612774451098	1	0.139599673451922	0.912408759124088	1.21194492922242	1	FTCD
WP_AMINO_ACID_METABOLISM_PATHWAY_EXCERPT_HISTIDINE_CATABOLISM_EXTENSION	0.193612774451098	1	0.139599673451922	0.912408759124088	1.21194492922242	1	FTCD
WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING	0.383233532934132	1	0.0937465422491719	-0.824817518248175	-1.08720751231527	1	FASN
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER	0.666666666666667	1	0.060640400949416	-0.52962474256781	-0.875887958227335	2	CDC25A
WP_ANGIOGENESIS	1	1	0.0455878202571231	-0.503649635036496	-0.663870073891626	1	PLCG1
WP_ANGIOPOIETINLIKE_PROTEIN_8_REGULATORY_PATHWAY	0.383233532934132	1	0.0937465422491719	-0.824817518248175	-1.08720751231527	1	FASN
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY	0.25748502994012	1	0.118815039412263	-0.89051094890511	-1.17379926108374	1	COL1A2
WP_APOPTOSIS	0.674650698602794	1	0.0639271933359996	-0.671532846715328	-0.885160098522168	1	BIRC5
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	0.674650698602794	1	0.0639271933359996	-0.671532846715328	-0.885160098522168	1	BIRC5
WP_APOPTOSIS_MODULATION_AND_SIGNALING	0.674650698602794	1	0.0639271933359996	-0.671532846715328	-0.885160098522168	1	BIRC5
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	0.315369261477046	1	0.105520936843198	-0.854014598540146	-1.12569273399015	1	CACNG4
WP_ASPIRIN_AND_MIRNAS	0.0828729281767956	1	0.211400189384923	-0.820264605202753	-1.35654517720196	2	H19
WP_ATM_SIGNALING	0.666666666666667	1	0.060640400949416	-0.52962474256781	-0.875887958227335	2	CDC25A
WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE	0.666666666666667	1	0.060640400949416	-0.52962474256781	-0.875887958227335	2	CDC25A
WP_AXON_GUIDANCE	0.952095808383233	1	0.0478299633114229	-0.525547445255474	-0.692733990147784	1	EFNB1
WP_BASE_EXCISION_REPAIR	0.960079840319361	1	0.0474483193656297	0.525547445255474	0.698080279232111	1	PNKP
WP_BDNFTRKB_SIGNALING	0.684095860566449	1	0.0675188953767744	0.5	0.84220594173917	2	GAB2, PLCG1
WP_BENZOAPYRENE_METABOLISM	0.229540918163673	1	0.126875729929857	0.89051094890511	1.18285825092108	1	AKR1C3
WP_BLOOD_CLOTTING_CASCADE	0.449101796407186	1	0.0847985102819124	0.773722627737226	1.02772929998061	1	VWF
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING	1	1	0.0455878202571231	-0.503649635036496	-0.663870073891626	1	PLCG1
WP_BREAST_CANCER_PATHWAY	0.726546906187625	1	0.0603786357920401	0.642335766423358	0.85320923017258	1	ATM
WP_BURN_WOUND_HEALING	0.464088397790055	1	0.0787113806986485	-0.617647058823529	-1.02145836056516	2	COL1A2, CNN2
WP_B_CELL_RECEPTOR_SIGNALING	0.684095860566449	1	0.0675188953767744	0.5	0.84220594173917	2	GAB2, PLCG1
WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS	1	1	0.0455878202571231	-0.503649635036496	-0.663870073891626	1	PLCG1
WP_CANCER_PATHWAYS	0.896551724137931	1	0.0541200569620232	0.333333333333333	0.659865652501334	3	COL4A5, PLCG1, BIRC5
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	0.203592814371257	1	0.135740943810425	-0.912408759124088	-1.2026631773399	1	MFAP2
WP_CCL18_SIGNALING	0.538126361655773	1	0.0797705918628453	0.564550493246605	0.95093555964814	2	BCYRN1
