pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ADA2_TARGET_GENES	0.977011494252874	0.994987468671679	0.0376923295943841	-0.218375283327286	-0.541829523231503	6	MFAP2, HMGXB3, DBN1
ADCYAP1_TARGET_GENES	0.417338709677419	0.974686379928315	0.0894366833718621	0.795620437956204	1.05908332515458	1	TMEFF2
ADNP_TARGET_GENES	0.767354596622889	0.974686379928315	0.0549073703290958	-0.477941176470588	-0.796833425075233	2	TLE2, PNKP
AEBP2_TARGET_GENES	0.403174603174603	0.974686379928315	0.0782955249944794	-0.332304286775153	-1.05139191408287	12	HOXC6, PIF1, PRR11, TK1, HAUS8, SS18, DPF3
AHRR_TARGET_GENES	0.480952380952381	0.974686379928315	0.0692836467392548	-0.341085271317829	-0.981376364803758	9	HMGXB3, CNN2, SS18, WDR54, KLF10, PLCG1, UBE2S, HNRNPUL1, DTNA
ALKBH3_TARGET_GENES	0.832661290322581	0.974686379928315	0.0544555953940371	0.598540145985401	0.796741584061242	1	MCM3AP
ARHGAP35_TARGET_GENES	0.991935483870968	0.994987468671679	0.0464154956843849	0.510948905109489	0.680145254686426	1	DCHS1
ARID3B_TARGET_GENES	0.8125	0.974686379928315	0.0555947097758869	0.605839416058394	0.806457944842477	1	GSE1
ARID5B_TARGET_GENES	0.296629213483146	0.974686379928315	0.117249716749792	0.555555555555556	1.15521377446987	3	GATB, TFAP4, GCDH
ARNT2_TARGET_GENES	0.442748091603053	0.974686379928315	0.0995791200495904	0.386363636363636	1.04337447871478	6	ATM, GSE1, TBP, PNKP, SS18, HAUS8
ASH1L_TARGET_GENES	0.472783825816485	0.974686379928315	0.069119845655101	-0.297344451916845	-0.995523430350183	14	PIF1, CDCA8, PRR11, CCNF, TK1, ZNF300, HAUS8, SS18
ATF5_TARGET_GENES	0.630434782608696	0.974686379928315	0.0667426134241917	-0.664233576642336	-0.893770542816578	1	SINHCAF
ATF6_TARGET_GENES	0.922305764411028	0.974686379928315	0.0598603117764473	0.240322139304688	0.608307607329302	5	A2ML1, CCDC163
ATXN7L3_TARGET_GENES	0.524834437086093	0.974686379928315	0.0670512579829467	-0.406015037593985	-0.942556443480601	5	FASN, BCOR, UBE2S, MCM3AP, GSE1
AUTS2_TARGET_GENES	0.524834437086093	0.974686379928315	0.0670512579829467	-0.406015037593985	-0.942556443480601	5	FASN, CDT1, TUBB, GCDH, GSE1
BAHD1_TARGET_GENES	0.764112903225806	0.974686379928315	0.0584693210386381	0.62043795620438	0.825890666404946	1	ZNF75A
BANP_TARGET_GENES	0.522177419354839	0.974686379928315	0.077274697304471	0.72992700729927	0.971636078123466	1	RAPGEF6
BARHL1_TARGET_GENES	0.50635593220339	0.974686379928315	0.0815265143256594	0.544117647058824	0.952412868007355	2	CCDC163, C5orf15
BARX1_TARGET_GENES	0.465079365079365	0.974686379928315	0.0709609456938284	-0.34651280709224	-0.996992563379423	9	PIF1, KIFC1, CDCA8
BARX2_TARGET_GENES	0.307931570762053	0.974686379928315	0.0919686140000427	-0.355875221501618	-1.16004975309456	13	PIF1, KIFC1, CDCA8, CDC25A
BCL6B_TARGET_GENES	0.454545454545455	0.974686379928315	0.0835990603684159	-0.766423357664234	-1.0312737032499	1	TLE2
BDP1_TARGET_GENES	0.752380952380952	0.974686379928315	0.0481183992657975	-0.254204215078248	-0.763041257115007	10	CA3, MFAP2, FASN, UBR1, GCN1, ARID3A, GRB10
BPTF_TARGET_GENES	0.698412698412698	0.974686379928315	0.0762797180809272	0.27671607463408	0.828132663867712	8	PRLR, AKR1C3
BRCA2_TARGET_GENES	0.827371695178849	0.974686379928315	0.042845050912155	-0.20768385957008	-0.695335483728455	14	PIF1, MYT1
CBX5_TARGET_GENES	0.641203703703704	0.974686379928315	0.0738052724171275	0.365671641791045	0.851373598414383	4	AKR1C3, DOCK8, PLCG1, COL5A1
CBX7_TARGET_GENES	0.778350515463918	0.974686379928315	0.0694481442003175	0.268884749431445	0.766716994325176	7	PRLR, CCDC163, TMEFF2
CC2D1A_TARGET_GENES	0.753205128205128	0.974686379928315	0.048505983646947	-0.251694833123804	-0.776265403811862	11	PIF1, CPXM1, PRR11
CDC5L_TARGET_GENES	0.236111111111111	0.974686379928315	0.135740943810425	0.536801056764214	1.24980500290243	4	TP53INP2, FTCD
CDC73_TARGET_GENES	0.707317073170732	0.974686379928315	0.0587185879555941	-0.513735249285933	-0.856510044381121	2	FASN
CDH4_TARGET_GENES	0.729249011857708	0.974686379928315	0.0597317976364411	-0.613138686131387	-0.825018962599918	1	CNN2
CEBPZ_TARGET_GENES	0.136217948717949	0.974686379928315	0.150169802128406	-0.489331947852041	-1.35984689560107	8	CDCA8, PRR11, CDC25A, CCNF
CHAF1B_TARGET_GENES	0.956185567010309	0.992526115518541	0.059476028695732	0.199494351344944	0.568852304831234	7	AKR1C3, RAPGEF6, UBE2S, TUBB, ARID3A, C8orf82
CHAMP1_TARGET_GENES	0.895256916996047	0.974686379928315	0.0501934252649434	-0.554744525547445	-0.746445728066592	1	ARID3A
CIC_TARGET_GENES	0.913135593220339	0.974686379928315	0.0524827622635459	0.371530236982189	0.650319247075265	2	CCDC163
CIITA_TARGET_GENES	0.794701986754967	0.974686379928315	0.0475434194201301	-0.315789473684211	-0.733099456040467	5	SRP68, OLFML2A, PCGF2, HNRNPUL1, GATB
COBLL1_TARGET_GENES	0.907258064516129	0.974686379928315	0.0504983044100709	0.547445255474453	0.728727058592599	1	GCDH
CREB3L4_TARGET_GENES	0.350515463917526	0.974686379928315	0.115240003147781	0.381095242564484	1.08668193175144	7	PRLR, AKR1C3
CREB3_TARGET_GENES	0.622983870967742	0.974686379928315	0.0683110858318647	0.686131386861314	0.913337913436058	1	CDH23
CSHL1_TARGET_GENES	0.179841897233202	0.974686379928315	0.144630528034484	-0.912408759124088	-1.22770678958321	1	MFAP2
CUX1_TARGET_GENES	0.950320512820513	0.992526115518541	0.0378487722705029	-0.203989914471251	-0.566885226164577	8	MYT1
