pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GCM_AQP4	0.668571428571429	0.903410798357207	0.0621124188949471	0.678832116788321	0.903063209977207	1	DTNA
GCM_ATM	0.716190476190476	0.903410798357207	0.0588438169595807	0.642335766423358	0.854511424494562	1	ATM
GCM_BAG5	0.587002096436059	0.903410798357207	0.0732558655828455	-0.708029197080292	-0.938913291036277	1	GPR153
GCM_BNIP1	0.622641509433962	0.903410798357207	0.0702812841717392	-0.700729927007299	-0.929233772571986	1	HMGXB3
GCM_CDH5	0.0990476190476191	0.651138716356108	0.195789002148949	0.956204379562044	1.27205677964531	1	COL14A1
GCM_CSNK1D	0.587002096436059	0.903410798357207	0.0732558655828455	-0.708029197080292	-0.938913291036277	1	GPR153
GCM_DEAF1	0.587002096436059	0.903410798357207	0.0732558655828455	-0.708029197080292	-0.938913291036277	1	GPR153
GCM_ERCC4	0.0990476190476191	0.651138716356108	0.195789002148949	0.956204379562044	1.27205677964531	1	COL14A1
GCM_FANCC	0.0990476190476191	0.651138716356108	0.195789002148949	0.956204379562044	1.27205677964531	1	COL14A1
GCM_HMGA2	0.0990476190476191	0.651138716356108	0.195789002148949	0.956204379562044	1.27205677964531	1	COL14A1
GCM_LTK	0.716190476190476	0.903410798357207	0.0588438169595807	0.642335766423358	0.854511424494562	1	ATM
GCM_MAP4K4	0.290598290598291	0.870600356426821	0.115240003147781	0.683823529411765	1.17181251275668	2	GAB2, DTNA
GCM_MAPK10	0.668571428571429	0.903410798357207	0.0621124188949471	0.678832116788321	0.903063209977207	1	DTNA
GCM_MYCL1	0.622641509433962	0.903410798357207	0.0702812841717392	-0.700729927007299	-0.929233772571986	1	HMGXB3
GCM_PRKCG	0.0990476190476191	0.651138716356108	0.195789002148949	0.956204379562044	1.27205677964531	1	COL14A1
GCM_PTK2	0.0761904761904762	0.651138716356108	0.224966093540314	0.970802919708029	1.29147749383837	1	TP53INP2
GCM_PTPRU	0.0990476190476191	0.651138716356108	0.195789002148949	0.956204379562044	1.27205677964531	1	COL14A1
GCM_RAB10	0.587002096436059	0.903410798357207	0.0732558655828455	-0.708029197080292	-0.938913291036277	1	GPR153
