pathway	pval	padj	log2err	ES	NES	size	leadingEdge
MODULE_1	0.106194690265487	0.821933085501859	0.181383128498408	-0.542955545248351	-1.38385337858305	6	MFAP2, COL1A2, MXRA5
MODULE_100	0.88412017167382	0.971082811510589	0.0545680646670941	0.329343034425301	0.650416680474111	3	SOX10
MODULE_104	0.527896995708155	0.862660944206009	0.0799858801499946	0.488986434936934	0.965695036980316	3	SOX10, REPS2
MODULE_105	0.137546468401487	0.821933085501859	0.161978948883402	-0.681481481481481	-1.33567656692597	3	CCNF, ERF, BIRC5
MODULE_11	0.88412017167382	0.971082811510589	0.0545680646670941	0.329343034425301	0.650416680474111	3	SOX10
MODULE_111	0.654832347140039	0.877337674082113	0.0647943366000727	-0.522058823529412	-0.886352921046848	2	EFNB1, BGN
MODULE_117	0.302575107296137	0.821933085501859	0.112843355675562	0.583561534156726	1.15247057391367	3	JCHAIN
MODULE_118	0.425	0.837647265693687	0.0817515582532145	-0.378644609197519	-1.03198788101084	7	KIFC1, MFAP2, CCNF, KIF11, DBN1
MODULE_119	0.303092783505155	0.821933085501859	0.110122263835536	-0.854014598540146	-1.14298401420959	1	CACNG4
MODULE_12	0.413854351687389	0.837647265693687	0.0828962134571565	-0.442452644261813	-1.0539527531383	5	MFAP2, COL1A2, TLE2
MODULE_121	0.2321083172147	0.821933085501859	0.12384217120105	0.89051094890511	1.19378757135001	1	AKR1C3
MODULE_122	0.581081081081081	0.877337674082113	0.0774767547848578	0.368421052631579	0.900706551168918	5	VWF, COL4A5, BGN, EFNB1, COL5A1
MODULE_123	0.439842209072978	0.837647265693687	0.0852884689790502	-0.612081023406457	-1.03919286211067	2	DLX5
MODULE_124	0.733576642335766	0.877337674082113	0.0557104226766671	-0.356012638105617	-0.794841025467458	4	CDC25A, BIRC5
MODULE_126	0.377319587628866	0.837647265693687	0.0965629554309422	-0.817518248175182	-1.09413854351687	1	CDC25A
MODULE_128	0.458413926499033	0.837647265693687	0.0819778796501272	0.773722627737226	1.03722526691066	1	VWF
MODULE_129	0.342342342342342	0.837647265693687	0.107972360317345	0.462108036454284	1.1297501399802	5	JCHAIN
MODULE_13	0.420074349442379	0.837647265693687	0.0845557442441281	-0.533333333333333	-1.04531209585511	3	MFAP2, DBN1, EFNB1
MODULE_131	0.458413926499033	0.837647265693687	0.0819778796501272	0.773722627737226	1.03722526691066	1	VWF
MODULE_136	0.149901380670611	0.821933085501859	0.159646701919906	-0.757350026512964	-1.28583097919205	2	PIF1
MODULE_137	0.88412017167382	0.971082811510589	0.0545680646670941	0.329343034425301	0.650416680474111	3	SOX10
MODULE_138	0.889546351084813	0.971732698739388	0.0503964322442957	-0.401279389151093	-0.681293261792611	2	ERF
MODULE_139	0.122244488977956	0.821933085501859	0.179782316298324	0.78520308168151	1.34366251497408	2	PRLR
MODULE_145	0.696252465483235	0.877337674082113	0.0618406035753285	-0.505738132331642	-0.858643606186792	2	CACNG4
MODULE_147	0.0907216494845361	0.821933085501859	0.213927855492356	-0.970802919708029	-1.29928952042629	1	PIF1
MODULE_148	0.2321083172147	0.821933085501859	0.12384217120105	0.89051094890511	1.19378757135001	1	AKR1C3
MODULE_15	0.2321083172147	0.821933085501859	0.12384217120105	0.89051094890511	1.19378757135001	1	AKR1C3
MODULE_154	0.976394849785408	0.986643835616438	0.0499913914024592	0.265368680011203	0.524074287029839	3	AKR1C3
MODULE_156	0.303092783505155	0.821933085501859	0.110122263835536	-0.854014598540146	-1.14298401420959	1	CACNG4
MODULE_16	0.957522123893805	0.986643835616438	0.042077210988939	-0.227478314347859	-0.579783440135363	6	CCNF, TK1, KIF11, ARID3A
MODULE_162	0.458413926499033	0.837647265693687	0.0819778796501272	0.766423357664234	1.0274401228832	1	SLC6A1
MODULE_163	0.981735159817352	0.986643835616438	0.0525898950623616	0.184076310799014	0.488270734485385	6	VWA1, VWF, ENTREP1, P2RY1, DPF3
MODULE_164	0.645360824742268	0.877337674082113	0.0676760401641789	-0.671532846715328	-0.898756660746002	1	BIRC5
MODULE_165	0.74639175257732	0.877337674082113	0.060640400949416	-0.62043795620438	-0.830373001776198	1	DBN1
MODULE_169	0.977319587628866	0.986643835616438	0.0481183992657975	-0.510948905109489	-0.683836589698046	1	KLF10
MODULE_17	0.452930728241563	0.837647265693687	0.0780892306943345	-0.428571428571429	-1.02088673876698	5	TTK, TK1, ARID3A, C5orf15, TFAP4
MODULE_170	0.458413926499033	0.837647265693687	0.0819778796501272	0.773722627737226	1.03722526691066	1	VWF
MODULE_171	0.303092783505155	0.821933085501859	0.110122263835536	-0.854014598540146	-1.14298401420959	1	CACNG4
MODULE_174	0.380670611439842	0.837647265693687	0.0934449219410994	-0.642435993614907	-1.0907296148671	2	COL1A2
MODULE_177	0.701402805611222	0.877337674082113	0.062249042949858	0.485294117647059	0.830449510237994	2	UBE2S, BGN
MODULE_179	0.50185873605948	0.847677360907188	0.0751181635276301	-0.50523265543979	-0.990235886160391	3	PIF1
MODULE_18	0.166071428571429	0.821933085501859	0.142901149386948	-0.471569872626813	-1.2852537228302	7	KIFC1, MFAP2, CCNF, TK1, KIF11
MODULE_180	0.122244488977956	0.821933085501859	0.179782316298324	0.78520308168151	1.34366251497408	2	PRLR
MODULE_181	0.527896995708155	0.862660944206009	0.0799858801499946	0.488986434936934	0.965695036980316	3	SOX10, REPS2
MODULE_182	0.977319587628866	0.986643835616438	0.0481183992657975	-0.510948905109489	-0.683836589698046	1	KLF10
MODULE_183	0.622823984526112	0.877337674082113	0.0662842187012672	0.671532846715329	0.900233250526236	1	HNRNPUL1
MODULE_188	0.696252465483235	0.877337674082113	0.0618406035753285	-0.505738132331642	-0.858643606186792	2	CACNG4
MODULE_19	0.141263940520446	0.821933085501859	0.159646701919906	-0.680132197102175	-1.3330320232714	3	COL1A2, MXRA5
MODULE_192	0.656804733727811	0.877337674082113	0.0646484568421928	-0.519597891443709	-0.882174743714428	2	DLX5
MODULE_195	0.0907216494845361	0.821933085501859	0.213927855492356	-0.970802919708029	-1.29928952042629	1	PIF1
MODULE_196	0.62680412371134	0.877337674082113	0.069119845655101	-0.686131386861314	-0.91829484902309	1	KIF11
MODULE_197	0.018734180012404	0.821933085501859	0.352487857583619	-0.71327122603889	-1.69906131688339	5	HOXC6, MYT1, DLX5, CDC25A
MODULE_198	0.100371747211896	0.821933085501859	0.191892240384838	-0.718569961184275	-1.40836851027011	3	MYT1, DLX5
MODULE_2	0.253424657534247	0.821933085501859	0.129442887745046	0.455152531245756	1.20731266163249	6	JCHAIN, SOX10
MODULE_20	1	1	0.0470699590082662	-0.503649635036496	-0.674067495559502	1	PLCG1
MODULE_205	0.70985401459854	0.877337674082113	0.0572461135202884	-0.365472582438731	-0.815961488759456	4	KIFC1, CACNG4
MODULE_206	0.48742746615087	0.847677360907188	0.0787113806986485	0.759124087591241	1.01765497885574	1	COL4A5
MODULE_207	0.0735009671179884	0.821933085501859	0.231126709673834	0.963503649635037	1.2916390116246	1	IQCA1
MODULE_208	0.303092783505155	0.821933085501859	0.110122263835536	-0.854014598540146	-1.14298401420959	1	CACNG4
MODULE_212	0.50887573964497	0.852366863905326	0.0774767547848578	-0.587035221627835	-0.996670030265087	2	TTK
MODULE_213	0.445360824742268	0.837647265693687	0.0870515867946735	-0.781021897810219	-1.04529307282416	1	CCNF
MODULE_218	0.458413926499033	0.837647265693687	0.0819778796501272	0.766423357664234	1.0274401228832	1	SLC6A1
MODULE_220	0.631163708086785	0.877337674082113	0.0665892104103933	-0.529411764705882	-0.898836765005254	2	DLX5, EFNB1
MODULE_223	0.2321083172147	0.821933085501859	0.12384217120105	0.89051094890511	1.19378757135001	1	AKR1C3
