pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	0.48502994011976	0.958573049978474	0.0806388495950661	0.766423357664234	1.01327877711727	1	SLC6A1
GOBP_ACID_SECRETION	0.48502994011976	0.958573049978474	0.0806388495950661	0.766423357664234	1.01327877711727	1	SLC6A1
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.501176470588235	0.958573049978474	0.0878312634480124	0.390977443609023	0.962755703020803	5	TMEFF2, CDK10, MYADM, CNN2, DBN1
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.439121756487026	0.958573049978474	0.0860347242455604	0.795620437956204	1.0518798733884	1	TMEFF2
GOBP_ACTIN_FILAMENT_ORGANIZATION	0.609271523178808	0.958573049978474	0.0739901439101341	0.388059701492537	0.879913566447525	4	TMEFF2, MYADM, CNN2, DBN1
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	0.718562874251497	0.958573049978474	0.0609039347452418	0.64963503649635	0.858874392032734	1	MYADM
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	0.694092827004219	0.958573049978474	0.0652353056017703	0.5	0.846829810220141	2	PLPP4, PLCG1
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	0.0315099558027219	0.558334304574546	0.321775918075361	0.985401459854015	1.30278699915078	1	PRLR
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.0315099558027219	0.558334304574546	0.321775918075361	0.985401459854015	1.30278699915078	1	PRLR
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.0315099558027219	0.558334304574546	0.321775918075361	0.985401459854015	1.30278699915078	1	PRLR
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.905063291139241	0.992830306209768	0.0526973085708419	0.389705882352941	0.660029116789227	2	TMEFF2, CNN2
GOBP_ACYL_COA_METABOLIC_PROCESS	0.926147704590818	0.992830306209768	0.0490939668192139	0.547445255474453	0.723770555083764	1	GCDH
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.00750311750821876	0.211000003959864	0.407017918923954	1	1.32208754728634	1	JCHAIN
GOBP_ADAPTIVE_THERMOGENESIS	0.637969094922737	0.958573049978474	0.0716527366829457	0.375952335574562	0.8524604825942	4	PRLR
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.922155688622755	0.992830306209768	0.0492917662312669	-0.54014598540146	-0.71118287010341	1	P2RY1
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.922155688622755	0.992830306209768	0.0492917662312669	-0.54014598540146	-0.71118287010341	1	P2RY1
GOBP_ADULT_BEHAVIOR	0.945179584120983	0.992830306209768	0.0456790414930062	-0.375	-0.619388985134182	2	SDK1, PPARA
GOBP_ADULT_HEART_DEVELOPMENT	0.00750311750821876	0.211000003959864	0.407017918923954	-1	-1.31664936762388	1	HAND2
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	0.922155688622755	0.992830306209768	0.0492917662312669	-0.54014598540146	-0.71118287010341	1	P2RY1
GOBP_ALCOHOL_CATABOLIC_PROCESS	0.235528942115768	0.921156846273851	0.125033367555272	0.89051094890511	1.17733343626959	1	AKR1C3
GOBP_ALCOHOL_METABOLIC_PROCESS	0.69620253164557	0.958573049978474	0.0650877566917313	0.49857202316505	0.844411303515862	2	AKR1C3
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	0.554852320675105	0.958573049978474	0.0764767053228531	0.55753327327118	0.944271591991295	2	FTCD
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.668662674650699	0.958573049978474	0.0643583367917361	0.671532846715329	0.887825214236084	1	HNRNPUL1
GOBP_AMACRINE_CELL_DIFFERENTIATION	0.117764471057884	0.872766661798354	0.183023938384487	-0.956204379562044	-1.25898589166955	1	DLX1
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	0.308529945553539	0.950046478686202	0.100990587455923	-0.528604443975865	-1.13981943583137	4	HAND2
GOBP_AMELOGENESIS	0.766467065868264	0.958573049978474	0.0578529757032509	0.627737226277372	0.829923569829383	1	PPARA
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	0.926147704590818	0.992830306209768	0.0490939668192139	0.547445255474453	0.723770555083764	1	GCDH
GOBP_AMIDE_CATABOLIC_PROCESS	0.179640718562874	0.921156846273851	0.14551614609036	0.912408759124088	1.20628425847294	1	FTCD
GOBP_AMIDE_METABOLIC_PROCESS	0.554852320675105	0.958573049978474	0.0764767053228531	0.55753327327118	0.944271591991295	2	FTCD
