pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	0.672654690618762	0.941026313247692	0.0640703750499722	0.642335766423358	0.861781929999805	1	ATM
GOMF_5ALPHA_ANDROSTANE_3BETA_17BETA_DIOL_DEHYDROGENASE_ACTIVITY	0.221556886227545	0.644375371394615	0.129442887745046	0.89051094890511	1.194743130227	1	AKR1C3
GOMF_5_3_DNA_HELICASE_ACTIVITY	0.063872255489022	0.583606440581362	0.252961123069611	-0.970802919708029	-1.28333783627311	1	PIF1
GOMF_5_3_EXONUCLEASE_ACTIVITY	0.107784431137725	0.644375371394615	0.191892240384838	0.941605839416058	1.2632939655679	1	EXOG
GOMF_7S_RNA_BINDING	0.197604790419162	0.644375371394615	0.138022242496643	-0.905109489051095	-1.19649542629974	1	SRP68
GOMF_ABC_TYPE_TRANSPORTER_ACTIVITY	0.066949927133397	0.583606440581362	0.287805130535564	-0.978102189781022	-1.29298699293682	1	ABCA10
GOMF_ACETYLTRANSFERASE_ACTIVITY	0.701323251417769	0.96375678285349	0.059476028695732	-0.513735249285933	-0.857475108849828	2	FASN
GOMF_ACTIN_BINDING	0.60485651214128	0.922169916063419	0.0743625384422526	0.388059701492537	0.898778731582481	4	PLEKHG3, SNTB1, CNN2, DBN1
GOMF_ACTIN_FILAMENT_BINDING	0.786427145708583	0.980704104796993	0.0566484183613995	-0.613138686131387	-0.810529159751437	1	CNN2
GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.140461215932914	0.644375371394615	0.170932335370056	0.772058823529412	1.36543095272159	2	SLC24A2, SLC6A1
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.468164794007491	0.89185393258427	0.0791316651768349	-0.513573564872558	-1.00369330250299	3	ABCA10
GOMF_ACYLTRANSFERASE_ACTIVITY	0.967254408060453	0.999545624198757	0.0578529757032509	0.188117006188884	0.55215551096907	7	ZDHHC2, RNF38, MCM3AP, UBE2S, BCOR
GOMF_ACYLTRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS	0.98876404494382	1	0.0431901998334182	-0.25484899899984	-0.498059578882732	3	FASN
GOMF_ACYL_COA_BINDING	0.912175648702595	0.998675063665772	0.0497903187820785	0.547445255474453	0.734473235795288	1	GCDH
