pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HP_2_3_TOE_CUTANEOUS_SYNDACTYLY	0.84990253411306	1	0.0519512476197082	0.569343065693431	0.748776600731228	1	BCOR
HP_2_3_TOE_SYNDACTYLY	0.84990253411306	1	0.0519512476197082	0.569343065693431	0.748776600731228	1	BCOR
HP_3_4_FINGER_SYNDACTYLY	0.952965235173824	1	0.0488970772260102	-0.525547445255474	-0.690213334381016	1	EFNB1
HP_ABDOMINAL_OBESITY	0.670565302144249	1	0.0630790410571939	0.686131386861314	0.902371800881223	1	CDH23
HP_ABDOMINAL_PAIN	0.541522491349481	1	0.0676760401641789	-0.376313312713394	-0.937404132847642	6	H19
HP_ABDUCENS_PALSY	0.670565302144249	1	0.0630790410571939	0.686131386861314	0.902371800881223	1	CDH23
HP_ABNORMALITY_IRIS_MORPHOLOGY	0.47923875432526	1	0.0738052724171275	-0.400941382918419	-0.998753157754012	6	H19, DLX5
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	0.535641547861507	1	0.0764767053228531	0.551470588235294	0.943551691443992	2	GATB, GCDH
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	0.264583333333333	1	0.119887845115423	0.577777777777778	1.15910845195798	3	GATB, CDH23, BCOR
HP_ABNORMALITY_OF_ALKALINE_PHOSPHATASE_LEVEL	0.973415132924335	1	0.047925896705813	-0.518248175182482	-0.680627038070169	1	BGN
HP_ABNORMALITY_OF_BLOOD_AND_BLOOD_FORMING_TISSUES	0.854889589905363	1	0.0419926218968594	-0.181030275886145	-0.67887383277734	20	HAND2, SRP68, COL1A2
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	0.114155251141553	1	0.199915231309662	0.56390977443609	1.40163315017901	5	VWF, DOCK8, ATM, BCOR, GCDH
HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	0.33743842364532	1	0.114750719227023	0.382009185916576	1.07132017702203	7	PRLR, SOX10
HP_ABNORMALITY_OF_CARDIOVASCULAR_SYSTEM_ELECTROPHYSIOLOGY	0.246323529411765	1	0.116234148779716	-0.565198311334972	-1.21717819043258	4	HAND2
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	0.360416666666667	1	0.0999276973731092	0.533410290235018	1.07010065037594	3	SOX10, SLC6A1
HP_ABNORMALITY_OF_CHROMOSOME_STABILITY	0.752436647173489	1	0.057609110864425	0.642335766423358	0.844773600824975	1	ATM
HP_ABNORMALITY_OF_CIRCULATING_FIBRINOGEN	0.84990253411306	1	0.0519512476197082	0.569343065693431	0.748776600731228	1	BCOR
HP_ABNORMALITY_OF_CIRCULATING_GLUCOCORTICOID_LEVEL	0.929389312977099	1	0.0468819856878333	-0.313977077192496	-0.602609103949146	3	CBX2
HP_ABNORMALITY_OF_COAGULATION	0.476578411405295	1	0.0826646449123753	0.573529411764706	0.981293759101752	2	VWF, BCOR
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	1	1	0.0466948041282054	-0.503649635036496	-0.661454445448474	1	PLCG1
HP_ABNORMALITY_OF_CONNECTIVE_TISSUE	0.426307448494453	1	0.0753093764172773	-0.282143662796938	-1.04289356480746	19	HAND2, H19
HP_ABNORMALITY_OF_COORDINATION	0.00786547356388442	1	0.380730400722792	0.551181102362205	1.92511919593394	11	SOX10, VWA1, SLC6A1, CDH23, ATM, MCM3AP, TBP, GCDH, PNKP, TUBB, DCHS1
HP_ABNORMALITY_OF_CORNEAL_SIZE	0.713740458015267	1	0.0590954798717342	-0.437037037037037	-0.838795301989559	3	KIF11, TUBB, BCOR
HP_ABNORMALITY_OF_CORNEAL_THICKNESS	0.875255623721881	1	0.052805004567129	-0.576642335766423	-0.757317408556948	1	ZNF469
