pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	0.0115139321084169	0.983281354604395	0.380730400722792	-0.645246173571792	-1.80351887912423	8	TTK, CDCA8, BATF3, CCNF, TK1, KIF11, BIRC5
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	0.161237785016287	0.993543059852504	0.138022242496643	-0.435005279146031	-1.30538058045	10	TTK, KIFC1, CDCA8, BATF3, CCNF, TK1, KIF11, BIRC5
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	0.33	0.993543059852504	0.102821842840815	-0.824817518248175	-1.11774733879121	1	FASN
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.938369781312127	1	0.0483117581055019	-0.381230237983562	-0.650773065640424	2	TK1
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.747514910536779	0.993543059852504	0.0588438169595807	-0.485294117647059	-0.82841367030298	2	FASN, TUBB
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	0.26	0.993543059852504	0.118287526124085	-0.868613138686131	-1.17709675501021	1	MEX3B
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	0.467196819085487	0.993543059852504	0.0824344091527096	-0.588235294117647	-1.00413778218543	2	CLEC2D, DPF3
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	0.48406374501992	0.993543059852504	0.0806388495950661	0.564582980773678	0.974485494649795	2	COL14A1
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	0.450199203187251	0.993543059852504	0.0845557442441281	0.573529411764706	0.989927276507433	2	DOCK8, BCOR
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	0.328685258964143	0.993543059852504	0.102821842840815	0.839416058394161	1.11930294906166	1	CCDC163
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	0.274900398406374	0.993543059852504	0.114266502484433	0.868613138686131	1.15823522555077	1	RAB11FIP4
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.592	0.993543059852504	0.0704500850658419	-0.686131386861314	-0.929807520764366	1	KIF11
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.762820512820513	0.993543059852504	0.0613026075396207	0.368270492295787	0.745089886245072	3	EXOG
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.194831013916501	0.993543059852504	0.13880510939114	-0.720588235294118	-1.23006878317715	2	KIFC1, TK1
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	0.422	0.993543059852504	0.0883594442500905	-0.781021897810219	-1.0583979225722	1	CCNF
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	0.290836653386454	0.993543059852504	0.110564716336619	0.679667633153974	1.17312471726279	2	IQCA1
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN	0.194831013916501	0.993543059852504	0.13880510939114	-0.720588235294118	-1.23006878317715	2	CDCA8, TK1
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP	1	1	0.0454967810085007	0.503649635036496	0.671581769436999	1	CCDC102A
