pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	0.890977443609023	1	0.0481183992657975	-0.554744525547445	-0.7408304879392	1	ARID3A
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_DN	0.648590021691974	0.975602650935839	0.0699458736501659	0.420561700599843	0.842979158723497	3	EXOG, MEGF10
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	0.659574468085106	0.975602650935839	0.0681513438679483	0.678832116788321	0.897635364573686	1	DTNA
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	0.223744292237443	0.918439716312057	0.13880510939114	0.566410633258907	1.26227293606548	4	JCHAIN
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN	0.974137931034483	1	0.0502948063662358	0.308823529411765	0.522818756290052	2	VWF, IGF2BP2
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	0.402255639097744	0.918439716312057	0.0875697115548511	-0.802919708029197	-1.07225465359621	1	BATF3
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	0.974137931034483	1	0.0502948063662358	0.308823529411765	0.522818756290052	2	VWF, IGF2BP2
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_DN	0.213921901528014	0.918439716312057	0.120433371642259	-0.446492870422678	-1.24604722948011	8	DNAH12, CDCA8, PRR11, CBX2, CDT1
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP	0.325744308231173	0.918439716312057	0.0956031492204301	-0.462022961624619	-1.09578984700076	5	DNAH12, MXRA5, CLEC2D
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN	0.960954446854664	1	0.051218434854034	0.274074074074074	0.549357518911864	3	CPLX2, GRB10, ERF
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_UP	0.230496453900709	0.918439716312057	0.118287526124085	-0.552238805970149	-1.20179375541711	4	COL1A2, BATF3, KIF11, P2RY1
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN	0.837937384898711	1	0.0499913914024592	-0.43725281358337	-0.726343642337704	2	COL1A2
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_UP	0.306737588652482	0.918439716312057	0.0999276973731092	-0.516550006429254	-1.12412703594195	4	BATF3, TK1, BIRC5
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_DN	0.21551724137931	0.918439716312057	0.137250779610133	0.741871182419612	1.25594111840779	2	TP53INP2
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_UP	0.17351598173516	0.918439716312057	0.159646701919906	0.590479345589725	1.31591120201104	4	JCHAIN
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_14DY_DN	0.723404255319149	0.98421052631579	0.0636424081651019	0.642335766423358	0.849375398736391	1	ATM
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_14DY_UP	0.145336225596529	0.918439716312057	0.170932335370056	0.672620240575633	1.34820846437545	3	JCHAIN
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_28DY_DN	0.723404255319149	0.98421052631579	0.0636424081651019	0.642335766423358	0.849375398736391	1	ATM
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_DN	0.21551724137931	0.918439716312057	0.137250779610133	0.741871182419612	1.25594111840779	2	TP53INP2
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP	0.912765957446809	1	0.0526973085708419	0.554744525547445	0.733551480726883	1	SNTB1
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_60DY_UP	0.912765957446809	1	0.0526973085708419	0.554744525547445	0.733551480726883	1	SNTB1
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN	0.171366594360087	0.918439716312057	0.156312403073186	0.651851851851852	1.30658004497957	3	TP53INP2, MYADM, ATM
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP	0.549568965517241	0.975602650935839	0.0780892306943345	0.558823529411765	0.946052987572475	2	UBE2S, SNTB1
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_NEGATIVE	0.570498915401301	0.975602650935839	0.0764767053228531	0.451851851851852	0.90569753117902	3	GAB2, KLF10, ARID3A
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_POSITIVE	0.983425414364641	1	0.0426733861156084	-0.269280508754354	-0.510590341824262	3	CLEC2D, ITPRIPL1
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_28DY_POSITIVE	0.43980343980344	0.918439716312057	0.0978773277424561	0.300233717689846	1.03240371296744	11	PRLR, TP53INP2
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE	0.683241252302026	0.981557855419812	0.059476028695732	-0.451851851851852	-0.856768997348502	3	MEX3B, KLF10, SNTB1
HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_DN	0.506849315068493	0.96567118226601	0.0855356947987884	0.434937213132055	0.969278189333327	4	REPS2, VWF, DTNA
HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP	0.328537170263789	0.918439716312057	0.114750719227023	0.387836217946072	1.09960784278307	7	PRLR, TP53INP2
HOEK_B_CELL_2011_2012_TIV_ADULT_7DY_UP	0.0657894736842105	0.918439716312057	0.241339976815091	-0.970802919708029	-1.2964533538936	1	PIF1
HOEK_MYELOID_DENDRITIC_CELL_2011_2012_TIV_ADULT_3DY_DN	0.402127659574468	0.918439716312057	0.0946646223153342	0.802919708029197	1.06171924842049	1	DLG2
HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN	0.402127659574468	0.918439716312057	0.0946646223153342	0.802919708029197	1.06171924842049	1	DLG2
HOEK_NK_CELL_2011_2012_TIV_ADULT_7DY_UP	0.107758620689655	0.918439716312057	0.199915231309662	0.808823529411765	1.3692872188549	2	JCHAIN, DLG2
HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP	0.204887218045113	0.918439716312057	0.130777137971974	-0.897810218978102	-1.19897565811213	1	CPXM1
HOEK_T_CELL_2011_2012_TIV_ADULT_3DY_UP	0.323308270676692	0.918439716312057	0.10027910675413	-0.839416058394161	-1.12099350148695	1	CDCA8
HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_DN	0.633458646616541	0.975602650935839	0.0640703750499722	-0.686131386861314	-0.916290340345853	1	KIF11
HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_7DY_TOP_100_DEG_EX_VIVO_UP	0.204887218045113	0.918439716312057	0.130777137971974	-0.897810218978102	-1.19897565811213	1	CPXM1
HOWARD_DENDRITIC_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_DN	0.370300751879699	0.918439716312057	0.0922597260527354	-0.81021897810219	-1.08200242317436	1	CBX2
HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_DN	0.59698275862069	0.975602650935839	0.0738052724171275	0.536764705882353	0.908708790694614	2	DTNA, PCGF2
HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_DN	0.45531914893617	0.918439716312057	0.0875697115548511	0.773722627737226	1.02311127575065	1	VWF
HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	0.639097744360902	0.975602650935839	0.0636424081651019	-0.678832116788321	-0.906542570767706	1	UBR1
HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP	0.0142065124589493	0.54654994950159	0.380730400722792	-0.696969696969697	-1.78596120764953	6	KIFC1, CDCA8, PRR11, CDC25A, TK1, BIRC5
HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_DN	0.723684210526316	0.98421052631579	0.0577308549299813	-0.642335766423358	-0.857803722876969	1	COL5A1
HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP	0.413793103448276	0.918439716312057	0.0937465422491719	0.636393764222292	1.0773745023742	2	PRLR
KANNAN_BLOOD_2012_2013_TIV_AGE_65PLS_REVACCINATED_IN_6_9_MO_VS_REVACCINATED_IN_12_13_MOS_DN	0.104255319148936	0.918439716312057	0.20207170902116	0.970802919708029	1.28371509127205	1	TP53INP2
LI_PBMC_MENACTRA_AGE_18_45YO_7DY_UP	0.0160749985147526	0.54654994950159	0.352487857583619	1	1.32232306394188	1	JCHAIN
MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_WILD_TYPE_MVA_6HR_UP	0.817669172932331	1	0.0520570030732099	-0.598540145985402	-0.799317105408085	1	SS18
NAKAYA_B_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	0.795580110497238	1	0.0523759084097997	-0.477941176470588	-0.793933221597495	2	OLFML2A, PNKP
NAKAYA_B_CELL_FLUMIST_AGE_18_50YO_7DY_DN	0.931914893617021	1	0.0517405459873163	0.54014598540146	0.714247494391965	1	C5orf15
NAKAYA_B_CELL_FLUMIST_AGE_18_50YO_7DY_UP	0.351409978308026	0.918439716312057	0.103958471559957	0.555555555555556	1.11356253833486	3	EXOG, ATM, GCDH
NAKAYA_MONOCYTE_FLUMIST_AGE_18_50YO_7DY_DN	0.819148936170213	1	0.0577308549299813	0.598540145985401	0.791463439731637	1	MCM3AP
NAKAYA_MONOCYTE_FLUMIST_AGE_18_50YO_7DY_UP	0.852670349907919	1	0.0491927521045191	-0.430044374048392	-0.714369324357908	2	CLEC2D
NAKAYA_MYELOID_DENDRITIC_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	0.445672191528545	0.918439716312057	0.0808589150280032	-0.625	-1.03822036670442	2	BIRC5, DBN1
NAKAYA_MYELOID_DENDRITIC_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_UP	0.659574468085106	0.975602650935839	0.0681513438679483	0.678832116788321	0.897635364573686	1	DTNA
NAKAYA_MYELOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_DN	0.364224137931034	0.918439716312057	0.101350743797099	0.661764705882353	1.12032590633583	2	DTNA, CDK10
NAKAYA_MYELOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP	0.426914153132251	0.918439716312057	0.096240602328129	0.413533834586466	1.02596465702671	5	MCM3AP, GCDH, PCGF2, TUBB, SS18
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_UP	0.612068965517241	0.975602650935839	0.0725351864394589	0.52594516465756	0.8903919898422	2	AKR1C3
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	0.530172413793103	0.96567118226601	0.0799858801499946	0.573529411764706	0.970949118824383	2	RAB11FIP4, BCOR
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_UP	0.114224137931034	0.918439716312057	0.193813302725311	0.806343004625134	1.36508784684991	2	JCHAIN
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE	0.948275862068966	1	0.051530912208539	0.338235294117647	0.572611018793867	2	RAPGEF6, SINHCAF
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE	0.414893617021277	0.918439716312057	0.0928481214159878	0.795620437956204	1.05206725525303	1	TMEFF2
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE	0.34622467771639	0.918439716312057	0.0949751525905595	-0.669117647058823	-1.11150651023649	2	CLEC2D, SINHCAF
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN	0.522831050228311	0.96567118226601	0.0838361057159929	0.426784908043198	0.951110391138922	4	TP53INP2, CRY2, RNF38
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_DN	0.185344827586207	0.918439716312057	0.149207542435322	0.757352941176471	1.28215075947322	2	RAB11FIP4, GAB2
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP	0.659966499162479	0.975602650935839	0.0566484183613995	-0.286821705426357	-0.836822654372187	9	CLEC2D, SS18, GCN1, C5orf15, GCDH, MCM3AP, GSE1, ATM, RAPGEF6
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	0.906015037593985	1	0.0473534245254193	-0.54014598540146	-0.721334948782906	1	P2RY1
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_UP	0.370300751879699	0.918439716312057	0.0922597260527354	-0.817518248175182	-1.09175019275251	1	CDC25A
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_DN	0.640287769784173	0.975602650935839	0.0756946307932749	0.297709923664122	0.844078380995708	7	EXOG, SLC24A2, DTNA, SNTB1, BGN, BIRC5, TK1
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP	0.41648590021692	0.918439716312057	0.0937465422491719	0.525925925925926	1.05417253629033	3	GATB, ATM, TUBB
OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_DN	0.898163606010017	1	0.042331839351853	-0.20674881579548	-0.621704311916347	10	ABCA10
OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_UP	0.435643564356436	0.918439716312057	0.0988903007520636	0.310196755202838	1.02781197683021	10	PRLR, RAB11FIP4, GAB2, DOCK8, CDH23, UBE2S, SNTB1, C5orf15
OVSYANNIKOVA_PBMC_FLUARIX_AGE_50_74YO_COMMON_WITH_BOTH_HAI_AND_VNA_28DY_VS_3DY_USED_IN_HAI_AND_VNA_RESPONSE_MODELS_UP	0.345864661654135	0.918439716312057	0.096240602328129	-0.824817518248175	-1.10149796233065	1	FASN
PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_6HR_UP	0.716390423572744	0.98421052631579	0.0572461135202884	-0.514705882352941	-0.855005007874226	2	BATF3, KLF10
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_28D_PEAK_T_CELL_RESPONSE_14DY_NEGATIVE	0.325966850828729	0.918439716312057	0.0985499803531691	-0.676470588235294	-1.12372086749184	2	CDC25A, BIRC5
