pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_APICAL_JUNCTION	0.75796178343949	0.985350318471338	0.0613026075396207	0.392592592592593	0.795528764062696	3	VWF, PLCG1, CNN2
HALLMARK_APOPTOSIS	0.965116279069767	1	0.0458620343117985	-0.518248175182482	-0.692571406924767	1	BGN
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.36046511627907	0.755813953488372	0.0956031492204301	-0.824817518248175	-1.10226153496477	1	FASN
HALLMARK_COAGULATION	0.716356107660455	0.980276778903781	0.0628003977812234	0.463235294117647	0.807171165938141	2	VWF, P2RY1
HALLMARK_COMPLEMENT	0.181069958847737	0.588477366255144	0.147331213699377	0.905109489051095	1.20811570912013	1	HPCAL4
HALLMARK_E2F_TARGETS	0.3184165232358	0.752620873102801	0.0959206777921745	-0.455749554898178	-1.13798943105663	6	CDCA8, CDC25A, TK1, BIRC5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.40608228980322	0.755813953488372	0.0843144320642653	-0.458646616541353	-1.05630768896179	5	COL1A2, MXRA5, COL5A1, BGN, SNTB1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.971804511278195	1	0.0441523058441465	-0.270916563754962	-0.513348885168604	3	FASN
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0609426700588651	0.588477366255144	0.321775918075361	0.985401459854015	1.31528726396143	1	PRLR
HALLMARK_FATTY_ACID_METABOLISM	0.632967032967033	0.972403776325345	0.0718276293603809	0.375892626372821	0.868927463811695	4	TP53INP2
HALLMARK_G2M_CHECKPOINT	0.0930626057529611	0.588477366255144	0.190023305279108	-0.539852266845172	-1.44617726383243	7	TTK, CDC25A, CCNF, KIF11, BIRC5, SS18
HALLMARK_GLYCOLYSIS	0.697674418604651	0.980276778903781	0.0609039347452418	-0.642335766423358	-0.858398363512387	1	COL5A1
HALLMARK_HEME_METABOLISM	0.168724279835391	0.588477366255144	0.153158808683073	0.912408759124088	1.21785857774207	1	FTCD
HALLMARK_HYPOXIA	0.823779193205945	1	0.0573667426768556	0.362962962962963	0.735488857340983	3	DTNA, BGN, COL5A1
HALLMARK_IL2_STAT5_SIGNALING	0.406976744186047	0.755813953488372	0.0886261133285098	-0.802919708029197	-1.07299795439048	1	BATF3
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.54320987654321	0.94156378600823	0.0762797180809272	0.72992700729927	0.974286862193652	1	RAPGEF6
HALLMARK_KRAS_SIGNALING_DN	0.137860082304527	0.588477366255144	0.170932335370056	0.934306569343066	1.24708718360787	1	SOX10
HALLMARK_MITOTIC_SPINDLE	0.134168157423971	0.588477366255144	0.160801401070022	-0.587026660512548	-1.3519793949446	5	PIF1, TTK
HALLMARK_MTORC1_SIGNALING	0.132692307692308	0.588477366255144	0.16823816568964	-0.786764705882353	-1.29864286097249	2	CDC25A, CCNF
HALLMARK_MYOGENESIS	0.635802469135803	0.972403776325345	0.0683110858318647	0.678832116788321	0.906086781840096	1	DTNA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	0.0442407423477375	-0.503649635036496	-0.673062353208576	1	PLCG1
HALLMARK_SPERMATOGENESIS	0.0852713178294574	0.588477366255144	0.213927855492356	-0.963503649635037	-1.28759754526858	1	TTK
HALLMARK_TGF_BETA_SIGNALING	0.98062015503876	1	0.0451344222209097	-0.510948905109489	-0.682816880066672	1	KLF10
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.98062015503876	1	0.0451344222209097	-0.510948905109489	-0.682816880066672	1	KLF10
HALLMARK_UV_RESPONSE_DN	0.244186046511628	0.634883720930233	0.120433371642259	-0.89051094890511	-1.19005227668763	1	COL1A2
HALLMARK_XENOBIOTIC_METABOLISM	0.218106995884774	0.630086877000457	0.132846300606183	0.89051094890511	1.18862997187626	1	AKR1C3
