pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_UP	0.605769230769231	0.886268708666899	0.0673623868166279	-0.497164461247637	-0.924528983723351	3	KLF10, VWF, GPCPD1
ABBUD_LIF_SIGNALING_2_DN	0.314516129032258	0.7235114114497	0.106323255932708	-0.849056603773585	-1.12687813021703	1	SCN1A
ABBUD_LIF_SIGNALING_2_UP	0.223790322580645	0.644782018524433	0.129442887745046	-0.905660377358491	-1.20200333889817	1	DCN
ABE_INNER_EAR	0.103846153846154	0.501148105625718	0.191892240384838	-0.732514177693762	-1.3621862402768	3	COL9A1, APOD, COL9A3
ABE_VEGFA_TARGETS_2HR	0.524193548387097	0.851875425527432	0.0770736734944102	-0.738679245283019	-0.980383973288816	1	PPL
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.640384615384615	0.890807485317434	0.0646484568421928	-0.481882627026014	-0.89611082481696	3	CDK4, MYC
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.103030303030303	0.501148105625718	0.197822021315103	-0.802644003777148	-1.31248641749745	2	DCN, CD36
ABRAMSON_INTERACT_WITH_AIRE	0.679841897233202	0.905410631416116	0.0630790410571939	0.636792452830189	0.859415181677911	1	GCN1
ACEVEDO_LIVER_CANCER_DN	0.543046357615894	0.851875425527432	0.0653834195468773	-0.256287681257009	-0.932479985321374	22	MXRA5, IGF2, CENPV, PCOLCE, BGN, IGFBP4, HGFAC, PLEKHG3
ACEVEDO_LIVER_CANCER_UP	0.0549450549450549	0.38527737322918	0.241339976815091	-0.339989802616448	-1.50744638526916	44	JCHAIN, COL3A1, KCNK5, COL1A2, COL1A1, PLS3, TK1, FRZB, IPO4, C4orf33, LYZ, DOK4, PPL, UBE2S, BZW2, ETS1, NDUFA4L2, GTPBP4, MED7, RBM34, THY1, CTSH, VWF, APAF1, GLB1, INTS8, GPAA1, RTRAF, ZSCAN18, EIF3H, XRCC6, MORF4L2
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.66156462585034	0.899506911853435	0.0572461135202884	-0.316795931509213	-0.847162012853756	8	GGN, FSIP1, PCDHGC4
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.0489864864864865	0.382173393232374	0.266350657088526	-0.443042973231878	-1.52714691485535	18	IL6, COL3A1, COL1A2, KL, SCAND3, SDK1, TOX
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	0.401119402985075	0.776723186333943	0.0873098257637931	-0.455545479293272	-1.04618063880662	5	PTPN22, C4orf33, SLC26A2
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0.809605488850772	0.957964282906632	0.0483117581055019	-0.281525912476059	-0.714802137137288	7	GALNT5, BMPER, GNG2
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.373310810810811	0.757555411059595	0.0857844408075645	-0.337450850301118	-1.0756738622998	14	MXRA5, IGF2, TRPM8, BGN, MFAP4, HGFAC, PLEKHG3
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.0418006430868167	0.362023426734038	0.282013350011725	-0.370197672688301	-1.56137502579016	37	COL1A1, AKR1C3, TK1, IPO4, LYZ, PPL, UBE2S, BZW2, METRN, TMOD1, PIP4K2C, NDUFA4L2, GTPBP4, MED7, RBM34, CKAP4, THY1, RPP21, VWF, SUPT4H1, DNAJC9, GPAA1, RTRAF, APEX2, TUBB4B, ZSCAN18, XRCC6, MORF4L2, BTF3, MAPRE1, HSP90AB1, RPS25
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0.333333333333333	0.729710179871727	0.0899860794997137	-0.265628266098791	-1.11213606274339	36	H19, IGKC, ADAMDEC1, ABCA11P, SPATA18, PXDNL, SDK1, DLX1, FAXC, PLAU
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.235093696763203	0.664196754932932	0.114266502484433	-0.371325916618502	-1.22638612749748	16	CENPV, PCOLCE, IGFBP4, CEMIP2, MLLT3, FASN, GSE1, ALPL, DIAPH1, ACTG1, RPL12, TUBB4B, RNPEP, RPS25, NMT1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.491496598639456	0.850671888340324	0.0716527366829457	-0.365622032288699	-0.97773066510599	8	COL3A1, C4orf33, RBM34, PTMA, GAK, ZPR1, CYP3A5, GCN1
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.487758945386064	0.850635633997998	0.077274697304471	-0.467331511124898	-0.968484318099243	4	TRPV2, MYC, MCAM
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.663900414937759	0.900074618440942	0.0665892104103933	0.446784596604299	0.869418667063464	3	SLC17A7
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.817307692307692	0.961754176747289	0.0531298054705469	-0.389413988657845	-0.724155781927796	3	BIRC5, CTSH, FECH
AFFAR_YY1_TARGETS_DN	0.05244836176849	0.382602121732557	0.321775918075361	-0.429601819392971	-1.59926982789154	24	CRABP1, LUM, IGHM, COL15A1, TRIP13, TK1, CDC6, CHTF18, KIF11, TTK, LYZ, SPAG5, CDT1, BIRC5, SQLE, TFAP4
AFFAR_YY1_TARGETS_UP	0.401287553648069	0.776723186333943	0.0952879846194844	0.42570424249382	1.0267038612081	5	WNT16, EGFR
AGARWAL_AKT_PATHWAY_TARGETS	0.0686868686868687	0.423472008217771	0.245041785430996	-0.8328611898017	-1.36189767086206	2	TGFA, PLAU
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.527210884353742	0.851875425527432	0.0681513438679483	-0.310772163965682	-0.946138592592651	12	HAND2, WASF1, RARG, ALPL, SEC63, PSIP1, EIF3D, PIAS2, ZPR1, GATB, BCR, FOCAD
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.547297297297297	0.851875425527432	0.065981614400873	-0.27257108047218	-0.939538847858038	18	PLEKHG3, MYC, SNF8, RNF38, NDUFS6, CBX1, PHB1, GPAA1, CLTA, STRN4, NMT1, NUDC, KCTD7, LRRC37A, NPAS3, CYP3A5, ACSF2
AIGNER_ZEB1_TARGETS	0.353057199211045	0.746719881015109	0.0978773277424561	0.671169588129982	1.11942815107246	2	PKP3
AIYAR_COBRA1_TARGETS_DN	0.856854838709677	0.972099013796457	0.0531298054705469	-0.576415094339623	-0.765025041736228	1	HNRNPAB
AIYAR_COBRA1_TARGETS_UP	0.18989898989899	0.628642832937987	0.142056643575821	-0.755429650613787	-1.23528133411524	2	PRLR, APOD
AKL_HTLV1_INFECTION_DN	0.0427396275026426	0.363806389990449	0.321775918075361	-0.983962264150943	-1.3059265442404	1	IGKC
AKL_HTLV1_INFECTION_UP	0.844758064516129	0.970090768726898	0.05378728077603	-0.587735849056604	-0.780050083472455	1	CBX1
