pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ACE2_PATHWAY	0.71875	0.974166666666667	0.0629394692018967	0.658490566037736	0.870727642064691	1	COL4A5
BIOCARTA_ACTINY_PATHWAY	0.496197718631179	0.974166666666667	0.0768736734126542	-0.730188679245283	-0.991293401867198	1	WASF1
BIOCARTA_AGR_PATHWAY	0.362962962962963	0.974166666666667	0.0925528864684773	-0.466780617853899	-1.07541849282466	5	CHRNA1, PAK5
BIOCARTA_AHSP_PATHWAY	0.789583333333333	0.974166666666667	0.0584693210386381	0.611320754716981	0.808354601802177	1	FECH
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.937262357414449	0.984420211875553	0.0463227785794633	-0.519811320754717	-0.705688196936468	1	NUP85
BIOCARTA_ALK_PATHWAY	0.435361216730038	0.974166666666667	0.0838361057159929	-0.767924528301887	-1.04252303503863	1	NOG
BIOCARTA_AMAN_PATHWAY	0.908333333333333	0.979891877637131	0.0519512476197082	0.540566037735849	0.714795041408407	1	B3GALT1
BIOCARTA_AMI_PATHWAY	0.834990059642147	0.974166666666667	0.0536769600638126	-0.364048923626316	-0.693826999469552	3	PROS1, PLAT
BIOCARTA_ARF_PATHWAY	0.979959919839679	0.985863292850762	0.0466948041282054	0.274102079395085	0.53443219704884	3	POLR1A, POLR1B, MYC
BIOCARTA_ASBCELL_PATHWAY	0.517110266159696	0.974166666666667	0.0747385227439092	-0.716981132075472	-0.973363030257197	1	HLA-DRB5
BIOCARTA_AT1R_PATHWAY	0.0895833333333333	0.880024509803922	0.216542836735348	0.959433962264151	1.26866763893953	1	EGFR
BIOCARTA_ATM_PATHWAY	0.927083333333333	0.979891877637131	0.051011413203915	0.530188679245283	0.701072972550654	1	ATM
BIOCARTA_ATRBRCA_PATHWAY	0.799220272904483	0.974166666666667	0.0547939500773363	-0.470254957507082	-0.773197118051557	2	RAD1, ATM
BIOCARTA_BARRESTIN_PATHWAY	0.70961145194274	0.974166666666667	0.0626618230932491	0.516525023607177	0.855889754041493	2	PPARA, AP2M1
BIOCARTA_BBCELL_PATHWAY	0.517110266159696	0.974166666666667	0.0747385227439092	-0.716981132075472	-0.973363030257197	1	HLA-DRB5
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.600760456273764	0.974166666666667	0.0672065093710464	-0.686792452830189	-0.932379323720052	1	BIRC5
BIOCARTA_BCR_PATHWAY	0.827083333333333	0.974166666666667	0.0562940749700968	0.590566037735849	0.780910464086671	1	PLCG1
BIOCARTA_BIOPEPTIDES_PATHWAY	0.827083333333333	0.974166666666667	0.0562940749700968	0.590566037735849	0.780910464086671	1	PLCG1
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.517110266159696	0.974166666666667	0.0747385227439092	-0.716981132075472	-0.973363030257197	1	HLA-DRB5
BIOCARTA_BOTULIN_PATHWAY	0.115969581749049	0.974166666666667	0.179782316298324	-0.938679245283019	-1.27433712513936	1	CHRNA1
BIOCARTA_BTG2_PATHWAY	0.730038022813688	0.974166666666667	0.0578529757032509	-0.623584905660377	-0.846569688157905	1	CHAF1B
BIOCARTA_CALCINEURIN_PATHWAY	0.827083333333333	0.974166666666667	0.0562940749700968	0.590566037735849	0.780910464086671	1	PLCG1
BIOCARTA_CARDIACEGF_PATHWAY	0.432900432900433	0.974166666666667	0.0913924325943768	0.43000195713923	1.01690909616593	5	EGFR, EDNRB
BIOCARTA_CARM_ER_PATHWAY	0.918250950570342	0.979891877637131	0.0472587336673259	-0.533962264150943	-0.724899309375755	1	TBP
BIOCARTA_CASPASE_PATHWAY	0.553606237816764	0.974166666666667	0.0725351864394589	-0.58356940509915	-0.959509676618197	2	CASP8, APAF1
BIOCARTA_CBL_PATHWAY	0.0895833333333333	0.880024509803922	0.216542836735348	0.959433962264151	1.26866763893953	1	EGFR
BIOCARTA_CCR5_PATHWAY	0.827083333333333	0.974166666666667	0.0562940749700968	0.590566037735849	0.780910464086671	1	PLCG1
BIOCARTA_CDC25_PATHWAY	0.198807157057654	0.974166666666667	0.137250779610133	-0.662632368247738	-1.26288583202804	3	MYT1, CDC25A
BIOCARTA_CDMAC_PATHWAY	0.505703422053232	0.974166666666667	0.0758886900606117	-0.726415094339623	-0.986170438550055	1	MYC
BIOCARTA_CELLCYCLE_PATHWAY	0.192982456140351	0.974166666666667	0.138022242496643	-0.745042492917847	-1.22500507257566	2	CDC25A, CDK4
BIOCARTA_CERAMIDE_PATHWAY	0.777777777777778	0.974166666666667	0.0560595875032335	-0.479383232524389	-0.788205903867616	2	CASP8
BIOCARTA_CHEMICAL_PATHWAY	0.799220272904483	0.974166666666667	0.0547939500773363	-0.470254957507082	-0.773197118051557	2	APAF1, ATM
BIOCARTA_CHREBP_PATHWAY	0.63125	0.974166666666667	0.0692836467392548	0.704716981132075	0.931853221521954	1	ACSBG1
BIOCARTA_CIRCADIAN_PATHWAY	0.622916666666667	0.974166666666667	0.0699458736501659	0.710377358490566	0.939337986353456	1	CRY2
BIOCARTA_CSK_PATHWAY	0.517110266159696	0.974166666666667	0.0747385227439092	-0.716981132075472	-0.973363030257197	1	HLA-DRB5
BIOCARTA_CTBP1_PATHWAY	0.754601226993865	0.974166666666667	0.0597317976364411	0.493862134088763	0.818337004321208	2	SAE1, UBE2I
BIOCARTA_CTCF_PATHWAY	0.505703422053232	0.974166666666667	0.0758886900606117	-0.726415094339623	-0.986170438550055	1	MYC
BIOCARTA_CTLA4_PATHWAY	0.517110266159696	0.974166666666667	0.0747385227439092	-0.716981132075472	-0.973363030257197	1	HLA-DRB5
BIOCARTA_CXCR4_PATHWAY	0.827083333333333	0.974166666666667	0.0562940749700968	0.590566037735849	0.780910464086671	1	PLCG1
BIOCARTA_CYTOKINE_PATHWAY	0.03287056923218	0.609931673530451	0.321775918075361	-0.984905660377358	-1.33709342577436	1	IL6
BIOCARTA_D4GDI_PATHWAY	0.553606237816764	0.974166666666667	0.0725351864394589	-0.58356940509915	-0.959509676618197	2	CASP8, APAF1
BIOCARTA_DEATH_PATHWAY	0.8125	0.974166666666667	0.0526973085708419	-0.348155156102176	-0.732289887754548	4	CASP8, APAF1, CFLAR, RIPK1
BIOCARTA_DICER_PATHWAY	0.845833333333333	0.974166666666667	0.0552495663125249	0.568867924528302	0.752218865565915	1	AGO2
BIOCARTA_ECM_PATHWAY	0.768060836501901	0.974166666666667	0.0554793308704233	-0.600943396226415	-0.815831908255046	1	DIAPH1
BIOCARTA_EEA1_PATHWAY	0.0895833333333333	0.880024509803922	0.216542836735348	0.959433962264151	1.26866763893953	1	EGFR
BIOCARTA_EFP_PATHWAY	0.473384030418251	0.974166666666667	0.0793434960134973	-0.744339622641509	-1.01050451430649	1	CDK4
BIOCARTA_EGFR_SMRTE_PATHWAY	0.165644171779141	0.974166666666667	0.154190966581424	0.747875354107649	1.2392407407694	2	EGFR, THRB
BIOCARTA_EGF_PATHWAY	0.229038854805726	0.974166666666667	0.128788713061714	0.721319006266313	1.1952364718892	2	EGFR
BIOCARTA_EICOSANOID_PATHWAY	0.313688212927757	0.974166666666667	0.102821842840815	-0.838679245283019	-1.13857859723506	1	PTGIS
BIOCARTA_EOSINOPHILS_PATHWAY	0.517110266159696	0.974166666666667	0.0747385227439092	-0.716981132075472	-0.973363030257197	1	HLA-DRB5
BIOCARTA_EPONFKB_PATHWAY	0.454166666666667	0.974166666666667	0.0865399737444125	0.795283018867925	1.05160945882598	1	GRIN1
BIOCARTA_EPO_PATHWAY	0.827083333333333	0.974166666666667	0.0562940749700968	0.590566037735849	0.780910464086671	1	PLCG1
BIOCARTA_ERAD_PATHWAY	0.754601226993865	0.974166666666667	0.0597317976364411	0.493862134088763	0.818337004321208	2	SAE1, UBE2I
BIOCARTA_ERBB3_PATHWAY	0.0895833333333333	0.880024509803922	0.216542836735348	0.959433962264151	1.26866763893953	1	EGFR
