pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.362886597938144	0.978420255144435	0.0988903007520636	0.583687964105161	1.10859200233748	3	EGFR, LAMA1
PID_AJDISS_2PATHWAY	0.851546391752577	0.978420255144435	0.0544555953940371	0.370257539971692	0.703225992071023	3	EGFR
PID_AMB2_NEUTROPHILS_PATHWAY	0.175675675675676	0.978420255144435	0.144630528034484	-0.615894039735099	-1.28124978104591	4	IL6, PLAU, PLAT, THY1
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.661322645290581	0.978420255144435	0.0650877566917313	-0.665094339622642	-0.886604342490038	1	ETS1
PID_AP1_PATHWAY	0.0987432675044883	0.978420255144435	0.190023305279108	-0.582879785456941	-1.4069082218746	6	IL6, COL1A2, PLAU, MYC, ETS1
PID_ARF6_PATHWAY	0.584677419354839	0.978420255144435	0.0714786287425507	0.587313644006023	0.949465394265521	2	EGFR
PID_ARF6_TRAFFICKING_PATHWAY	0.345238095238095	0.978420255144435	0.0995791200495904	0.844339622641509	1.11609566711375	1	EDNRB
PID_ARF_3PATHWAY	1	1	0.0441523058441465	0	0	3	
PID_AR_NONGENOMIC_PATHWAY	0.889328063241107	0.978420255144435	0.0504983044100709	-0.409820585457979	-0.67157581872829	2	GNG2, PLCG1
PID_AR_PATHWAY	0.623853211009174	0.978420255144435	0.0636424081651019	-0.392045454545455	-0.88888055466273	5	CASP8, XRCC6, UBE2I, PA2G4, KDM3A
PID_ATF2_PATHWAY	0.0793036750483559	0.978420255144435	0.222056046145248	-0.745746691871456	-1.41581547298771	3	IL6, PLAU, CDK4
PID_ATM_PATHWAY	0.774703557312253	0.978420255144435	0.0568864160475701	-0.491472893326416	-0.805380018550317	2	CDC25A
PID_ATR_PATHWAY	0.347490347490348	0.978420255144435	0.09754492162472	-0.538315988647114	-1.11986347990034	4	CDC6, CDC25A, RAD1, YWHAZ
PID_AURORA_A_PATHWAY	0.345849802371542	0.978420255144435	0.0992333343771191	-0.67233238904627	-1.10175572104733	2	BIRC5, RAN
PID_AURORA_B_PATHWAY	0.316205533596838	0.978420255144435	0.104732821580651	-0.687440982058546	-1.12651427657649	2	CDCA8, BIRC5
PID_AVB3_INTEGRIN_PATHWAY	0.00128485053090685	0.0765659883087146	0.45505986738723	-0.697963876395381	-2.022629858278	10	COL3A1, COL1A2, COL1A1, COL14A1, COL5A1, COL15A1, CASP8, COL9A1
PID_AVB3_OPN_PATHWAY	0.360721442885772	0.978420255144435	0.09754492162472	-0.832075471698113	-1.10919862422158	1	PLAU
PID_BARD1_PATHWAY	0.798387096774194	0.978420255144435	0.0564118388217596	0.481586402266289	0.778544186683302	2	ATM, XRCC6
PID_BCR_5PATHWAY	0.661322645290581	0.978420255144435	0.0650877566917313	-0.665094339622642	-0.886604342490038	1	ETS1
PID_BETA_CATENIN_NUC_PATHWAY	0.428571428571429	0.978420255144435	0.0855356947987884	-0.499526963103122	-1.03917032932756	4	TLE2, MYC, YWHAZ, BCL9
PID_BMP_PATHWAY	0.162055335968379	0.978420255144435	0.153158808683073	-0.768649669499528	-1.25959151254569	2	BAMBI, NOG
PID_CASPASE_PATHWAY	0.880077369439072	0.978420255144435	0.0499913914024592	-0.347826086956522	-0.660354998807955	3	CASP8, APAF1, RIPK1
PID_CD40_PATHWAY	0.551102204408818	0.978420255144435	0.0741758965588009	-0.726415094339623	-0.968348005272808	1	MYC
PID_CD8_TCR_DOWNSTREAM_PATHWAY	0.258517034068136	0.978420255144435	0.118815039412263	-0.880188679245283	-1.17333595963575	1	STAT4
PID_CD8_TCR_PATHWAY	0.831349206349206	0.978420255144435	0.05378728077603	0.590566037735849	0.780643449847158	1	PLCG1
PID_CDC42_PATHWAY	0.917835671342685	0.978420255144435	0.0496901392724606	-0.543396226415094	-0.724374611736542	1	ARPC3
PID_CDC42_REG_PATHWAY	0.57258064516129	0.978420255144435	0.0725351864394589	0.591123701605288	0.955624825223034	2	NGEF, PLCG1
PID_CERAMIDE_PATHWAY	0.591876208897485	0.978420255144435	0.0687943095604775	-0.476095506622616	-0.903877137161219	3	CASP8, MYC
PID_CIRCADIAN_PATHWAY	0.514112903225806	0.978420255144435	0.0780892306943345	0.619452313503305	1.00142154208676	2	CRY2, PER2
PID_CMYB_PATHWAY	0.172905525846702	0.978420255144435	0.139599673451922	-0.504743833017078	-1.28809057014741	7	COL1A2, LYZ, MYC, ETS1, CLTA, UBE2I, CBX4
PID_CONE_PATHWAY	0.845849802371542	0.978420255144435	0.052805004567129	-0.442870632672332	-0.725735158948314	2	GNB3, SLC24A2
PID_CXCR3_PATHWAY	0.50501002004008	0.978420255144435	0.0787113806986485	-0.75377358490566	-1.00481825482204	1	GNG2
PID_CXCR4_PATHWAY	0.50501002004008	0.978420255144435	0.0787113806986485	-0.75377358490566	-1.00481825482204	1	GNG2
PID_DELTA_NP63_PATHWAY	0.0495412844036697	0.822351959966639	0.276500599254472	-0.676690155594148	-1.53425250532932	5	DLX5, COL5A1, BDKRB2
PID_DNA_PK_PATHWAY	0.798387096774194	0.978420255144435	0.0564118388217596	0.481586402266289	0.778544186683302	2	PNKP, XRCC6
PID_E2F_PATHWAY	0.104882459312839	0.978420255144435	0.184706471207739	-0.497358416484134	-1.44129519802944	10	PLAU, TK1, CDC6, CDC25A, WASF1, MYC
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.34639175257732	0.978420255144435	0.101713902282311	0.591682419659735	1.12377578208944	3	EGFR, CASR, PLCG1
PID_ECADHERIN_STABILIZATION_PATHWAY	0.581443298969072	0.978420255144435	0.0728938564822936	0.485651201319884	0.92239187856855	3	EGFR
PID_ENDOTHELIN_PATHWAY	0.127413127413127	0.978420255144435	0.172324344900946	-0.652288179958158	-1.35696083064822	4	COL3A1, COL1A2
PID_EPHA_FWDPATHWAY	0.925773195876289	0.978420255144435	0.0506004243853618	0.282345806291046	0.60791086979486	4	EPHA5, NGEF, PLCG1
PID_EPHB_FWD_PATHWAY	0.527667984189723	0.978420255144435	0.0756946307932749	-0.594900849858357	-0.974868123960421	2	EPHB2, EFNB1
PID_EPHRINB_REV_PATHWAY	0.527667984189723	0.978420255144435	0.0756946307932749	-0.594900849858357	-0.974868123960421	2	EPHB2, EFNB1
PID_EPO_PATHWAY	0.831349206349206	0.978420255144435	0.05378728077603	0.590566037735849	0.780643449847158	1	PLCG1
PID_ERA_GENOMIC_PATHWAY	0.537549407114625	0.978420255144435	0.0747385227439092	-0.593012275731822	-0.971773304519277	2	MYC, UBE2M
PID_ERBB1_DOWNSTREAM_PATHWAY	0.25979381443299	0.978420255144435	0.120433371642259	0.625846727729839	1.18866366914734	3	EGFR
PID_ERBB1_INTERNALIZATION_PATHWAY	0.0873015873015873	0.978420255144435	0.213927855492356	0.959433962264151	1.2682338474354	1	EGFR
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.274193548387097	0.978420255144435	0.115240003147781	0.721319006266313	1.16610169313355	2	EGFR
PID_ERBB2_ERBB3_PATHWAY	0.120240480961924	0.978420255144435	0.181383128498408	-0.938679245283019	-1.25130683798239	1	CHRNA1
PID_ERBB4_PATHWAY	0.210420841683367	0.978420255144435	0.133554954557592	-0.892452830188679	-1.18968469219231	1	PRLR
PID_ERBB_NETWORK_PATHWAY	0.683467741935484	0.978420255144435	0.0637845390312975	0.544151933025359	0.879689131868643	2	EGFR
PID_ERB_GENOMIC_PATHWAY	0.811623246492986	0.978420255144435	0.0553642837725362	-0.592452830188679	-0.789769541962758	1	UBE2M
PID_ER_NONGENOMIC_PATHWAY	0.50501002004008	0.978420255144435	0.0787113806986485	-0.75377358490566	-1.00481825482204	1	GNG2
PID_FAK_PATHWAY	0.748549323017408	0.978420255144435	0.0574877409561325	-0.410207939508507	-0.778788232289816	3	KLF8, ETS1, PLCG1
PID_FANCONI_PATHWAY	0.812252964426877	0.978420255144435	0.0546808488785442	-0.470254957507082	-0.770610040844904	2	RAD1, ATM
